NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
3,3,155830,18-Nov,3,97,87899.557,59.0,1489.823,EL MOUROUJ 3
2,2,155830,18-Apr,3,53,141869.295,95.0,1493.361,EL MOUROUJ 3
1,1,155830,18-Dec,3,97,12569.03,10.0,1256.903,EL MOUROUJ 3
2,2,155830,18-Jul,3,97,154082.214,99.0,1556.386,EL MOUROUJ 3
2,1,155830,18-Aug,3,97,40478.054,34.0,1190.531,EL MOUROUJ 3
2,1,155830,18-Aug,3,53,113100.445,95.0,1190.5310000000002,EL MOUROUJ 3
1,2,155830,18-Aug,3,97,80932.072,52.0,1556.386,EL MOUROUJ 3
2,2,155830,18-Oct,3,97,64272.28,40.0,1606.807,EL MOUROUJ 3
3,6,155830,19-Mar,3,53,19346.99,13.0,1488.23,EL MOUROUJ 3
3,3,155830,18-Jan,3,53,68957.512,52.0,1326.106,EL MOUROUJ 3
3,3,155830,18-Feb,3,53,31826.544,24.0,1326.106,EL MOUROUJ 3
3,3,155830,18-Mar,3,97,38457.074,29.0,1326.106,EL MOUROUJ 3
2,2,155830,18-May,3,53,194136.93,130.0,1493.3609999999999,EL MOUROUJ 3
2,1,155830,18-Nov,3,97,57817.538,46.0,1256.903,EL MOUROUJ 3
2,1,155830,19-May,3,97,182646.482,137.0,1333.186,EL MOUROUJ 3
2,1,155830,19-Oct,3,97,173026.49,130.0,1330.973,EL MOUROUJ 3
2,2,155830,19-Jun,3,53,50125.2,30.0,1670.84,EL MOUROUJ 3
2,6,155830,19-Jun,3,53,10900.799,7.0,1557.257,EL MOUROUJ 3
2,6,155830,19-Aug,3,97,110408.124,71.0,1555.0439999999999,EL MOUROUJ 3
2,2,155830,18-Jan,3,53,271401.328,187.0,1451.3439999999998,EL MOUROUJ 3
1,3,155830,18-May,3,97,9592.478,7.0,1370.3539999999998,EL MOUROUJ 3
3,3,155830,18-May,3,97,68517.7,50.0,1370.354,EL MOUROUJ 3
2,1,155830,18-Sep,3,97,29236.464,24.0,1218.186,EL MOUROUJ 3
2,1,155830,18-Jun,3,53,30953.806,26.0,1190.531,EL MOUROUJ 3
2,2,155830,18-Jun,3,53,182190.042,122.0,1493.3609999999999,EL MOUROUJ 3
2,3,155830,19-May,3,97,84091.878,54.0,1557.2569999999998,EL MOUROUJ 3
2,1,155830,19-Mar,3,97,128041.62,102.0,1255.31,EL MOUROUJ 3
1,1,155830,19-Mar,3,97,22595.58,18.0,1255.3100000000002,EL MOUROUJ 3
3,6,155830,19-Mar,3,97,61017.43,41.0,1488.23,EL MOUROUJ 3
2,1,155830,19-Sep,3,97,178350.382,134.0,1330.9730000000002,EL MOUROUJ 3
3,1,155830,19-Aug,3,97,6654.865,5.0,1330.973,EL MOUROUJ 3
2,6,155830,19-Aug,3,53,13995.396,9.0,1555.044,EL MOUROUJ 3
2,1,155830,18-Dec,3,97,114346.313,91.0,1256.55289010989,EL MOUROUJ 3
2,1,155830,18-Oct,3,53,123176.494,98.0,1256.903,EL MOUROUJ 3
1,1,155830,18-Jun,3,97,15738.226,14.0,1124.159,EL MOUROUJ 3
2,1,155830,19-Jul,3,97,167837.591,126.0,1332.044373015873,EL MOUROUJ 3
3,6,155830,19-Nov,3,97,27990.792,18.0,1555.044,EL MOUROUJ 3
2,6,155830,19-Dec,3,97,90192.552,58.0,1555.0439999999999,EL MOUROUJ 3
3,2,155830,18-Aug,3,97,18676.632,12.0,1556.3860000000002,EL MOUROUJ 3
2,1,155830,18-Nov,3,53,81698.695,65.0,1256.903,EL MOUROUJ 3
2,2,155830,18-Jun,3,97,34240.492,22.0,1556.386,EL MOUROUJ 3
1,2,155830,19-Sep,3,97,68418.299,41.0,1668.739,EL MOUROUJ 3
2,1,155830,19-Jun,3,97,158649.134,119.0,1333.186,EL MOUROUJ 3
2,2,155830,19-Aug,3,53,61743.343,37.0,1668.739,EL MOUROUJ 3
2,6,155830,19-Nov,3,97,69976.98,45.0,1555.0439999999999,EL MOUROUJ 3
2,2,155830,19-Dec,3,97,402166.099,241.0,1668.739,EL MOUROUJ 3
2,2,155830,18-Mar,3,53,217701.6,150.0,1451.344,EL MOUROUJ 3
2,1,155830,18-Mar,3,53,68034.393,63.0,1079.9109999999998,EL MOUROUJ 3
2,2,155830,18-May,3,97,123948.963,83.0,1493.361,EL MOUROUJ 3
2,1,155830,18-Jul,3,97,52383.364,44.0,1190.531,EL MOUROUJ 3
2,2,155830,18-Sep,3,53,294045.681,183.0,1606.807,EL MOUROUJ 3
2,2,155830,18-Oct,3,53,306900.137,191.0,1606.807,EL MOUROUJ 3
3,2,155830,18-Nov,3,97,6427.228,4.0,1606.807,EL MOUROUJ 3
3,3,155830,18-Jun,3,53,5746.904,4.0,1436.726,EL MOUROUJ 3
2,1,155830,19-Jan,3,53,15063.72,12.0,1255.31,EL MOUROUJ 3
2,2,155830,19-May,3,97,390976.56,234.0,1670.84,EL MOUROUJ 3
3,2,155830,19-Sep,3,97,25031.085,15.0,1668.739,EL MOUROUJ 3
3,2,155830,18-Jan,3,53,29026.88,20.0,1451.344,EL MOUROUJ 3
2,2,155830,19-Feb,3,97,282531.744,176.0,1605.294,EL MOUROUJ 3
2,2,155830,19-Jan,3,97,183003.516,114.0,1605.294,EL MOUROUJ 3
1,3,155830,18-Aug,3,97,37354.876,26.0,1436.7259999999999,EL MOUROUJ 3
3,3,155830,18-Jun,3,97,24424.342,17.0,1436.726,EL MOUROUJ 3
3,3,155830,19-Feb,3,97,87805.57,59.0,1488.23,EL MOUROUJ 3
2,2,155830,19-Sep,3,97,308716.715,185.0,1668.739,EL MOUROUJ 3
3,1,155830,19-Jul,3,97,26619.46,20.0,1330.973,EL MOUROUJ 3
1,3,155830,18-Feb,3,97,31826.544,24.0,1326.106,EL MOUROUJ 3
3,3,155830,18-Mar,3,53,31826.544,24.0,1326.106,EL MOUROUJ 3
3,3,155830,18-Dec,3,97,75949.113,51.0,1489.198294117647,EL MOUROUJ 3
2,2,155830,18-Dec,3,53,110830.345,69.0,1606.236884057971,EL MOUROUJ 3
2,1,155830,19-Jan,3,97,114233.21,91.0,1255.3100000000002,EL MOUROUJ 3
2,1,155830,18-Jul,3,53,79765.577,67.0,1190.5310000000002,EL MOUROUJ 3
2,2,155830,18-Sep,3,97,55330.667,35.0,1580.8762,EL MOUROUJ 3
2,1,155830,18-Oct,3,97,36450.187,29.0,1256.903,EL MOUROUJ 3
2,6,155830,19-Oct,3,53,6220.176,4.0,1555.044,EL MOUROUJ 3
2,1,155830,18-Jan,3,53,125269.676,116.0,1079.911,EL MOUROUJ 3
3,3,155830,18-Apr,3,97,68517.7,50.0,1370.354,EL MOUROUJ 3
2,2,155830,18-Apr,3,97,171736.515,115.0,1493.361,EL MOUROUJ 3
2,1,155830,18-Apr,3,97,60704.586,54.0,1124.159,EL MOUROUJ 3
2,1,155830,18-Apr,3,53,43842.201,39.0,1124.159,EL MOUROUJ 3
2,2,155830,18-Dec,3,97,195980.525,122.0,1606.3977459016394,EL MOUROUJ 3
2,2,155830,18-Jun,3,97,52267.635,35.0,1493.361,EL MOUROUJ 3
2,1,155830,19-Aug,3,53,25288.487,19.0,1330.973,EL MOUROUJ 3
2,2,155830,19-Oct,3,53,20024.868,12.0,1668.7389999999998,EL MOUROUJ 3
1,3,155830,18-Oct,3,97,22347.345,15.0,1489.823,EL MOUROUJ 3
1,3,155830,18-Dec,3,97,8938.938,6.0,1489.823,EL MOUROUJ 3
2,6,155830,19-Oct,3,97,88637.508,57.0,1555.044,EL MOUROUJ 3
2,2,155830,19-Jul,3,97,435816.11,261.0,1669.7935249042146,EL MOUROUJ 3
2,2,155830,18-Feb,3,53,274304.016,189.0,1451.344,EL MOUROUJ 3
2,1,155830,18-May,3,53,75318.653,67.0,1124.159,EL MOUROUJ 3
