NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
2,1,154000,18-Mar,4,35,128509.409,119.0,1079.911,EL MRAZKA
3,3,154000,18-Feb,4,35,23869.908,18.0,1326.106,EL MRAZKA
3,1,154000,18-Apr,4,35,4496.636,4.0,1124.159,EL MRAZKA
3,3,154000,18-Dec,4,35,75957.078,51.0,1489.3544705882352,EL MRAZKA
2,1,154000,19-Feb,4,35,112977.9,90.0,1255.31,EL MRAZKA
2,2,154000,19-Feb,4,35,155713.518,97.0,1605.294,EL MRAZKA
2,1,154000,18-Sep,4,35,111466.135,89.0,1252.4284831460673,EL MRAZKA
3,2,154000,18-Sep,4,35,9640.842,6.0,1606.807,EL MRAZKA
2,1,154000,18-Nov,4,35,125690.3,100.0,1256.903,EL MRAZKA
3,1,154000,18-Dec,4,35,11312.127,9.0,1256.903,EL MRAZKA
3,5,154000,19-Feb,4,35,13051.328,8.0,1631.416,EL MRAZKA
3,6,154000,19-Mar,4,35,84829.11,57.0,1488.23,EL MRAZKA
2,4,154000,19-Jun,4,35,10941.678,6.0,1823.613,EL MRAZKA
1,6,154000,19-Jul,4,35,10900.799,7.0,1557.257,EL MRAZKA
3,1,154000,19-Jul,4,35,3992.919,3.0,1330.973,EL MRAZKA
1,3,154000,18-Feb,4,35,46413.71,35.0,1326.106,EL MRAZKA
1,3,154000,18-Apr,4,35,8222.124,6.0,1370.354,EL MRAZKA
2,1,154000,18-May,4,35,136023.239,121.0,1124.159,EL MRAZKA
2,2,154000,18-Dec,4,35,202391.11,126.0,1606.2786507936507,EL MRAZKA
1,3,154000,18-Dec,4,35,14898.23,10.0,1489.8229999999999,EL MRAZKA
3,3,154000,19-Jan,4,35,59529.2,40.0,1488.23,EL MRAZKA
2,4,154000,18-Jul,4,35,6796.976,4.0,1699.244,EL MRAZKA
1,1,154000,18-Aug,4,35,32144.337,27.0,1190.531,EL MRAZKA
3,2,154000,18-Nov,4,35,16068.07,10.0,1606.807,EL MRAZKA
1,2,154000,19-Jun,4,35,85212.84,51.0,1670.84,EL MRAZKA
3,5,154000,19-Apr,4,35,6837.168,4.0,1709.292,EL MRAZKA
2,5,154000,19-Oct,4,35,6828.32,4.0,1707.08,EL MRAZKA
2,6,154000,19-Nov,4,35,62201.76,40.0,1555.044,EL MRAZKA
1,1,154000,18-May,4,35,7869.113,7.0,1124.159,EL MRAZKA
1,2,154000,18-Dec,4,35,54631.438,34.0,1606.807,EL MRAZKA
3,1,154000,19-Jan,4,35,7531.86,6.0,1255.31,EL MRAZKA
3,3,154000,18-Aug,4,35,90513.738,63.0,1436.7259999999999,EL MRAZKA
3,3,154000,18-Jun,4,35,84520.802,61.0,1385.5869180327868,EL MRAZKA
2,2,154000,18-Nov,4,35,200850.875,125.0,1606.807,EL MRAZKA
1,2,154000,19-Feb,4,35,33711.174,21.0,1605.2939999999999,EL MRAZKA
