NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
1,3,154360,18-Feb,5,34,14587.166,11.0,1326.106,ENNADHOUR
2,2,154360,18-Dec,5,34,46580.76,29.0,1606.2331034482759,ENNADHOUR
3,2,154360,18-Aug,5,34,9338.316,6.0,1556.3860000000002,ENNADHOUR
2,2,154360,18-Jun,5,34,16426.971,11.0,1493.361,ENNADHOUR
1,2,154360,19-Jan,5,34,17658.234,11.0,1605.294,ENNADHOUR
2,2,154360,19-Feb,5,34,48158.82,30.0,1605.294,ENNADHOUR
2,2,154360,19-Jun,5,34,55137.72,33.0,1670.8400000000001,ENNADHOUR
3,2,154360,19-Jul,5,34,8343.695,5.0,1668.739,ENNADHOUR
1,2,154360,18-Mar,5,34,13062.096,9.0,1451.344,ENNADHOUR
1,2,154360,18-May,5,34,13440.249,9.0,1493.3609999999999,ENNADHOUR
3,3,154360,19-Feb,5,34,26788.14,18.0,1488.23,ENNADHOUR
3,3,154360,18-Aug,5,34,10057.082,7.0,1436.726,ENNADHOUR
1,1,154360,18-Jun,5,34,188547.677,163.0,1156.7342147239262,ENNADHOUR
3,3,154360,18-Jun,5,34,8222.124,6.0,1370.354,ENNADHOUR
3,3,154360,19-Jan,5,34,16370.53,11.0,1488.23,ENNADHOUR
1,1,154360,19-Jun,5,34,33329.65,25.0,1333.1860000000001,ENNADHOUR
3,3,154360,18-Jul,5,34,18677.438,13.0,1436.7259999999999,ENNADHOUR
1,3,154360,18-Oct,5,34,17877.876,12.0,1489.823,ENNADHOUR
2,1,154360,18-Jun,5,34,29228.134,26.0,1124.1589999999999,ENNADHOUR
2,2,154360,19-Apr,5,34,50125.2,30.0,1670.84,ENNADHOUR
2,2,154360,19-Nov,5,34,45055.953,27.0,1668.739,ENNADHOUR
2,2,154360,18-Jan,5,34,15964.784,11.0,1451.344,ENNADHOUR
3,3,154360,18-Feb,5,34,7956.636,6.0,1326.106,ENNADHOUR
2,2,154360,18-Jul,5,34,12451.088,8.0,1556.386,ENNADHOUR
1,2,154360,18-Aug,5,34,56029.896,36.0,1556.386,ENNADHOUR
1,3,154360,18-Jun,5,34,5746.904,4.0,1436.726,ENNADHOUR
1,3,154360,18-Sep,5,34,5959.292,4.0,1489.823,ENNADHOUR
2,2,154360,19-Oct,5,34,56737.126,34.0,1668.7389999999998,ENNADHOUR
2,3,154360,19-Apr,5,34,23358.855,15.0,1557.257,ENNADHOUR
1,1,154360,19-Mar,5,34,33893.37,27.0,1255.3100000000002,ENNADHOUR
2,2,154360,19-Sep,5,34,48393.431,29.0,1668.7389999999998,ENNADHOUR
2,2,154360,19-Jul,5,34,36739.571,22.0,1669.9805000000001,ENNADHOUR
1,1,154360,18-May,5,34,61828.745,55.0,1124.159,ENNADHOUR
3,3,154360,18-Dec,5,34,23826.017,16.0,1489.1260625,ENNADHOUR
2,1,154360,19-Jan,5,34,139339.41,111.0,1255.31,ENNADHOUR
2,2,154360,19-Jan,5,34,25684.704,16.0,1605.294,ENNADHOUR
1,1,154360,18-Aug,5,34,114290.976,96.0,1190.531,ENNADHOUR
3,3,154360,18-Sep,5,34,20857.522,14.0,1489.823,ENNADHOUR
3,1,154360,18-Dec,5,34,40220.896,32.0,1256.903,ENNADHOUR
2,6,154360,19-Sep,5,34,23325.66,15.0,1555.044,ENNADHOUR
2,1,154360,19-Aug,5,34,29281.406,22.0,1330.973,ENNADHOUR
1,1,154360,18-Jan,5,34,114470.566,106.0,1079.911,ENNADHOUR
2,1,154360,18-Feb,5,34,30237.508,28.0,1079.911,ENNADHOUR
3,3,154360,18-Apr,5,34,17814.602,13.0,1370.3539999999998,ENNADHOUR
1,3,154360,18-Aug,5,34,4310.178,3.0,1436.7259999999999,ENNADHOUR
3,2,154360,18-Sep,5,34,6427.228,4.0,1606.807,ENNADHOUR
3,1,154360,18-Nov,5,34,20110.448,16.0,1256.903,ENNADHOUR
2,1,154360,19-Jun,5,34,191978.784,144.0,1333.1860000000001,ENNADHOUR
2,3,154360,19-May,5,34,15572.57,10.0,1557.257,ENNADHOUR
1,2,154360,19-Jun,5,34,6683.36,4.0,1670.84,ENNADHOUR
2,6,154360,19-Jul,5,34,23347.79,15.0,1556.5193333333334,ENNADHOUR
2,2,154360,19-Aug,5,34,8343.695,5.0,1668.739,ENNADHOUR
2,1,154360,18-Jan,5,34,80993.325,75.0,1079.911,ENNADHOUR
3,2,154360,18-Jan,5,34,5805.376,4.0,1451.344,ENNADHOUR
2,1,154360,18-Feb,5,34,78833.503,73.0,1079.911,ENNADHOUR
2,1,154360,18-May,5,34,121409.172,108.0,1124.159,ENNADHOUR
3,3,154360,18-Jul,5,34,10057.082,7.0,1436.726,ENNADHOUR
2,2,154360,18-Aug,5,34,9338.316,6.0,1556.3860000000002,ENNADHOUR
1,2,154360,19-May,5,34,16708.4,10.0,1670.8400000000001,ENNADHOUR
2,1,154360,19-Mar,5,34,117999.14,94.0,1255.31,ENNADHOUR
2,6,154360,19-Nov,5,34,24880.704,16.0,1555.044,ENNADHOUR
2,2,154360,18-Feb,5,34,13062.096,9.0,1451.344,ENNADHOUR
2,2,154360,18-May,5,34,29867.22,20.0,1493.361,ENNADHOUR
1,1,154360,18-Apr,5,34,87684.402,78.0,1124.159,ENNADHOUR
2,2,154360,18-Apr,5,34,23893.776,16.0,1493.361,ENNADHOUR
2,1,154360,18-Jul,5,34,66669.736,56.0,1190.5310000000002,ENNADHOUR
2,1,154360,19-Apr,5,34,195978.342,147.0,1333.186,ENNADHOUR
2,2,154360,19-Aug,5,34,56737.126,34.0,1668.7389999999998,ENNADHOUR
2,6,154360,19-Oct,5,34,23325.66,15.0,1555.044,ENNADHOUR
2,1,154360,19-Aug,5,34,190329.139,143.0,1330.973,ENNADHOUR
1,2,154360,18-Jan,5,34,15964.784,11.0,1451.344,ENNADHOUR
3,3,154360,18-Jan,5,34,13261.06,10.0,1326.106,ENNADHOUR
3,1,154360,18-Feb,5,34,3239.733,3.0,1079.911,ENNADHOUR
2,1,154360,18-Dec,5,34,154557.651,123.0,1256.566268292683,ENNADHOUR
1,1,154360,18-Jul,5,34,100004.604,84.0,1190.5310000000002,ENNADHOUR
1,2,154360,18-Jul,5,34,17120.246,11.0,1556.386,ENNADHOUR
2,1,154360,18-Nov,5,34,189792.353,151.0,1256.903,ENNADHOUR
3,3,154360,18-Nov,5,34,16388.053,11.0,1489.823,ENNADHOUR
3,1,154360,19-May,5,34,15998.232,12.0,1333.186,ENNADHOUR
3,1,154360,19-Jul,5,34,35936.271,27.0,1330.973,ENNADHOUR
1,1,154360,18-Mar,5,34,59395.105,55.0,1079.911,ENNADHOUR
3,1,154360,18-Aug,5,34,30953.806,26.0,1190.531,ENNADHOUR
1,6,154360,19-May,5,34,4671.771,3.0,1557.2569999999998,ENNADHOUR
2,2,154360,18-Feb,5,34,5805.376,4.0,1451.344,ENNADHOUR
2,2,154360,18-Mar,5,34,33380.912,23.0,1451.3439999999998,ENNADHOUR
2,1,154360,18-Apr,5,34,123657.49,110.0,1124.159,ENNADHOUR
2,1,154360,18-Aug,5,34,69050.798,58.0,1190.531,ENNADHOUR
3,1,154360,18-Oct,5,34,69129.665,55.0,1256.9029999999998,ENNADHOUR
1,2,154360,18-Oct,5,34,25708.912,16.0,1606.807,ENNADHOUR
3,2,154360,18-Nov,5,34,9640.842,6.0,1606.807,ENNADHOUR
2,6,154360,19-Aug,5,34,21770.616,14.0,1555.044,ENNADHOUR
2,2,154360,19-Dec,5,34,53399.648,32.0,1668.739,ENNADHOUR
3,3,154360,18-May,5,34,19184.956,14.0,1370.3539999999998,ENNADHOUR
1,2,154360,18-Jun,5,34,35040.578,23.0,1523.5033913043478,ENNADHOUR
3,2,154360,18-Oct,5,34,12854.456,8.0,1606.807,ENNADHOUR
