NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
3,3,153990,18-Dec,2,13,199575.748,134.0,1489.3712537313431,ENNASR ARIANA
2,1,153990,18-Nov,2,13,120662.688,96.0,1256.903,ENNASR ARIANA
2,2,153990,18-Jun,2,13,1108227.774,734.0,1509.8471035422342,ENNASR ARIANA
3,4,153990,19-Feb,2,13,33243.616,19.0,1749.664,ENNASR ARIANA
1,2,153990,19-Sep,2,13,133499.12,80.0,1668.739,ENNASR ARIANA
2,2,153990,19-Mar,2,13,744889.772,463.0,1608.8332008639309,ENNASR ARIANA
2,4,153990,19-Mar,2,13,57960.759,33.0,1756.3866363636364,ENNASR ARIANA
2,6,153990,19-May,2,13,20244.341,13.0,1557.257,ENNASR ARIANA
2,1,153990,19-Nov,2,13,138421.192,104.0,1330.9730000000002,ENNASR ARIANA
2,1,153990,19-Dec,2,13,138421.192,104.0,1330.9730000000002,ENNASR ARIANA
3,3,153990,18-Jan,2,13,169741.568,128.0,1326.106,ENNASR ARIANA
2,1,153990,18-Jan,2,13,97191.99,90.0,1079.911,ENNASR ARIANA
2,1,153990,18-Feb,2,13,79913.414,74.0,1079.911,ENNASR ARIANA
3,3,153990,18-Feb,2,13,49065.922,37.0,1326.106,ENNASR ARIANA
1,3,153990,18-Feb,2,13,92827.42,70.0,1326.106,ENNASR ARIANA
1,1,153990,18-May,2,13,13489.908,12.0,1124.1589999999999,ENNASR ARIANA
1,2,153990,18-Dec,2,13,171928.349,107.0,1606.8069999999998,ENNASR ARIANA
2,4,153990,19-Jan,2,13,43741.6,25.0,1749.664,ENNASR ARIANA
2,2,153990,18-Nov,2,13,981759.077,611.0,1606.807,ENNASR ARIANA
1,2,153990,18-Aug,2,13,104277.862,67.0,1556.386,ENNASR ARIANA
2,1,153990,19-May,2,13,127985.856,96.0,1333.186,ENNASR ARIANA
2,1,153990,19-Sep,2,13,151730.922,114.0,1330.973,ENNASR ARIANA
2,2,153990,19-Nov,2,13,1169786.039,701.0,1668.7390000000003,ENNASR ARIANA
2,2,153990,18-Feb,2,13,251082.512,173.0,1451.3439999999998,ENNASR ARIANA
3,3,153990,18-Aug,2,13,175280.572,122.0,1436.7259999999999,ENNASR ARIANA
1,3,153990,18-May,2,13,8222.124,6.0,1370.354,ENNASR ARIANA
1,1,153990,19-Jan,2,13,11297.79,9.0,1255.3100000000002,ENNASR ARIANA
2,4,153990,18-Sep,2,13,50488.156,29.0,1740.9708965517243,ENNASR ARIANA
2,2,153990,18-Oct,2,13,1160114.654,722.0,1606.8070000000002,ENNASR ARIANA
3,4,153990,18-Sep,2,13,10497.984,6.0,1749.664,ENNASR ARIANA
1,2,153990,19-Feb,2,13,65817.054,41.0,1605.294,ENNASR ARIANA
2,4,153990,19-Dec,2,13,56466.872,31.0,1821.5120000000002,ENNASR ARIANA
2,1,153990,18-Feb,2,13,28077.686,26.0,1079.911,ENNASR ARIANA
2,4,153990,18-Jul,2,13,16992.44,10.0,1699.244,ENNASR ARIANA
1,3,153990,18-Aug,2,13,12930.534,9.0,1436.7259999999999,ENNASR ARIANA
3,3,153990,18-Sep,2,13,213631.863,144.0,1483.5546041666666,ENNASR ARIANA
3,4,153990,19-Jan,2,13,3499.328,2.0,1749.664,ENNASR ARIANA
2,6,153990,19-Mar,2,13,5952.92,4.0,1488.23,ENNASR ARIANA
2,6,153990,19-Jul,2,13,216301.6,139.0,1556.126618705036,ENNASR ARIANA
2,6,153990,19-Nov,2,13,104187.948,67.0,1555.044,ENNASR ARIANA
3,6,153990,19-Oct,2,13,6220.176,4.0,1555.044,ENNASR ARIANA
1,1,153990,18-Apr,2,13,7869.113,7.0,1124.159,ENNASR ARIANA
1,1,153990,18-Dec,2,13,15082.836,12.0,1256.903,ENNASR ARIANA
2,4,153990,19-May,2,13,52884.777,29.0,1823.613,ENNASR ARIANA
2,2,153990,19-Feb,2,13,990466.398,617.0,1605.294,ENNASR ARIANA
2,4,153990,18-Aug,2,13,50977.32,30.0,1699.244,ENNASR ARIANA
2,4,153990,18-Nov,2,13,55989.248,32.0,1749.664,ENNASR ARIANA
3,1,153990,18-Aug,2,13,7143.186,6.0,1190.531,ENNASR ARIANA
3,2,153990,18-Aug,2,13,122954.494,79.0,1556.386,ENNASR ARIANA
2,2,153990,19-Apr,2,13,1149537.92,688.0,1670.84,ENNASR ARIANA
2,1,153990,19-Aug,2,13,111801.732,84.0,1330.973,ENNASR ARIANA
2,4,153990,19-May,2,13,7294.452,4.0,1823.613,ENNASR ARIANA
2,6,153990,19-Sep,2,13,219261.204,141.0,1555.044,ENNASR ARIANA
2,1,153990,19-Jul,2,13,138527.416,104.0,1331.9943846153847,ENNASR ARIANA
1,6,153990,19-Mar,2,13,5952.92,4.0,1488.23,ENNASR ARIANA
3,1,153990,19-Aug,2,13,7985.838,6.0,1330.973,ENNASR ARIANA
3,3,153990,19-Feb,2,13,184540.52,124.0,1488.23,ENNASR ARIANA
2,1,153990,19-Jun,2,13,122653.112,92.0,1333.186,ENNASR ARIANA
2,2,153990,19-Dec,2,13,1196485.863,717.0,1668.7389999999998,ENNASR ARIANA
2,6,153990,19-Dec,2,13,209930.94,135.0,1555.044,ENNASR ARIANA
2,4,153990,19-Nov,2,13,51002.336,28.0,1821.5120000000002,ENNASR ARIANA
2,2,153990,18-Mar,2,13,1117534.88,770.0,1451.3439999999998,ENNASR ARIANA
3,2,153990,18-Jan,2,13,217701.6,150.0,1451.344,ENNASR ARIANA
2,2,153990,18-Feb,2,13,727123.344,501.0,1451.344,ENNASR ARIANA
2,2,153990,18-May,2,13,1158848.136,776.0,1493.3609999999999,ENNASR ARIANA
2,1,153990,18-May,2,13,127029.967,113.0,1124.159,ENNASR ARIANA
