NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
3,2,154260,18-Jan,1,47,89983.328,62.0,1451.3439999999998,ENTREE SUD
2,1,154260,18-May,1,47,245066.662,218.0,1124.159,ENTREE SUD
1,2,154260,19-Jan,1,47,130028.814,81.0,1605.2939999999999,ENTREE SUD
2,2,154260,19-Feb,1,47,470351.142,293.0,1605.2939999999999,ENTREE SUD
1,2,154260,18-Aug,1,47,99608.704,64.0,1556.386,ENTREE SUD
2,1,154260,18-Oct,1,47,307941.235,245.0,1256.903,ENTREE SUD
2,1,154260,19-Oct,1,47,315440.601,237.0,1330.9730000000002,ENTREE SUD
2,2,154260,19-Sep,1,47,554021.348,332.0,1668.739,ENTREE SUD
2,4,154260,19-Jun,1,47,18236.13,10.0,1823.613,ENTREE SUD
2,6,154260,19-May,1,47,21801.598,14.0,1557.257,ENTREE SUD
2,6,154260,19-Aug,1,47,242586.864,156.0,1555.044,ENTREE SUD
2,6,154260,19-Jul,1,47,211645.32,136.0,1556.2155882352943,ENTREE SUD
3,1,154260,19-Jul,1,47,13309.73,10.0,1330.973,ENTREE SUD
1,1,154260,18-Mar,1,47,24837.953,23.0,1079.911,ENTREE SUD
1,3,154260,18-May,1,47,10962.832,8.0,1370.354,ENTREE SUD
2,2,154260,18-Dec,1,47,547732.062,341.0,1606.2523812316717,ENTREE SUD
1,1,154260,19-Jan,1,47,33893.37,27.0,1255.3100000000002,ENTREE SUD
2,2,154260,18-Oct,1,47,634688.765,395.0,1606.807,ENTREE SUD
3,1,154260,18-Sep,1,47,22624.254,18.0,1256.903,ENTREE SUD
3,3,154260,18-Nov,1,47,174309.291,117.0,1489.8229999999999,ENTREE SUD
2,2,154260,19-Oct,1,47,699201.641,419.0,1668.7389999999998,ENTREE SUD
1,1,154260,19-Mar,1,47,58999.57,47.0,1255.31,ENTREE SUD
2,1,154260,19-Jul,1,47,310391.121,233.0,1332.1507339055793,ENTREE SUD
3,2,154260,19-Aug,1,47,106799.296,64.0,1668.739,ENTREE SUD
2,1,154260,19-Dec,1,47,292814.06,220.0,1330.973,ENTREE SUD
3,3,154260,18-Aug,1,47,181027.476,126.0,1436.7259999999999,ENTREE SUD
3,1,154260,18-May,1,47,23607.339,21.0,1124.159,ENTREE SUD
3,2,154260,18-Aug,1,47,80932.072,52.0,1556.386,ENTREE SUD
2,4,154260,18-Dec,1,47,5248.992,3.0,1749.664,ENTREE SUD
2,1,154260,19-May,1,47,241306.666,181.0,1333.186,ENTREE SUD
2,2,154260,19-Apr,1,47,584794.0,350.0,1670.84,ENTREE SUD
2,4,154260,19-Aug,1,47,20036.632,11.0,1821.5120000000002,ENTREE SUD
3,3,154260,18-Feb,1,47,68957.512,52.0,1326.106,ENTREE SUD
3,3,154260,18-Mar,1,47,171067.674,129.0,1326.106,ENTREE SUD
2,2,154260,19-Jan,1,47,443061.144,276.0,1605.2939999999999,ENTREE SUD
3,3,154260,18-Sep,1,47,184419.47,124.0,1487.2537903225807,ENTREE SUD
3,3,154260,18-Oct,1,47,140043.362,94.0,1489.8229999999999,ENTREE SUD
3,1,154260,18-Nov,1,47,22624.254,18.0,1256.903,ENTREE SUD
2,4,154260,19-Oct,1,47,14572.096,8.0,1821.512,ENTREE SUD
3,6,154260,19-Mar,1,47,157752.38,106.0,1488.23,ENTREE SUD
