NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
4,3,155730,18-Aug,13,19,4310.178,3.0,1436.7259999999999,ESSAIDA
1,3,155730,18-Sep,13,51,4469.469,3.0,1489.823,ESSAIDA
1,6,155730,19-Jun,13,51,12458.056,8.0,1557.257,ESSAIDA
1,6,155730,19-Dec,13,51,10885.308,7.0,1555.044,ESSAIDA
1,1,155730,18-Jan,13,51,168466.116,156.0,1079.911,ESSAIDA
1,3,155730,18-Dec,13,51,11915.398,8.0,1489.42475,ESSAIDA
1,3,155730,18-Jul,13,51,8620.356,6.0,1436.7259999999999,ESSAIDA
2,1,155730,19-Jan,13,19,21340.27,17.0,1255.31,ESSAIDA
1,2,155730,19-Jun,13,51,20050.08,12.0,1670.8400000000001,ESSAIDA
1,2,155730,19-Apr,13,51,18379.24,11.0,1670.8400000000001,ESSAIDA
1,6,155730,19-Apr,13,51,12458.056,8.0,1557.257,ESSAIDA
1,1,155730,19-Mar,13,51,72807.98,58.0,1255.31,ESSAIDA
2,1,155730,18-Dec,13,19,38963.993,31.0,1256.903,ESSAIDA
1,1,155730,18-Aug,13,51,105957.259,89.0,1190.531,ESSAIDA
1,1,155730,19-Jan,13,51,70297.36,56.0,1255.31,ESSAIDA
1,1,155730,19-Dec,13,51,178350.382,134.0,1330.9730000000002,ESSAIDA
1,6,155730,19-May,13,51,7786.285,5.0,1557.257,ESSAIDA
1,2,155730,19-Mar,13,51,14447.646,9.0,1605.294,ESSAIDA
1,6,155730,19-Mar,13,51,8929.38,6.0,1488.2299999999998,ESSAIDA
1,1,155730,19-Jun,13,51,31996.464,24.0,1333.186,ESSAIDA
1,6,155730,19-Oct,13,51,7775.22,5.0,1555.044,ESSAIDA
1,1,155730,19-May,13,51,105321.694,79.0,1333.1860000000001,ESSAIDA
1,6,155730,19-Nov,13,51,9330.264,6.0,1555.0439999999999,ESSAIDA
1,2,155730,19-Dec,13,51,21693.607,13.0,1668.739,ESSAIDA
1,2,155730,18-Jul,13,51,15563.86,10.0,1556.386,ESSAIDA
2,2,155730,18-Nov,13,19,3213.614,2.0,1606.807,ESSAIDA
1,6,155730,19-Jul,13,51,14004.248,9.0,1556.0275555555554,ESSAIDA
1,2,155730,18-May,13,51,10453.527,7.0,1493.361,ESSAIDA
1,1,155730,18-Jun,13,51,141648.199,125.0,1133.185592,ESSAIDA
1,3,155730,18-Oct,13,51,7449.115,5.0,1489.8229999999999,ESSAIDA
1,2,155730,19-Jul,13,51,23377.053,14.0,1669.7895,ESSAIDA
1,1,155730,18-Mar,13,51,158746.917,147.0,1079.9109999999998,ESSAIDA
1,3,155730,18-Apr,13,51,6851.77,5.0,1370.354,ESSAIDA
1,1,155730,18-Jul,13,51,86908.763,73.0,1190.5310000000002,ESSAIDA
1,1,155730,18-Nov,13,51,72900.374,58.0,1256.903,ESSAIDA
1,3,155730,19-Jan,13,51,10417.61,7.0,1488.23,ESSAIDA
1,3,155730,18-Mar,13,51,6630.53,5.0,1326.106,ESSAIDA
1,2,155730,18-Aug,13,51,24902.176,16.0,1556.386,ESSAIDA
1,3,155730,18-Mar,13,19,2652.212,2.0,1326.106,ESSAIDA
1,3,155730,18-May,13,51,10962.832,8.0,1370.354,ESSAIDA
1,2,155730,19-Feb,13,51,16052.94,10.0,1605.294,ESSAIDA
1,1,155730,19-Jul,13,51,83939.819,63.0,1332.3780793650794,ESSAIDA
1,2,155730,18-Mar,13,51,8708.064,6.0,1451.344,ESSAIDA
