NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
2,2,154420,18-Mar,1,83,216250.256,149.0,1451.344,EZZOUHOUR
1,3,154420,18-Apr,1,83,6851.77,5.0,1370.354,EZZOUHOUR
3,1,154420,19-Jun,1,83,14665.046,11.0,1333.186,EZZOUHOUR
2,6,154420,19-May,1,83,7786.285,5.0,1557.257,EZZOUHOUR
1,3,154420,19-Jan,1,83,4464.69,3.0,1488.2299999999998,EZZOUHOUR
1,2,154420,19-Jan,1,83,56185.29,35.0,1605.294,EZZOUHOUR
2,2,154420,18-Aug,1,83,144743.898,93.0,1556.386,EZZOUHOUR
2,1,154420,18-Nov,1,83,197333.771,157.0,1256.903,EZZOUHOUR
2,2,154420,19-May,1,83,312447.08,187.0,1670.8400000000001,EZZOUHOUR
2,1,154420,19-Sep,1,83,256877.789,193.0,1330.973,EZZOUHOUR
2,1,154420,18-Feb,1,83,155507.184,144.0,1079.911,EZZOUHOUR
2,2,154420,18-Jan,1,83,164001.872,113.0,1451.344,EZZOUHOUR
2,1,154420,18-May,1,83,157382.26,140.0,1124.159,EZZOUHOUR
1,2,154420,19-Feb,1,83,43342.938,27.0,1605.294,EZZOUHOUR
2,1,154420,19-Mar,1,83,179509.33,143.0,1255.31,EZZOUHOUR
2,2,154420,19-Sep,1,83,245304.633,147.0,1668.739,EZZOUHOUR
3,3,154420,18-Jan,1,83,62326.982,47.0,1326.106,EZZOUHOUR
2,1,154420,18-Jan,1,83,170625.938,158.0,1079.911,EZZOUHOUR
2,2,154420,19-Jan,1,83,154108.224,96.0,1605.2939999999999,EZZOUHOUR
2,1,154420,18-Jul,1,83,210723.987,177.0,1190.531,EZZOUHOUR
3,6,154420,19-Nov,1,83,37321.056,24.0,1555.0439999999999,EZZOUHOUR
2,2,154420,19-Nov,1,83,317060.41,190.0,1668.7389999999998,EZZOUHOUR
3,3,154420,18-Jul,1,83,93387.19,65.0,1436.726,EZZOUHOUR
3,2,154420,19-Feb,1,83,25684.704,16.0,1605.294,EZZOUHOUR
2,1,154420,19-Oct,1,83,248891.951,187.0,1330.973,EZZOUHOUR
2,2,154420,19-Aug,1,83,288691.847,173.0,1668.739,EZZOUHOUR
2,2,154420,19-Dec,1,83,308716.715,185.0,1668.739,EZZOUHOUR
2,1,154420,18-Aug,1,83,172626.995,145.0,1190.531,EZZOUHOUR
2,1,154420,18-Jun,1,83,164932.008,144.0,1145.3611666666666,EZZOUHOUR
2,1,154420,18-Sep,1,83,177551.018,142.0,1250.359281690141,EZZOUHOUR
3,3,154420,18-Oct,1,83,44694.69,30.0,1489.823,EZZOUHOUR
3,3,154420,18-Nov,1,83,110246.902,74.0,1489.823,EZZOUHOUR
2,1,154420,19-May,1,83,207977.016,156.0,1333.186,EZZOUHOUR
2,3,154420,19-May,1,83,110565.247,71.0,1557.257,EZZOUHOUR
3,1,154420,19-May,1,83,57326.998,43.0,1333.186,EZZOUHOUR
2,2,154420,19-Mar,1,83,146081.754,91.0,1605.2939999999999,EZZOUHOUR
2,6,154420,19-Sep,1,83,113518.212,73.0,1555.044,EZZOUHOUR
3,6,154420,19-Oct,1,83,17105.484,11.0,1555.044,EZZOUHOUR
3,2,154420,18-Jan,1,83,46443.008,32.0,1451.344,EZZOUHOUR
3,3,154420,18-Dec,1,83,78935.131,53.0,1489.3420943396225,EZZOUHOUR
3,3,154420,19-Jan,1,83,80364.42,54.0,1488.23,EZZOUHOUR
3,1,154420,19-Jan,1,83,20084.96,16.0,1255.31,EZZOUHOUR
2,3,154420,19-Apr,1,83,102778.962,66.0,1557.257,EZZOUHOUR
3,6,154420,19-Mar,1,83,101199.64,68.0,1488.23,EZZOUHOUR
2,6,154420,19-Aug,1,83,138398.916,89.0,1555.0439999999999,EZZOUHOUR
2,2,154420,18-Feb,1,83,201736.816,139.0,1451.344,EZZOUHOUR
2,1,154420,18-Dec,1,83,173384.115,138.0,1256.4066304347825,EZZOUHOUR
1,2,154420,18-Dec,1,83,38563.368,24.0,1606.807,EZZOUHOUR
2,1,154420,19-Feb,1,83,195828.36,156.0,1255.31,EZZOUHOUR
2,2,154420,19-Apr,1,83,272346.92,163.0,1670.84,EZZOUHOUR
1,1,154420,18-Oct,1,83,7541.418,6.0,1256.903,EZZOUHOUR
3,2,154420,18-Nov,1,83,22495.298,14.0,1606.807,EZZOUHOUR
3,3,154420,19-Feb,1,83,93758.49,63.0,1488.23,EZZOUHOUR
1,2,154420,19-Sep,1,83,25031.085,15.0,1668.739,EZZOUHOUR
2,2,154420,18-May,1,83,209070.54,140.0,1493.361,EZZOUHOUR
2,2,154420,18-Jul,1,83,275480.322,177.0,1556.386,EZZOUHOUR
2,1,154420,19-Nov,1,83,248891.951,187.0,1330.973,EZZOUHOUR
2,1,154420,19-Dec,1,83,246230.005,185.0,1330.973,EZZOUHOUR
2,2,154420,19-Feb,1,83,170161.164,106.0,1605.2939999999999,EZZOUHOUR
3,2,154420,18-Aug,1,83,42022.422,27.0,1556.386,EZZOUHOUR
1,2,154420,18-Aug,1,83,62255.44,40.0,1556.386,EZZOUHOUR
1,1,154420,18-Aug,1,83,16667.434,14.0,1190.5310000000002,EZZOUHOUR
2,1,154420,19-Jul,1,83,277090.24,208.0,1332.1646153846154,EZZOUHOUR
3,1,154420,19-Aug,1,83,18633.622,14.0,1330.973,EZZOUHOUR
2,2,154420,18-Apr,1,83,240431.121,161.0,1493.361,EZZOUHOUR
3,3,154420,18-May,1,83,72628.762,53.0,1370.354,EZZOUHOUR
2,1,154420,19-Jan,1,83,115488.52,92.0,1255.31,EZZOUHOUR
3,3,154420,18-Aug,1,83,68962.848,48.0,1436.7259999999999,EZZOUHOUR
1,3,154420,18-Aug,1,83,24424.342,17.0,1436.726,EZZOUHOUR
3,3,154420,18-Sep,1,83,75662.391,51.0,1483.5762941176472,EZZOUHOUR
2,2,154420,18-Jun,1,83,257022.62,170.0,1511.8977647058823,EZZOUHOUR
2,1,154420,18-Oct,1,83,148314.554,118.0,1256.903,EZZOUHOUR
1,1,154420,18-Jun,1,83,21359.021,19.0,1124.159,EZZOUHOUR
1,1,154420,19-Mar,1,83,43935.85,35.0,1255.31,EZZOUHOUR
2,2,154420,19-Jul,1,83,322276.727,193.0,1669.8276010362695,EZZOUHOUR
2,6,154420,19-Nov,1,83,71532.024,46.0,1555.044,EZZOUHOUR
2,1,154420,18-Mar,1,83,173865.671,161.0,1079.911,EZZOUHOUR
2,1,154420,19-Apr,1,83,237307.108,178.0,1333.1860000000001,EZZOUHOUR
3,1,154420,18-Oct,1,83,20110.448,16.0,1256.903,EZZOUHOUR
2,6,154420,19-Jun,1,83,101221.705,65.0,1557.257,EZZOUHOUR
1,1,154420,19-Jan,1,83,41425.23,33.0,1255.3100000000002,EZZOUHOUR
2,2,154420,18-Sep,1,83,219628.349,137.0,1603.1266350364963,EZZOUHOUR
2,2,154420,18-Nov,1,83,218525.752,136.0,1606.807,EZZOUHOUR
2,2,154420,19-Oct,1,83,317060.41,190.0,1668.7389999999998,EZZOUHOUR
3,2,154420,19-Aug,1,83,30037.302,18.0,1668.739,EZZOUHOUR
2,6,154420,19-Jul,1,83,115161.776,74.0,1556.2402162162161,EZZOUHOUR
3,3,154420,18-Mar,1,83,66305.3,50.0,1326.106,EZZOUHOUR
2,2,154420,18-Oct,1,83,197637.261,123.0,1606.807,EZZOUHOUR
1,1,154420,18-Dec,1,83,35193.284,28.0,1256.903,EZZOUHOUR
2,2,154420,19-Jun,1,83,258980.2,155.0,1670.8400000000001,EZZOUHOUR
2,6,154420,19-Oct,1,83,113518.212,73.0,1555.044,EZZOUHOUR
2,1,154420,19-Aug,1,83,207631.788,156.0,1330.973,EZZOUHOUR
