NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
2,1,153640,18-May,3,36,274294.796,244.0,1124.1589999999999,FOUCHANA
3,3,153640,18-Apr,3,36,65776.992,48.0,1370.354,FOUCHANA
1,2,153640,18-Apr,3,36,4480.083,3.0,1493.3609999999999,FOUCHANA
2,2,153640,18-Jul,3,36,191435.478,123.0,1556.386,FOUCHANA
3,5,153640,19-Feb,3,36,8157.08,5.0,1631.416,FOUCHANA
2,2,153640,19-Jun,3,36,198829.96,119.0,1670.84,FOUCHANA
3,5,153640,19-Apr,3,36,5127.876,3.0,1709.2920000000001,FOUCHANA
1,3,153640,18-Oct,3,36,29796.46,20.0,1489.8229999999999,FOUCHANA
1,3,153640,19-Jan,3,36,8929.38,6.0,1488.2299999999998,FOUCHANA
2,1,153640,19-Jun,3,36,349294.732,262.0,1333.1860000000001,FOUCHANA
2,4,153640,19-Feb,3,36,5248.992,3.0,1749.664,FOUCHANA
3,3,153640,18-Jan,3,36,66305.3,50.0,1326.106,FOUCHANA
3,1,153640,18-Apr,3,36,6744.954,6.0,1124.1589999999999,FOUCHANA
1,1,153640,18-Apr,3,36,25855.657,23.0,1124.1589999999999,FOUCHANA
3,2,153640,18-May,3,36,4480.083,3.0,1493.3609999999999,FOUCHANA
3,1,153640,18-May,3,36,7869.113,7.0,1124.159,FOUCHANA
2,1,153640,18-Jul,3,36,338110.804,284.0,1190.531,FOUCHANA
3,3,153640,18-Aug,3,36,50285.41,35.0,1436.726,FOUCHANA
3,3,153640,18-Nov,3,36,75980.973,51.0,1489.8229999999999,FOUCHANA
1,3,153640,18-Jun,3,36,4111.062,3.0,1370.354,FOUCHANA
1,2,153640,19-Mar,3,36,64211.76,40.0,1605.294,FOUCHANA
3,1,153640,19-Apr,3,36,42661.952,32.0,1333.186,FOUCHANA
2,1,153640,19-Nov,3,36,396629.954,298.0,1330.9730000000002,FOUCHANA
2,4,153640,19-Nov,3,36,5464.536,3.0,1821.512,FOUCHANA
3,3,153640,18-Feb,3,36,19891.59,15.0,1326.106,FOUCHANA
3,3,153640,18-Mar,3,36,76914.148,58.0,1326.106,FOUCHANA
2,1,153640,19-Feb,3,36,352742.11,281.0,1255.31,FOUCHANA
1,1,153640,18-Jun,3,36,23607.339,21.0,1124.159,FOUCHANA
3,1,153640,18-Nov,3,36,15082.836,12.0,1256.903,FOUCHANA
2,2,153640,19-Apr,3,36,178779.88,107.0,1670.8400000000001,FOUCHANA
1,1,153640,19-Mar,3,36,31382.75,25.0,1255.31,FOUCHANA
2,2,153640,19-Dec,3,36,210261.114,126.0,1668.739,FOUCHANA
2,2,153640,18-Jan,3,36,139329.024,96.0,1451.344,FOUCHANA
2,1,153640,18-Dec,3,36,335444.952,267.0,1256.3481348314606,FOUCHANA
3,5,153640,18-Sep,3,36,3262.832,2.0,1631.416,FOUCHANA
2,6,153640,19-Jun,3,36,80977.364,52.0,1557.257,FOUCHANA
2,2,153640,19-Oct,3,36,191904.985,115.0,1668.7389999999998,FOUCHANA
1,1,153640,19-May,3,36,13331.86,10.0,1333.1860000000001,FOUCHANA
3,2,153640,19-Feb,3,36,9631.764,6.0,1605.2939999999999,FOUCHANA
3,6,153640,19-Mar,3,36,61017.43,41.0,1488.23,FOUCHANA
3,2,153640,19-Sep,3,36,6674.956,4.0,1668.739,FOUCHANA
2,2,153640,19-Sep,3,36,156861.466,94.0,1668.7389999999998,FOUCHANA
3,6,153640,19-Nov,3,36,7775.22,5.0,1555.044,FOUCHANA
2,5,153640,19-Nov,3,36,5121.24,3.0,1707.08,FOUCHANA
1,3,153640,18-Feb,3,36,29174.332,22.0,1326.106,FOUCHANA
3,2,153640,18-Aug,3,36,12451.088,8.0,1556.386,FOUCHANA
2,1,153640,19-May,3,36,341295.616,256.0,1333.186,FOUCHANA
2,2,153640,19-Jul,3,36,205393.563,123.0,1669.8663658536584,FOUCHANA
2,1,153640,19-Sep,3,36,358031.737,269.0,1330.9730000000002,FOUCHANA
2,6,153640,19-Dec,3,36,83972.376,54.0,1555.044,FOUCHANA
2,2,153640,18-Mar,3,36,168355.904,116.0,1451.344,FOUCHANA
2,1,153640,18-Feb,3,36,191144.247,177.0,1079.911,FOUCHANA
1,2,153640,18-May,3,36,14933.61,10.0,1493.361,FOUCHANA
1,2,153640,18-Aug,3,36,37353.264,24.0,1556.3860000000002,FOUCHANA
2,3,153640,19-May,3,36,73191.079,47.0,1557.257,FOUCHANA
2,1,153640,19-Mar,3,36,302529.71,241.0,1255.3100000000002,FOUCHANA
2,6,153640,19-Nov,3,36,77752.2,50.0,1555.0439999999999,FOUCHANA
1,3,153640,18-May,3,36,4111.062,3.0,1370.354,FOUCHANA
3,2,153640,18-Dec,3,36,14461.263,9.0,1606.807,FOUCHANA
3,4,153640,18-Jul,3,36,3398.488,2.0,1699.244,FOUCHANA
2,1,153640,18-Nov,3,36,345648.325,275.0,1256.903,FOUCHANA
2,2,153640,18-Oct,3,36,204064.489,127.0,1606.807,FOUCHANA
2,3,153640,19-Apr,3,36,63847.537,41.0,1557.2569999999998,FOUCHANA
2,5,153640,19-Jun,3,36,5127.876,3.0,1709.2920000000001,FOUCHANA
2,1,153640,19-Jul,3,36,366347.312,275.0,1332.1720436363635,FOUCHANA
3,1,153640,19-Jul,3,36,14640.703,11.0,1330.973,FOUCHANA
2,1,153640,18-Jan,3,36,308854.546,286.0,1079.9109999999998,FOUCHANA
3,3,153640,18-May,3,36,79480.532,58.0,1370.354,FOUCHANA
1,2,153640,18-Dec,3,36,19281.684,12.0,1606.807,FOUCHANA
3,3,153640,18-Dec,3,36,72982.211,49.0,1489.4328775510203,FOUCHANA
1,1,153640,18-Dec,3,36,38963.993,31.0,1256.903,FOUCHANA
3,3,153640,18-Jul,3,36,83330.108,58.0,1436.7259999999999,FOUCHANA
3,3,153640,18-Jun,3,36,75127.44,54.0,1391.248888888889,FOUCHANA
3,5,153640,19-Jan,3,36,3262.832,2.0,1631.416,FOUCHANA
2,2,153640,19-Mar,3,36,107554.698,67.0,1605.294,FOUCHANA
2,6,153640,19-Aug,3,36,96412.728,62.0,1555.044,FOUCHANA
2,6,153640,19-Mar,3,36,8929.38,6.0,1488.2299999999998,FOUCHANA
