NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
1,3,155420,18-Feb,12,77,17239.378,13.0,1326.106,FOUSSANA
1,2,155420,18-Dec,12,77,17671.851,11.0,1606.531909090909,FOUSSANA
1,3,155420,19-Jan,12,77,17858.76,12.0,1488.2299999999998,FOUSSANA
3,2,155420,18-Aug,12,77,12451.088,8.0,1556.386,FOUSSANA
1,3,155420,18-Aug,12,77,30171.246,21.0,1436.7259999999999,FOUSSANA
1,1,155420,19-Feb,12,77,87871.7,70.0,1255.31,FOUSSANA
1,1,155420,19-May,12,77,113320.81,85.0,1333.186,FOUSSANA
1,1,155420,19-Dec,12,77,111801.732,84.0,1330.973,FOUSSANA
1,1,155420,18-Dec,12,77,91712.501,73.0,1256.3356301369863,FOUSSANA
1,3,155420,18-Jul,12,77,21550.89,15.0,1436.7259999999999,FOUSSANA
1,1,155420,18-Jul,12,77,120243.631,101.0,1190.531,FOUSSANA
3,1,155420,18-Aug,12,77,13095.841,11.0,1190.531,FOUSSANA
1,2,155420,19-May,12,77,15037.56,9.0,1670.84,FOUSSANA
1,2,155420,19-Jun,12,77,25062.6,15.0,1670.84,FOUSSANA
1,2,155420,19-Mar,12,77,17658.234,11.0,1605.294,FOUSSANA
2,1,155420,19-Jul,12,77,49327.882,37.0,1333.186,FOUSSANA
1,2,155420,19-Dec,12,77,18356.129,11.0,1668.739,FOUSSANA
1,1,155420,18-Mar,12,77,80993.325,75.0,1079.911,FOUSSANA
1,1,155420,18-Aug,12,77,122624.693,103.0,1190.531,FOUSSANA
1,6,155420,19-Jul,12,77,12440.352,8.0,1555.044,FOUSSANA
1,6,155420,19-Oct,12,77,24880.704,16.0,1555.044,FOUSSANA
1,3,155420,18-Nov,12,77,26816.814,18.0,1489.8229999999999,FOUSSANA
1,6,155420,19-Mar,12,77,20835.22,14.0,1488.23,FOUSSANA
1,1,155420,19-Aug,12,77,118456.597,89.0,1330.973,FOUSSANA
1,6,155420,19-Aug,12,77,34210.968,22.0,1555.044,FOUSSANA
1,1,155420,18-Apr,12,77,128154.126,114.0,1124.159,FOUSSANA
1,1,155420,18-Nov,12,77,145800.748,116.0,1256.903,FOUSSANA
1,1,155420,18-Jun,12,77,120753.782,106.0,1139.1866226415095,FOUSSANA
1,3,155420,18-Jun,12,77,24931.86,18.0,1385.1033333333335,FOUSSANA
1,1,155420,18-Feb,12,77,74513.859,69.0,1079.911,FOUSSANA
1,2,155420,18-Aug,12,77,38909.65,25.0,1556.386,FOUSSANA
1,2,155420,19-Feb,12,77,17658.234,11.0,1605.294,FOUSSANA
1,3,155420,19-Feb,12,77,19346.99,13.0,1488.23,FOUSSANA
1,3,155420,18-Jan,12,77,10608.848,8.0,1326.106,FOUSSANA
1,2,155420,18-Apr,12,77,11946.888,8.0,1493.361,FOUSSANA
1,2,155420,19-Jan,12,77,11237.058,7.0,1605.294,FOUSSANA
1,2,155420,19-Apr,12,77,16708.4,10.0,1670.8400000000001,FOUSSANA
1,2,155420,18-Mar,12,77,15964.784,11.0,1451.344,FOUSSANA
1,3,155420,18-May,12,77,17814.602,13.0,1370.3539999999998,FOUSSANA
1,2,155420,18-Jul,12,77,17120.246,11.0,1556.386,FOUSSANA
1,1,155420,18-Oct,12,77,123176.494,98.0,1256.903,FOUSSANA
1,6,155420,19-Sep,12,77,34210.968,22.0,1555.044,FOUSSANA
1,6,155420,19-Nov,12,77,29545.836,19.0,1555.0439999999999,FOUSSANA
1,1,155420,19-Sep,12,77,118456.597,89.0,1330.973,FOUSSANA
2,1,155420,19-Jun,12,77,49327.882,37.0,1333.186,FOUSSANA
3,3,155420,18-Aug,12,77,5746.904,4.0,1436.726,FOUSSANA
1,1,155420,18-Sep,12,77,125690.3,100.0,1256.903,FOUSSANA
2,1,155420,18-Dec,12,77,18853.545,15.0,1256.9029999999998,FOUSSANA
1,2,155420,18-Jan,12,77,10159.408,7.0,1451.3439999999998,FOUSSANA
1,2,155420,18-Feb,12,77,11610.752,8.0,1451.344,FOUSSANA
1,2,155420,18-May,12,77,13440.249,9.0,1493.3609999999999,FOUSSANA
1,3,155420,18-Sep,12,77,19367.699,13.0,1489.823,FOUSSANA
1,6,155420,19-Apr,12,77,20244.341,13.0,1557.257,FOUSSANA
1,1,155420,19-Mar,12,77,99169.49,79.0,1255.3100000000002,FOUSSANA
1,1,155420,19-Jul,12,77,47915.028,36.0,1330.973,FOUSSANA
1,1,155420,18-Jan,12,77,83153.147,77.0,1079.911,FOUSSANA
1,3,155420,18-Apr,12,77,19184.956,14.0,1370.3539999999998,FOUSSANA
1,2,155420,19-Jul,12,77,10012.434,6.0,1668.7389999999998,FOUSSANA
1,1,155420,19-Oct,12,77,74534.488,56.0,1330.973,FOUSSANA
1,1,155420,18-May,12,77,105670.946,94.0,1124.1589999999999,FOUSSANA
1,3,155420,18-Oct,12,77,22347.345,15.0,1489.823,FOUSSANA
1,6,155420,19-Jun,12,77,29587.883,19.0,1557.257,FOUSSANA
1,6,155420,19-Dec,12,77,27990.792,18.0,1555.044,FOUSSANA
1,2,155420,19-Nov,12,77,18356.129,11.0,1668.739,FOUSSANA
1,3,155420,18-Mar,12,77,18565.484,14.0,1326.106,FOUSSANA
1,2,155420,18-Nov,12,77,20888.491,13.0,1606.8070000000002,FOUSSANA
1,2,155420,18-Jun,12,77,19602.768,13.0,1507.9052307692307,FOUSSANA
1,2,155420,19-Sep,12,77,25031.085,15.0,1668.739,FOUSSANA
1,1,155420,19-Jun,12,77,51994.254,39.0,1333.186,FOUSSANA
1,2,155420,19-Oct,12,77,16687.39,10.0,1668.739,FOUSSANA
1,1,155420,19-Nov,12,77,85182.272,64.0,1330.973,FOUSSANA
3,3,155420,18-Mar,12,77,6630.53,5.0,1326.106,FOUSSANA
1,1,155420,19-Jan,12,77,65276.12,52.0,1255.31,FOUSSANA
1,2,155420,18-Sep,12,77,17674.877,11.0,1606.807,FOUSSANA
1,2,155420,18-Oct,12,77,17674.877,11.0,1606.807,FOUSSANA
1,1,155420,19-Apr,12,77,87990.276,66.0,1333.186,FOUSSANA
1,6,155420,19-May,12,77,21801.598,14.0,1557.257,FOUSSANA
1,3,155420,18-Dec,12,77,25322.212,17.0,1489.5418823529412,FOUSSANA
1,2,155420,19-Aug,12,77,28368.563,17.0,1668.7389999999998,FOUSSANA
