NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
3,3,153460,18-Jan,10,7,21093.628,16.0,1318.35175,GAAFOUR
2,1,153460,18-Apr,10,7,107919.264,96.0,1124.1589999999999,GAAFOUR
2,1,153460,18-Oct,10,7,116891.979,93.0,1256.903,GAAFOUR
3,3,153460,19-Feb,10,7,20835.22,14.0,1488.23,GAAFOUR
2,6,153460,19-Aug,10,7,32655.924,21.0,1555.0439999999999,GAAFOUR
2,2,153460,18-Apr,10,7,52267.635,35.0,1493.361,GAAFOUR
3,2,153460,18-Oct,10,7,4820.421,3.0,1606.807,GAAFOUR
2,3,153460,19-Apr,10,7,23358.855,15.0,1557.257,GAAFOUR
2,2,153460,19-Aug,10,7,86774.428,52.0,1668.739,GAAFOUR
2,6,153460,19-Nov,10,7,21770.616,14.0,1555.044,GAAFOUR
1,3,153460,18-May,10,7,6851.77,5.0,1370.354,GAAFOUR
2,1,153460,18-Dec,10,7,150777.384,120.0,1256.4782,GAAFOUR
1,2,153460,18-Oct,10,7,6427.228,4.0,1606.807,GAAFOUR
1,2,153460,19-Jan,10,7,8026.47,5.0,1605.294,GAAFOUR
2,1,153460,19-Jun,10,7,198644.714,149.0,1333.1860000000001,GAAFOUR
1,2,153460,18-Mar,10,7,7256.72,5.0,1451.344,GAAFOUR
2,1,153460,18-Mar,10,7,87472.791,81.0,1079.911,GAAFOUR
2,1,153460,18-Jun,10,7,125453.699,109.0,1150.951366972477,GAAFOUR
2,2,153460,19-Dec,10,7,66749.56,40.0,1668.739,GAAFOUR
3,3,153460,18-Mar,10,7,22543.802,17.0,1326.106,GAAFOUR
3,1,153460,18-May,10,7,14614.067,13.0,1124.1589999999999,GAAFOUR
2,2,153460,19-Feb,10,7,49764.114,31.0,1605.294,GAAFOUR
3,3,153460,18-Oct,10,7,11918.584,8.0,1489.823,GAAFOUR
3,1,153460,18-Jun,10,7,37097.247,33.0,1124.159,GAAFOUR
1,2,153460,19-May,10,7,10025.04,6.0,1670.8400000000001,GAAFOUR
3,6,153460,19-Mar,10,7,7441.15,5.0,1488.23,GAAFOUR
2,1,153460,19-Mar,10,7,100424.8,80.0,1255.31,GAAFOUR
2,2,153460,18-Sep,10,7,72054.21,45.0,1601.2046666666668,GAAFOUR
3,2,153460,19-Feb,10,7,8026.47,5.0,1605.294,GAAFOUR
1,1,153460,19-May,10,7,13331.86,10.0,1333.1860000000001,GAAFOUR
3,1,153460,19-Apr,10,7,21330.976,16.0,1333.186,GAAFOUR
3,3,153460,18-Sep,10,7,20857.522,14.0,1489.823,GAAFOUR
3,1,153460,18-Oct,10,7,8798.321,7.0,1256.903,GAAFOUR
1,3,153460,18-Oct,10,7,16388.053,11.0,1489.823,GAAFOUR
3,2,153460,18-Jun,10,7,13440.249,9.0,1493.3609999999999,GAAFOUR
3,2,153460,18-Dec,10,7,12854.456,8.0,1606.807,GAAFOUR
2,1,153460,19-May,10,7,123986.298,93.0,1333.186,GAAFOUR
2,1,153460,19-Oct,10,7,149068.976,112.0,1330.973,GAAFOUR
1,6,153460,19-Mar,10,7,7441.15,5.0,1488.23,GAAFOUR
2,2,153460,19-Sep,10,7,66749.56,40.0,1668.739,GAAFOUR
2,1,153460,19-Jul,10,7,149175.2,112.0,1331.9214285714286,GAAFOUR
2,2,153460,19-Nov,10,7,63412.082,38.0,1668.739,GAAFOUR
2,1,153460,19-Nov,10,7,203638.869,153.0,1330.973,GAAFOUR
2,1,153460,19-Dec,10,7,145076.057,109.0,1330.973,GAAFOUR
2,1,153460,18-Feb,10,7,57235.283,53.0,1079.911,GAAFOUR
3,3,153460,18-Dec,10,7,19358.141,13.0,1489.0877692307693,GAAFOUR
3,3,153460,18-Jul,10,7,25861.068,18.0,1436.7259999999999,GAAFOUR
2,1,153460,18-Aug,10,7,120243.631,101.0,1190.531,GAAFOUR
2,1,153460,19-Feb,10,7,99169.49,79.0,1255.3100000000002,GAAFOUR
2,2,153460,19-Jun,10,7,71846.12,43.0,1670.84,GAAFOUR
2,1,153460,18-May,10,7,112415.9,100.0,1124.1589999999999,GAAFOUR
3,3,153460,18-May,10,7,20555.31,15.0,1370.354,GAAFOUR
3,3,153460,18-Aug,10,7,33044.698,23.0,1436.7259999999999,GAAFOUR
2,1,153460,18-Jul,10,7,104766.728,88.0,1190.531,GAAFOUR
1,3,153460,18-Dec,10,7,5959.292,4.0,1489.823,GAAFOUR
3,1,153460,19-Feb,10,7,17574.34,14.0,1255.31,GAAFOUR
1,2,153460,19-Mar,10,7,12842.352,8.0,1605.294,GAAFOUR
1,3,153460,18-Feb,10,7,3978.318,3.0,1326.106,GAAFOUR
3,3,153460,18-Nov,10,7,22347.345,15.0,1489.823,GAAFOUR
2,1,153460,19-Apr,10,7,117320.368,88.0,1333.186,GAAFOUR
3,2,153460,19-Apr,10,7,10025.04,6.0,1670.8400000000001,GAAFOUR
2,6,153460,19-Sep,10,7,24880.704,16.0,1555.044,GAAFOUR
2,1,153460,18-Jan,10,7,88552.702,82.0,1079.911,GAAFOUR
3,3,153460,18-Feb,10,7,5304.424,4.0,1326.106,GAAFOUR
1,2,153460,18-Apr,10,7,14933.61,10.0,1493.361,GAAFOUR
2,2,153460,19-Jan,10,7,19263.528,12.0,1605.2939999999999,GAAFOUR
2,2,153460,19-Apr,10,7,50125.2,30.0,1670.84,GAAFOUR
1,1,153460,19-Mar,10,7,22595.58,18.0,1255.3100000000002,GAAFOUR
2,3,153460,19-May,10,7,18687.084,12.0,1557.2569999999998,GAAFOUR
2,1,153460,19-Aug,10,7,135759.246,102.0,1330.9730000000002,GAAFOUR
2,6,153460,19-Jul,10,7,37340.973,24.0,1555.873875,GAAFOUR
2,2,153460,18-Dec,10,7,54610.256,34.0,1606.184,GAAFOUR
2,2,153460,18-Jun,10,7,63981.662,42.0,1523.3729047619047,GAAFOUR
2,1,153460,18-Sep,10,7,157241.454,126.0,1247.9480476190477,GAAFOUR
3,1,153460,19-Jan,10,7,22595.58,18.0,1255.3100000000002,GAAFOUR
2,6,153460,19-Jun,10,7,24916.112,16.0,1557.257,GAAFOUR
2,6,153460,19-Oct,10,7,27990.792,18.0,1555.044,GAAFOUR
2,2,153460,19-Mar,10,7,52974.702,33.0,1605.2939999999999,GAAFOUR
2,6,153460,19-May,10,7,7786.285,5.0,1557.257,GAAFOUR
2,2,153460,18-Feb,10,7,27575.536,19.0,1451.344,GAAFOUR
2,2,153460,18-May,10,7,59734.44,40.0,1493.361,GAAFOUR
2,2,153460,18-Mar,10,7,46443.008,32.0,1451.344,GAAFOUR
3,3,153460,18-Apr,10,7,17814.602,13.0,1370.3539999999998,GAAFOUR
3,2,153460,18-May,10,7,7466.805,5.0,1493.361,GAAFOUR
2,1,153460,18-Nov,10,7,160883.584,128.0,1256.903,GAAFOUR
2,1,153460,19-Sep,10,7,170364.544,128.0,1330.973,GAAFOUR
2,6,153460,19-Mar,10,7,7441.15,5.0,1488.23,GAAFOUR
2,1,153460,18-Feb,10,7,59395.105,55.0,1079.911,GAAFOUR
2,2,153460,18-Aug,10,7,43578.808,28.0,1556.386,GAAFOUR
2,2,153460,18-Nov,10,7,56238.245,35.0,1606.807,GAAFOUR
3,3,153460,19-Jan,10,7,20835.22,14.0,1488.23,GAAFOUR
2,2,153460,19-Jul,10,7,75133.174,45.0,1669.626088888889,GAAFOUR
3,3,153460,18-Feb,10,7,6630.53,5.0,1326.106,GAAFOUR
1,1,153460,18-Mar,10,7,14038.843,13.0,1079.911,GAAFOUR
1,2,153460,18-Aug,10,7,9338.316,6.0,1556.3860000000002,GAAFOUR
2,2,153460,18-Oct,10,7,49811.017,31.0,1606.807,GAAFOUR
2,6,153460,19-Dec,10,7,31100.88,20.0,1555.044,GAAFOUR
2,2,153460,18-Jan,10,7,52248.384,36.0,1451.344,GAAFOUR
2,2,153460,18-Feb,10,7,30478.224,21.0,1451.3439999999998,GAAFOUR
1,1,153460,18-Apr,10,7,25855.657,23.0,1124.1589999999999,GAAFOUR
2,2,153460,18-Jul,10,7,62255.44,40.0,1556.386,GAAFOUR
3,1,153460,18-Aug,10,7,19048.496,16.0,1190.531,GAAFOUR
3,2,153460,18-Aug,10,7,26458.562,17.0,1556.3860000000002,GAAFOUR
2,1,153460,19-Jan,10,7,61510.19,49.0,1255.31,GAAFOUR
1,1,153460,18-Oct,10,7,33936.381,27.0,1256.903,GAAFOUR
3,3,153460,18-Jun,10,7,19450.444,14.0,1389.3174285714285,GAAFOUR
3,2,153460,19-Jan,10,7,17658.234,11.0,1605.294,GAAFOUR
2,2,153460,19-May,10,7,56808.56,34.0,1670.84,GAAFOUR
2,2,153460,19-Oct,10,7,65080.821,39.0,1668.739,GAAFOUR
