NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
1,1,151030,18-Jan,21,1,122029.943,113.0,1079.911,GABES GP1
1,2,151030,18-Mar,21,1,143683.056,99.0,1451.344,GABES GP1
2,2,151030,18-Jul,21,1,20233.018,13.0,1556.386,GABES GP1
2,2,151030,18-Aug,21,1,15563.86,10.0,1556.386,GABES GP1
2,1,151030,19-Jun,21,1,41328.766,31.0,1333.1860000000001,GABES GP1
1,4,151030,19-Aug,21,1,18215.12,10.0,1821.512,GABES GP1
1,4,151030,19-Jul,21,1,14582.601,8.0,1822.825125,GABES GP1
1,1,151030,18-Feb,21,1,109071.011,101.0,1079.911,GABES GP1
1,3,151030,18-Mar,21,1,94153.526,71.0,1326.106,GABES GP1
1,1,151030,19-Jan,21,1,75318.6,60.0,1255.3100000000002,GABES GP1
1,2,151030,18-Aug,21,1,428006.15,275.0,1556.3860000000002,GABES GP1
3,5,151030,19-Jan,21,1,6525.664,4.0,1631.416,GABES GP1
4,2,151030,19-Sep,21,1,16687.39,10.0,1668.739,GABES GP1
1,1,151030,19-Oct,21,1,141083.138,106.0,1330.973,GABES GP1
1,2,151030,18-Apr,21,1,126935.685,85.0,1493.3609999999999,GABES GP1
1,1,151030,18-Aug,21,1,115481.507,97.0,1190.531,GABES GP1
1,3,151030,18-Jun,21,1,111951.34,80.0,1399.39175,GABES GP1
1,1,151030,18-Sep,21,1,130717.912,104.0,1256.903,GABES GP1
2,2,151030,18-Oct,21,1,16068.07,10.0,1606.807,GABES GP1
3,5,151030,18-Dec,21,1,3262.832,2.0,1631.416,GABES GP1
1,3,151030,19-Feb,21,1,92270.26,62.0,1488.23,GABES GP1
4,3,151030,18-Apr,21,1,9592.478,7.0,1370.3539999999998,GABES GP1
1,1,151030,18-Dec,21,1,43970.896,35.0,1256.3113142857144,GABES GP1
1,3,151030,18-Dec,21,1,108720.44,73.0,1489.321095890411,GABES GP1
2,1,151030,18-Aug,21,1,20239.027,17.0,1190.531,GABES GP1
1,3,151030,18-Sep,21,1,113226.548,76.0,1489.8229999999999,GABES GP1
4,3,151030,18-Nov,21,1,5959.292,4.0,1489.823,GABES GP1
3,4,151030,19-Jan,21,1,10497.984,6.0,1749.664,GABES GP1
1,5,151030,19-Aug,21,1,10242.48,6.0,1707.08,GABES GP1
1,1,151030,19-Jul,21,1,125213.26,94.0,1332.0559574468084,GABES GP1
1,2,151030,19-Oct,21,1,231954.721,139.0,1668.739,GABES GP1
1,1,151030,19-Nov,21,1,145076.057,109.0,1330.973,GABES GP1
1,2,151030,19-Nov,21,1,258654.545,155.0,1668.739,GABES GP1
1,1,151030,18-Apr,21,1,139395.716,124.0,1124.1589999999999,GABES GP1
1,3,151030,18-May,21,1,108257.966,79.0,1370.354,GABES GP1
1,2,151030,18-Jun,21,1,114755.936,76.0,1509.9465263157895,GABES GP1
1,2,151030,19-Feb,21,1,152502.93,95.0,1605.2939999999999,GABES GP1
1,1,151030,19-Apr,21,1,161315.506,121.0,1333.186,GABES GP1
1,1,151030,19-Sep,21,1,141083.138,106.0,1330.973,GABES GP1
1,5,151030,19-Jul,21,1,6832.744,4.0,1708.186,GABES GP1
4,3,151030,18-Mar,21,1,14587.166,11.0,1326.106,GABES GP1
1,1,151030,18-Jul,21,1,80956.108,68.0,1190.531,GABES GP1
3,5,151030,18-Oct,21,1,6525.664,4.0,1631.416,GABES GP1
1,1,151030,19-May,21,1,139984.53,105.0,1333.186,GABES GP1
1,4,151030,19-May,21,1,12765.291,7.0,1823.6129999999998,GABES GP1
1,1,151030,19-Mar,21,1,161934.99,129.0,1255.31,GABES GP1
1,6,151030,19-Oct,21,1,118183.344,76.0,1555.0439999999999,GABES GP1
1,6,151030,19-Nov,21,1,125958.564,81.0,1555.0439999999999,GABES GP1
1,2,151030,18-Jan,21,1,117558.864,81.0,1451.344,GABES GP1
1,1,151030,18-Mar,21,1,132829.053,123.0,1079.911,GABES GP1
1,3,151030,18-Jul,21,1,106317.724,74.0,1436.726,GABES GP1
1,2,151030,18-Sep,21,1,164946.49,103.0,1601.4222330097086,GABES GP1
1,3,151030,18-Nov,21,1,83430.088,56.0,1489.823,GABES GP1
1,1,151030,19-Aug,21,1,179681.355,135.0,1330.9730000000002,GABES GP1
1,4,151030,19-Jun,21,1,7294.452,4.0,1823.613,GABES GP1
1,5,151030,19-Dec,21,1,5121.24,3.0,1707.08,GABES GP1
1,3,151030,18-Jan,21,1,104762.374,79.0,1326.106,GABES GP1
3,3,151030,18-Feb,21,1,7956.636,6.0,1326.106,GABES GP1
1,3,151030,18-Oct,21,1,87899.557,59.0,1489.823,GABES GP1
3,4,151030,18-Nov,21,1,8748.32,5.0,1749.664,GABES GP1
3,4,151030,18-Dec,21,1,10497.984,6.0,1749.664,GABES GP1
1,6,151030,19-Jun,21,1,107450.733,69.0,1557.2569999999998,GABES GP1
1,6,151030,19-Sep,21,1,125958.564,81.0,1555.0439999999999,GABES GP1
1,5,151030,19-Sep,21,1,5121.24,3.0,1707.08,GABES GP1
1,5,151030,19-Nov,21,1,6828.32,4.0,1707.08,GABES GP1
1,4,151030,19-Dec,21,1,9107.56,5.0,1821.512,GABES GP1
1,2,151030,18-May,21,1,110508.714,74.0,1493.361,GABES GP1
1,2,151030,18-Dec,21,1,187920.769,117.0,1606.160418803419,GABES GP1
3,2,151030,18-Aug,21,1,49804.352,32.0,1556.386,GABES GP1
3,3,151030,18-Nov,21,1,8938.938,6.0,1489.823,GABES GP1
1,5,151030,19-Mar,21,1,3262.832,2.0,1631.416,GABES GP1
1,2,151030,19-Jul,21,1,273828.67,164.0,1669.687012195122,GABES GP1
2,1,151030,19-Sep,21,1,9316.811,7.0,1330.973,GABES GP1
3,5,151030,18-Aug,21,1,7891.595,5.0,1578.319,GABES GP1
2,1,151030,19-Jan,21,1,7531.86,6.0,1255.31,GABES GP1
3,4,151030,18-Jul,21,1,18691.684,11.0,1699.2440000000001,GABES GP1
3,4,151030,18-Aug,21,1,11894.708,7.0,1699.2440000000001,GABES GP1
4,2,151030,18-Nov,21,1,4820.421,3.0,1606.807,GABES GP1
1,5,151030,19-Jun,21,1,5127.876,3.0,1709.2920000000001,GABES GP1
1,4,151030,19-Oct,21,1,12750.584,7.0,1821.5120000000002,GABES GP1
