NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
1,2,153880,18-May,21,1,28373.859,19.0,1493.361,GABES VILLE
1,1,153880,18-Oct,21,1,22624.254,18.0,1256.903,GABES VILLE
1,1,153880,18-Jul,21,1,16667.434,14.0,1190.5310000000002,GABES VILLE
3,1,153880,18-Aug,21,1,5952.655,5.0,1190.531,GABES VILLE
2,2,153880,18-Nov,21,1,6427.228,4.0,1606.807,GABES VILLE
1,1,153880,19-Feb,21,1,18829.65,15.0,1255.3100000000002,GABES VILLE
2,1,153880,19-Jan,21,1,3765.93,3.0,1255.31,GABES VILLE
2,2,153880,19-Jan,21,1,8026.47,5.0,1605.294,GABES VILLE
2,2,153880,18-Jul,21,1,3112.772,2.0,1556.386,GABES VILLE
1,3,153880,18-Sep,21,1,7449.115,5.0,1489.8229999999999,GABES VILLE
1,1,153880,19-Jan,21,1,7531.86,6.0,1255.31,GABES VILLE
1,3,153880,19-Feb,21,1,11905.84,8.0,1488.23,GABES VILLE
1,1,153880,19-Jul,21,1,15978.315,12.0,1331.5262500000001,GABES VILLE
1,6,153880,19-Oct,21,1,13995.396,9.0,1555.044,GABES VILLE
1,1,153880,18-Jan,21,1,20518.309,19.0,1079.911,GABES VILLE
1,3,153880,18-Apr,21,1,12333.186,9.0,1370.354,GABES VILLE
1,1,153880,18-May,21,1,21359.021,19.0,1124.159,GABES VILLE
1,2,153880,18-Dec,21,1,41758.826,26.0,1606.1086923076923,GABES VILLE
1,1,153880,19-Aug,21,1,21295.568,16.0,1330.973,GABES VILLE
1,2,153880,19-Oct,21,1,46724.692,28.0,1668.739,GABES VILLE
1,2,153880,18-Mar,21,1,36283.6,25.0,1451.344,GABES VILLE
1,2,153880,18-Apr,21,1,29867.22,20.0,1493.361,GABES VILLE
2,1,153880,18-Nov,21,1,5027.612,4.0,1256.903,GABES VILLE
1,3,153880,18-Aug,21,1,18677.438,13.0,1436.7259999999999,GABES VILLE
3,3,153880,18-Aug,21,1,2873.452,2.0,1436.726,GABES VILLE
1,2,153880,18-Nov,21,1,24102.105,15.0,1606.807,GABES VILLE
1,3,153880,18-Oct,21,1,10428.761,7.0,1489.823,GABES VILLE
4,2,153880,18-Dec,21,1,6427.228,4.0,1606.807,GABES VILLE
1,1,153880,18-Dec,21,1,15076.464,12.0,1256.372,GABES VILLE
2,2,153880,18-Aug,21,1,14007.474,9.0,1556.386,GABES VILLE
1,6,153880,19-Jun,21,1,15572.57,10.0,1557.257,GABES VILLE
1,2,153880,19-Mar,21,1,43342.938,27.0,1605.294,GABES VILLE
1,6,153880,19-Dec,21,1,10885.308,7.0,1555.044,GABES VILLE
1,1,153880,19-Jun,21,1,9332.302,7.0,1333.186,GABES VILLE
1,2,153880,19-Apr,21,1,93567.04,56.0,1670.84,GABES VILLE
1,2,153880,19-May,21,1,53466.88,32.0,1670.84,GABES VILLE
1,1,153880,19-Dec,21,1,31943.352,24.0,1330.973,GABES VILLE
3,3,153880,18-Feb,21,1,3978.318,3.0,1326.106,GABES VILLE
3,2,153880,18-Aug,21,1,32684.106,21.0,1556.386,GABES VILLE
1,1,153880,19-Mar,21,1,25106.2,20.0,1255.31,GABES VILLE
1,2,153880,19-Aug,21,1,98455.601,59.0,1668.7389999999998,GABES VILLE
1,1,153880,19-Nov,21,1,14640.703,11.0,1330.973,GABES VILLE
1,6,153880,19-Nov,21,1,9330.264,6.0,1555.0439999999999,GABES VILLE
1,2,153880,18-Jan,21,1,29026.88,20.0,1451.344,GABES VILLE
1,3,153880,18-Feb,21,1,5304.424,4.0,1326.106,GABES VILLE
1,3,153880,18-May,21,1,9592.478,7.0,1370.3539999999998,GABES VILLE
1,2,153880,18-Jun,21,1,24145.876,16.0,1509.11725,GABES VILLE
2,1,153880,19-Jun,21,1,15998.232,12.0,1333.186,GABES VILLE
1,1,153880,19-Oct,21,1,21295.568,16.0,1330.973,GABES VILLE
1,3,153880,18-Jan,21,1,10608.848,8.0,1326.106,GABES VILLE
1,2,153880,18-Feb,21,1,24672.848,17.0,1451.344,GABES VILLE
1,6,153880,19-May,21,1,12458.056,8.0,1557.257,GABES VILLE
2,1,153880,19-Sep,21,1,3992.919,3.0,1330.973,GABES VILLE
1,2,153880,19-Dec,21,1,40049.736,24.0,1668.7389999999998,GABES VILLE
1,1,153880,18-Mar,21,1,30237.508,28.0,1079.911,GABES VILLE
1,3,153880,18-Dec,21,1,13405.221,9.0,1489.469,GABES VILLE
1,3,153880,18-Jul,21,1,12930.534,9.0,1436.7259999999999,GABES VILLE
1,1,153880,18-Nov,21,1,16339.739,13.0,1256.903,GABES VILLE
1,2,153880,18-Sep,21,1,33440.421,21.0,1592.401,GABES VILLE
1,3,153880,18-Jun,21,1,12532.302,9.0,1392.478,GABES VILLE
1,1,153880,19-May,21,1,19997.79,15.0,1333.1860000000001,GABES VILLE
1,6,153880,19-Sep,21,1,10885.308,7.0,1555.044,GABES VILLE
