NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
1,1,151330,18-Feb,18,34,170625.938,158.0,1079.911,GAFSA
1,3,151330,18-Sep,18,34,126369.47,85.0,1486.6996470588235,GAFSA
1,2,151330,19-Jul,18,34,295549.59,177.0,1669.7716949152543,GAFSA
1,4,151330,19-Sep,18,34,10929.072,6.0,1821.512,GAFSA
1,2,151330,18-Apr,18,34,159789.627,107.0,1493.361,GAFSA
3,1,151330,18-Nov,18,34,7541.418,6.0,1256.903,GAFSA
1,3,151330,18-Dec,18,34,135524.51,91.0,1489.2803296703298,GAFSA
2,1,151330,19-Jan,18,34,16319.03,13.0,1255.31,GAFSA
1,3,151330,18-Aug,18,34,122121.71,85.0,1436.726,GAFSA
1,1,151330,19-Jun,18,34,114653.996,86.0,1333.186,GAFSA
1,1,151330,19-Dec,18,34,256877.789,193.0,1330.973,GAFSA
1,4,151330,19-Jul,18,34,3643.024,2.0,1821.512,GAFSA
1,2,151330,19-Oct,18,34,260323.284,156.0,1668.739,GAFSA
3,3,151330,18-Feb,18,34,15913.272,12.0,1326.106,GAFSA
1,1,151330,18-Apr,18,34,186610.394,166.0,1124.159,GAFSA
4,3,151330,18-Mar,18,34,9282.742,7.0,1326.106,GAFSA
1,3,151330,18-May,18,34,117850.444,86.0,1370.354,GAFSA
1,2,151330,18-Sep,18,34,226005.156,141.0,1602.8734468085106,GAFSA
1,1,151330,18-Sep,18,34,241719.443,193.0,1252.4323471502591,GAFSA
1,3,151330,18-Nov,18,34,122165.486,82.0,1489.823,GAFSA
3,2,151330,18-Aug,18,34,77819.3,50.0,1556.386,GAFSA
4,6,151330,19-Sep,18,34,7775.22,5.0,1555.044,GAFSA
1,2,151330,18-Jan,18,34,166904.56,115.0,1451.344,GAFSA
1,2,151330,18-May,18,34,167256.432,112.0,1493.361,GAFSA
2,2,151330,18-Jul,18,34,20233.018,13.0,1556.386,GAFSA
3,1,151330,18-Aug,18,34,26191.682,22.0,1190.531,GAFSA
1,2,151330,18-Jun,18,34,173879.365,115.0,1511.9944782608695,GAFSA
2,2,151330,18-Nov,18,34,9640.842,6.0,1606.807,GAFSA
1,1,151330,19-May,18,34,226641.62,170.0,1333.186,GAFSA
1,4,151330,19-Oct,18,34,7286.048,4.0,1821.512,GAFSA
1,1,151330,19-Nov,18,34,210293.734,158.0,1330.973,GAFSA
1,3,151330,18-Feb,18,34,96805.738,73.0,1326.106,GAFSA
1,2,151330,18-Mar,18,34,190126.064,131.0,1451.344,GAFSA
1,2,151330,18-Jul,18,34,189879.092,122.0,1556.386,GAFSA
1,2,151330,18-Aug,18,34,368863.482,237.0,1556.386,GAFSA
3,4,151330,18-Oct,18,34,8748.32,5.0,1749.664,GAFSA
1,1,151330,19-Feb,18,34,228466.42,182.0,1255.3100000000002,GAFSA
1,6,151330,19-Mar,18,34,130964.24,88.0,1488.23,GAFSA
1,1,151330,19-Aug,18,34,247560.978,186.0,1330.973,GAFSA
1,1,151330,18-Dec,18,34,138173.308,110.0,1256.1209818181817,GAFSA
2,1,151330,18-Jul,18,34,15476.903,13.0,1190.531,GAFSA
1,2,151330,19-Feb,18,34,242399.394,151.0,1605.294,GAFSA
1,6,151330,19-Apr,18,34,146382.158,94.0,1557.257,GAFSA
1,2,151330,19-May,18,34,260651.04,156.0,1670.8400000000001,GAFSA
2,1,151330,19-Sep,18,34,9316.811,7.0,1330.973,GAFSA
1,1,151330,19-Jul,18,34,207788.911,156.0,1331.9801987179487,GAFSA
4,2,151330,19-Sep,18,34,16687.39,10.0,1668.739,GAFSA
1,2,151330,19-Nov,18,34,277010.674,166.0,1668.739,GAFSA
3,3,151330,18-Aug,18,34,24424.342,17.0,1436.726,GAFSA
3,3,151330,18-Nov,18,34,8938.938,6.0,1489.823,GAFSA
2,1,151330,18-Nov,18,34,31422.575,25.0,1256.903,GAFSA
3,4,151330,18-Nov,18,34,6998.656,4.0,1749.664,GAFSA
1,4,151330,19-Nov,18,34,7286.048,4.0,1821.512,GAFSA
1,3,151330,19-Jan,18,34,117570.17,79.0,1488.23,GAFSA
1,2,151330,18-Nov,18,34,152646.665,95.0,1606.807,GAFSA
1,6,151330,19-Sep,18,34,121293.432,78.0,1555.044,GAFSA
2,1,151330,19-Jul,18,34,19997.79,15.0,1333.1860000000001,GAFSA
1,2,151330,19-Jan,18,34,203872.338,127.0,1605.2939999999999,GAFSA
2,2,151330,18-Oct,18,34,27315.719,17.0,1606.807,GAFSA
1,5,151330,19-Jul,18,34,5121.24,3.0,1707.08,GAFSA
