NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
2,1,154470,18-Dec,18,34,25138.06,20.0,1256.903,GAFSA Rte DE TOZ.
1,1,154470,18-Nov,18,34,75414.18,60.0,1256.9029999999998,GAFSA Rte DE TOZ.
1,2,154470,19-Feb,18,34,94712.346,59.0,1605.294,GAFSA Rte DE TOZ.
1,1,154470,19-Apr,18,34,97322.578,73.0,1333.186,GAFSA Rte DE TOZ.
1,2,154470,19-Aug,18,34,120149.208,72.0,1668.739,GAFSA Rte DE TOZ.
1,1,154470,19-Oct,18,34,67879.623,51.0,1330.9730000000002,GAFSA Rte DE TOZ.
1,6,154470,19-Oct,18,34,35766.012,23.0,1555.044,GAFSA Rte DE TOZ.
1,2,154470,19-Dec,18,34,96786.862,58.0,1668.7389999999998,GAFSA Rte DE TOZ.
3,3,154470,18-Jan,18,34,3978.318,3.0,1326.106,GAFSA Rte DE TOZ.
1,2,154470,18-Aug,18,34,135405.582,87.0,1556.386,GAFSA Rte DE TOZ.
1,3,154470,18-Aug,18,34,35918.15,25.0,1436.726,GAFSA Rte DE TOZ.
4,3,154470,18-Jul,18,34,7183.63,5.0,1436.726,GAFSA Rte DE TOZ.
1,1,154470,18-Jun,18,34,43514.506,38.0,1145.1185789473684,GAFSA Rte DE TOZ.
2,1,154470,19-Jul,18,34,7999.116,6.0,1333.186,GAFSA Rte DE TOZ.
1,2,154470,19-Nov,18,34,131830.381,79.0,1668.739,GAFSA Rte DE TOZ.
3,3,154470,18-Mar,18,34,9282.742,7.0,1326.106,GAFSA Rte DE TOZ.
2,1,154470,19-Jan,18,34,12553.1,10.0,1255.31,GAFSA Rte DE TOZ.
1,6,154470,19-Jun,18,34,51389.481,33.0,1557.257,GAFSA Rte DE TOZ.
1,2,154470,18-Jan,18,34,65310.48,45.0,1451.344,GAFSA Rte DE TOZ.
1,2,154470,18-Mar,18,34,85629.296,59.0,1451.344,GAFSA Rte DE TOZ.
1,1,154470,18-Dec,18,34,52745.322,42.0,1255.841,GAFSA Rte DE TOZ.
3,3,154470,19-Jan,18,34,11905.84,8.0,1488.23,GAFSA Rte DE TOZ.
4,1,154470,18-Jul,18,34,11905.31,10.0,1190.531,GAFSA Rte DE TOZ.
1,2,154470,18-Oct,18,34,75519.929,47.0,1606.807,GAFSA Rte DE TOZ.
1,1,154470,18-Mar,18,34,68034.393,63.0,1079.9109999999998,GAFSA Rte DE TOZ.
1,2,154470,18-Apr,18,34,59734.44,40.0,1493.361,GAFSA Rte DE TOZ.
2,2,154470,18-Jul,18,34,10894.702,7.0,1556.386,GAFSA Rte DE TOZ.
2,2,154470,19-Jan,18,34,16052.94,10.0,1605.294,GAFSA Rte DE TOZ.
1,6,154470,19-Sep,18,34,38876.1,25.0,1555.0439999999999,GAFSA Rte DE TOZ.
1,6,154470,19-May,18,34,34259.654,22.0,1557.257,GAFSA Rte DE TOZ.
1,2,154470,19-May,18,34,101921.24,61.0,1670.8400000000001,GAFSA Rte DE TOZ.
3,3,154470,18-Feb,18,34,5304.424,4.0,1326.106,GAFSA Rte DE TOZ.
1,1,154470,18-Jan,18,34,34557.152,32.0,1079.911,GAFSA Rte DE TOZ.
1,2,154470,18-May,18,34,67201.245,45.0,1493.3609999999999,GAFSA Rte DE TOZ.
3,2,154470,18-Aug,18,34,17120.246,11.0,1556.386,GAFSA Rte DE TOZ.
1,1,154470,19-Sep,18,34,86513.245,65.0,1330.973,GAFSA Rte DE TOZ.
1,6,154470,19-Jul,18,34,37347.612,24.0,1556.1505,GAFSA Rte DE TOZ.
1,3,154470,18-Jan,18,34,30500.438,23.0,1326.106,GAFSA Rte DE TOZ.
1,1,154470,18-Jul,18,34,55954.957,47.0,1190.531,GAFSA Rte DE TOZ.
1,2,154470,18-Jul,18,34,43578.808,28.0,1556.386,GAFSA Rte DE TOZ.
1,3,154470,18-Jul,18,34,24424.342,17.0,1436.726,GAFSA Rte DE TOZ.
1,3,154470,18-Oct,18,34,38735.398,26.0,1489.823,GAFSA Rte DE TOZ.
1,2,154470,18-Jun,18,34,65096.873,43.0,1513.8807674418604,GAFSA Rte DE TOZ.
1,2,154470,19-Sep,18,34,110136.774,66.0,1668.739,GAFSA Rte DE TOZ.
1,2,154470,18-Sep,18,34,85160.771,53.0,1606.8069999999998,GAFSA Rte DE TOZ.
1,1,154470,19-Mar,18,34,60254.88,48.0,1255.31,GAFSA Rte DE TOZ.
1,3,154470,18-Mar,18,34,30500.438,23.0,1326.106,GAFSA Rte DE TOZ.
1,3,154470,18-Apr,18,34,28777.434,21.0,1370.354,GAFSA Rte DE TOZ.
2,2,154470,18-Dec,18,34,19281.684,12.0,1606.807,GAFSA Rte DE TOZ.
1,1,154470,18-May,18,34,52835.473,47.0,1124.1589999999999,GAFSA Rte DE TOZ.
1,2,154470,18-Dec,18,34,109214.46,68.0,1606.095,GAFSA Rte DE TOZ.
1,2,154470,19-Jul,18,34,86826.953,52.0,1669.749096153846,GAFSA Rte DE TOZ.
1,1,154470,18-Feb,18,34,60475.016,56.0,1079.911,GAFSA Rte DE TOZ.
1,1,154470,18-Oct,18,34,65358.956,52.0,1256.903,GAFSA Rte DE TOZ.
1,3,154470,18-Nov,18,34,53633.628,36.0,1489.8229999999999,GAFSA Rte DE TOZ.
1,2,154470,18-Nov,18,34,64272.28,40.0,1606.807,GAFSA Rte DE TOZ.
1,2,154470,19-Jan,18,34,80264.7,50.0,1605.2939999999999,GAFSA Rte DE TOZ.
1,3,154470,19-Feb,18,34,43158.67,29.0,1488.23,GAFSA Rte DE TOZ.
2,1,154470,19-Jun,18,34,63992.928,48.0,1333.186,GAFSA Rte DE TOZ.
1,1,154470,19-Nov,18,34,159716.76,120.0,1330.9730000000002,GAFSA Rte DE TOZ.
1,3,154470,18-May,18,34,32888.496,24.0,1370.354,GAFSA Rte DE TOZ.
1,3,154470,18-Sep,18,34,38735.398,26.0,1489.823,GAFSA Rte DE TOZ.
1,6,154470,19-Apr,18,34,48274.967,31.0,1557.2569999999998,GAFSA Rte DE TOZ.
1,2,154470,19-Jun,18,34,121971.32,73.0,1670.8400000000001,GAFSA Rte DE TOZ.
1,6,154470,19-Mar,18,34,35717.52,24.0,1488.2299999999998,GAFSA Rte DE TOZ.
1,6,154470,19-Aug,18,34,52871.496,34.0,1555.0439999999999,GAFSA Rte DE TOZ.
1,2,154470,19-Oct,18,34,93449.384,56.0,1668.739,GAFSA Rte DE TOZ.
1,6,154470,19-Nov,18,34,54426.54,35.0,1555.044,GAFSA Rte DE TOZ.
1,3,154470,19-Jan,18,34,25299.91,17.0,1488.23,GAFSA Rte DE TOZ.
1,1,154470,19-Feb,18,34,85361.08,68.0,1255.31,GAFSA Rte DE TOZ.
1,2,154470,19-Apr,18,34,135338.04,81.0,1670.8400000000001,GAFSA Rte DE TOZ.
1,1,154470,19-Dec,18,34,137090.219,103.0,1330.9730000000002,GAFSA Rte DE TOZ.
1,6,154470,19-Dec,18,34,37321.056,24.0,1555.0439999999999,GAFSA Rte DE TOZ.
1,3,154470,18-Feb,18,34,25196.014,19.0,1326.106,GAFSA Rte DE TOZ.
