NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
2,2,155330,18-Feb,1,90,134974.992,93.0,1451.344,GAMMARTH
3,3,155330,18-Nov,1,90,128124.778,86.0,1489.823,GAMMARTH
3,1,155330,18-Dec,1,90,16339.739,13.0,1256.903,GAMMARTH
3,5,155330,18-Jul,1,90,7891.595,5.0,1578.319,GAMMARTH
3,2,155330,18-Oct,1,90,33742.947,21.0,1606.807,GAMMARTH
3,3,155330,19-Feb,1,90,119058.4,80.0,1488.23,GAMMARTH
2,2,155330,19-Oct,1,90,587396.128,352.0,1668.739,GAMMARTH
2,1,155330,19-Mar,1,90,185785.88,148.0,1255.31,GAMMARTH
3,6,155330,19-Mar,1,90,117570.17,79.0,1488.23,GAMMARTH
2,4,155330,19-Mar,1,90,24495.296,14.0,1749.664,GAMMARTH
2,4,155330,19-May,1,90,16412.517,9.0,1823.613,GAMMARTH
3,6,155330,19-Aug,1,90,7775.22,5.0,1555.044,GAMMARTH
2,1,155330,19-Nov,1,90,215617.626,162.0,1330.973,GAMMARTH
2,4,155330,19-Nov,1,90,3643.024,2.0,1821.512,GAMMARTH
3,5,155330,18-Dec,1,90,4894.248,3.0,1631.416,GAMMARTH
2,4,155330,18-Dec,1,90,6998.656,4.0,1749.664,GAMMARTH
2,2,155330,19-Apr,1,90,568085.6,340.0,1670.84,GAMMARTH
3,5,155330,19-Apr,1,90,6837.168,4.0,1709.292,GAMMARTH
3,1,155330,19-May,1,90,7999.116,6.0,1333.186,GAMMARTH
2,4,155330,19-Oct,1,90,14572.096,8.0,1821.512,GAMMARTH
3,6,155330,19-Nov,1,90,38876.1,25.0,1555.0439999999999,GAMMARTH
3,2,155330,18-Jan,1,90,62407.792,43.0,1451.344,GAMMARTH
3,3,155330,19-Jan,1,90,116081.94,78.0,1488.23,GAMMARTH
1,1,155330,19-Jan,1,90,26361.51,21.0,1255.31,GAMMARTH
2,1,155330,18-Jun,1,90,69050.798,58.0,1190.531,GAMMARTH
2,4,155330,18-Sep,1,90,17496.64,10.0,1749.664,GAMMARTH
2,1,155330,19-Jun,1,90,215976.132,162.0,1333.1860000000001,GAMMARTH
2,4,155330,19-Jul,1,90,14578.399,8.0,1822.299875,GAMMARTH
2,2,155330,19-Feb,1,90,439850.556,274.0,1605.2939999999999,GAMMARTH
1,3,155330,18-Dec,1,90,5959.292,4.0,1489.823,GAMMARTH
3,3,155330,18-Sep,1,90,148663.718,100.0,1486.63718,GAMMARTH
3,1,155330,18-Sep,1,90,17596.642,14.0,1256.903,GAMMARTH
2,2,155330,18-Jun,1,90,346459.752,232.0,1493.3609999999999,GAMMARTH
1,3,155330,18-Oct,1,90,34265.929,23.0,1489.8229999999999,GAMMARTH
2,1,155330,18-Jun,1,90,120285.013,107.0,1124.159,GAMMARTH
1,2,155330,19-Feb,1,90,46553.526,29.0,1605.2939999999999,GAMMARTH
2,1,155330,19-Apr,1,90,267970.386,201.0,1333.186,GAMMARTH
1,2,155330,19-Sep,1,90,58405.865,35.0,1668.739,GAMMARTH
2,5,155330,19-Sep,1,90,5121.24,3.0,1707.08,GAMMARTH
3,2,155330,19-Sep,1,90,83436.95,50.0,1668.739,GAMMARTH
2,6,155330,19-Dec,1,90,129068.652,83.0,1555.044,GAMMARTH
1,3,155330,18-Feb,1,90,62326.982,47.0,1326.106,GAMMARTH
2,1,155330,19-Feb,1,90,235998.28,188.0,1255.31,GAMMARTH
2,1,155330,19-Jan,1,90,199594.29,159.0,1255.31,GAMMARTH
3,5,155330,18-Nov,1,90,6525.664,4.0,1631.416,GAMMARTH
2,4,155330,18-Nov,1,90,13997.312,8.0,1749.664,GAMMARTH
1,1,155330,18-Jun,1,90,13489.908,12.0,1124.1589999999999,GAMMARTH
2,1,155330,19-May,1,90,205310.644,154.0,1333.186,GAMMARTH
2,4,155330,19-Apr,1,90,7294.452,4.0,1823.613,GAMMARTH
2,5,155330,19-Aug,1,90,5121.24,3.0,1707.08,GAMMARTH
2,4,155330,19-Aug,1,90,5464.536,3.0,1821.512,GAMMARTH
2,4,155330,19-Dec,1,90,10929.072,6.0,1821.512,GAMMARTH
2,1,155330,18-Mar,1,90,215982.2,200.0,1079.911,GAMMARTH
1,1,155330,18-Dec,1,90,18853.545,15.0,1256.9029999999998,GAMMARTH
1,2,155330,18-Aug,1,90,88714.002,57.0,1556.386,GAMMARTH
3,5,155330,18-Aug,1,90,4734.957,3.0,1578.3190000000002,GAMMARTH
3,3,155330,18-Jun,1,90,51722.136,36.0,1436.7259999999999,GAMMARTH
2,1,155330,18-Sep,1,90,263485.026,210.0,1254.6906000000001,GAMMARTH
2,2,155330,19-Sep,1,90,450559.53,270.0,1668.739,GAMMARTH
2,6,155330,19-Aug,1,90,172609.884,111.0,1555.0439999999999,GAMMARTH
2,2,155330,19-Aug,1,90,605752.257,363.0,1668.739,GAMMARTH
2,2,155330,19-Dec,1,90,535665.219,321.0,1668.739,GAMMARTH
3,3,155330,18-Mar,1,90,111392.904,84.0,1326.106,GAMMARTH
3,1,155330,18-Aug,1,90,27382.213,23.0,1190.531,GAMMARTH
2,2,155330,18-May,1,90,513716.184,344.0,1493.361,GAMMARTH
1,1,155330,18-Apr,1,90,12365.749,11.0,1124.1589999999999,GAMMARTH
2,2,155330,19-May,1,90,549706.36,329.0,1670.84,GAMMARTH
2,4,155330,18-Aug,1,90,15293.196,9.0,1699.244,GAMMARTH
3,2,155330,18-Nov,1,90,48204.21,30.0,1606.807,GAMMARTH
3,2,155330,18-Jun,1,90,9338.316,6.0,1556.3860000000002,GAMMARTH
3,2,155330,19-Feb,1,90,4815.882,3.0,1605.2939999999999,GAMMARTH
2,1,155330,19-Aug,1,90,222272.491,167.0,1330.973,GAMMARTH
2,2,155330,19-Jul,1,90,699626.043,419.0,1669.7518926014318,GAMMARTH
2,2,155330,19-Nov,1,90,508965.395,305.0,1668.739,GAMMARTH
2,1,155330,19-Dec,1,90,207631.788,156.0,1330.973,GAMMARTH
2,2,155330,18-Jan,1,90,383154.816,264.0,1451.344,GAMMARTH
3,3,155330,18-Feb,1,90,13261.06,10.0,1326.106,GAMMARTH
1,2,155330,18-Dec,1,90,110869.683,69.0,1606.807,GAMMARTH
2,2,155330,18-Jul,1,90,630336.33,405.0,1556.386,GAMMARTH
2,2,155330,19-Jan,1,90,354769.974,221.0,1605.2939999999999,GAMMARTH
3,3,155330,18-Oct,1,90,95348.672,64.0,1489.823,GAMMARTH
1,6,155330,19-Mar,1,90,4464.69,3.0,1488.2299999999998,GAMMARTH
3,2,155330,19-Aug,1,90,91780.645,55.0,1668.739,GAMMARTH
3,3,155330,18-Apr,1,90,123331.86,90.0,1370.354,GAMMARTH
1,1,155330,18-Mar,1,90,15118.754,14.0,1079.911,GAMMARTH
2,2,155330,18-Apr,1,90,512222.823,343.0,1493.3609999999999,GAMMARTH
1,1,155330,18-May,1,90,12365.749,11.0,1124.1589999999999,GAMMARTH
3,3,155330,18-Dec,1,90,123615.484,83.0,1489.3431807228915,GAMMARTH
3,4,155330,18-Dec,1,90,15746.976,9.0,1749.664,GAMMARTH
1,2,155330,19-Jan,1,90,115581.168,72.0,1605.294,GAMMARTH
1,3,155330,18-Aug,1,90,22987.616,16.0,1436.726,GAMMARTH
2,2,155330,18-Oct,1,90,525425.889,327.0,1606.8069999999998,GAMMARTH
3,1,155330,18-Jun,1,90,9524.248,8.0,1190.531,GAMMARTH
2,2,155330,19-Mar,1,90,339372.494,211.0,1608.4004454976305,GAMMARTH
2,2,155330,18-Mar,1,90,487651.584,336.0,1451.3439999999998,GAMMARTH
3,3,155330,18-Feb,1,90,35804.862,27.0,1326.106,GAMMARTH
2,1,155330,18-May,1,90,211341.892,188.0,1124.1589999999999,GAMMARTH
2,1,155330,18-Dec,1,90,217359.79,173.0,1256.414971098266,GAMMARTH
1,3,155330,19-Jan,1,90,5952.92,4.0,1488.23,GAMMARTH
2,2,155330,18-Sep,1,90,567801.258,354.0,1603.9583559322034,GAMMARTH
3,5,155330,18-Sep,1,90,4894.248,3.0,1631.416,GAMMARTH
3,1,155330,18-Oct,1,90,35193.284,28.0,1256.903,GAMMARTH
3,3,155330,18-Jun,1,90,76739.824,56.0,1370.3539999999998,GAMMARTH
2,2,155330,18-Dec,1,90,436910.795,272.0,1606.2896875,GAMMARTH
3,3,155330,18-Jul,1,90,139362.422,97.0,1436.7259999999999,GAMMARTH
2,6,155330,19-Jun,1,90,133924.102,86.0,1557.257,GAMMARTH
2,2,155330,19-Jun,1,90,589806.52,353.0,1670.8400000000001,GAMMARTH
2,6,155330,19-Oct,1,90,132178.74,85.0,1555.0439999999999,GAMMARTH
2,3,155330,19-Apr,1,90,127695.074,82.0,1557.2569999999998,GAMMARTH
1,1,155330,19-Mar,1,90,67786.74,54.0,1255.3100000000002,GAMMARTH
3,2,155330,19-Mar,1,90,8026.47,5.0,1605.294,GAMMARTH
2,6,155330,19-Jul,1,90,164951.953,106.0,1556.1505000000002,GAMMARTH
2,1,155330,18-Feb,1,90,126349.587,117.0,1079.911,GAMMARTH
2,1,155330,18-Nov,1,90,217444.219,173.0,1256.903,GAMMARTH
2,2,155330,18-Jun,1,90,163420.53,105.0,1556.386,GAMMARTH
3,4,155330,19-Feb,1,90,6998.656,4.0,1749.664,GAMMARTH
3,1,155330,19-Jul,1,90,18633.622,14.0,1330.973,GAMMARTH
2,1,155330,18-Jan,1,90,191144.247,177.0,1079.911,GAMMARTH
3,3,155330,18-Aug,1,90,135052.244,94.0,1436.726,GAMMARTH
2,1,155330,18-Jul,1,90,253583.103,213.0,1190.531,GAMMARTH
1,1,155330,18-Aug,1,90,8333.717,7.0,1190.5310000000002,GAMMARTH
2,3,155330,19-May,1,90,107450.733,69.0,1557.2569999999998,GAMMARTH
2,1,155330,18-Feb,1,90,65874.571,61.0,1079.9109999999998,GAMMARTH
2,1,155330,18-Apr,1,90,221459.323,197.0,1124.159,GAMMARTH
1,3,155330,18-May,1,90,6851.77,5.0,1370.354,GAMMARTH
3,4,155330,18-Jul,1,90,16992.44,10.0,1699.244,GAMMARTH
2,4,155330,18-Jul,1,90,5097.732,3.0,1699.244,GAMMARTH
3,5,155330,18-Oct,1,90,4894.248,3.0,1631.416,GAMMARTH
3,1,155330,18-Nov,1,90,21367.351,17.0,1256.903,GAMMARTH
2,4,155330,19-Jan,1,90,8748.32,5.0,1749.664,GAMMARTH
2,4,155330,19-Jun,1,90,12765.291,7.0,1823.6129999999998,GAMMARTH
2,6,155330,19-Mar,1,90,8929.38,6.0,1488.2299999999998,GAMMARTH
2,2,155330,18-Nov,1,90,457939.995,285.0,1606.807,GAMMARTH
2,4,155330,18-Oct,1,90,13997.312,8.0,1749.664,GAMMARTH
1,2,155330,19-Mar,1,90,216714.69,135.0,1605.294,GAMMARTH
2,6,155330,19-Sep,1,90,147729.18,95.0,1555.0439999999999,GAMMARTH
2,6,155330,19-May,1,90,6229.028,4.0,1557.257,GAMMARTH
2,5,155330,19-Jun,1,90,5127.876,3.0,1709.2920000000001,GAMMARTH
2,6,155330,19-Nov,1,90,94857.684,61.0,1555.0439999999999,GAMMARTH
3,3,155330,18-Jan,1,90,104762.374,79.0,1326.106,GAMMARTH
2,2,155330,18-Feb,1,90,275755.36,190.0,1451.3439999999998,GAMMARTH
3,3,155330,18-May,1,90,124702.214,91.0,1370.354,GAMMARTH
2,2,155330,18-Aug,1,90,428006.15,275.0,1556.3860000000002,GAMMARTH
3,1,155330,18-Apr,1,90,2248.318,2.0,1124.159,GAMMARTH
3,2,155330,19-Jan,1,90,24079.41,15.0,1605.294,GAMMARTH
3,1,155330,18-May,1,90,13489.908,12.0,1124.1589999999999,GAMMARTH
2,1,155330,18-Aug,1,90,203580.801,171.0,1190.531,GAMMARTH
3,2,155330,18-Aug,1,90,73150.142,47.0,1556.3860000000002,GAMMARTH
2,1,155330,18-Oct,1,90,243839.182,194.0,1256.903,GAMMARTH
2,1,155330,19-Oct,1,90,234251.248,176.0,1330.973,GAMMARTH
3,6,155330,19-Apr,1,90,7786.285,5.0,1557.257,GAMMARTH
2,1,155330,19-Sep,1,90,222272.491,167.0,1330.973,GAMMARTH
3,5,155330,19-Mar,1,90,4894.248,3.0,1631.416,GAMMARTH
2,1,155330,19-Jul,1,90,243789.359,183.0,1332.1822896174863,GAMMARTH
