NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
1,1,155690,18-Jan,21,2,52915.639,49.0,1079.911,GHANNOUCH
1,3,155690,18-Feb,21,2,6630.53,5.0,1326.106,GHANNOUCH
1,3,155690,18-Dec,21,2,8935.752,6.0,1489.2920000000001,GHANNOUCH
1,1,155690,18-Nov,21,2,41477.799,33.0,1256.903,GHANNOUCH
1,3,155690,18-Aug,21,2,14367.26,10.0,1436.726,GHANNOUCH
1,1,155690,18-Aug,21,2,65479.205,55.0,1190.531,GHANNOUCH
4,1,155690,18-Aug,21,2,4762.124,4.0,1190.531,GHANNOUCH
2,1,155690,19-Jan,21,2,3765.93,3.0,1255.31,GHANNOUCH
1,2,155690,18-Oct,21,2,3213.614,2.0,1606.807,GHANNOUCH
4,2,155690,18-Nov,21,2,4820.421,3.0,1606.807,GHANNOUCH
1,3,155690,18-Mar,21,2,7956.636,6.0,1326.106,GHANNOUCH
1,3,155690,18-Jan,21,2,9282.742,7.0,1326.106,GHANNOUCH
1,2,155690,18-Jan,21,2,8708.064,6.0,1451.344,GHANNOUCH
1,1,155690,18-Feb,21,2,60475.016,56.0,1079.911,GHANNOUCH
1,2,155690,18-Apr,21,2,5973.444,4.0,1493.361,GHANNOUCH
1,3,155690,18-Nov,21,2,2979.646,2.0,1489.823,GHANNOUCH
1,1,155690,19-Jan,21,2,35148.68,28.0,1255.31,GHANNOUCH
2,1,155690,18-Nov,21,2,6284.515,5.0,1256.903,GHANNOUCH
1,1,155690,19-Feb,21,2,31382.75,25.0,1255.31,GHANNOUCH
1,1,155690,18-Sep,21,2,103725.601,83.0,1249.7060361445783,GHANNOUCH
1,2,155690,18-Feb,21,2,4354.032,3.0,1451.344,GHANNOUCH
1,2,155690,18-Mar,21,2,7256.72,5.0,1451.344,GHANNOUCH
1,1,155690,18-Jul,21,2,85718.232,72.0,1190.531,GHANNOUCH
4,2,155690,18-Dec,21,2,3213.614,2.0,1606.807,GHANNOUCH
1,3,155690,18-May,21,2,9592.478,7.0,1370.3539999999998,GHANNOUCH
1,2,155690,18-Jul,21,2,7781.93,5.0,1556.386,GHANNOUCH
1,1,155690,18-Dec,21,2,26380.626,21.0,1256.2202857142856,GHANNOUCH
4,3,155690,18-Nov,21,2,2979.646,2.0,1489.823,GHANNOUCH
3,3,155690,18-Feb,21,2,5304.424,4.0,1326.106,GHANNOUCH
1,3,155690,18-Jul,21,2,12930.534,9.0,1436.7259999999999,GHANNOUCH
2,1,155690,18-Oct,21,2,5027.612,4.0,1256.903,GHANNOUCH
1,2,155690,19-Jan,21,2,3210.588,2.0,1605.294,GHANNOUCH
1,2,155690,18-May,21,2,4480.083,3.0,1493.3609999999999,GHANNOUCH
2,1,155690,18-Aug,21,2,8333.717,7.0,1190.5310000000002,GHANNOUCH
1,1,155690,18-Mar,21,2,66954.482,62.0,1079.911,GHANNOUCH
1,3,155690,18-Sep,21,2,13249.116,9.0,1472.124,GHANNOUCH
1,3,155690,18-Oct,21,2,2979.646,2.0,1489.823,GHANNOUCH
1,2,155690,18-Nov,21,2,4820.421,3.0,1606.807,GHANNOUCH
1,2,155690,18-Dec,21,2,4820.421,3.0,1606.807,GHANNOUCH
2,1,155690,18-Jul,21,2,4762.124,4.0,1190.531,GHANNOUCH
1,1,155690,18-Jun,21,2,71290.786,62.0,1149.851387096774,GHANNOUCH
1,1,155690,18-Oct,21,2,96781.531,77.0,1256.903,GHANNOUCH
1,1,155690,18-May,21,2,61828.745,55.0,1124.159,GHANNOUCH
1,2,155690,18-Aug,21,2,104277.862,67.0,1556.386,GHANNOUCH
1,3,155690,18-Jun,21,2,8354.868,6.0,1392.478,GHANNOUCH
1,3,155690,18-Apr,21,2,8222.124,6.0,1370.354,GHANNOUCH
4,1,155690,18-Dec,21,2,21367.351,17.0,1256.903,GHANNOUCH
1,1,155690,18-Apr,21,2,76442.812,68.0,1124.159,GHANNOUCH
1,2,155690,18-Jun,21,2,5973.444,4.0,1493.361,GHANNOUCH
