NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
3,2,154670,18-Jan,6,8,20318.816,14.0,1451.3439999999998,GHAR EL MELH
3,2,154670,18-Feb,6,8,10159.408,7.0,1451.3439999999998,GHAR EL MELH
3,1,154670,18-Apr,6,8,31476.452,28.0,1124.159,GHAR EL MELH
3,1,154670,18-Dec,6,8,36432.664,29.0,1256.2987586206896,GHAR EL MELH
3,1,154670,18-Sep,6,8,37574.346,30.0,1252.4782,GHAR EL MELH
3,2,154670,19-May,6,8,35087.64,21.0,1670.84,GHAR EL MELH
3,1,154670,18-Oct,6,8,35193.284,28.0,1256.903,GHAR EL MELH
3,6,154670,19-Jun,6,8,14015.313,9.0,1557.257,GHAR EL MELH
3,2,154670,19-Apr,6,8,35087.64,21.0,1670.84,GHAR EL MELH
3,2,154670,19-Aug,6,8,118480.469,71.0,1668.739,GHAR EL MELH
3,6,154670,19-Sep,6,8,9330.264,6.0,1555.0439999999999,GHAR EL MELH
3,1,154670,18-Jan,6,8,22678.131,21.0,1079.911,GHAR EL MELH
3,3,154670,18-Oct,6,8,5959.292,4.0,1489.823,GHAR EL MELH
3,6,154670,19-Mar,6,8,11905.84,8.0,1488.23,GHAR EL MELH
3,6,154670,19-Dec,6,8,9330.264,6.0,1555.0439999999999,GHAR EL MELH
3,2,154670,18-May,6,8,29867.22,20.0,1493.361,GHAR EL MELH
3,3,154670,18-Nov,6,8,5959.292,4.0,1489.823,GHAR EL MELH
3,2,154670,19-Feb,6,8,24079.41,15.0,1605.294,GHAR EL MELH
3,6,154670,19-Oct,6,8,9330.264,6.0,1555.0439999999999,GHAR EL MELH
3,2,154670,19-Nov,6,8,25031.085,15.0,1668.739,GHAR EL MELH
3,1,154670,19-Nov,6,8,35936.271,27.0,1330.973,GHAR EL MELH
3,3,154670,18-Jan,6,8,6630.53,5.0,1326.106,GHAR EL MELH
3,1,154670,18-Mar,6,8,23758.042,22.0,1079.911,GHAR EL MELH
3,2,154670,18-Dec,6,8,22492.272,14.0,1606.5908571428572,GHAR EL MELH
3,3,154670,18-Jul,6,8,27297.794,19.0,1436.726,GHAR EL MELH
3,1,154670,18-Nov,6,8,40220.896,32.0,1256.903,GHAR EL MELH
3,2,154670,19-Dec,6,8,18356.129,11.0,1668.739,GHAR EL MELH
3,2,154670,18-Mar,6,8,24672.848,17.0,1451.344,GHAR EL MELH
3,3,154670,18-Aug,6,8,18677.438,13.0,1436.7259999999999,GHAR EL MELH
3,3,154670,19-Feb,6,8,7441.15,5.0,1488.23,GHAR EL MELH
3,1,154670,19-Oct,6,8,45253.082,34.0,1330.973,GHAR EL MELH
3,1,154670,19-Jul,6,8,65266.363,49.0,1331.9665918367346,GHAR EL MELH
3,1,154670,18-Feb,6,8,7559.377,7.0,1079.911,GHAR EL MELH
3,3,154670,18-Apr,6,8,8222.124,6.0,1370.354,GHAR EL MELH
3,2,154670,18-Oct,6,8,20888.491,13.0,1606.8070000000002,GHAR EL MELH
3,1,154670,19-Jun,6,8,57326.998,43.0,1333.186,GHAR EL MELH
3,6,154670,19-Apr,6,8,3114.514,2.0,1557.257,GHAR EL MELH
3,2,154670,19-Mar,6,8,25684.704,16.0,1605.294,GHAR EL MELH
3,3,154670,18-Feb,6,8,2652.212,2.0,1326.106,GHAR EL MELH
