NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
1,3,151600,18-Dec,17,45,17873.097,12.0,1489.4247500000001,GHRAIBA
1,2,151600,18-Oct,17,45,25708.912,16.0,1606.807,GHRAIBA
2,1,151600,18-Oct,17,45,8798.321,7.0,1256.903,GHRAIBA
1,3,151600,18-Nov,17,45,16388.053,11.0,1489.823,GHRAIBA
1,1,151600,19-Apr,17,45,85323.904,64.0,1333.186,GHRAIBA
1,2,151600,19-Oct,17,45,53399.648,32.0,1668.739,GHRAIBA
1,2,151600,18-Feb,17,45,27575.536,19.0,1451.344,GHRAIBA
1,2,151600,18-May,17,45,29867.22,20.0,1493.361,GHRAIBA
1,3,151600,18-May,17,45,15073.894,11.0,1370.354,GHRAIBA
3,2,151600,18-Aug,17,45,17120.246,11.0,1556.386,GHRAIBA
1,1,151600,18-Sep,17,45,128797.289,103.0,1250.4591165048544,GHRAIBA
1,2,151600,18-Jun,17,45,27006.548,18.0,1500.3637777777776,GHRAIBA
1,1,151600,18-Oct,17,45,96781.531,77.0,1256.903,GHRAIBA
1,2,151600,19-Aug,17,45,90111.906,54.0,1668.739,GHRAIBA
1,6,151600,19-Jul,17,45,12446.991,8.0,1555.873875,GHRAIBA
4,2,151600,19-Sep,17,45,5006.217,3.0,1668.7389999999998,GHRAIBA
1,1,151600,18-Mar,17,45,145787.985,135.0,1079.9109999999998,GHRAIBA
1,2,151600,18-Jul,17,45,31127.72,20.0,1556.386,GHRAIBA
1,2,151600,18-Aug,17,45,91826.774,59.0,1556.3860000000002,GHRAIBA
2,1,151600,18-Aug,17,45,8333.717,7.0,1190.5310000000002,GHRAIBA
2,1,151600,19-Jan,17,45,25106.2,20.0,1255.31,GHRAIBA
2,1,151600,19-Jun,17,45,27996.906,21.0,1333.186,GHRAIBA
1,2,151600,19-Mar,17,45,38527.056,24.0,1605.2939999999999,GHRAIBA
1,6,151600,19-Nov,17,45,21770.616,14.0,1555.044,GHRAIBA
1,3,151600,18-Jun,17,45,15206.638,11.0,1382.4216363636365,GHRAIBA
1,2,151600,19-May,17,45,53466.88,32.0,1670.84,GHRAIBA
1,1,151600,19-Jul,17,45,151874.767,114.0,1332.234798245614,GHRAIBA
2,1,151600,19-Sep,17,45,9316.811,7.0,1330.973,GHRAIBA
1,1,151600,19-Dec,17,45,167702.598,126.0,1330.973,GHRAIBA
1,2,151600,18-Mar,17,45,34832.256,24.0,1451.344,GHRAIBA
1,1,151600,18-Dec,17,45,101762.946,81.0,1256.3326666666667,GHRAIBA
3,1,151600,18-Aug,17,45,7143.186,6.0,1190.531,GHRAIBA
1,2,151600,18-Nov,17,45,24102.105,15.0,1606.807,GHRAIBA
1,1,151600,18-Jan,17,45,125269.676,116.0,1079.911,GHRAIBA
1,2,151600,18-Jan,17,45,20318.816,14.0,1451.3439999999998,GHRAIBA
1,3,151600,18-Mar,17,45,22543.802,17.0,1326.106,GHRAIBA
1,1,151600,18-Jun,17,45,59916.452,52.0,1152.2394615384615,GHRAIBA
1,2,151600,19-Feb,17,45,40132.35,25.0,1605.2939999999999,GHRAIBA
1,3,151600,19-Feb,17,45,19346.99,13.0,1488.23,GHRAIBA
1,2,151600,19-Sep,17,45,50062.17,30.0,1668.739,GHRAIBA
1,2,151600,19-Apr,17,45,65162.76,39.0,1670.8400000000001,GHRAIBA
1,1,151600,19-Aug,17,45,79858.38,60.0,1330.9730000000002,GHRAIBA
1,6,151600,19-Sep,17,45,18660.528,12.0,1555.0439999999999,GHRAIBA
4,3,151600,18-Apr,17,45,2740.708,2.0,1370.354,GHRAIBA
1,1,151600,19-Jan,17,45,87871.7,70.0,1255.31,GHRAIBA
1,1,151600,18-Nov,17,45,124433.397,99.0,1256.903,GHRAIBA
1,6,151600,19-Oct,17,45,29545.836,19.0,1555.0439999999999,GHRAIBA
1,2,151600,19-Nov,17,45,58405.865,35.0,1668.739,GHRAIBA
4,1,151600,18-Jul,17,45,8333.717,7.0,1190.5310000000002,GHRAIBA
4,3,151600,18-Jul,17,45,2873.452,2.0,1436.726,GHRAIBA
1,1,151600,19-May,17,45,81324.346,61.0,1333.1860000000001,GHRAIBA
1,6,151600,19-May,17,45,17129.827,11.0,1557.257,GHRAIBA
1,1,151600,19-Mar,17,45,107956.66,86.0,1255.31,GHRAIBA
1,1,151600,18-Feb,17,45,115550.477,107.0,1079.911,GHRAIBA
1,2,151600,18-Dec,17,45,33736.895,21.0,1606.5188095238093,GHRAIBA
1,3,151600,19-Jan,17,45,13394.07,9.0,1488.23,GHRAIBA
1,2,151600,18-Sep,17,45,35349.754,22.0,1606.807,GHRAIBA
2,1,151600,18-Nov,17,45,7541.418,6.0,1256.903,GHRAIBA
1,2,151600,19-Jun,17,45,48454.36,29.0,1670.84,GHRAIBA
1,6,151600,19-Dec,17,45,29545.836,19.0,1555.0439999999999,GHRAIBA
1,3,151600,18-Jan,17,45,9282.742,7.0,1326.106,GHRAIBA
1,2,151600,19-Jan,17,45,25684.704,16.0,1605.294,GHRAIBA
2,2,151600,18-Oct,17,45,3213.614,2.0,1606.807,GHRAIBA
2,1,151600,18-Dec,17,45,23881.157,19.0,1256.903,GHRAIBA
1,3,151600,18-Apr,17,45,10962.832,8.0,1370.354,GHRAIBA
1,1,151600,18-May,17,45,69697.858,62.0,1124.1589999999999,GHRAIBA
1,6,151600,19-Mar,17,45,11905.84,8.0,1488.23,GHRAIBA
1,1,151600,19-Oct,17,45,95830.056,72.0,1330.973,GHRAIBA
1,1,151600,19-Nov,17,45,115794.651,87.0,1330.973,GHRAIBA
1,2,151600,19-Dec,17,45,53399.648,32.0,1668.739,GHRAIBA
1,3,151600,18-Sep,17,45,10428.761,7.0,1489.823,GHRAIBA
1,3,151600,18-Oct,17,45,13408.407,9.0,1489.8229999999999,GHRAIBA
1,1,151600,19-Sep,17,45,119787.57,90.0,1330.9730000000002,GHRAIBA
1,6,151600,19-Apr,17,45,17129.827,11.0,1557.257,GHRAIBA
1,6,151600,19-Jun,17,45,15572.57,10.0,1557.257,GHRAIBA
1,3,151600,18-Feb,17,45,14587.166,11.0,1326.106,GHRAIBA
1,2,151600,18-Apr,17,45,23893.776,16.0,1493.361,GHRAIBA
1,3,151600,18-Jul,17,45,17240.712,12.0,1436.7259999999999,GHRAIBA
2,1,151600,18-Jul,17,45,7143.186,6.0,1190.531,GHRAIBA
1,3,151600,18-Aug,17,45,20114.164,14.0,1436.726,GHRAIBA
3,3,151600,18-Aug,17,45,5746.904,4.0,1436.726,GHRAIBA
2,2,151600,19-Jan,17,45,6421.176,4.0,1605.294,GHRAIBA
1,1,151600,19-Feb,17,45,104190.73,83.0,1255.31,GHRAIBA
1,1,151600,18-Apr,17,45,94429.356,84.0,1124.159,GHRAIBA
1,1,151600,18-Jul,17,45,50002.302,42.0,1190.5310000000002,GHRAIBA
2,2,151600,18-Jul,17,45,3112.772,2.0,1556.386,GHRAIBA
1,1,151600,18-Aug,17,45,105957.259,89.0,1190.531,GHRAIBA
1,1,151600,19-Jun,17,45,10665.488,8.0,1333.186,GHRAIBA
1,6,151600,19-Aug,17,45,27990.792,18.0,1555.044,GHRAIBA
1,2,151600,19-Jul,17,45,63452.001,38.0,1669.7894999999999,GHRAIBA
