NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
1,3,151110,19-Jan,1,13,20835.22,14.0,1488.23,GOULETTE
2,2,151110,19-Jan,1,13,126818.226,79.0,1605.2939999999999,GOULETTE
1,2,151110,18-Oct,1,13,9640.842,6.0,1606.807,GOULETTE
2,2,151110,19-Jun,1,13,220550.88,132.0,1670.8400000000001,GOULETTE
2,2,151110,19-Sep,1,13,181892.551,109.0,1668.739,GOULETTE
2,2,151110,19-Jul,1,13,227099.776,136.0,1669.851294117647,GOULETTE
3,6,151110,19-Nov,1,13,54426.54,35.0,1555.044,GOULETTE
2,2,151110,18-Feb,1,13,58053.76,40.0,1451.344,GOULETTE
3,3,151110,18-Mar,1,13,116697.328,88.0,1326.106,GOULETTE
1,1,151110,18-Apr,1,13,7869.113,7.0,1124.159,GOULETTE
2,2,151110,18-Dec,1,13,197578.254,123.0,1606.327268292683,GOULETTE
2,2,151110,18-Oct,1,13,170321.542,106.0,1606.8069999999998,GOULETTE
3,3,151110,18-Nov,1,13,132594.247,89.0,1489.823,GOULETTE
1,2,151110,19-Mar,1,13,62606.466,39.0,1605.294,GOULETTE
2,1,151110,19-Aug,1,13,93168.11,70.0,1330.973,GOULETTE
2,2,151110,18-Jan,1,13,177063.968,122.0,1451.344,GOULETTE
1,2,151110,18-Jun,1,13,10453.527,7.0,1493.361,GOULETTE
2,6,151110,19-Jun,1,13,158840.214,102.0,1557.257,GOULETTE
2,3,151110,19-Apr,1,13,155725.7,100.0,1557.257,GOULETTE
2,2,151110,18-Feb,1,13,114656.176,79.0,1451.344,GOULETTE
2,2,151110,18-Aug,1,13,140074.74,90.0,1556.386,GOULETTE
3,2,151110,18-Sep,1,13,9640.842,6.0,1606.807,GOULETTE
1,1,151110,18-Dec,1,13,12569.03,10.0,1256.903,GOULETTE
2,1,151110,19-Oct,1,13,94499.083,71.0,1330.973,GOULETTE
1,1,151110,19-May,1,13,7999.116,6.0,1333.186,GOULETTE
2,1,151110,18-Dec,1,13,99261.884,79.0,1256.4795443037976,GOULETTE
2,1,151110,19-Jan,1,13,71552.67,57.0,1255.31,GOULETTE
3,2,151110,18-Nov,1,13,14461.263,9.0,1606.807,GOULETTE
3,6,151110,19-Mar,1,13,133940.7,90.0,1488.23,GOULETTE
3,2,151110,19-Sep,1,13,15018.651,9.0,1668.739,GOULETTE
3,3,151110,18-Feb,1,13,38457.074,29.0,1326.106,GOULETTE
2,1,151110,19-Feb,1,13,89127.01,71.0,1255.31,GOULETTE
2,1,151110,19-May,1,13,95989.392,72.0,1333.1860000000001,GOULETTE
2,2,151110,19-May,1,13,275688.6,165.0,1670.84,GOULETTE
3,2,151110,19-May,1,13,3341.68,2.0,1670.84,GOULETTE
2,2,151110,19-Nov,1,13,203586.158,122.0,1668.739,GOULETTE
2,1,151110,19-Dec,1,13,93168.11,70.0,1330.973,GOULETTE
2,1,151110,18-Jan,1,13,87472.791,81.0,1079.911,GOULETTE
3,3,151110,18-Jan,1,13,118023.434,89.0,1326.106,GOULETTE
3,2,151110,18-Jan,1,13,7256.72,5.0,1451.344,GOULETTE
3,2,151110,18-Mar,1,13,5805.376,4.0,1451.344,GOULETTE
3,2,151110,18-Dec,1,13,22495.298,14.0,1606.807,GOULETTE
2,1,151110,18-Aug,1,13,67860.267,57.0,1190.5310000000002,GOULETTE
2,2,151110,18-Nov,1,13,175141.963,109.0,1606.8069999999998,GOULETTE
2,2,151110,19-Feb,1,13,174977.046,109.0,1605.294,GOULETTE
2,1,151110,18-Mar,1,13,80993.325,75.0,1079.911,GOULETTE
2,2,151110,18-Mar,1,13,174161.28,120.0,1451.344,GOULETTE
3,3,151110,18-Apr,1,13,134294.692,98.0,1370.354,GOULETTE
2,2,151110,18-Apr,1,13,206083.818,138.0,1493.361,GOULETTE
3,1,151110,18-Jun,1,13,4629.38,4.0,1157.345,GOULETTE
1,2,151110,19-Feb,1,13,32105.88,20.0,1605.294,GOULETTE
2,1,151110,19-Apr,1,13,99988.95,75.0,1333.186,GOULETTE
2,2,151110,18-May,1,13,189656.847,127.0,1493.361,GOULETTE
1,3,151110,18-Dec,1,13,14898.23,10.0,1489.8229999999999,GOULETTE
2,2,151110,18-Jul,1,13,206999.338,133.0,1556.386,GOULETTE
3,1,151110,18-Jul,1,13,5952.655,5.0,1190.531,GOULETTE
1,1,151110,18-Aug,1,13,5952.655,5.0,1190.531,GOULETTE
3,1,151110,18-Sep,1,13,3770.709,3.0,1256.903,GOULETTE
2,1,151110,19-Sep,1,13,99822.975,75.0,1330.9730000000002,GOULETTE
2,6,151110,19-Mar,1,13,7441.15,5.0,1488.23,GOULETTE
2,1,151110,19-Nov,1,13,89175.191,67.0,1330.9730000000002,GOULETTE
2,2,151110,19-Dec,1,13,220273.548,132.0,1668.739,GOULETTE
3,2,151110,18-Apr,1,13,2986.722,2.0,1493.361,GOULETTE
2,3,151110,19-May,1,13,151053.929,97.0,1557.257,GOULETTE
1,2,151110,18-Aug,1,13,59142.668,38.0,1556.386,GOULETTE
2,1,151110,18-Jun,1,13,65404.503,57.0,1147.4474210526316,GOULETTE
2,1,151110,18-Oct,1,13,59074.441,47.0,1256.903,GOULETTE
1,3,151110,18-Oct,1,13,32776.106,22.0,1489.823,GOULETTE
3,1,151110,18-Oct,1,13,32679.478,26.0,1256.903,GOULETTE
1,1,151110,18-Jun,1,13,6744.954,6.0,1124.1589999999999,GOULETTE
2,6,151110,19-Aug,1,13,178830.06,115.0,1555.0439999999999,GOULETTE
2,6,151110,19-May,1,13,9343.542,6.0,1557.2569999999998,GOULETTE
2,1,151110,19-Jul,1,13,101246.894,76.0,1332.1959736842105,GOULETTE
2,1,151110,18-Feb,1,13,25917.864,24.0,1079.911,GOULETTE
1,1,151110,19-Jan,1,13,15063.72,12.0,1255.31,GOULETTE
2,1,151110,18-Nov,1,13,74157.277,59.0,1256.903,GOULETTE
3,3,151110,18-Oct,1,13,110246.902,74.0,1489.823,GOULETTE
2,6,151110,19-Dec,1,13,130623.696,84.0,1555.0439999999999,GOULETTE
3,3,151110,18-May,1,13,126072.568,92.0,1370.354,GOULETTE
1,2,151110,18-Dec,1,13,25708.912,16.0,1606.807,GOULETTE
3,3,151110,19-Jan,1,13,95246.72,64.0,1488.23,GOULETTE
2,1,151110,18-Jul,1,13,70241.329,59.0,1190.531,GOULETTE
3,3,151110,18-Aug,1,13,109191.176,76.0,1436.726,GOULETTE
3,2,151110,18-Aug,1,13,14007.474,9.0,1556.386,GOULETTE
2,2,151110,18-Sep,1,13,182873.472,114.0,1604.1532631578948,GOULETTE
2,6,151110,19-Jul,1,13,155606.198,100.0,1556.06198,GOULETTE
3,2,151110,19-Aug,1,13,16687.39,10.0,1668.739,GOULETTE
2,6,151110,19-Nov,1,13,87082.464,56.0,1555.044,GOULETTE
3,3,151110,18-Jul,1,13,139362.422,97.0,1436.7259999999999,GOULETTE
3,3,151110,18-Sep,1,13,142704.426,96.0,1486.5044375,GOULETTE
2,2,151110,18-Jun,1,13,188623.9,125.0,1508.9912,GOULETTE
2,2,151110,19-Oct,1,13,211929.853,127.0,1668.739,GOULETTE
2,2,151110,19-Mar,1,13,131634.108,82.0,1605.294,GOULETTE
1,2,151110,19-Jan,1,13,61001.172,38.0,1605.2939999999999,GOULETTE
3,1,151110,18-Aug,1,13,8333.717,7.0,1190.5310000000002,GOULETTE
3,3,151110,18-Jun,1,13,118404.878,85.0,1392.9985647058822,GOULETTE
3,1,151110,18-Nov,1,13,8798.321,7.0,1256.903,GOULETTE
3,2,151110,18-Jun,1,13,3112.772,2.0,1556.386,GOULETTE
2,1,151110,19-Mar,1,13,65276.12,52.0,1255.31,GOULETTE
1,1,151110,19-Mar,1,13,17574.34,14.0,1255.31,GOULETTE
3,1,151110,19-Mar,1,13,5021.24,4.0,1255.31,GOULETTE
3,2,151110,19-Mar,1,13,11237.058,7.0,1605.294,GOULETTE
2,1,151110,18-Feb,1,13,52915.639,49.0,1079.911,GOULETTE
3,3,151110,18-Feb,1,13,3978.318,3.0,1326.106,GOULETTE
2,1,151110,18-May,1,13,59580.427,53.0,1124.159,GOULETTE
1,3,151110,18-Aug,1,13,34481.424,24.0,1436.7259999999999,GOULETTE
3,2,151110,18-Oct,1,13,33742.947,21.0,1606.807,GOULETTE
2,6,151110,19-Oct,1,13,139953.96,90.0,1555.0439999999999,GOULETTE
2,6,151110,19-Sep,1,13,150839.268,97.0,1555.044,GOULETTE
2,2,151110,19-Aug,1,13,215267.331,129.0,1668.739,GOULETTE
3,1,151110,19-Jun,1,13,9332.302,7.0,1333.186,GOULETTE
1,2,151110,19-Sep,1,13,26699.824,16.0,1668.739,GOULETTE
1,3,151110,18-Feb,1,13,63653.088,48.0,1326.106,GOULETTE
3,1,151110,18-Mar,1,13,2159.822,2.0,1079.911,GOULETTE
2,1,151110,18-Apr,1,13,78691.13,70.0,1124.159,GOULETTE
3,1,151110,18-May,1,13,14614.067,13.0,1124.1589999999999,GOULETTE
3,3,151110,18-Dec,1,13,108726.812,73.0,1489.4083835616439,GOULETTE
3,3,151110,19-Feb,1,13,108640.79,73.0,1488.23,GOULETTE
2,1,151110,18-Sep,1,13,77927.986,62.0,1256.903,GOULETTE
2,1,151110,19-Jun,1,13,93323.02,70.0,1333.1860000000001,GOULETTE
2,2,151110,19-Apr,1,13,230575.92,138.0,1670.8400000000001,GOULETTE
3,1,151110,19-May,1,13,9332.302,7.0,1333.186,GOULETTE
