NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
3,3,155660,18-Feb,7,33,33152.65,25.0,1326.106,GRIAAT N. PK29
3,2,155660,18-Aug,7,33,49804.352,32.0,1556.386,GRIAAT N. PK29
3,3,155660,18-Oct,7,33,84919.911,57.0,1489.8229999999999,GRIAAT N. PK29
2,1,155660,19-Oct,7,33,157054.814,118.0,1330.9730000000002,GRIAAT N. PK29
2,2,155660,19-Oct,7,33,221942.287,133.0,1668.739,GRIAAT N. PK29
2,3,155660,19-May,7,33,90320.906,58.0,1557.257,GRIAAT N. PK29
3,1,155660,19-Mar,7,33,2510.62,2.0,1255.31,GRIAAT N. PK29
2,4,155660,19-Jun,7,33,12765.291,7.0,1823.6129999999998,GRIAAT N. PK29
2,6,155660,19-Aug,7,33,181940.148,117.0,1555.0439999999999,GRIAAT N. PK29
2,6,155660,19-Dec,7,33,113518.212,73.0,1555.044,GRIAAT N. PK29
3,3,155660,18-May,7,33,78110.178,57.0,1370.354,GRIAAT N. PK29
2,1,155660,18-Dec,7,33,133180.742,106.0,1256.4220943396226,GRIAAT N. PK29
2,2,155660,18-Jun,7,33,129922.407,87.0,1493.361,GRIAAT N. PK29
2,4,155660,19-Feb,7,33,10497.984,6.0,1749.664,GRIAAT N. PK29
2,6,155660,19-Sep,7,33,138398.916,89.0,1555.0439999999999,GRIAAT N. PK29
3,2,155660,19-Sep,7,33,46724.692,28.0,1668.739,GRIAAT N. PK29
3,2,155660,18-Dec,7,33,22495.298,14.0,1606.807,GRIAAT N. PK29
2,1,155660,18-Jun,7,33,58336.019,49.0,1190.531,GRIAAT N. PK29
2,2,155660,18-Oct,7,33,191210.033,119.0,1606.807,GRIAAT N. PK29
2,1,155660,19-Feb,7,33,125531.0,100.0,1255.31,GRIAAT N. PK29
2,2,155660,19-Jun,7,33,217209.2,130.0,1670.8400000000001,GRIAAT N. PK29
2,1,155660,19-Aug,7,33,235582.221,177.0,1330.973,GRIAAT N. PK29
3,5,155660,19-Mar,7,33,9788.496,6.0,1631.416,GRIAAT N. PK29
3,3,155660,18-Dec,7,33,99786.281,67.0,1489.3474776119403,GRIAAT N. PK29
3,1,155660,18-Dec,7,33,16339.739,13.0,1256.903,GRIAAT N. PK29
3,5,155660,18-Aug,7,33,18939.828,12.0,1578.3190000000002,GRIAAT N. PK29
2,1,155660,18-Sep,7,33,155855.972,124.0,1256.903,GRIAAT N. PK29
2,2,155660,18-Sep,7,33,196030.454,122.0,1606.807,GRIAAT N. PK29
3,5,155660,18-Sep,7,33,16314.16,10.0,1631.416,GRIAAT N. PK29
2,1,155660,18-Jun,7,33,82063.607,73.0,1124.159,GRIAAT N. PK29
3,4,155660,18-Sep,7,33,17496.64,10.0,1749.664,GRIAAT N. PK29
2,3,155660,19-Apr,7,33,82534.621,53.0,1557.257,GRIAAT N. PK29
3,2,155660,19-Mar,7,33,19263.528,12.0,1605.2939999999999,GRIAAT N. PK29
2,2,155660,19-Nov,7,33,250310.85,150.0,1668.739,GRIAAT N. PK29
2,2,155660,18-Feb,7,33,146585.744,101.0,1451.344,GRIAAT N. PK29
2,1,155660,18-Aug,7,33,192866.022,162.0,1190.531,GRIAAT N. PK29
1,2,155660,18-Aug,7,33,34240.492,22.0,1556.386,GRIAAT N. PK29
3,3,155660,18-Sep,7,33,120144.693,81.0,1483.2678148148148,GRIAAT N. PK29
3,1,155660,19-May,7,33,18664.604,14.0,1333.186,GRIAAT N. PK29
3,6,155660,19-Jun,7,33,20244.341,13.0,1557.257,GRIAAT N. PK29
3,1,155660,19-Aug,7,33,17302.649,13.0,1330.9730000000002,GRIAAT N. PK29
3,6,155660,19-Nov,7,33,24880.704,16.0,1555.044,GRIAAT N. PK29
2,1,155660,18-Jul,7,33,136911.065,115.0,1190.531,GRIAAT N. PK29
2,2,155660,18-Aug,7,33,202330.18,130.0,1556.386,GRIAAT N. PK29
2,4,155660,18-Aug,7,33,22090.172,13.0,1699.244,GRIAAT N. PK29
3,2,155660,18-Oct,7,33,24102.105,15.0,1606.807,GRIAAT N. PK29
3,2,155660,19-Feb,7,33,38527.056,24.0,1605.2939999999999,GRIAAT N. PK29
2,1,155660,19-Mar,7,33,123020.38,98.0,1255.31,GRIAAT N. PK29
2,2,155660,19-Sep,7,33,188567.507,113.0,1668.739,GRIAAT N. PK29
2,5,155660,19-Jun,7,33,17092.92,10.0,1709.292,GRIAAT N. PK29
2,1,155660,18-Jan,7,33,117710.299,109.0,1079.911,GRIAAT N. PK29
3,4,155660,18-Jul,7,33,16992.44,10.0,1699.244,GRIAAT N. PK29
3,3,155660,18-Aug,7,33,116374.806,81.0,1436.7259999999999,GRIAAT N. PK29
2,2,155660,18-Jul,7,33,188322.706,121.0,1556.386,GRIAAT N. PK29
3,5,155660,18-Nov,7,33,9788.496,6.0,1631.416,GRIAAT N. PK29
3,3,155660,19-Feb,7,33,98223.18,66.0,1488.2299999999998,GRIAAT N. PK29
3,5,155660,19-Feb,7,33,9788.496,6.0,1631.416,GRIAAT N. PK29
1,1,155660,19-Mar,7,33,8787.17,7.0,1255.31,GRIAAT N. PK29
2,1,155660,19-Nov,7,33,174357.463,131.0,1330.973,GRIAAT N. PK29
3,1,155660,18-Apr,7,33,7869.113,7.0,1124.159,GRIAAT N. PK29
2,4,155660,19-Jan,7,33,13997.312,8.0,1749.664,GRIAAT N. PK29
3,3,155660,18-Jul,7,33,110627.902,77.0,1436.726,GRIAAT N. PK29
3,4,155660,19-Jan,7,33,17496.64,10.0,1749.664,GRIAAT N. PK29
3,1,155660,19-Jan,7,33,7531.86,6.0,1255.31,GRIAAT N. PK29
2,6,155660,19-Oct,7,33,107298.036,69.0,1555.0439999999999,GRIAAT N. PK29
2,2,155660,19-Aug,7,33,335416.539,201.0,1668.739,GRIAAT N. PK29
1,2,155660,19-Mar,7,33,9631.764,6.0,1605.2939999999999,GRIAAT N. PK29
3,3,155660,18-Jan,7,33,76914.148,58.0,1326.106,GRIAAT N. PK29
2,2,155660,18-May,7,33,182190.042,122.0,1493.3609999999999,GRIAAT N. PK29
3,3,155660,19-Jan,7,33,98223.18,66.0,1488.2299999999998,GRIAAT N. PK29
1,1,155660,19-Jan,7,33,18829.65,15.0,1255.3100000000002,GRIAAT N. PK29
2,2,155660,19-May,7,33,192146.6,115.0,1670.8400000000001,GRIAAT N. PK29
2,6,155660,19-Jun,7,33,84091.878,54.0,1557.2569999999998,GRIAAT N. PK29
2,5,155660,19-Apr,7,33,8546.46,5.0,1709.292,GRIAAT N. PK29
2,4,155660,19-Mar,7,33,8748.32,5.0,1749.664,GRIAAT N. PK29
2,2,155660,19-Jul,7,33,252122.457,151.0,1669.685145695364,GRIAAT N. PK29
2,1,155660,19-Jul,7,33,186453.509,140.0,1331.8107785714285,GRIAAT N. PK29
