NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
2,2,155670,18-Feb,7,33,104496.768,72.0,1451.344,GRIAAT S. PK29
2,1,155670,18-Apr,7,33,80939.448,72.0,1124.159,GRIAAT S. PK29
3,1,155670,18-Jul,7,33,11905.31,10.0,1190.531,GRIAAT S. PK29
2,1,155670,18-Oct,7,33,76671.083,61.0,1256.903,GRIAAT S. PK29
3,3,155670,18-Jun,7,33,15803.986,11.0,1436.726,GRIAAT S. PK29
2,5,155670,19-Oct,7,33,5121.24,3.0,1707.08,GRIAAT S. PK29
3,5,155670,18-Jul,7,33,15783.19,10.0,1578.319,GRIAAT S. PK29
3,1,155670,18-Jun,7,33,15738.226,14.0,1124.159,GRIAAT S. PK29
2,2,155670,19-May,7,33,143692.24,86.0,1670.84,GRIAAT S. PK29
3,2,155670,19-Feb,7,33,19263.528,12.0,1605.2939999999999,GRIAAT S. PK29
2,1,155670,19-Oct,7,33,123780.489,93.0,1330.973,GRIAAT S. PK29
3,6,155670,19-Apr,7,33,17129.827,11.0,1557.257,GRIAAT S. PK29
2,4,155670,19-Aug,7,33,16393.608,9.0,1821.512,GRIAAT S. PK29
2,1,155670,19-Dec,7,33,103815.894,78.0,1330.973,GRIAAT S. PK29
2,2,155670,19-Dec,7,33,131830.381,79.0,1668.739,GRIAAT S. PK29
3,1,155670,18-Aug,7,33,7143.186,6.0,1190.531,GRIAAT S. PK29
3,2,155670,19-Jan,7,33,9631.764,6.0,1605.2939999999999,GRIAAT S. PK29
2,1,155670,18-Jun,7,33,57332.109,51.0,1124.1589999999999,GRIAAT S. PK29
2,1,155670,18-Jun,7,33,29763.275,25.0,1190.531,GRIAAT S. PK29
2,1,155670,19-Feb,7,33,76573.91,61.0,1255.31,GRIAAT S. PK29
2,2,155670,19-Apr,7,33,145363.08,87.0,1670.84,GRIAAT S. PK29
