NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
2,2,152290,18-Mar,4,26,216250.256,149.0,1451.344,GROMBALIA
2,1,152290,18-Apr,4,26,254059.934,226.0,1124.159,GROMBALIA
1,1,152290,18-May,4,26,35973.088,32.0,1124.159,GROMBALIA
1,2,152290,18-Dec,4,26,41776.982,26.0,1606.8070000000002,GROMBALIA
2,2,152290,18-Dec,4,26,197569.176,123.0,1606.253463414634,GROMBALIA
2,1,152290,18-Jun,4,26,218899.97,190.0,1152.1051052631578,GROMBALIA
2,1,152290,19-Feb,4,26,273657.58,218.0,1255.3100000000002,GROMBALIA
2,2,152290,19-May,4,26,218880.04,131.0,1670.8400000000001,GROMBALIA
2,3,152290,19-Apr,4,26,65404.794,42.0,1557.257,GROMBALIA
1,2,152290,19-Sep,4,26,36712.258,22.0,1668.739,GROMBALIA
3,2,152290,19-Sep,4,26,20024.868,12.0,1668.7389999999998,GROMBALIA
1,2,152290,19-Jan,4,26,80264.7,50.0,1605.2939999999999,GROMBALIA
3,3,152290,18-Jul,4,26,104880.998,73.0,1436.726,GROMBALIA
2,1,152290,19-Oct,4,26,312778.655,235.0,1330.9730000000002,GROMBALIA
2,2,152290,19-Oct,4,26,238629.677,143.0,1668.739,GROMBALIA
1,1,152290,19-May,4,26,9332.302,7.0,1333.186,GROMBALIA
2,2,152290,19-Mar,4,26,136449.99,85.0,1605.2939999999999,GROMBALIA
2,1,152290,19-Sep,4,26,284828.222,214.0,1330.973,GROMBALIA
2,6,152290,19-Jul,4,26,90258.942,58.0,1556.1886551724137,GROMBALIA
2,2,152290,19-Nov,4,26,215267.331,129.0,1668.739,GROMBALIA
2,2,152290,18-Feb,4,26,134974.992,93.0,1451.344,GROMBALIA
3,3,152290,18-Apr,4,26,90443.364,66.0,1370.354,GROMBALIA
2,6,152290,19-Jun,4,26,62290.28,40.0,1557.257,GROMBALIA
2,1,152290,18-Feb,4,26,88552.702,82.0,1079.911,GROMBALIA
1,2,152290,18-Jan,4,26,14513.44,10.0,1451.344,GROMBALIA
1,1,152290,18-Mar,4,26,21598.22,20.0,1079.911,GROMBALIA
2,2,152290,18-May,4,26,225497.511,151.0,1493.361,GROMBALIA
3,3,152290,18-Jun,4,26,90732.31,65.0,1395.8816923076922,GROMBALIA
2,1,152290,19-Jun,4,26,293300.92,220.0,1333.186,GROMBALIA
1,1,152290,19-Mar,4,26,69042.05,55.0,1255.31,GROMBALIA
1,2,152290,19-Jun,4,26,55137.72,33.0,1670.8400000000001,GROMBALIA
1,2,152290,18-Mar,4,26,17416.128,12.0,1451.344,GROMBALIA
1,2,152290,18-Apr,4,26,8960.166,6.0,1493.3609999999999,GROMBALIA
3,3,152290,19-Jan,4,26,80364.42,54.0,1488.23,GROMBALIA
1,1,152290,19-Jan,4,26,71552.67,57.0,1255.31,GROMBALIA
3,3,152290,18-Aug,4,26,68962.848,48.0,1436.7259999999999,GROMBALIA
2,1,152290,18-Oct,4,26,247609.891,197.0,1256.903,GROMBALIA
3,1,152290,18-Dec,4,26,16339.739,13.0,1256.903,GROMBALIA
2,6,152290,19-May,4,26,12458.056,8.0,1557.257,GROMBALIA
2,2,152290,19-Jul,4,26,257141.28,154.0,1669.7485714285715,GROMBALIA
2,6,152290,19-Dec,4,26,88637.508,57.0,1555.044,GROMBALIA
2,2,152290,18-Feb,4,26,66761.824,46.0,1451.3439999999998,GROMBALIA
3,3,152290,18-Jan,4,26,82218.572,62.0,1326.106,GROMBALIA
3,3,152290,18-Mar,4,26,88849.102,67.0,1326.106,GROMBALIA
1,1,152290,18-Oct,4,26,72900.374,58.0,1256.903,GROMBALIA
2,2,152290,19-Apr,4,26,218880.04,131.0,1670.8400000000001,GROMBALIA
1,6,152290,19-Jun,4,26,18687.084,12.0,1557.2569999999998,GROMBALIA
2,1,152290,19-Jul,4,26,333024.301,250.0,1332.097204,GROMBALIA
2,1,152290,19-Nov,4,26,303461.844,228.0,1330.973,GROMBALIA
2,6,152290,19-Nov,4,26,91747.596,59.0,1555.044,GROMBALIA
3,2,152290,18-Aug,4,26,15563.86,10.0,1556.386,GROMBALIA
1,2,152290,18-Oct,4,26,48204.21,30.0,1606.807,GROMBALIA
2,1,152290,19-Aug,4,26,288821.141,217.0,1330.973,GROMBALIA
3,2,152290,18-Jan,4,26,14513.44,10.0,1451.344,GROMBALIA
3,3,152290,18-Feb,4,26,7956.636,6.0,1326.106,GROMBALIA
1,3,152290,18-Feb,4,26,47739.816,36.0,1326.106,GROMBALIA
1,2,152290,18-May,4,26,16426.971,11.0,1493.361,GROMBALIA
1,1,152290,18-Jul,4,26,46430.709,39.0,1190.5310000000002,GROMBALIA
