NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
3,1,154900,18-Apr,7,32,6744.954,6.0,1124.1589999999999,GUEBELLAT
1,1,154900,18-Oct,7,32,15082.836,12.0,1256.903,GUEBELLAT
3,1,154900,18-Nov,7,32,21367.351,17.0,1256.903,GUEBELLAT
2,1,154900,19-Feb,7,32,148126.58,118.0,1255.31,GUEBELLAT
3,1,154900,19-May,7,32,25330.534,19.0,1333.186,GUEBELLAT
3,1,154900,19-Aug,7,32,13309.73,10.0,1330.973,GUEBELLAT
2,1,154900,19-Dec,7,32,251553.897,189.0,1330.973,GUEBELLAT
3,3,154900,18-Jul,7,32,2873.452,2.0,1436.726,GUEBELLAT
3,2,154900,18-Aug,7,32,17120.246,11.0,1556.386,GUEBELLAT
2,1,154900,18-Sep,7,32,165911.196,132.0,1256.903,GUEBELLAT
2,1,154900,19-Jun,7,32,319964.64,240.0,1333.1860000000001,GUEBELLAT
3,3,154900,19-Feb,7,32,4464.69,3.0,1488.2299999999998,GUEBELLAT
2,2,154900,19-Jun,7,32,58479.4,35.0,1670.8400000000001,GUEBELLAT
2,1,154900,18-Feb,7,32,103671.456,96.0,1079.911,GUEBELLAT
2,2,154900,19-Jan,7,32,36921.762,23.0,1605.294,GUEBELLAT
1,2,154900,19-Jan,7,32,4815.882,3.0,1605.2939999999999,GUEBELLAT
3,1,154900,19-Jan,7,32,32638.06,26.0,1255.31,GUEBELLAT
2,1,154900,19-Nov,7,32,295476.006,222.0,1330.973,GUEBELLAT
1,1,154900,18-Jun,7,32,7869.113,7.0,1124.159,GUEBELLAT
3,3,154900,18-Jun,7,32,9791.594,7.0,1398.7991428571427,GUEBELLAT
2,2,154900,19-Feb,7,32,36921.762,23.0,1605.294,GUEBELLAT
2,1,154900,19-Apr,7,32,181313.296,136.0,1333.186,GUEBELLAT
3,2,154900,19-Feb,7,32,8026.47,5.0,1605.294,GUEBELLAT
2,1,154900,19-Oct,7,32,279504.33,210.0,1330.9730000000002,GUEBELLAT
2,2,154900,18-Jul,7,32,56029.896,36.0,1556.386,GUEBELLAT
3,1,154900,18-Dec,7,32,16339.739,13.0,1256.903,GUEBELLAT
2,1,154900,18-Mar,7,32,134988.875,125.0,1079.911,GUEBELLAT
2,2,154900,18-Feb,7,32,23221.504,16.0,1451.344,GUEBELLAT
3,3,154900,18-Apr,7,32,4111.062,3.0,1370.354,GUEBELLAT
3,1,154900,18-May,7,32,44966.36,40.0,1124.159,GUEBELLAT
3,1,154900,18-Aug,7,32,23810.62,20.0,1190.531,GUEBELLAT
3,1,154900,18-Jul,7,32,22620.089,19.0,1190.531,GUEBELLAT
1,2,154900,18-Oct,7,32,6427.228,4.0,1606.807,GUEBELLAT
2,1,154900,19-Feb,7,32,15063.72,12.0,1255.31,GUEBELLAT
2,1,154900,19-Mar,7,32,125531.0,100.0,1255.31,GUEBELLAT
1,1,154900,19-Mar,7,32,27616.82,22.0,1255.31,GUEBELLAT
1,2,154900,19-Mar,7,32,4815.882,3.0,1605.2939999999999,GUEBELLAT
2,1,154900,19-Jul,7,32,262462.815,197.0,1332.2985532994924,GUEBELLAT
3,1,154900,18-Mar,7,32,9719.199,9.0,1079.911,GUEBELLAT
3,3,154900,18-May,7,32,5481.416,4.0,1370.354,GUEBELLAT
3,3,154900,18-Oct,7,32,5959.292,4.0,1489.823,GUEBELLAT
2,2,154900,18-Nov,7,32,44990.596,28.0,1606.807,GUEBELLAT
2,1,154900,19-May,7,32,175980.552,132.0,1333.186,GUEBELLAT
2,3,154900,19-Apr,7,32,4671.771,3.0,1557.2569999999998,GUEBELLAT
2,2,154900,19-Nov,7,32,56737.126,34.0,1668.7389999999998,GUEBELLAT
2,1,154900,18-Jan,7,32,157667.006,146.0,1079.911,GUEBELLAT
2,2,154900,18-Feb,7,32,13062.096,9.0,1451.344,GUEBELLAT
2,1,154900,18-Nov,7,32,237554.667,189.0,1256.903,GUEBELLAT
2,1,154900,18-Dec,7,32,147021.012,117.0,1256.589846153846,GUEBELLAT
2,1,154900,18-Jun,7,32,230929.694,202.0,1143.216306930693,GUEBELLAT
3,1,154900,19-Jul,7,32,14640.703,11.0,1330.973,GUEBELLAT
1,1,154900,18-Apr,7,32,26979.816,24.0,1124.1589999999999,GUEBELLAT
2,2,154900,18-May,7,32,35840.664,24.0,1493.3609999999999,GUEBELLAT
2,2,154900,18-Sep,7,32,53024.631,33.0,1606.807,GUEBELLAT
2,2,154900,19-Feb,7,32,6421.176,4.0,1605.294,GUEBELLAT
2,2,154900,19-Dec,7,32,50062.17,30.0,1668.739,GUEBELLAT
2,1,154900,18-Feb,7,32,49675.906,46.0,1079.911,GUEBELLAT
2,2,154900,18-Mar,7,32,36283.6,25.0,1451.344,GUEBELLAT
3,2,154900,18-May,7,32,8960.166,6.0,1493.3609999999999,GUEBELLAT
3,2,154900,19-Jan,7,32,9631.764,6.0,1605.2939999999999,GUEBELLAT
2,2,154900,19-Apr,7,32,51796.04,31.0,1670.84,GUEBELLAT
3,2,154900,19-Sep,7,32,5006.217,3.0,1668.7389999999998,GUEBELLAT
2,2,154900,18-Apr,7,32,47787.552,32.0,1493.361,GUEBELLAT
2,1,154900,18-May,7,32,169748.009,151.0,1124.1589999999999,GUEBELLAT
3,6,154900,19-Mar,7,32,8929.38,6.0,1488.2299999999998,GUEBELLAT
2,1,154900,19-Sep,7,32,232920.275,175.0,1330.973,GUEBELLAT
2,2,154900,18-Jan,7,32,33380.912,23.0,1451.3439999999998,GUEBELLAT
