NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
2,2,153790,18-Oct,11,53,19281.684,12.0,1606.807,HAFFOUZ
2,1,153790,19-Feb,11,53,134318.17,107.0,1255.3100000000002,HAFFOUZ
1,2,153790,19-Feb,11,53,8026.47,5.0,1605.294,HAFFOUZ
2,1,153790,19-Mar,11,53,124275.69,99.0,1255.31,HAFFOUZ
1,2,153790,18-Mar,11,53,7256.72,5.0,1451.344,HAFFOUZ
2,2,153790,18-Dec,11,53,38545.212,24.0,1606.0505,HAFFOUZ
1,1,153790,18-Jun,11,53,156328.638,138.0,1132.8162173913045,HAFFOUZ
2,6,153790,19-Aug,11,53,15550.44,10.0,1555.044,HAFFOUZ
2,2,153790,19-Dec,11,53,51730.909,31.0,1668.739,HAFFOUZ
1,2,153790,18-Feb,11,53,13062.096,9.0,1451.344,HAFFOUZ
3,1,153790,18-Mar,11,53,12958.932,12.0,1079.911,HAFFOUZ
2,2,153790,18-Apr,11,53,5973.444,4.0,1493.361,HAFFOUZ
2,2,153790,19-Jan,11,53,28895.292,18.0,1605.294,HAFFOUZ
2,2,153790,18-Jul,11,53,6225.544,4.0,1556.386,HAFFOUZ
3,3,153790,18-Dec,11,53,8929.38,6.0,1488.2299999999998,HAFFOUZ
2,2,153790,18-Jan,11,53,7256.72,5.0,1451.344,HAFFOUZ
1,1,153790,18-Apr,11,53,127029.967,113.0,1124.159,HAFFOUZ
3,3,153790,18-Aug,11,53,5746.904,4.0,1436.726,HAFFOUZ
1,2,153790,18-Aug,11,53,32684.106,21.0,1556.386,HAFFOUZ
2,1,153790,19-May,11,53,119986.74,90.0,1333.1860000000001,HAFFOUZ
1,1,153790,18-Mar,11,53,76673.681,71.0,1079.911,HAFFOUZ
2,1,153790,18-Dec,11,53,194724.385,155.0,1256.2863548387097,HAFFOUZ
2,1,153790,19-Jan,11,53,149381.89,119.0,1255.3100000000002,HAFFOUZ
1,1,153790,18-Aug,11,53,88099.294,74.0,1190.531,HAFFOUZ
1,3,153790,18-Jul,11,53,2873.452,2.0,1436.726,HAFFOUZ
1,1,153790,18-Sep,11,53,160879.419,129.0,1247.1272790697674,HAFFOUZ
2,1,153790,18-Sep,11,53,50276.12,40.0,1256.903,HAFFOUZ
3,3,153790,18-Nov,11,53,7449.115,5.0,1489.8229999999999,HAFFOUZ
1,1,153790,19-Apr,11,53,41328.766,31.0,1333.1860000000001,HAFFOUZ
2,3,153790,19-Apr,11,53,7786.285,5.0,1557.257,HAFFOUZ
1,2,153790,19-Mar,11,53,6421.176,4.0,1605.294,HAFFOUZ
2,1,153790,19-Nov,11,53,214286.653,161.0,1330.973,HAFFOUZ
1,1,153790,18-Feb,11,53,106911.189,99.0,1079.911,HAFFOUZ
1,2,153790,18-May,11,53,13440.249,9.0,1493.3609999999999,HAFFOUZ
3,2,153790,18-Aug,11,53,15563.86,10.0,1556.386,HAFFOUZ
1,2,153790,18-Sep,11,53,30176.386,19.0,1588.230842105263,HAFFOUZ
1,1,153790,18-Oct,11,53,115635.076,92.0,1256.903,HAFFOUZ
1,3,153790,18-Oct,11,53,13408.407,9.0,1489.8229999999999,HAFFOUZ
3,3,153790,19-Jan,11,53,5952.92,4.0,1488.23,HAFFOUZ
2,1,153790,19-Jun,11,53,194645.156,146.0,1333.186,HAFFOUZ
1,2,153790,18-Jan,11,53,10159.408,7.0,1451.3439999999998,HAFFOUZ
1,3,153790,18-Feb,11,53,5304.424,4.0,1326.106,HAFFOUZ
2,1,153790,18-Jun,11,53,21429.558,18.0,1190.531,HAFFOUZ
1,1,153790,19-May,11,53,59993.37,45.0,1333.1860000000001,HAFFOUZ
1,2,153790,19-May,11,53,8354.2,5.0,1670.8400000000001,HAFFOUZ
1,2,153790,18-Apr,11,53,17920.332,12.0,1493.3609999999999,HAFFOUZ
2,2,153790,18-May,11,53,13440.249,9.0,1493.3609999999999,HAFFOUZ
1,1,153790,18-Jul,11,53,144054.251,121.0,1190.531,HAFFOUZ
2,1,153790,18-Aug,11,53,95242.48,80.0,1190.531,HAFFOUZ
1,2,153790,18-Jun,11,53,31360.581,21.0,1493.3609999999999,HAFFOUZ
3,1,153790,19-May,11,53,29330.092,22.0,1333.186,HAFFOUZ
2,1,153790,19-Jul,11,53,194481.394,146.0,1332.0643424657535,HAFFOUZ
2,1,153790,19-Apr,11,53,171980.994,129.0,1333.1860000000001,HAFFOUZ
2,2,153790,19-Oct,11,53,40049.736,24.0,1668.7389999999998,HAFFOUZ
2,6,153790,19-Jun,11,53,12458.056,8.0,1557.257,HAFFOUZ
3,3,153790,18-Feb,11,53,5304.424,4.0,1326.106,HAFFOUZ
2,1,153790,18-Nov,11,53,159626.681,127.0,1256.903,HAFFOUZ
2,1,153790,19-Oct,11,53,242237.086,182.0,1330.973,HAFFOUZ
2,6,153790,19-Jul,11,53,7775.22,5.0,1555.044,HAFFOUZ
3,1,153790,18-Feb,11,53,10799.11,10.0,1079.911,HAFFOUZ
2,1,153790,18-Mar,11,53,46436.173,43.0,1079.911,HAFFOUZ
3,3,153790,18-May,11,53,6851.77,5.0,1370.354,HAFFOUZ
3,1,153790,18-Dec,11,53,47762.314,38.0,1256.903,HAFFOUZ
1,3,153790,18-Sep,11,53,13142.922,9.0,1460.3246666666666,HAFFOUZ
2,2,153790,18-Nov,11,53,24102.105,15.0,1606.807,HAFFOUZ
3,2,153790,19-May,11,53,6683.36,4.0,1670.84,HAFFOUZ
2,6,153790,19-Oct,11,53,18660.528,12.0,1555.0439999999999,HAFFOUZ
2,1,153790,19-Aug,11,53,214286.653,161.0,1330.973,HAFFOUZ
3,1,153790,19-Aug,11,53,42591.136,32.0,1330.973,HAFFOUZ
2,6,153790,19-Sep,11,53,7775.22,5.0,1555.044,HAFFOUZ
3,1,153790,18-Aug,11,53,7143.186,6.0,1190.531,HAFFOUZ
2,1,153790,18-Oct,11,53,93010.822,74.0,1256.903,HAFFOUZ
2,3,153790,19-May,11,53,15572.57,10.0,1557.257,HAFFOUZ
2,2,153790,19-Sep,11,53,23362.346,14.0,1668.739,HAFFOUZ
2,2,153790,19-Jun,11,53,33416.8,20.0,1670.8400000000001,HAFFOUZ
2,2,153790,19-Nov,11,53,48393.431,29.0,1668.7389999999998,HAFFOUZ
2,6,153790,19-Dec,11,53,6220.176,4.0,1555.044,HAFFOUZ
1,1,153790,18-Jan,11,53,91792.435,85.0,1079.911,HAFFOUZ
2,2,153790,18-Mar,11,53,13062.096,9.0,1451.344,HAFFOUZ
1,2,153790,18-Oct,11,53,9640.842,6.0,1606.807,HAFFOUZ
1,1,153790,19-Mar,11,53,41425.23,33.0,1255.3100000000002,HAFFOUZ
2,2,153790,19-Aug,11,53,53399.648,32.0,1668.739,HAFFOUZ
2,6,153790,19-Nov,11,53,9330.264,6.0,1555.0439999999999,HAFFOUZ
2,1,153790,19-Dec,11,53,198314.977,149.0,1330.9730000000002,HAFFOUZ
2,1,153790,18-Jan,11,53,78833.503,73.0,1079.911,HAFFOUZ
3,3,153790,18-Apr,11,53,5481.416,4.0,1370.354,HAFFOUZ
2,2,153790,19-Mar,11,53,20868.822,13.0,1605.294,HAFFOUZ
2,2,153790,19-May,11,53,20050.08,12.0,1670.8400000000001,HAFFOUZ
2,1,153790,19-Sep,11,53,187667.193,141.0,1330.973,HAFFOUZ
2,1,153790,18-Feb,11,53,52915.639,49.0,1079.911,HAFFOUZ
2,2,153790,18-Feb,11,53,8708.064,6.0,1451.344,HAFFOUZ
1,1,153790,18-May,11,53,147264.829,131.0,1124.1589999999999,HAFFOUZ
2,1,153790,18-May,11,53,38221.406,34.0,1124.159,HAFFOUZ
2,1,153790,18-Apr,11,53,31476.452,28.0,1124.159,HAFFOUZ
2,1,153790,18-Jul,11,53,33334.868,28.0,1190.5310000000002,HAFFOUZ
3,1,153790,18-Nov,11,53,28908.769,23.0,1256.903,HAFFOUZ
3,3,153790,19-Feb,11,53,13394.07,9.0,1488.23,HAFFOUZ
2,2,153790,19-Feb,11,53,19263.528,12.0,1605.2939999999999,HAFFOUZ
