NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
1,1,153420,18-Jan,11,50,194383.98,180.0,1079.911,HAJEB EL AYOUN
1,3,153420,18-Feb,11,50,25196.014,19.0,1326.106,HAJEB EL AYOUN
1,2,153420,18-Mar,11,50,71115.856,49.0,1451.344,HAJEB EL AYOUN
1,3,153420,18-May,11,50,32888.496,24.0,1370.354,HAJEB EL AYOUN
2,1,153420,18-Oct,11,50,17596.642,14.0,1256.903,HAJEB EL AYOUN
1,1,153420,19-Jun,11,50,66659.3,50.0,1333.1860000000001,HAJEB EL AYOUN
1,2,153420,18-Apr,11,50,61227.801,41.0,1493.3609999999999,HAJEB EL AYOUN
1,1,153420,18-Jun,11,50,166056.167,145.0,1145.2149448275861,HAJEB EL AYOUN
3,1,153420,18-Aug,11,50,15476.903,13.0,1190.531,HAJEB EL AYOUN
2,2,153420,19-Jan,11,50,4815.882,3.0,1605.2939999999999,HAJEB EL AYOUN
1,2,153420,19-Feb,11,50,59395.878,37.0,1605.2939999999999,HAJEB EL AYOUN
1,2,153420,19-Apr,11,50,68504.44,41.0,1670.8400000000001,HAJEB EL AYOUN
1,2,153420,19-May,11,50,58479.4,35.0,1670.8400000000001,HAJEB EL AYOUN
2,1,153420,19-Jul,11,50,30663.278,23.0,1333.186,HAJEB EL AYOUN
1,6,153420,19-Oct,11,50,37321.056,24.0,1555.0439999999999,HAJEB EL AYOUN
1,1,153420,18-Feb,11,50,170625.938,158.0,1079.911,HAJEB EL AYOUN
3,3,153420,19-Jan,11,50,2976.46,2.0,1488.23,HAJEB EL AYOUN
1,1,153420,18-Dec,11,50,134421.715,107.0,1256.2777102803739,HAJEB EL AYOUN
1,2,153420,18-Sep,11,50,65727.824,41.0,1603.1176585365852,HAJEB EL AYOUN
1,1,153420,18-Oct,11,50,172195.711,137.0,1256.903,HAJEB EL AYOUN
1,1,153420,19-Feb,11,50,159424.37,127.0,1255.31,HAJEB EL AYOUN
2,1,153420,19-Jun,11,50,69325.672,52.0,1333.1860000000001,HAJEB EL AYOUN
1,6,153420,19-Mar,11,50,35717.52,24.0,1488.2299999999998,HAJEB EL AYOUN
3,3,153420,18-Mar,11,50,3978.318,3.0,1326.106,HAJEB EL AYOUN
3,3,153420,18-Nov,11,50,2979.646,2.0,1489.823,HAJEB EL AYOUN
2,1,153420,18-Dec,11,50,43991.605,35.0,1256.903,HAJEB EL AYOUN
1,2,153420,18-Jul,11,50,60699.054,39.0,1556.386,HAJEB EL AYOUN
1,2,153420,18-Jun,11,50,74057.039,49.0,1511.3681428571429,HAJEB EL AYOUN
