NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
2,1,155270,18-Feb,3,16,17278.576,16.0,1079.911,HAMMAM LIF
2,1,155270,18-May,3,16,91056.879,81.0,1124.159,HAMMAM LIF
2,1,155270,18-Jul,3,16,119053.1,100.0,1190.531,HAMMAM LIF
1,1,155270,18-Aug,3,16,13095.841,11.0,1190.531,HAMMAM LIF
1,2,155270,18-Aug,3,16,42022.422,27.0,1556.386,HAMMAM LIF
2,2,155270,18-Jun,3,16,123716.102,82.0,1508.7329512195122,HAMMAM LIF
3,1,155270,18-Oct,3,16,25138.06,20.0,1256.903,HAMMAM LIF
3,2,155270,19-Feb,3,16,17658.234,11.0,1605.294,HAMMAM LIF
2,2,155270,19-Aug,3,16,176886.334,106.0,1668.739,HAMMAM LIF
2,2,155270,18-Feb,3,16,76921.232,53.0,1451.344,HAMMAM LIF
3,3,155270,18-Mar,3,16,38457.074,29.0,1326.106,HAMMAM LIF
2,2,155270,18-Dec,3,16,123690.853,77.0,1606.3747142857144,HAMMAM LIF
1,1,155270,18-Dec,3,16,17596.642,14.0,1256.903,HAMMAM LIF
2,2,155270,18-Sep,3,16,137983.718,86.0,1604.4618372093023,HAMMAM LIF
2,1,155270,18-Jun,3,16,86829.896,76.0,1142.4986315789472,HAMMAM LIF
3,1,155270,18-Nov,3,16,7541.418,6.0,1256.903,HAMMAM LIF
3,2,155270,19-Sep,3,16,16687.39,10.0,1668.739,HAMMAM LIF
1,3,155270,18-Dec,3,16,4469.469,3.0,1489.823,HAMMAM LIF
3,3,155270,18-Jul,3,16,43101.78,30.0,1436.7259999999999,HAMMAM LIF
3,3,155270,18-Aug,3,16,40228.328,28.0,1436.726,HAMMAM LIF
1,1,155270,19-Jan,3,16,13808.41,11.0,1255.31,HAMMAM LIF
2,6,155270,19-Oct,3,16,59091.672,38.0,1555.0439999999999,HAMMAM LIF
2,6,155270,19-May,3,16,6229.028,4.0,1557.257,HAMMAM LIF
2,6,155270,19-Jul,3,16,63803.277,41.0,1556.1774878048782,HAMMAM LIF
2,1,155270,19-Nov,3,16,143745.084,108.0,1330.973,HAMMAM LIF
2,2,155270,19-Dec,3,16,160198.944,96.0,1668.7389999999998,HAMMAM LIF
2,1,155270,18-Jan,3,16,100431.723,93.0,1079.911,HAMMAM LIF
2,2,155270,18-May,3,16,155309.544,104.0,1493.3609999999999,HAMMAM LIF
3,2,155270,18-Aug,3,16,9338.316,6.0,1556.3860000000002,HAMMAM LIF
2,2,155270,18-Oct,3,16,128544.56,80.0,1606.807,HAMMAM LIF
2,1,155270,19-Oct,3,16,123780.489,93.0,1330.973,HAMMAM LIF
2,2,155270,19-Oct,3,16,150186.51,90.0,1668.739,HAMMAM LIF
3,1,155270,19-May,3,16,21330.976,16.0,1333.186,HAMMAM LIF
2,1,155270,19-Mar,3,16,72807.98,58.0,1255.31,HAMMAM LIF
2,6,155270,19-Sep,3,16,49761.408,32.0,1555.044,HAMMAM LIF
2,6,155270,19-Nov,3,16,51316.452,33.0,1555.0439999999999,HAMMAM LIF
3,2,155270,18-Jan,3,16,15964.784,11.0,1451.344,HAMMAM LIF
3,3,155270,18-Apr,3,16,42480.974,31.0,1370.354,HAMMAM LIF
2,2,155270,18-Apr,3,16,123948.963,83.0,1493.361,HAMMAM LIF
1,3,155270,18-Aug,3,16,14367.26,10.0,1436.726,HAMMAM LIF
1,1,155270,18-Jun,3,16,13489.908,12.0,1124.1589999999999,HAMMAM LIF
3,3,155270,19-Jan,3,16,28276.37,19.0,1488.23,HAMMAM LIF
2,2,155270,19-May,3,16,190475.76,114.0,1670.8400000000001,HAMMAM LIF
1,3,155270,18-Feb,3,16,19891.59,15.0,1326.106,HAMMAM LIF
2,1,155270,18-Apr,3,16,75318.653,67.0,1124.159,HAMMAM LIF
3,3,155270,18-May,3,16,41110.62,30.0,1370.354,HAMMAM LIF
2,2,155270,18-Jul,3,16,155638.6,100.0,1556.386,HAMMAM LIF
1,2,155270,19-Jan,3,16,25684.704,16.0,1605.294,HAMMAM LIF
3,2,155270,18-Nov,3,16,27315.719,17.0,1606.807,HAMMAM LIF
3,3,155270,18-Jun,3,16,44382.304,32.0,1386.947,HAMMAM LIF
3,3,155270,19-Feb,3,16,43158.67,29.0,1488.23,HAMMAM LIF
2,1,155270,19-Apr,3,16,135984.972,102.0,1333.1860000000001,HAMMAM LIF
2,2,155270,19-Mar,3,16,52974.702,33.0,1605.2939999999999,HAMMAM LIF
2,1,155270,18-Feb,3,16,56155.372,52.0,1079.911,HAMMAM LIF
2,1,155270,18-Sep,3,16,108885.957,87.0,1251.562724137931,HAMMAM LIF
2,3,155270,19-May,3,16,52946.738,34.0,1557.2569999999998,HAMMAM LIF
1,2,155270,19-Mar,3,16,62606.466,39.0,1605.294,HAMMAM LIF
3,2,155270,19-Aug,3,16,20024.868,12.0,1668.7389999999998,HAMMAM LIF
2,1,155270,19-Dec,3,16,114463.678,86.0,1330.973,HAMMAM LIF
2,2,155270,18-Feb,3,16,37734.944,26.0,1451.344,HAMMAM LIF
1,1,155270,18-Mar,3,16,5399.555,5.0,1079.911,HAMMAM LIF
2,1,155270,18-Mar,3,16,98271.901,91.0,1079.911,HAMMAM LIF
2,1,155270,18-Dec,3,16,94234.272,75.0,1256.45696,HAMMAM LIF
1,2,155270,18-Dec,3,16,11247.649,7.0,1606.807,HAMMAM LIF
2,2,155270,18-Nov,3,16,102835.648,64.0,1606.807,HAMMAM LIF
3,3,155270,18-Sep,3,16,40225.221,27.0,1489.8229999999999,HAMMAM LIF
3,3,155270,18-Nov,3,16,40225.221,27.0,1489.8229999999999,HAMMAM LIF
2,2,155270,19-Apr,3,16,150375.6,90.0,1670.8400000000001,HAMMAM LIF
2,6,155270,19-Aug,3,16,62201.76,40.0,1555.044,HAMMAM LIF
3,3,155270,18-Feb,3,16,7956.636,6.0,1326.106,HAMMAM LIF
3,3,155270,18-Feb,3,16,9282.742,7.0,1326.106,HAMMAM LIF
1,1,155270,18-May,3,16,13489.908,12.0,1124.1589999999999,HAMMAM LIF
2,1,155270,19-Jan,3,16,95403.56,76.0,1255.31,HAMMAM LIF
1,2,155270,19-Feb,3,16,16052.94,10.0,1605.294,HAMMAM LIF
2,6,155270,19-Jun,3,16,43603.196,28.0,1557.257,HAMMAM LIF
2,1,155270,19-Sep,3,16,133097.3,100.0,1330.973,HAMMAM LIF
2,2,155270,18-Aug,3,16,115172.564,74.0,1556.386,HAMMAM LIF
3,3,155270,18-Oct,3,16,34265.929,23.0,1489.8229999999999,HAMMAM LIF
2,6,155270,19-Dec,3,16,60646.716,39.0,1555.044,HAMMAM LIF
2,3,155270,19-Apr,3,16,51389.481,33.0,1557.257,HAMMAM LIF
2,1,155270,19-Jul,3,16,141191.575,106.0,1331.9959905660378,HAMMAM LIF
3,3,155270,18-Jan,3,16,38457.074,29.0,1326.106,HAMMAM LIF
2,2,155270,19-Jan,3,16,96317.64,60.0,1605.294,HAMMAM LIF
2,2,155270,19-Jun,3,16,142021.4,85.0,1670.84,HAMMAM LIF
3,6,155270,19-Mar,3,16,40182.21,27.0,1488.23,HAMMAM LIF
2,2,155270,19-Jul,3,16,200368.437,120.0,1669.736975,HAMMAM LIF
2,2,155270,19-Nov,3,16,161867.683,97.0,1668.7389999999998,HAMMAM LIF
2,2,155270,19-Feb,3,16,112370.58,70.0,1605.294,HAMMAM LIF
1,3,155270,19-Jan,3,16,7441.15,5.0,1488.23,HAMMAM LIF
2,1,155270,19-May,3,16,138651.344,104.0,1333.1860000000001,HAMMAM LIF
2,1,155270,19-Jun,3,16,114653.996,86.0,1333.186,HAMMAM LIF
3,1,155270,19-Aug,3,16,19964.595,15.0,1330.9730000000002,HAMMAM LIF
2,1,155270,18-Aug,3,16,83337.17,70.0,1190.531,HAMMAM LIF
2,1,155270,18-Oct,3,16,90497.016,72.0,1256.903,HAMMAM LIF
1,3,155270,18-Oct,3,16,8938.938,6.0,1489.823,HAMMAM LIF
2,1,155270,19-Aug,3,16,111801.732,84.0,1330.973,HAMMAM LIF
3,6,155270,19-Nov,3,16,9330.264,6.0,1555.0439999999999,HAMMAM LIF
2,2,155270,18-Mar,3,16,126266.928,87.0,1451.344,HAMMAM LIF
3,3,155270,18-Dec,3,16,50641.238,34.0,1489.4481764705881,HAMMAM LIF
2,1,155270,18-Nov,3,16,103066.046,82.0,1256.903,HAMMAM LIF
1,1,155270,19-Mar,3,16,35148.68,28.0,1255.31,HAMMAM LIF
2,2,155270,18-Jan,3,16,107399.456,74.0,1451.344,HAMMAM LIF
1,2,155270,18-Mar,3,16,7256.72,5.0,1451.344,HAMMAM LIF
1,1,155270,18-Apr,3,16,34848.929,31.0,1124.1589999999999,HAMMAM LIF
2,1,155270,19-Feb,3,16,121765.07,97.0,1255.3100000000002,HAMMAM LIF
2,2,155270,19-Sep,3,16,110136.774,66.0,1668.739,HAMMAM LIF
1,2,155270,19-Sep,3,16,31706.041,19.0,1668.739,HAMMAM LIF
