NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
2,1,153410,18-Feb,14,27,11879.021,11.0,1079.911,HAMMAM SOUSSE
2,2,153410,18-Feb,14,27,17416.128,12.0,1451.344,HAMMAM SOUSSE
2,2,153410,18-Jul,14,27,144743.898,93.0,1556.386,HAMMAM SOUSSE
2,2,153410,18-Aug,14,27,191435.478,123.0,1556.386,HAMMAM SOUSSE
2,1,153410,18-Aug,14,27,173817.526,146.0,1190.5310000000002,HAMMAM SOUSSE
3,2,153410,18-Jul,14,27,28014.948,18.0,1556.386,HAMMAM SOUSSE
1,1,153410,18-Sep,14,27,148314.554,118.0,1256.903,HAMMAM SOUSSE
3,3,153410,18-Oct,14,27,52143.805,35.0,1489.823,HAMMAM SOUSSE
2,2,153410,18-Oct,14,27,186389.612,116.0,1606.807,HAMMAM SOUSSE
1,6,153410,19-Apr,14,27,18687.084,12.0,1557.2569999999998,HAMMAM SOUSSE
2,1,153410,19-Jul,14,27,376981.818,283.0,1332.0912296819788,HAMMAM SOUSSE
1,6,153410,19-Jul,14,27,26473.369,17.0,1557.2569999999998,HAMMAM SOUSSE
3,3,153410,18-Apr,14,27,89073.01,65.0,1370.3539999999998,HAMMAM SOUSSE
2,2,153410,19-Feb,14,27,215109.396,134.0,1605.294,HAMMAM SOUSSE
2,1,153410,19-Jun,14,27,325297.384,244.0,1333.1860000000001,HAMMAM SOUSSE
1,2,153410,19-May,14,27,11695.88,7.0,1670.84,HAMMAM SOUSSE
3,3,153410,18-Feb,14,27,13261.06,10.0,1326.106,HAMMAM SOUSSE
1,3,153410,18-May,14,27,4111.062,3.0,1370.354,HAMMAM SOUSSE
3,3,153410,19-Jan,14,27,108640.79,73.0,1488.23,HAMMAM SOUSSE
2,1,153410,19-Jan,14,27,259849.17,207.0,1255.3100000000002,HAMMAM SOUSSE
2,1,153410,18-Sep,14,27,153271.629,123.0,1246.1108048780486,HAMMAM SOUSSE
2,2,153410,18-Nov,14,27,326181.821,203.0,1606.807,HAMMAM SOUSSE
1,1,153410,19-Apr,14,27,27996.906,21.0,1333.186,HAMMAM SOUSSE
2,2,153410,19-Sep,14,27,377135.014,226.0,1668.739,HAMMAM SOUSSE
2,6,153410,19-Nov,14,27,79307.244,51.0,1555.044,HAMMAM SOUSSE
2,2,153410,18-Feb,14,27,97240.048,67.0,1451.3439999999998,HAMMAM SOUSSE
3,3,153410,18-Mar,14,27,83544.678,63.0,1326.106,HAMMAM SOUSSE
3,3,153410,18-Sep,14,27,101307.964,68.0,1489.823,HAMMAM SOUSSE
2,6,153410,19-Jun,14,27,43603.196,28.0,1557.257,HAMMAM SOUSSE
2,1,153410,19-Oct,14,27,318102.547,239.0,1330.9730000000002,HAMMAM SOUSSE
2,2,153410,18-Apr,14,27,128429.046,86.0,1493.361,HAMMAM SOUSSE
1,1,153410,18-Jun,14,27,156863.779,137.0,1144.991087591241,HAMMAM SOUSSE
3,2,153410,18-Nov,14,27,57845.052,36.0,1606.807,HAMMAM SOUSSE
2,2,153410,19-Nov,14,27,443884.574,266.0,1668.739,HAMMAM SOUSSE
2,1,153410,18-Mar,14,27,66954.482,62.0,1079.911,HAMMAM SOUSSE
2,2,153410,18-Dec,14,27,343722.041,214.0,1606.177761682243,HAMMAM SOUSSE
3,3,153410,18-Dec,14,27,99799.025,67.0,1489.5376865671642,HAMMAM SOUSSE
1,2,153410,18-Jul,14,27,270811.164,174.0,1556.386,HAMMAM SOUSSE
2,2,153410,19-May,14,27,384293.2,230.0,1670.8400000000001,HAMMAM SOUSSE
2,3,153410,19-May,14,27,102778.962,66.0,1557.257,HAMMAM SOUSSE
