NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
4,2,153110,18-Dec,22,96,12854.456,8.0,1606.807,HASSI AMOR
2,2,153110,19-Jan,22,96,6421.176,4.0,1605.294,HASSI AMOR
1,3,153110,18-Nov,22,96,14898.23,10.0,1489.8229999999999,HASSI AMOR
1,2,153110,18-Jun,22,96,28688.984,19.0,1509.9465263157895,HASSI AMOR
4,3,153110,19-Feb,22,96,35717.52,24.0,1488.2299999999998,HASSI AMOR
2,1,153110,19-Jun,22,96,25330.534,19.0,1333.186,HASSI AMOR
1,2,153110,19-Aug,22,96,138505.337,83.0,1668.739,HASSI AMOR
4,1,153110,18-Aug,22,96,71431.86,60.0,1190.531,HASSI AMOR
3,2,153110,18-Aug,22,96,15563.86,10.0,1556.386,HASSI AMOR
2,1,153110,18-Oct,22,96,7541.418,6.0,1256.903,HASSI AMOR
1,2,153110,19-Apr,22,96,83542.0,50.0,1670.84,HASSI AMOR
1,2,153110,19-Jun,22,96,25062.6,15.0,1670.84,HASSI AMOR
1,1,153110,19-Mar,22,96,36403.99,29.0,1255.31,HASSI AMOR
4,3,153110,18-Apr,22,96,28777.434,21.0,1370.354,HASSI AMOR
1,2,153110,18-Jul,22,96,49804.352,32.0,1556.386,HASSI AMOR
4,3,153110,18-Nov,22,96,14898.23,10.0,1489.8229999999999,HASSI AMOR
3,1,153110,18-Nov,22,96,6284.515,5.0,1256.903,HASSI AMOR
4,2,153110,19-Jun,22,96,30075.12,18.0,1670.84,HASSI AMOR
4,1,153110,19-Mar,22,96,57744.26,46.0,1255.31,HASSI AMOR
1,2,153110,19-Jul,22,96,30037.302,18.0,1668.739,HASSI AMOR
4,1,153110,18-Feb,22,96,82073.236,76.0,1079.911,HASSI AMOR
3,3,153110,18-Jan,22,96,5304.424,4.0,1326.106,HASSI AMOR
1,3,153110,18-Jan,22,96,5304.424,4.0,1326.106,HASSI AMOR
1,2,153110,18-May,22,96,14933.61,10.0,1493.361,HASSI AMOR
4,3,153110,18-Jul,22,96,54595.588,38.0,1436.726,HASSI AMOR
1,1,153110,18-Aug,22,96,73812.922,62.0,1190.5310000000002,HASSI AMOR
1,3,153110,18-Oct,22,96,2979.646,2.0,1489.823,HASSI AMOR
4,3,153110,19-Jan,22,96,14882.3,10.0,1488.23,HASSI AMOR
1,1,153110,19-Apr,22,96,105321.694,79.0,1333.1860000000001,HASSI AMOR
1,6,153110,19-Apr,22,96,43603.196,28.0,1557.257,HASSI AMOR
1,1,153110,19-May,22,96,81324.346,61.0,1333.1860000000001,HASSI AMOR
4,2,153110,19-Jul,22,96,36745.874,22.0,1670.267,HASSI AMOR
4,6,153110,19-Jul,22,96,31140.714,20.0,1557.0357,HASSI AMOR
4,1,153110,18-Feb,22,96,44276.351,41.0,1079.911,HASSI AMOR
4,1,153110,18-Jan,22,96,107991.1,100.0,1079.911,HASSI AMOR
4,1,153110,18-May,22,96,89932.72,80.0,1124.159,HASSI AMOR
4,1,153110,19-Jan,22,96,41425.23,33.0,1255.3100000000002,HASSI AMOR
4,1,153110,19-Feb,22,96,97914.18,78.0,1255.31,HASSI AMOR
2,1,153110,19-Jan,22,96,11297.79,9.0,1255.3100000000002,HASSI AMOR
4,3,153110,18-Jun,22,96,14101.772,10.0,1410.1772,HASSI AMOR
4,1,153110,18-Jun,22,96,41863.536,36.0,1162.876,HASSI AMOR
1,2,153110,18-Nov,22,96,17674.877,11.0,1606.807,HASSI AMOR
4,6,153110,19-Oct,22,96,34210.968,22.0,1555.044,HASSI AMOR
1,1,153110,19-Aug,22,96,121118.543,91.0,1330.973,HASSI AMOR
1,1,153110,19-Jul,22,96,85264.153,64.0,1332.252390625,HASSI AMOR
1,2,153110,19-Nov,22,96,50062.17,30.0,1668.739,HASSI AMOR
4,3,153110,18-May,22,96,41110.62,30.0,1370.354,HASSI AMOR
1,2,153110,19-Jan,22,96,19263.528,12.0,1605.2939999999999,HASSI AMOR
4,2,153110,18-Sep,22,96,30226.807,19.0,1590.8845789473685,HASSI AMOR
1,3,153110,18-Jun,22,96,20555.31,15.0,1370.354,HASSI AMOR
1,2,153110,19-Sep,22,96,20024.868,12.0,1668.7389999999998,HASSI AMOR
1,1,153110,19-Dec,22,96,115794.651,87.0,1330.973,HASSI AMOR
1,2,153110,19-May,22,96,21720.92,13.0,1670.84,HASSI AMOR
4,3,153110,19-May,22,96,3114.514,2.0,1557.257,HASSI AMOR
1,6,153110,19-Aug,22,96,90192.552,58.0,1555.0439999999999,HASSI AMOR
1,6,153110,19-Sep,22,96,10885.308,7.0,1555.044,HASSI AMOR
4,6,153110,19-Sep,22,96,37321.056,24.0,1555.0439999999999,HASSI AMOR
1,2,153110,19-Dec,22,96,46724.692,28.0,1668.739,HASSI AMOR
4,2,153110,18-Feb,22,96,13062.096,9.0,1451.344,HASSI AMOR
1,3,153110,18-Aug,22,96,25861.068,18.0,1436.7259999999999,HASSI AMOR
4,3,153110,18-Oct,22,96,37245.575,25.0,1489.8229999999999,HASSI AMOR
4,2,153110,19-May,22,96,10025.04,6.0,1670.8400000000001,HASSI AMOR
4,2,153110,19-Mar,22,96,22474.116,14.0,1605.294,HASSI AMOR
4,1,153110,19-Nov,22,96,126442.435,95.0,1330.973,HASSI AMOR
4,2,153110,18-Apr,22,96,22400.415,15.0,1493.361,HASSI AMOR
1,1,153110,19-Jan,22,96,35148.68,28.0,1255.31,HASSI AMOR
2,1,153110,18-Aug,22,96,32144.337,27.0,1190.531,HASSI AMOR
4,2,153110,18-Oct,22,96,16068.07,10.0,1606.807,HASSI AMOR
4,2,153110,19-Feb,22,96,38527.056,24.0,1605.2939999999999,HASSI AMOR
4,6,153110,19-Jun,22,96,21801.598,14.0,1557.257,HASSI AMOR
1,2,153110,19-Mar,22,96,20868.822,13.0,1605.294,HASSI AMOR
1,3,153110,18-Feb,22,96,6630.53,5.0,1326.106,HASSI AMOR
4,2,153110,18-Mar,22,96,37734.944,26.0,1451.344,HASSI AMOR
4,1,153110,18-Dec,22,96,35193.284,28.0,1256.903,HASSI AMOR
2,1,153110,18-Nov,22,96,5027.612,4.0,1256.903,HASSI AMOR
1,1,153110,18-Jun,22,96,51711.314,46.0,1124.1589999999999,HASSI AMOR
1,6,153110,19-Jul,22,96,27990.792,18.0,1555.044,HASSI AMOR
3,3,153110,18-Feb,22,96,14587.166,11.0,1326.106,HASSI AMOR
4,2,153110,18-Feb,22,96,17416.128,12.0,1451.344,HASSI AMOR
4,1,153110,18-Apr,22,96,83187.766,74.0,1124.159,HASSI AMOR
2,2,153110,18-Aug,22,96,31127.72,20.0,1556.386,HASSI AMOR
1,6,153110,19-May,22,96,35816.911,23.0,1557.257,HASSI AMOR
2,1,153110,19-Sep,22,96,6654.865,5.0,1330.973,HASSI AMOR
1,2,153110,19-Oct,22,96,16687.39,10.0,1668.739,HASSI AMOR
4,2,153110,18-Jan,22,96,29026.88,20.0,1451.344,HASSI AMOR
4,1,153110,18-Mar,22,96,101511.634,94.0,1079.911,HASSI AMOR
1,3,153110,19-Jan,22,96,11905.84,8.0,1488.23,HASSI AMOR
4,1,153110,18-Jul,22,96,94051.949,79.0,1190.531,HASSI AMOR
1,2,153110,18-Dec,22,96,40147.48,25.0,1605.8992,HASSI AMOR
4,1,153110,19-Oct,22,96,78527.407,59.0,1330.9730000000002,HASSI AMOR
4,6,153110,19-Mar,22,96,22323.45,15.0,1488.23,HASSI AMOR
1,6,153110,19-Oct,22,96,12440.352,8.0,1555.044,HASSI AMOR
4,2,153110,19-Nov,22,96,31706.041,19.0,1668.739,HASSI AMOR
4,1,153110,19-Dec,22,96,10647.784,8.0,1330.973,HASSI AMOR
1,3,153110,18-Dec,22,96,43195.309,29.0,1489.4934137931034,HASSI AMOR
1,1,153110,19-Sep,22,96,83851.299,63.0,1330.973,HASSI AMOR
2,1,153110,19-Jul,22,96,13331.86,10.0,1333.1860000000001,HASSI AMOR
1,1,153110,19-Oct,22,96,21295.568,16.0,1330.973,HASSI AMOR
4,6,153110,19-Dec,22,96,3110.088,2.0,1555.044,HASSI AMOR
4,3,153110,18-Jan,22,96,35804.862,27.0,1326.106,HASSI AMOR
4,3,153110,18-Feb,22,96,31826.544,24.0,1326.106,HASSI AMOR
4,2,153110,18-May,22,96,8960.166,6.0,1493.3609999999999,HASSI AMOR
4,2,153110,18-Aug,22,96,10894.702,7.0,1556.386,HASSI AMOR
4,1,153110,18-Sep,22,96,90297.9,72.0,1254.1374999999998,HASSI AMOR
