NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
1,3,155550,18-May,19,81,8222.124,6.0,1370.354,HAZOUA
1,1,155550,18-Dec,19,81,55294.174,44.0,1256.6857727272727,HAZOUA
1,2,155550,19-Jan,19,81,14447.646,9.0,1605.294,HAZOUA
1,3,155550,18-Aug,19,81,7183.63,5.0,1436.726,HAZOUA
1,1,155550,19-May,19,81,45328.324,34.0,1333.186,HAZOUA
1,1,155550,18-Jan,19,81,38876.796,36.0,1079.911,HAZOUA
1,1,155550,19-Nov,19,81,38598.217,29.0,1330.973,HAZOUA
1,2,155550,18-Jan,19,81,13062.096,9.0,1451.344,HAZOUA
2,2,155550,19-Jan,19,81,4815.882,3.0,1605.2939999999999,HAZOUA
1,6,155550,19-Sep,19,81,17105.484,11.0,1555.044,HAZOUA
1,1,155550,19-Oct,19,81,53238.92,40.0,1330.973,HAZOUA
1,6,155550,19-Oct,19,81,27990.792,18.0,1555.044,HAZOUA
1,2,155550,18-Aug,19,81,10894.702,7.0,1556.386,HAZOUA
1,2,155550,19-Oct,19,81,16687.39,10.0,1668.739,HAZOUA
1,1,155550,18-Feb,19,81,45356.262,42.0,1079.911,HAZOUA
1,3,155550,18-Feb,19,81,9282.742,7.0,1326.106,HAZOUA
2,1,155550,18-Dec,19,81,15082.836,12.0,1256.903,HAZOUA
1,1,155550,18-Sep,19,81,39822.664,32.0,1244.45825,HAZOUA
1,2,155550,18-Nov,19,81,16068.07,10.0,1606.807,HAZOUA
1,1,155550,19-Aug,19,81,41260.163,31.0,1330.973,HAZOUA
1,2,155550,19-Aug,19,81,10012.434,6.0,1668.7389999999998,HAZOUA
1,2,155550,18-Mar,19,81,8708.064,6.0,1451.344,HAZOUA
1,1,155550,18-Aug,19,81,14286.372,12.0,1190.531,HAZOUA
1,1,155550,19-Apr,19,81,37329.208,28.0,1333.186,HAZOUA
1,2,155550,18-Dec,19,81,20885.465,13.0,1606.5742307692308,HAZOUA
3,1,155550,18-Aug,19,81,16667.434,14.0,1190.5310000000002,HAZOUA
1,1,155550,19-Feb,19,81,32638.06,26.0,1255.31,HAZOUA
1,2,155550,19-Mar,19,81,16052.94,10.0,1605.294,HAZOUA
1,6,155550,19-Nov,19,81,26435.748,17.0,1555.0439999999999,HAZOUA
1,2,155550,19-Dec,19,81,11681.173,7.0,1668.739,HAZOUA
1,3,155550,18-Jan,19,81,7956.636,6.0,1326.106,HAZOUA
1,1,155550,18-May,19,81,49462.996,44.0,1124.1589999999999,HAZOUA
1,1,155550,18-Oct,19,81,36450.187,29.0,1256.903,HAZOUA
1,2,155550,19-Sep,19,81,11681.173,7.0,1668.739,HAZOUA
1,6,155550,19-Jun,19,81,18687.084,12.0,1557.2569999999998,HAZOUA
1,3,155550,18-Mar,19,81,11934.954,9.0,1326.106,HAZOUA
1,3,155550,18-Apr,19,81,12333.186,9.0,1370.354,HAZOUA
1,3,155550,19-Jan,19,81,16370.53,11.0,1488.23,HAZOUA
1,1,155550,18-Jul,19,81,41668.585,35.0,1190.531,HAZOUA
1,2,155550,19-Jun,19,81,13366.72,8.0,1670.84,HAZOUA
1,3,155550,18-Sep,19,81,17718.585,12.0,1476.54875,HAZOUA
1,6,155550,19-May,19,81,20244.341,13.0,1557.257,HAZOUA
1,1,155550,19-Mar,19,81,61510.19,49.0,1255.31,HAZOUA
1,2,155550,19-Jul,19,81,10020.838,6.0,1670.1396666666667,HAZOUA
1,2,155550,18-Apr,19,81,11946.888,8.0,1493.361,HAZOUA
1,2,155550,18-Oct,19,81,12854.456,8.0,1606.807,HAZOUA
1,1,155550,18-Nov,19,81,62845.15,50.0,1256.903,HAZOUA
1,6,155550,19-Dec,19,81,21770.616,14.0,1555.044,HAZOUA
2,1,155550,19-Jun,19,81,13331.86,10.0,1333.1860000000001,HAZOUA
1,1,155550,19-Jul,19,81,25303.978,19.0,1331.7883157894737,HAZOUA
1,3,155550,18-Dec,19,81,28301.858,19.0,1489.5714736842106,HAZOUA
1,3,155550,18-Nov,19,81,26816.814,18.0,1489.8229999999999,HAZOUA
2,1,155550,19-Jan,19,81,7531.86,6.0,1255.31,HAZOUA
1,2,155550,19-Feb,19,81,4815.882,3.0,1605.2939999999999,HAZOUA
1,1,155550,19-Sep,19,81,29281.406,22.0,1330.973,HAZOUA
1,6,155550,19-Mar,19,81,26788.14,18.0,1488.23,HAZOUA
1,1,155550,18-Apr,19,81,57332.109,51.0,1124.1589999999999,HAZOUA
1,2,155550,18-May,19,81,8960.166,6.0,1493.3609999999999,HAZOUA
1,2,155550,18-Jul,19,81,15563.86,10.0,1556.386,HAZOUA
1,1,155550,18-Jun,19,81,36769.552,32.0,1149.0485,HAZOUA
1,6,155550,19-Apr,19,81,17129.827,11.0,1557.257,HAZOUA
1,6,155550,19-Aug,19,81,27990.792,18.0,1555.044,HAZOUA
1,2,155550,18-Feb,19,81,13062.096,9.0,1451.344,HAZOUA
1,1,155550,18-Mar,19,81,63714.749,59.0,1079.911,HAZOUA
1,3,155550,18-Jul,19,81,12930.534,9.0,1436.7259999999999,HAZOUA
1,3,155550,19-Feb,19,81,14882.3,10.0,1488.23,HAZOUA
1,2,155550,19-Apr,19,81,11695.88,7.0,1670.84,HAZOUA
1,6,155550,19-Jul,19,81,18673.806,12.0,1556.1505,HAZOUA
1,1,155550,19-Jan,19,81,35148.68,28.0,1255.31,HAZOUA
1,2,155550,18-Sep,19,81,15866.386,10.0,1586.6386,HAZOUA
1,3,155550,18-Jun,19,81,13902.656,10.0,1390.2656000000002,HAZOUA
1,2,155550,18-Jun,19,81,15185.71,10.0,1518.571,HAZOUA
1,1,155550,19-Dec,19,81,37267.244,28.0,1330.973,HAZOUA
1,2,155550,19-May,19,81,10025.04,6.0,1670.8400000000001,HAZOUA
1,2,155550,19-Nov,19,81,10012.434,6.0,1668.7389999999998,HAZOUA
1,3,155550,18-Oct,19,81,13408.407,9.0,1489.8229999999999,HAZOUA
1,1,155550,19-Jun,19,81,11998.674,9.0,1333.1860000000001,HAZOUA
