NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
1,2,155620,18-Jan,14,8,74018.544,51.0,1451.3439999999998,HERGLA
1,2,155620,18-Feb,14,8,74018.544,51.0,1451.3439999999998,HERGLA
1,3,155620,18-Feb,14,8,23869.908,18.0,1326.106,HERGLA
1,2,155620,18-Mar,14,8,110302.144,76.0,1451.344,HERGLA
1,2,155620,18-Jul,14,8,31127.72,20.0,1556.386,HERGLA
3,3,155620,18-Jul,14,8,66089.396,46.0,1436.7259999999999,HERGLA
2,4,155620,18-Jul,14,8,5097.732,3.0,1699.244,HERGLA
3,2,155620,18-Aug,14,8,17120.246,11.0,1556.386,HERGLA
3,1,155620,18-Oct,14,8,21367.351,17.0,1256.903,HERGLA
2,1,155620,19-Oct,14,8,196984.004,148.0,1330.973,HERGLA
3,1,155620,19-Jul,14,8,17302.649,13.0,1330.9730000000002,HERGLA
2,6,155620,19-Nov,14,8,59091.672,38.0,1555.0439999999999,HERGLA
3,3,155620,18-Feb,14,8,7956.636,6.0,1326.106,HERGLA
1,3,155620,18-Mar,14,8,29174.332,22.0,1326.106,HERGLA
1,1,155620,18-Dec,14,8,21367.351,17.0,1256.903,HERGLA
2,1,155620,18-Sep,14,8,33733.1,28.0,1204.7535714285714,HERGLA
3,3,155620,18-Oct,14,8,25326.991,17.0,1489.823,HERGLA
1,1,155620,18-Oct,14,8,108093.658,86.0,1256.903,HERGLA
3,1,155620,18-Sep,14,8,32679.478,26.0,1256.903,HERGLA
1,2,155620,19-Jun,14,8,50125.2,30.0,1670.84,HERGLA
1,1,155620,19-Feb,14,8,65276.12,52.0,1255.31,HERGLA
3,6,155620,19-Apr,14,8,7786.285,5.0,1557.257,HERGLA
2,2,155620,19-Aug,14,8,228617.243,137.0,1668.7389999999998,HERGLA
1,6,155620,19-Aug,14,8,6220.176,4.0,1555.044,HERGLA
2,1,155620,18-Aug,14,8,126196.286,106.0,1190.531,HERGLA
1,3,155620,18-Aug,14,8,17240.712,12.0,1436.7259999999999,HERGLA
3,4,155620,18-Sep,14,8,8748.32,5.0,1749.664,HERGLA
1,3,155620,18-Jun,14,8,8222.124,6.0,1370.354,HERGLA
3,3,155620,19-Feb,14,8,52088.05,35.0,1488.23,HERGLA
1,6,155620,19-Jun,14,8,23358.855,15.0,1557.257,HERGLA
2,2,155620,19-Jun,14,8,106933.76,64.0,1670.84,HERGLA
2,1,155620,19-Apr,14,8,199977.9,150.0,1333.186,HERGLA
2,1,155620,19-Sep,14,8,204969.842,154.0,1330.973,HERGLA
2,6,155620,19-Sep,14,8,69976.98,45.0,1555.0439999999999,HERGLA
2,2,155620,19-Nov,14,8,125155.425,75.0,1668.739,HERGLA
2,4,155620,19-Nov,14,8,14572.096,8.0,1821.512,HERGLA
3,3,155620,18-Jan,14,8,18565.484,14.0,1326.106,HERGLA
1,3,155620,18-Jan,14,8,14587.166,11.0,1326.106,HERGLA
2,1,155620,18-Apr,14,8,24731.498,22.0,1124.1589999999999,HERGLA
2,2,155620,19-Jan,14,8,72238.23,45.0,1605.2939999999999,HERGLA
1,2,155620,18-Aug,14,8,59142.668,38.0,1556.386,HERGLA
1,3,155620,18-Oct,14,8,28306.637,19.0,1489.8229999999999,HERGLA
1,1,155620,18-Jun,14,8,40478.054,34.0,1190.531,HERGLA
1,1,155620,19-Jan,14,8,27616.82,22.0,1255.31,HERGLA
2,3,155620,19-May,14,8,48274.967,31.0,1557.2569999999998,HERGLA
2,6,155620,19-Aug,14,8,107298.036,69.0,1555.0439999999999,HERGLA
2,2,155620,19-Jul,14,8,185320.372,111.0,1669.552900900901,HERGLA
1,2,155620,18-Apr,14,8,80641.494,54.0,1493.361,HERGLA
1,3,155620,18-Sep,14,8,20857.522,14.0,1489.823,HERGLA
1,2,155620,18-Sep,14,8,99622.034,62.0,1606.807,HERGLA
2,1,155620,18-Oct,14,8,18853.545,15.0,1256.9029999999998,HERGLA
2,1,155620,18-Dec,14,8,160827.829,128.0,1256.4674140625,HERGLA
2,1,155620,19-Feb,14,8,106701.35,85.0,1255.3100000000002,HERGLA
2,1,155620,19-May,14,8,158649.134,119.0,1333.186,HERGLA
