NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
1,2,152500,19-Jan,22,1,78659.406,49.0,1605.294,HOUMT SOUK
4,2,152500,19-Feb,22,1,102738.816,64.0,1605.294,HOUMT SOUK
4,3,152500,19-Feb,22,1,58040.97,39.0,1488.23,HOUMT SOUK
1,1,152500,18-Nov,22,1,111864.367,89.0,1256.903,HOUMT SOUK
4,1,152500,19-Mar,22,1,69042.05,55.0,1255.31,HOUMT SOUK
4,2,152500,18-Mar,22,1,103045.424,71.0,1451.344,HOUMT SOUK
4,2,152500,18-Dec,22,1,17674.877,11.0,1606.807,HOUMT SOUK
1,1,152500,18-Jul,22,1,8333.717,7.0,1190.5310000000002,HOUMT SOUK
3,1,152500,18-Aug,22,1,5952.655,5.0,1190.531,HOUMT SOUK
4,1,152500,18-Sep,22,1,118874.809,95.0,1251.3137789473683,HOUMT SOUK
4,1,152500,18-Jun,22,1,39349.73,34.0,1157.345,HOUMT SOUK
1,2,152500,18-Oct,22,1,19281.684,12.0,1606.807,HOUMT SOUK
1,6,152500,19-Apr,22,1,68519.308,44.0,1557.257,HOUMT SOUK
1,6,152500,19-May,22,1,52946.738,34.0,1557.2569999999998,HOUMT SOUK
1,3,152500,18-May,22,1,4111.062,3.0,1370.354,HOUMT SOUK
4,1,152500,18-Jul,22,1,109528.852,92.0,1190.531,HOUMT SOUK
4,2,152500,18-Sep,22,1,112022.701,70.0,1600.3243,HOUMT SOUK
1,3,152500,18-Jun,22,1,26036.726,19.0,1370.354,HOUMT SOUK
3,3,152500,18-Feb,22,1,5304.424,4.0,1326.106,HOUMT SOUK
4,3,152500,18-Feb,22,1,33152.65,25.0,1326.106,HOUMT SOUK
4,1,152500,18-Apr,22,1,107919.264,96.0,1124.1589999999999,HOUMT SOUK
4,1,152500,18-May,22,1,98925.992,88.0,1124.1589999999999,HOUMT SOUK
2,2,152500,18-Jul,22,1,17120.246,11.0,1556.386,HOUMT SOUK
1,2,152500,18-Jun,22,1,61668.976,41.0,1504.1213658536585,HOUMT SOUK
1,3,152500,18-Nov,22,1,40225.221,27.0,1489.8229999999999,HOUMT SOUK
1,1,152500,19-Jun,22,1,43995.138,33.0,1333.186,HOUMT SOUK
1,2,152500,19-Apr,22,1,177109.04,106.0,1670.8400000000001,HOUMT SOUK
1,1,152500,19-Apr,22,1,133318.6,100.0,1333.1860000000001,HOUMT SOUK
4,6,152500,19-Aug,22,1,4665.132,3.0,1555.0439999999999,HOUMT SOUK
4,3,152500,18-Dec,22,1,4469.469,3.0,1489.823,HOUMT SOUK
4,3,152500,18-Jul,22,1,96260.642,67.0,1436.726,HOUMT SOUK
2,1,152500,18-Aug,22,1,16667.434,14.0,1190.5310000000002,HOUMT SOUK
2,2,152500,18-Nov,22,1,4820.421,3.0,1606.807,HOUMT SOUK
1,3,152500,18-Oct,22,1,11918.584,8.0,1489.823,HOUMT SOUK
1,2,152500,19-Jun,22,1,58479.4,35.0,1670.8400000000001,HOUMT SOUK
1,2,152500,18-Dec,22,1,114036.394,71.0,1606.1463943661972,HOUMT SOUK
2,1,152500,19-Jan,22,1,21340.27,17.0,1255.31,HOUMT SOUK
2,2,152500,18-Aug,22,1,14007.474,9.0,1556.386,HOUMT SOUK
1,1,152500,18-Oct,22,1,65358.956,52.0,1256.903,HOUMT SOUK
4,6,152500,19-Mar,22,1,46135.13,31.0,1488.23,HOUMT SOUK
4,6,152500,19-Sep,22,1,29545.836,19.0,1555.0439999999999,HOUMT SOUK
4,2,152500,19-Jul,22,1,98560.651,59.0,1670.5195084745762,HOUMT SOUK
1,3,152500,18-Feb,22,1,7956.636,6.0,1326.106,HOUMT SOUK
4,2,152500,18-May,22,1,22400.415,15.0,1493.361,HOUMT SOUK
1,2,152500,18-Jul,22,1,113616.178,73.0,1556.386,HOUMT SOUK
1,1,152500,18-Aug,22,1,36906.461,31.0,1190.5310000000002,HOUMT SOUK
2,1,152500,18-Nov,22,1,40220.896,32.0,1256.903,HOUMT SOUK
4,2,152500,19-Sep,22,1,53399.648,32.0,1668.739,HOUMT SOUK
