NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
3,3,153780,18-Jan,5,25,29130.332,22.0,1324.106,H.ZRIBA
1,1,153780,18-May,5,25,125681.808,112.0,1122.159,H.ZRIBA
2,1,153780,18-Jul,5,25,149754.906,126.0,1188.531,H.ZRIBA
3,3,153780,18-Jun,5,25,35975.436,26.0,1383.6706153846155,H.ZRIBA
3,1,153780,18-Nov,5,25,13803.933,11.0,1254.903,H.ZRIBA
1,3,153780,19-Jan,5,25,11889.84,8.0,1486.23,H.ZRIBA
2,6,153780,19-Mar,5,25,8917.38,6.0,1486.2299999999998,H.ZRIBA
2,6,153780,19-Aug,5,25,55909.584,36.0,1553.044,H.ZRIBA
2,2,153780,19-Dec,5,25,188341.507,113.0,1666.739,H.ZRIBA
2,2,153780,18-Mar,5,25,127542.272,88.0,1449.344,H.ZRIBA
2,1,153780,19-Jan,5,25,195516.36,156.0,1253.31,H.ZRIBA
2,2,153780,18-Nov,5,25,126779.753,79.0,1604.807,H.ZRIBA
1,1,153780,18-Jun,5,25,144445.146,126.0,1146.3900476190477,H.ZRIBA
3,2,153780,18-Jun,5,25,4474.083,3.0,1491.3609999999999,H.ZRIBA
2,2,153780,19-May,5,25,135176.04,81.0,1668.8400000000001,H.ZRIBA
2,2,153780,19-Aug,5,25,168340.639,101.0,1666.739,H.ZRIBA
2,2,153780,19-Nov,5,25,190008.246,114.0,1666.739,H.ZRIBA
2,2,153780,18-Jan,5,25,107251.456,74.0,1449.344,H.ZRIBA
2,1,153780,18-May,5,25,102116.469,91.0,1122.1589999999999,H.ZRIBA
3,1,153780,18-Aug,5,25,26147.682,22.0,1188.531,H.ZRIBA
3,3,153780,18-Sep,5,25,23592.78,16.0,1474.54875,H.ZRIBA
2,2,153780,19-Mar,5,25,73751.524,46.0,1603.294,H.ZRIBA
2,2,153780,19-Sep,5,25,140006.076,84.0,1666.739,H.ZRIBA
2,1,153780,19-Aug,5,25,322940.439,243.0,1328.973,H.ZRIBA
2,2,153780,18-May,5,25,52197.635,35.0,1491.361,H.ZRIBA
2,2,153780,18-Oct,5,25,30491.333,19.0,1604.807,H.ZRIBA
1,2,153780,19-May,5,25,15019.56,9.0,1668.84,H.ZRIBA
3,3,153780,18-Feb,5,25,18537.484,14.0,1324.106,H.ZRIBA
1,1,153780,18-Apr,5,25,79673.289,71.0,1122.159,H.ZRIBA
3,3,153780,18-May,5,25,27367.08,20.0,1368.354,H.ZRIBA
3,3,153780,18-Jul,5,25,28694.52,20.0,1434.726,H.ZRIBA
2,1,153780,18-Nov,5,25,432941.535,345.0,1254.903,H.ZRIBA
1,1,153780,18-Sep,5,25,178196.226,142.0,1254.903,H.ZRIBA
1,3,153780,19-Feb,5,25,11889.84,8.0,1486.23,H.ZRIBA
2,2,153780,18-Feb,5,25,36233.6,25.0,1449.344,H.ZRIBA
2,1,153780,18-Mar,5,25,213426.378,198.0,1077.911,H.ZRIBA
1,1,153780,18-Mar,5,25,43116.44,40.0,1077.911,H.ZRIBA
3,3,153780,18-Dec,5,25,34200.813,23.0,1486.9918695652175,H.ZRIBA
1,2,153780,18-Jul,5,25,60621.054,39.0,1554.386,H.ZRIBA
1,2,153780,18-Aug,5,25,43522.808,28.0,1554.386,H.ZRIBA
1,3,153780,18-Sep,5,25,16366.053,11.0,1487.823,H.ZRIBA
