NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
2,2,154130,18-Mar,7,34,8708.064,6.0,1451.344,IDENE
3,1,154130,18-Jul,7,34,8333.717,7.0,1190.5310000000002,IDENE
2,1,154130,19-Mar,7,34,77829.22,62.0,1255.31,IDENE
2,2,154130,19-Nov,7,34,6674.956,4.0,1668.739,IDENE
2,1,154130,18-Mar,7,34,83153.147,77.0,1079.911,IDENE
2,1,154130,18-Apr,7,34,88808.561,79.0,1124.159,IDENE
2,2,154130,18-May,7,34,16426.971,11.0,1493.361,IDENE
1,1,154130,19-Mar,7,34,12553.1,10.0,1255.31,IDENE
2,1,154130,19-Dec,7,34,85182.272,64.0,1330.973,IDENE
2,2,154130,18-Apr,7,34,14933.61,10.0,1493.361,IDENE
3,3,154130,18-Jan,7,34,6630.53,5.0,1326.106,IDENE
2,1,154130,18-Feb,7,34,58315.194,54.0,1079.911,IDENE
3,3,154130,18-Aug,7,34,5746.904,4.0,1436.726,IDENE
3,3,154130,18-Oct,7,34,2979.646,2.0,1489.823,IDENE
1,1,154130,18-Jun,7,34,7869.113,7.0,1124.159,IDENE
2,2,154130,19-Apr,7,34,15037.56,9.0,1670.84,IDENE
2,2,154130,19-Aug,7,34,11681.173,7.0,1668.739,IDENE
3,1,154130,19-Aug,7,34,6654.865,5.0,1330.973,IDENE
3,3,154130,18-May,7,34,6851.77,5.0,1370.354,IDENE
2,2,154130,18-Dec,7,34,11247.649,7.0,1606.807,IDENE
2,1,154130,18-Jul,7,34,70241.329,59.0,1190.531,IDENE
2,2,154130,19-Mar,7,34,14447.646,9.0,1605.294,IDENE
2,1,154130,19-May,7,34,62659.742,47.0,1333.186,IDENE
1,3,154130,18-Feb,7,34,3978.318,3.0,1326.106,IDENE
3,2,154130,18-Sep,7,34,6427.228,4.0,1606.807,IDENE
3,3,154130,18-Nov,7,34,5959.292,4.0,1489.823,IDENE
2,2,154130,18-Feb,7,34,10159.408,7.0,1451.3439999999998,IDENE
3,1,154130,18-Aug,7,34,7143.186,6.0,1190.531,IDENE
2,1,154130,18-Nov,7,34,111864.367,89.0,1256.903,IDENE
2,1,154130,18-Aug,7,34,77384.515,65.0,1190.531,IDENE
3,2,154130,18-Aug,7,34,4669.158,3.0,1556.3860000000002,IDENE
3,1,154130,19-May,7,34,26663.72,20.0,1333.1860000000001,IDENE
2,1,154130,19-Jul,7,34,91919.018,69.0,1332.1596811594202,IDENE
2,1,154130,18-May,7,34,79815.289,71.0,1124.159,IDENE
1,2,154130,18-Apr,7,34,2986.722,2.0,1493.361,IDENE
2,2,154130,18-Aug,7,34,9338.316,6.0,1556.3860000000002,IDENE
3,3,154130,18-Jun,7,34,5614.16,4.0,1403.54,IDENE
2,2,154130,19-Oct,7,34,16687.39,10.0,1668.739,IDENE
2,1,154130,18-Jan,7,34,92872.346,86.0,1079.911,IDENE
2,1,154130,18-Feb,7,34,23758.042,22.0,1079.911,IDENE
2,2,154130,18-Jul,7,34,14007.474,9.0,1556.386,IDENE
3,3,154130,18-Sep,7,34,4469.469,3.0,1489.823,IDENE
3,1,154130,18-Dec,7,34,15073.278,12.0,1256.1065,IDENE
2,2,154130,18-Feb,7,34,4354.032,3.0,1451.344,IDENE
2,1,154130,19-Jan,7,34,86616.39,69.0,1255.31,IDENE
3,1,154130,18-Oct,7,34,30165.672,24.0,1256.903,IDENE
2,2,154130,19-Jun,7,34,15037.56,9.0,1670.84,IDENE
2,2,154130,19-May,7,34,11695.88,7.0,1670.84,IDENE
2,1,154130,19-Sep,7,34,85182.272,64.0,1330.973,IDENE
2,2,154130,19-Jan,7,34,14447.646,9.0,1605.294,IDENE
3,3,154130,18-Jul,7,34,2873.452,2.0,1436.726,IDENE
2,2,154130,18-Nov,7,34,14461.263,9.0,1606.807,IDENE
3,1,154130,18-May,7,34,14614.067,13.0,1124.1589999999999,IDENE
2,2,154130,18-Sep,7,34,11096.386,7.0,1585.198,IDENE
2,2,154130,18-Jun,7,34,16679.071,11.0,1516.2791818181818,IDENE
2,1,154130,19-Feb,7,34,80339.84,64.0,1255.31,IDENE
2,1,154130,19-Oct,7,34,102484.921,77.0,1330.973,IDENE
2,2,154130,19-Jul,7,34,15024.954,9.0,1669.4393333333333,IDENE
3,3,154130,18-Apr,7,34,2740.708,2.0,1370.354,IDENE
1,1,154130,18-Apr,7,34,19110.703,17.0,1124.159,IDENE
3,1,154130,18-Sep,7,34,7541.418,6.0,1256.903,IDENE
3,1,154130,18-Mar,7,34,5399.555,5.0,1079.911,IDENE
2,1,154130,19-Apr,7,34,102655.322,77.0,1333.186,IDENE
2,2,154130,19-Feb,7,34,9631.764,6.0,1605.2939999999999,IDENE
3,3,154130,18-Mar,7,34,2652.212,2.0,1326.106,IDENE
2,1,154130,18-Sep,7,34,86460.819,69.0,1253.055347826087,IDENE
2,1,154130,18-Jun,7,34,87095.384,76.0,1145.9918947368421,IDENE
2,2,154130,18-Oct,7,34,8034.035,5.0,1606.807,IDENE
3,2,154130,18-Oct,7,34,4820.421,3.0,1606.807,IDENE
2,1,154130,19-Jun,7,34,118653.554,89.0,1333.1860000000001,IDENE
2,1,154130,19-Nov,7,34,105146.867,79.0,1330.973,IDENE
2,2,154130,18-Jan,7,34,15964.784,11.0,1451.344,IDENE
2,1,154130,18-Dec,7,34,80413.118,64.0,1256.45496875,IDENE
2,1,154130,18-Oct,7,34,86726.307,69.0,1256.903,IDENE
3,1,154130,18-Jun,7,34,6744.954,6.0,1124.1589999999999,IDENE
2,1,154130,19-Aug,7,34,59893.785,45.0,1330.9730000000002,IDENE
2,2,154130,19-Sep,7,34,10012.434,6.0,1668.7389999999998,IDENE
