NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
1,1,153890,18-Jun,17,1,30816.897,27.0,1141.3665555555556,JEBENIANA
1,1,153890,19-Mar,17,1,27616.82,22.0,1255.31,JEBENIANA
1,1,153890,19-May,17,1,23997.348,18.0,1333.1860000000001,JEBENIANA
1,2,153890,19-Apr,17,1,21720.92,13.0,1670.84,JEBENIANA
3,3,153890,18-Feb,17,1,2652.212,2.0,1326.106,JEBENIANA
2,1,153890,18-Dec,17,1,16339.739,13.0,1256.903,JEBENIANA
1,3,153890,19-Jan,17,1,5952.92,4.0,1488.23,JEBENIANA
1,3,153890,18-Feb,17,1,2652.212,2.0,1326.106,JEBENIANA
1,2,153890,18-May,17,1,5973.444,4.0,1493.361,JEBENIANA
1,1,153890,18-Jul,17,1,30953.806,26.0,1190.531,JEBENIANA
1,2,153890,18-Oct,17,1,9640.842,6.0,1606.807,JEBENIANA
1,2,153890,18-Jun,17,1,12072.938,8.0,1509.11725,JEBENIANA
4,2,153890,18-Nov,17,1,3213.614,2.0,1606.807,JEBENIANA
1,1,153890,18-Jan,17,1,25917.864,24.0,1079.911,JEBENIANA
1,2,153890,18-Feb,17,1,8708.064,6.0,1451.344,JEBENIANA
1,3,153890,18-Jul,17,1,5746.904,4.0,1436.726,JEBENIANA
1,2,153890,18-Apr,17,1,8960.166,6.0,1493.3609999999999,JEBENIANA
1,3,153890,18-Nov,17,1,5959.292,4.0,1489.823,JEBENIANA
1,2,153890,19-Feb,17,1,4815.882,3.0,1605.2939999999999,JEBENIANA
1,2,153890,19-Jun,17,1,3341.68,2.0,1670.84,JEBENIANA
1,3,153890,18-Mar,17,1,5304.424,4.0,1326.106,JEBENIANA
1,2,153890,18-Aug,17,1,38909.65,25.0,1556.386,JEBENIANA
1,3,153890,18-Oct,17,1,5959.292,4.0,1489.823,JEBENIANA
1,1,153890,19-Feb,17,1,23850.89,19.0,1255.31,JEBENIANA
1,1,153890,18-Mar,17,1,37796.885,35.0,1079.911,JEBENIANA
1,3,153890,18-May,17,1,5481.416,4.0,1370.354,JEBENIANA
1,3,153890,18-Aug,17,1,5746.904,4.0,1436.726,JEBENIANA
1,3,153890,18-Sep,17,1,2979.646,2.0,1489.823,JEBENIANA
1,6,153890,19-Mar,17,1,4464.69,3.0,1488.2299999999998,JEBENIANA
1,2,153890,18-Jan,17,1,7256.72,5.0,1451.344,JEBENIANA
1,1,153890,18-Aug,17,1,28572.744,24.0,1190.531,JEBENIANA
3,2,153890,18-Aug,17,1,6225.544,4.0,1556.386,JEBENIANA
1,1,153890,18-Sep,17,1,46505.411,37.0,1256.903,JEBENIANA
1,1,153890,18-May,17,1,30352.293,27.0,1124.159,JEBENIANA
1,1,153890,18-Oct,17,1,27651.866,22.0,1256.903,JEBENIANA
1,3,153890,19-Feb,17,1,5952.92,4.0,1488.23,JEBENIANA
1,2,153890,18-Dec,17,1,12854.456,8.0,1606.807,JEBENIANA
1,3,153890,18-Dec,17,1,4469.469,3.0,1489.823,JEBENIANA
1,1,153890,19-Jan,17,1,25106.2,20.0,1255.31,JEBENIANA
2,1,153890,18-Nov,17,1,5027.612,4.0,1256.903,JEBENIANA
1,2,153890,18-Nov,17,1,3213.614,2.0,1606.807,JEBENIANA
1,6,153890,19-May,17,1,3114.514,2.0,1557.257,JEBENIANA
1,2,153890,19-Mar,17,1,11237.058,7.0,1605.294,JEBENIANA
1,1,153890,19-Jun,17,1,0.0,0.0,,JEBENIANA
1,3,153890,18-Apr,17,1,2740.708,2.0,1370.354,JEBENIANA
1,2,153890,18-Sep,17,1,6427.228,4.0,1606.807,JEBENIANA
1,2,153890,19-Jan,17,1,14447.646,9.0,1605.294,JEBENIANA
1,2,153890,18-Mar,17,1,8708.064,6.0,1451.344,JEBENIANA
1,1,153890,18-Apr,17,1,25855.657,23.0,1124.1589999999999,JEBENIANA
1,1,153890,18-Dec,17,1,22614.696,18.0,1256.372,JEBENIANA
2,1,153890,18-Jul,17,1,3571.593,3.0,1190.531,JEBENIANA
1,3,153890,18-Jun,17,1,2740.708,2.0,1370.354,JEBENIANA
1,6,153890,19-Apr,17,1,6229.028,4.0,1557.257,JEBENIANA
1,2,153890,18-Jul,17,1,17120.246,11.0,1556.386,JEBENIANA
3,1,153890,18-Aug,17,1,5952.655,5.0,1190.531,JEBENIANA
1,2,153890,19-May,17,1,11695.88,7.0,1670.84,JEBENIANA
1,3,153890,18-Jan,17,1,2652.212,2.0,1326.106,JEBENIANA
1,1,153890,18-Feb,17,1,29157.597,27.0,1079.911,JEBENIANA
1,1,153890,18-Nov,17,1,26394.963,21.0,1256.903,JEBENIANA
1,1,153890,19-Apr,17,1,34662.836,26.0,1333.1860000000001,JEBENIANA
