NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
1,2,152040,18-Apr,13,6,38827.386,26.0,1493.3609999999999,JELMA
1,1,152040,18-Jul,13,6,191675.491,161.0,1190.531,JELMA
2,1,152040,19-Jan,13,6,21340.27,17.0,1255.31,JELMA
1,2,152040,18-Nov,13,6,46597.403,29.0,1606.807,JELMA
1,3,152040,18-Nov,13,6,20857.522,14.0,1489.823,JELMA
1,1,152040,19-Apr,13,6,215976.132,162.0,1333.1860000000001,JELMA
1,6,152040,19-Mar,13,6,20835.22,14.0,1488.23,JELMA
1,2,152040,19-Aug,13,6,76761.994,46.0,1668.739,JELMA
1,6,152040,19-Jul,13,6,35785.929,23.0,1555.9099565217389,JELMA
4,6,152040,19-Sep,13,6,6220.176,4.0,1555.044,JELMA
1,6,152040,19-Oct,13,6,26435.748,17.0,1555.0439999999999,JELMA
1,1,152040,19-Nov,13,6,203638.869,153.0,1330.973,JELMA
1,6,152040,19-Nov,13,6,24880.704,16.0,1555.044,JELMA
1,2,152040,19-Dec,13,6,63412.082,38.0,1668.739,JELMA
1,2,152040,18-Jul,13,6,48247.966,31.0,1556.386,JELMA
2,2,152040,18-Jul,13,6,4669.158,3.0,1556.3860000000002,JELMA
2,6,152040,19-Jun,13,6,4671.771,3.0,1557.2569999999998,JELMA
3,3,152040,18-Feb,13,6,5304.424,4.0,1326.106,JELMA
1,1,152040,18-Mar,13,6,222461.666,206.0,1079.911,JELMA
3,2,152040,18-Nov,13,6,4820.421,3.0,1606.807,JELMA
3,3,152040,18-Nov,13,6,5959.292,4.0,1489.823,JELMA
2,1,152040,18-Jul,13,6,8333.717,7.0,1190.5310000000002,JELMA
1,2,152040,18-Sep,13,6,57845.052,36.0,1606.807,JELMA
1,2,152040,19-Feb,13,6,48158.82,30.0,1605.294,JELMA
1,1,152040,19-Jun,13,6,54660.626,41.0,1333.186,JELMA
1,6,152040,19-Dec,13,6,31100.88,20.0,1555.044,JELMA
1,3,152040,18-Mar,13,6,25196.014,19.0,1326.106,JELMA
1,2,152040,18-May,13,6,46294.191,31.0,1493.3609999999999,JELMA
1,6,152040,19-May,13,6,28030.626,18.0,1557.257,JELMA
1,1,152040,18-Dec,13,6,160783.225,128.0,1256.1189453125,JELMA
1,2,152040,19-Jan,13,6,44948.232,28.0,1605.294,JELMA
1,3,152040,18-Sep,13,6,28306.637,19.0,1489.8229999999999,JELMA
