NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
1,3,155560,18-Dec,15,19,14898.23,10.0,1489.8229999999999,JEMMAL
3,3,155560,18-Aug,15,19,5746.904,4.0,1436.726,JEMMAL
3,2,155560,18-Nov,15,19,3213.614,2.0,1606.807,JEMMAL
2,2,155560,19-Feb,15,19,25684.704,16.0,1605.294,JEMMAL
1,1,155560,19-Dec,15,19,15971.676,12.0,1330.973,JEMMAL
1,1,155560,19-Apr,15,19,130652.228,98.0,1333.186,JEMMAL
2,2,155560,19-Nov,15,19,66749.56,40.0,1668.739,JEMMAL
1,1,155560,18-May,15,19,290033.022,258.0,1124.1589999999999,JEMMAL
2,1,155560,18-Aug,15,19,136911.065,115.0,1190.531,JEMMAL
1,3,155560,18-Aug,15,19,28734.52,20.0,1436.726,JEMMAL
1,1,155560,18-Jun,15,19,247198.896,216.0,1144.4393333333335,JEMMAL
3,3,155560,18-Sep,15,19,5959.292,4.0,1489.823,JEMMAL
2,6,155560,19-Dec,15,19,32655.924,21.0,1555.0439999999999,JEMMAL
1,1,155560,18-Jan,15,19,329372.855,305.0,1079.9109999999998,JEMMAL
1,3,155560,18-Feb,15,19,23869.908,18.0,1326.106,JEMMAL
2,2,155560,18-Mar,15,19,4354.032,3.0,1451.344,JEMMAL
2,1,155560,18-Dec,15,19,315339.283,251.0,1256.3318047808764,JEMMAL
1,2,155560,18-Jul,15,19,35796.878,23.0,1556.386,JEMMAL
2,1,155560,19-Feb,15,19,219679.25,175.0,1255.31,JEMMAL
2,2,155560,18-Oct,15,19,19281.684,12.0,1606.807,JEMMAL
1,2,155560,19-Jan,15,19,12842.352,8.0,1605.294,JEMMAL
2,6,155560,19-Jun,15,19,24916.112,16.0,1557.257,JEMMAL
1,2,155560,19-Apr,15,19,18379.24,11.0,1670.8400000000001,JEMMAL
1,2,155560,19-May,15,19,11695.88,7.0,1670.84,JEMMAL
2,1,155560,19-Mar,15,19,267381.03,213.0,1255.3100000000002,JEMMAL
2,1,155560,19-Jul,15,19,357063.696,268.0,1332.327223880597,JEMMAL
2,2,155560,18-Feb,15,19,7256.72,5.0,1451.344,JEMMAL
2,1,155560,18-May,15,19,75318.653,67.0,1124.159,JEMMAL
1,2,155560,18-Sep,15,19,44990.596,28.0,1606.807,JEMMAL
3,3,155560,18-Oct,15,19,19367.699,13.0,1489.823,JEMMAL
3,1,155560,18-Dec,15,19,13825.933,11.0,1256.903,JEMMAL
1,2,155560,19-Sep,15,19,10012.434,6.0,1668.7389999999998,JEMMAL
1,1,155560,19-May,15,19,134651.786,101.0,1333.186,JEMMAL
2,3,155560,19-Apr,15,19,10900.799,7.0,1557.257,JEMMAL
2,6,155560,19-Sep,15,19,23325.66,15.0,1555.044,JEMMAL
3,3,155560,19-Jan,15,19,22323.45,15.0,1488.23,JEMMAL
3,1,155560,18-Oct,15,19,7541.418,6.0,1256.903,JEMMAL
1,1,155560,19-Jan,15,19,56488.95,45.0,1255.31,JEMMAL
2,1,155560,19-Jun,15,19,363959.778,273.0,1333.186,JEMMAL
3,6,155560,19-Apr,15,19,12458.056,8.0,1557.257,JEMMAL
1,2,155560,19-Jul,15,19,11695.88,7.0,1670.84,JEMMAL
1,1,155560,18-Dec,15,19,69129.665,55.0,1256.9029999999998,JEMMAL
2,1,155560,19-Jan,15,19,318848.74,254.0,1255.31,JEMMAL
3,3,155560,19-Feb,15,19,31252.83,21.0,1488.23,JEMMAL
3,3,155560,18-Jun,15,19,15073.894,11.0,1370.354,JEMMAL
1,2,155560,19-Feb,15,19,32105.88,20.0,1605.294,JEMMAL
1,2,155560,19-Mar,15,19,27289.998,17.0,1605.2939999999999,JEMMAL
2,1,155560,19-Nov,15,19,397960.927,299.0,1330.9730000000002,JEMMAL
1,3,155560,18-Jan,15,19,11934.954,9.0,1326.106,JEMMAL
1,1,155560,18-Apr,15,19,322633.633,287.0,1124.1589999999999,JEMMAL
3,3,155560,18-Jul,15,19,7183.63,5.0,1436.726,JEMMAL
1,1,155560,18-Oct,15,19,246352.988,196.0,1256.903,JEMMAL
2,1,155560,19-Aug,15,19,379327.305,285.0,1330.973,JEMMAL
2,6,155560,19-Jul,15,19,28004.07,18.0,1555.7816666666668,JEMMAL
2,2,155560,19-Sep,15,19,51730.909,31.0,1668.739,JEMMAL
3,3,155560,18-Mar,15,19,13261.06,10.0,1326.106,JEMMAL
1,2,155560,18-Mar,15,19,55151.072,38.0,1451.344,JEMMAL
3,3,155560,18-May,15,19,20555.31,15.0,1370.354,JEMMAL
1,1,155560,18-Jul,15,19,223819.828,188.0,1190.531,JEMMAL
1,3,155560,18-Jul,15,19,18677.438,13.0,1436.7259999999999,JEMMAL
1,2,155560,18-Aug,15,19,49804.352,32.0,1556.386,JEMMAL
2,2,155560,18-Jun,15,19,4480.083,3.0,1493.3609999999999,JEMMAL
2,1,155560,18-Feb,15,19,39956.707,37.0,1079.911,JEMMAL
2,1,155560,18-Jan,15,19,150107.629,139.0,1079.9109999999998,JEMMAL
3,3,155560,18-Feb,15,19,5304.424,4.0,1326.106,JEMMAL
1,1,155560,18-Mar,15,19,416845.646,386.0,1079.911,JEMMAL
2,2,155560,18-Dec,15,19,33721.765,21.0,1605.7983333333334,JEMMAL
3,2,155560,18-Dec,15,19,14461.263,9.0,1606.807,JEMMAL
2,1,155560,18-Jun,15,19,59186.36,52.0,1138.1992307692308,JEMMAL
1,3,155560,19-Jan,15,19,5952.92,4.0,1488.23,JEMMAL
2,6,155560,19-Oct,15,19,29545.836,19.0,1555.0439999999999,JEMMAL
2,2,155560,19-Aug,15,19,80099.472,48.0,1668.7389999999998,JEMMAL
2,6,155560,19-Nov,15,19,24880.704,16.0,1555.044,JEMMAL
3,1,155560,18-Mar,15,19,16198.665,15.0,1079.911,JEMMAL
