NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
3,3,154430,18-Aug,8,33,27297.794,19.0,1436.726,JENDOUBA GP17
2,1,154430,18-Aug,8,33,55954.957,47.0,1190.531,JENDOUBA GP17
2,1,154430,18-Oct,8,33,30165.672,24.0,1256.903,JENDOUBA GP17
3,3,154430,18-Nov,8,33,20857.522,14.0,1489.823,JENDOUBA GP17
2,1,154430,19-Feb,8,33,40169.92,32.0,1255.31,JENDOUBA GP17
2,3,154430,19-Apr,8,33,24916.112,16.0,1557.257,JENDOUBA GP17
2,1,154430,19-Mar,8,33,27616.82,22.0,1255.31,JENDOUBA GP17
2,2,154430,19-Mar,8,33,28895.292,18.0,1605.294,JENDOUBA GP17
2,1,154430,19-Jul,8,33,49299.113,37.0,1332.4084594594594,JENDOUBA GP17
2,2,154430,19-Jul,8,33,63452.001,38.0,1669.7894999999999,JENDOUBA GP17
3,1,154430,18-May,8,33,6744.954,6.0,1124.1589999999999,JENDOUBA GP17
2,2,154430,18-Jun,8,33,45494.105,30.0,1516.4701666666667,JENDOUBA GP17
2,1,154430,18-Jun,8,33,62629.374,54.0,1159.8032222222223,JENDOUBA GP17
3,3,154430,18-Oct,8,33,14898.23,10.0,1489.8229999999999,JENDOUBA GP17
3,3,154430,18-Jun,8,33,15073.894,11.0,1370.354,JENDOUBA GP17
2,6,154430,19-Oct,8,33,29545.836,19.0,1555.0439999999999,JENDOUBA GP17
2,1,154430,19-May,8,33,33329.65,25.0,1333.1860000000001,JENDOUBA GP17
2,6,154430,19-Jun,8,33,24916.112,16.0,1557.257,JENDOUBA GP17
3,6,154430,19-Mar,8,33,17858.76,12.0,1488.2299999999998,JENDOUBA GP17
1,2,154430,19-Sep,8,33,18356.129,11.0,1668.739,JENDOUBA GP17
2,2,154430,19-Sep,8,33,38380.997,23.0,1668.739,JENDOUBA GP17
3,3,154430,18-Jan,8,33,17239.378,13.0,1326.106,JENDOUBA GP17
2,2,154430,18-Jan,8,33,62407.792,43.0,1451.344,JENDOUBA GP17
2,6,154430,19-Sep,8,33,31100.88,20.0,1555.044,JENDOUBA GP17
2,2,154430,18-Dec,8,33,35333.111,22.0,1606.0504999999998,JENDOUBA GP17
2,1,154430,18-Dec,8,33,48996.915,39.0,1256.331153846154,JENDOUBA GP17
2,1,154430,18-Jan,8,33,134988.875,125.0,1079.911,JENDOUBA GP17
2,2,154430,18-May,8,33,31360.581,21.0,1493.3609999999999,JENDOUBA GP17
1,1,154430,18-Apr,8,33,13489.908,12.0,1124.1589999999999,JENDOUBA GP17
3,3,154430,18-Jul,8,33,30171.246,21.0,1436.7259999999999,JENDOUBA GP17
2,1,154430,18-Sep,8,33,67872.762,54.0,1256.903,JENDOUBA GP17
2,2,154430,19-Jun,8,33,41771.0,25.0,1670.84,JENDOUBA GP17
2,2,154430,19-Oct,8,33,55068.387,33.0,1668.739,JENDOUBA GP17
2,3,154430,19-May,8,33,18687.084,12.0,1557.2569999999998,JENDOUBA GP17
2,6,154430,19-Aug,8,33,52871.496,34.0,1555.0439999999999,JENDOUBA GP17
2,1,154430,19-Nov,8,33,69210.596,52.0,1330.9730000000002,JENDOUBA GP17
3,2,154430,18-Dec,8,33,8034.035,5.0,1606.807,JENDOUBA GP17
2,1,154430,19-Aug,8,33,53238.92,40.0,1330.973,JENDOUBA GP17
2,6,154430,19-Jul,8,33,40453.274,26.0,1555.8951538461538,JENDOUBA GP17
2,1,154430,19-Dec,8,33,65217.677,49.0,1330.973,JENDOUBA GP17
2,6,154430,19-Dec,8,33,24880.704,16.0,1555.044,JENDOUBA GP17
2,1,154430,18-Feb,8,33,10799.11,10.0,1079.911,JENDOUBA GP17
3,3,154430,18-Feb,8,33,7956.636,6.0,1326.106,JENDOUBA GP17
3,1,154430,18-Apr,8,33,6744.954,6.0,1124.1589999999999,JENDOUBA GP17
2,2,154430,18-Apr,8,33,37334.025,25.0,1493.361,JENDOUBA GP17
3,3,154430,18-Apr,8,33,9592.478,7.0,1370.3539999999998,JENDOUBA GP17
3,2,154430,18-Jul,8,33,9338.316,6.0,1556.3860000000002,JENDOUBA GP17
2,2,154430,19-Feb,8,33,40132.35,25.0,1605.2939999999999,JENDOUBA GP17
2,6,154430,19-Nov,8,33,27990.792,18.0,1555.044,JENDOUBA GP17
2,2,154430,19-Jan,8,33,30500.586,19.0,1605.2939999999999,JENDOUBA GP17
2,2,154430,18-Oct,8,33,33742.947,21.0,1606.807,JENDOUBA GP17
3,2,154430,18-Jun,8,33,5973.444,4.0,1493.361,JENDOUBA GP17
3,3,154430,18-May,8,33,16444.248,12.0,1370.354,JENDOUBA GP17
3,3,154430,19-Jan,8,33,19346.99,13.0,1488.23,JENDOUBA GP17
