NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
2,1,154880,18-Feb,8,33,77753.592,72.0,1079.911,JENDOUBA VILLE
3,3,154880,18-Feb,8,33,14587.166,11.0,1326.106,JENDOUBA VILLE
3,2,154880,18-Aug,8,33,57586.282,37.0,1556.386,JENDOUBA VILLE
1,1,154880,18-Mar,8,33,26997.775,25.0,1079.911,JENDOUBA VILLE
2,2,154880,18-Jun,8,33,118372.908,78.0,1517.6013846153846,JENDOUBA VILLE
3,1,154880,19-Feb,8,33,8787.17,7.0,1255.31,JENDOUBA VILLE
1,1,154880,19-Mar,8,33,17574.34,14.0,1255.31,JENDOUBA VILLE
2,2,154880,19-Jul,8,33,155287.272,93.0,1669.7556129032257,JENDOUBA VILLE
1,2,154880,18-Apr,8,33,13440.249,9.0,1493.3609999999999,JENDOUBA VILLE
3,3,154880,18-Dec,8,33,87866.104,59.0,1489.256,JENDOUBA VILLE
2,1,154880,18-Aug,8,33,330967.618,278.0,1190.531,JENDOUBA VILLE
2,1,154880,19-May,8,33,318631.454,239.0,1333.1860000000001,JENDOUBA VILLE
1,2,154880,19-Mar,8,33,19263.528,12.0,1605.2939999999999,JENDOUBA VILLE
2,2,154880,19-Sep,8,33,153523.988,92.0,1668.739,JENDOUBA VILLE
2,6,154880,19-Jul,8,33,102703.72,66.0,1556.1169696969698,JENDOUBA VILLE
3,2,154880,18-May,8,33,8960.166,6.0,1493.3609999999999,JENDOUBA VILLE
3,1,154880,18-Nov,8,33,69129.665,55.0,1256.9029999999998,JENDOUBA VILLE
3,1,154880,19-May,8,33,17331.418,13.0,1333.1860000000001,JENDOUBA VILLE
3,3,154880,18-Jan,8,33,76914.148,58.0,1326.106,JENDOUBA VILLE
2,1,154880,18-Apr,8,33,303522.93,270.0,1124.1589999999999,JENDOUBA VILLE
2,2,154880,18-May,8,33,116482.158,78.0,1493.3609999999999,JENDOUBA VILLE
3,1,154880,18-Oct,8,33,70386.568,56.0,1256.903,JENDOUBA VILLE
3,2,154880,18-Jun,8,33,16426.971,11.0,1493.361,JENDOUBA VILLE
2,3,154880,19-May,8,33,79420.107,51.0,1557.257,JENDOUBA VILLE
2,6,154880,19-Sep,8,33,101077.86,65.0,1555.044,JENDOUBA VILLE
2,2,154880,18-Feb,8,33,30478.224,21.0,1451.3439999999998,JENDOUBA VILLE
3,1,154880,19-Jan,8,33,28872.13,23.0,1255.31,JENDOUBA VILLE
