NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
1,2,153800,18-Mar,11,13,62407.792,43.0,1451.344,KAIROUAN
1,3,153800,18-Mar,11,13,26522.12,20.0,1326.106,KAIROUAN
2,2,153800,18-Aug,11,13,60699.054,39.0,1556.386,KAIROUAN
1,2,153800,18-Dec,11,13,25708.912,16.0,1606.807,KAIROUAN
1,1,153800,18-Aug,11,13,60717.081,51.0,1190.531,KAIROUAN
2,1,153800,19-Oct,11,13,223603.464,168.0,1330.973,KAIROUAN
1,1,153800,19-Mar,11,13,84105.77,67.0,1255.3100000000002,KAIROUAN
3,5,153800,19-Mar,11,13,6525.664,4.0,1631.416,KAIROUAN
3,6,153800,19-Mar,11,13,43158.67,29.0,1488.23,KAIROUAN
2,2,153800,18-May,11,13,37334.025,25.0,1493.361,KAIROUAN
3,3,153800,18-Mar,11,13,18565.484,14.0,1326.106,KAIROUAN
2,1,153800,19-Jan,11,13,141850.03,113.0,1255.31,KAIROUAN
3,4,153800,18-Jul,11,13,8496.22,5.0,1699.244,KAIROUAN
3,2,153800,18-Jul,11,13,9338.316,6.0,1556.3860000000002,KAIROUAN
3,3,153800,18-Sep,11,13,53633.628,36.0,1489.8229999999999,KAIROUAN
1,1,153800,18-Nov,11,13,22624.254,18.0,1256.903,KAIROUAN
1,2,153800,18-Nov,11,13,22495.298,14.0,1606.807,KAIROUAN
3,1,153800,19-Jan,11,13,10042.48,8.0,1255.31,KAIROUAN
2,3,153800,19-Apr,11,13,66962.051,43.0,1557.257,KAIROUAN
3,5,153800,19-Apr,11,13,6837.168,4.0,1709.292,KAIROUAN
2,1,153800,18-Dec,11,13,185934.029,148.0,1256.3110067567568,KAIROUAN
1,1,153800,19-Jan,11,13,43935.85,35.0,1255.31,KAIROUAN
1,3,153800,18-Dec,11,13,13408.407,9.0,1489.8229999999999,KAIROUAN
2,4,153800,19-Jan,11,13,5248.992,3.0,1749.664,KAIROUAN
1,1,153800,18-Jun,11,13,173726.164,152.0,1142.9352894736842,KAIROUAN
2,2,153800,18-Nov,11,13,112476.49,70.0,1606.807,KAIROUAN
3,2,153800,18-Oct,11,13,14461.263,9.0,1606.807,KAIROUAN
3,5,153800,19-Feb,11,13,4894.248,3.0,1631.416,KAIROUAN
2,2,153800,19-Aug,11,13,126824.164,76.0,1668.739,KAIROUAN
1,2,153800,18-Apr,11,13,58241.079,39.0,1493.3609999999999,KAIROUAN
1,2,153800,18-May,11,13,86614.938,58.0,1493.3609999999999,KAIROUAN
2,2,153800,19-Feb,11,13,54579.996,34.0,1605.2939999999999,KAIROUAN
