NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
2,2,154730,18-Feb,14,14,55151.072,38.0,1451.344,KALAA EL KEBIRA
3,3,154730,18-May,14,14,63036.284,46.0,1370.354,KALAA EL KEBIRA
3,3,154730,18-Jul,14,14,74709.752,52.0,1436.7259999999999,KALAA EL KEBIRA
2,1,154730,19-Jan,14,14,527230.2,420.0,1255.31,KALAA EL KEBIRA
3,3,154730,18-Jun,14,14,61158.412,44.0,1389.963909090909,KALAA EL KEBIRA
3,3,154730,18-Oct,14,14,58103.097,39.0,1489.823,KALAA EL KEBIRA
2,2,154730,19-Apr,14,14,262321.88,157.0,1670.84,KALAA EL KEBIRA
2,1,154730,19-Oct,14,14,664155.527,499.0,1330.973,KALAA EL KEBIRA
1,2,154730,19-Aug,14,14,81768.211,49.0,1668.7389999999998,KALAA EL KEBIRA
2,6,154730,19-Aug,14,14,76197.156,49.0,1555.044,KALAA EL KEBIRA
2,1,154730,18-Feb,14,14,269977.75,250.0,1079.911,KALAA EL KEBIRA
2,2,154730,18-Feb,14,14,113204.832,78.0,1451.3439999999998,KALAA EL KEBIRA
1,2,154730,18-Dec,14,14,32136.14,20.0,1606.807,KALAA EL KEBIRA
2,2,154730,18-Oct,14,14,223346.173,139.0,1606.807,KALAA EL KEBIRA
3,3,154730,19-Feb,14,14,68458.58,46.0,1488.23,KALAA EL KEBIRA
1,1,154730,18-Dec,14,14,28908.769,23.0,1256.903,KALAA EL KEBIRA
2,2,154730,19-Oct,14,14,345428.973,207.0,1668.739,KALAA EL KEBIRA
1,6,154730,19-Apr,14,14,10900.799,7.0,1557.257,KALAA EL KEBIRA
1,1,154730,19-May,14,14,50661.068,38.0,1333.186,KALAA EL KEBIRA
3,6,154730,19-Apr,14,14,43603.196,28.0,1557.257,KALAA EL KEBIRA
2,1,154730,19-Mar,14,14,510911.17,407.0,1255.31,KALAA EL KEBIRA
2,1,154730,18-Dec,14,14,535246.332,426.0,1256.4467887323945,KALAA EL KEBIRA
3,3,154730,18-Dec,14,14,35747.787,24.0,1489.4911249999998,KALAA EL KEBIRA
2,1,154730,18-Nov,14,14,519100.939,413.0,1256.903,KALAA EL KEBIRA
1,3,154730,18-Dec,14,14,29788.495,20.0,1489.42475,KALAA EL KEBIRA
2,1,154730,19-Jun,14,14,559938.12,420.0,1333.186,KALAA EL KEBIRA
1,1,154730,19-Feb,14,14,5021.24,4.0,1255.31,KALAA EL KEBIRA
1,2,154730,19-May,14,14,11695.88,7.0,1670.84,KALAA EL KEBIRA
1,3,154730,18-Mar,14,14,33152.65,25.0,1326.106,KALAA EL KEBIRA
2,2,154730,18-Jan,14,14,188674.72,130.0,1451.344,KALAA EL KEBIRA
3,1,154730,18-Apr,14,14,12365.749,11.0,1124.1589999999999,KALAA EL KEBIRA
1,2,154730,18-May,14,14,10453.527,7.0,1493.361,KALAA EL KEBIRA
1,2,154730,19-Feb,14,14,25684.704,16.0,1605.294,KALAA EL KEBIRA
2,6,154730,19-Oct,14,14,77752.2,50.0,1555.0439999999999,KALAA EL KEBIRA
2,1,154730,19-Aug,14,14,697429.852,524.0,1330.973,KALAA EL KEBIRA
1,1,154730,18-Mar,14,14,18358.487,17.0,1079.911,KALAA EL KEBIRA
1,1,154730,18-May,14,14,26979.816,24.0,1124.1589999999999,KALAA EL KEBIRA
