NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
3,3,153260,18-Jan,14,27,37130.968,28.0,1326.106,KANTAOUI
2,2,153260,19-Feb,14,27,248820.57,155.0,1605.294,KANTAOUI
3,3,153260,18-Sep,14,27,87634.072,59.0,1485.3232542372882,KANTAOUI
3,1,153260,18-Jun,14,27,11241.59,10.0,1124.159,KANTAOUI
2,6,153260,19-Jun,14,27,52946.738,34.0,1557.2569999999998,KANTAOUI
2,1,153260,19-Apr,14,27,75991.602,57.0,1333.186,KANTAOUI
1,1,153260,19-Mar,14,27,22595.58,18.0,1255.3100000000002,KANTAOUI
2,6,153260,19-Jul,14,27,104229.995,67.0,1555.6715671641791,KANTAOUI
3,2,153260,19-Sep,14,27,26699.824,16.0,1668.739,KANTAOUI
2,1,153260,18-Jan,14,27,24837.953,23.0,1079.911,KANTAOUI
1,1,153260,18-Jan,14,27,47516.084,44.0,1079.911,KANTAOUI
2,1,153260,18-May,14,27,52835.473,47.0,1124.1589999999999,KANTAOUI
1,1,153260,18-May,14,27,28103.975,25.0,1124.1589999999999,KANTAOUI
2,4,153260,18-Jul,14,27,5097.732,3.0,1699.244,KANTAOUI
2,2,153260,18-Jun,14,27,134610.804,89.0,1512.4809438202249,KANTAOUI
1,4,153260,19-Jun,14,27,5470.839,3.0,1823.613,KANTAOUI
1,1,153260,19-Feb,14,27,6276.55,5.0,1255.31,KANTAOUI
2,4,153260,19-Aug,14,27,10929.072,6.0,1821.512,KANTAOUI
1,2,153260,18-Feb,14,27,194480.096,134.0,1451.3439999999998,KANTAOUI
1,3,153260,18-Apr,14,27,9592.478,7.0,1370.3539999999998,KANTAOUI
1,2,153260,18-Apr,14,27,234457.677,157.0,1493.3609999999999,KANTAOUI
2,2,153260,18-Nov,14,27,286011.646,178.0,1606.807,KANTAOUI
1,1,153260,18-Sep,14,27,15082.836,12.0,1256.903,KANTAOUI
2,2,153260,18-Sep,14,27,297259.295,185.0,1606.807,KANTAOUI
1,3,153260,18-Feb,14,27,42435.392,32.0,1326.106,KANTAOUI
3,2,153260,18-Jul,14,27,10894.702,7.0,1556.386,KANTAOUI
2,1,153260,18-Jun,14,27,29559.994,26.0,1136.9228461538462,KANTAOUI
3,1,153260,18-Nov,14,27,10055.224,8.0,1256.903,KANTAOUI
2,6,153260,19-Aug,14,27,141509.004,91.0,1555.0439999999999,KANTAOUI
2,2,153260,19-Jul,14,27,540938.263,324.0,1669.562540123457,KANTAOUI
1,2,153260,19-Jul,14,27,25062.6,15.0,1670.84,KANTAOUI
2,6,153260,19-Nov,14,27,71532.024,46.0,1555.044,KANTAOUI
2,2,153260,18-Mar,14,27,120461.552,83.0,1451.344,KANTAOUI
2,1,153260,18-Apr,14,27,22483.18,20.0,1124.159,KANTAOUI
2,2,153260,19-Jan,14,27,224741.16,140.0,1605.294,KANTAOUI
2,1,153260,18-Jul,14,27,42859.116,36.0,1190.531,KANTAOUI
3,3,153260,18-Jun,14,27,49930.092,36.0,1386.947,KANTAOUI
1,2,153260,19-Jun,14,27,242271.8,145.0,1670.84,KANTAOUI
3,2,153260,19-Aug,14,27,20024.868,12.0,1668.7389999999998,KANTAOUI
2,6,153260,19-Dec,14,27,77752.2,50.0,1555.0439999999999,KANTAOUI
1,3,153260,18-Mar,14,27,34478.756,26.0,1326.106,KANTAOUI
3,1,153260,19-Jan,14,27,17574.34,14.0,1255.31,KANTAOUI
1,2,153260,18-Dec,14,27,40170.175,25.0,1606.807,KANTAOUI
1,3,153260,18-Jun,14,27,21219.03,15.0,1414.6019999999999,KANTAOUI
2,2,153260,18-Oct,14,27,340643.084,212.0,1606.8069999999998,KANTAOUI
2,1,153260,18-Oct,14,27,61588.247,49.0,1256.903,KANTAOUI
2,2,153260,19-May,14,27,304092.88,182.0,1670.84,KANTAOUI
2,2,153260,19-Apr,14,27,335838.84,201.0,1670.8400000000001,KANTAOUI
2,1,153260,19-Sep,14,27,101153.948,76.0,1330.973,KANTAOUI
2,4,153260,19-Nov,14,27,5464.536,3.0,1821.512,KANTAOUI
1,1,153260,18-Mar,14,27,78833.503,73.0,1079.911,KANTAOUI
1,2,153260,18-Jan,14,27,200285.472,138.0,1451.344,KANTAOUI
1,3,153260,18-Jan,14,27,29174.332,22.0,1326.106,KANTAOUI
1,1,153260,18-Feb,14,27,53995.55,50.0,1079.911,KANTAOUI
2,1,153260,18-Dec,14,27,60307.449,48.0,1256.4051875,KANTAOUI
2,4,153260,18-Oct,14,27,10497.984,6.0,1749.664,KANTAOUI
2,1,153260,19-Mar,14,27,35148.68,28.0,1255.31,KANTAOUI
1,2,153260,18-Mar,14,27,195931.44,135.0,1451.344,KANTAOUI
2,2,153260,18-Apr,14,27,59734.44,40.0,1493.361,KANTAOUI
2,2,153260,18-May,14,27,198617.013,133.0,1493.361,KANTAOUI
2,2,153260,18-Dec,14,27,237721.195,148.0,1606.2242905405406,KANTAOUI
3,3,153260,19-Jan,14,27,61017.43,41.0,1488.23,KANTAOUI
3,1,153260,18-Oct,14,27,21367.351,17.0,1256.903,KANTAOUI
3,3,153260,18-Nov,14,27,64062.389,43.0,1489.823,KANTAOUI
3,3,153260,19-Feb,14,27,65482.12,44.0,1488.23,KANTAOUI
