NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
1,1,155310,18-Feb,12,15,142548.252,132.0,1079.911,KASSERINE
1,2,155310,18-Jun,12,15,92292.496,61.0,1512.991737704918,KASSERINE
1,3,155310,18-Oct,12,15,56613.274,38.0,1489.8229999999999,KASSERINE
1,2,155310,18-Nov,12,15,86767.578,54.0,1606.8069999999998,KASSERINE
1,2,155310,18-Mar,12,15,105948.112,73.0,1451.3439999999998,KASSERINE
1,3,155310,18-Apr,12,15,58925.222,43.0,1370.354,KASSERINE
1,2,155310,18-Jul,12,15,85601.23,55.0,1556.386,KASSERINE
2,1,155310,18-Aug,12,15,15476.903,13.0,1190.531,KASSERINE
1,3,155310,18-Nov,12,15,64062.389,43.0,1489.823,KASSERINE
1,3,155310,18-Mar,12,15,55696.452,42.0,1326.106,KASSERINE
1,1,155310,18-Jul,12,15,159531.154,134.0,1190.5310000000002,KASSERINE
1,2,155310,18-Sep,12,15,88374.385,55.0,1606.807,KASSERINE
1,1,155310,19-Apr,12,15,165315.064,124.0,1333.1860000000001,KASSERINE
1,2,155310,19-May,12,15,115287.96,69.0,1670.8400000000001,KASSERINE
1,3,155310,18-Feb,12,15,46413.71,35.0,1326.106,KASSERINE
1,3,155310,18-May,12,15,57554.868,42.0,1370.354,KASSERINE
1,1,155310,18-Nov,12,15,160883.584,128.0,1256.903,KASSERINE
2,1,155310,19-Jul,12,15,15998.232,12.0,1333.186,KASSERINE
1,6,155310,19-Dec,12,15,73087.068,47.0,1555.044,KASSERINE
1,3,155310,18-Jan,12,15,53044.24,40.0,1326.106,KASSERINE
2,1,155310,18-Dec,12,15,50276.12,40.0,1256.903,KASSERINE
1,2,155310,18-Aug,12,15,119841.722,77.0,1556.386,KASSERINE
1,3,155310,18-Sep,12,15,62572.566,42.0,1489.8229999999999,KASSERINE
4,2,155310,18-Nov,12,15,11247.649,7.0,1606.807,KASSERINE
