NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
1,2,153370,19-Jan,20,15,93107.052,58.0,1605.2939999999999,KEBILI
1,6,153370,19-Aug,20,15,68421.936,44.0,1555.044,KEBILI
1,1,153370,19-Oct,20,15,131766.327,99.0,1330.973,KEBILI
2,1,153370,19-Sep,20,15,9316.811,7.0,1330.973,KEBILI
1,2,153370,18-Apr,20,15,68694.606,46.0,1493.361,KEBILI
1,2,153370,18-Jul,20,15,49804.352,32.0,1556.386,KEBILI
2,1,153370,18-Jul,20,15,15476.903,13.0,1190.531,KEBILI
3,3,153370,18-Aug,20,15,5746.904,4.0,1436.726,KEBILI
1,1,153370,18-Sep,20,15,93010.822,74.0,1256.903,KEBILI
1,2,153370,18-Oct,20,15,77126.736,48.0,1606.807,KEBILI
1,3,153370,18-Nov,20,15,61082.743,41.0,1489.823,KEBILI
2,1,153370,19-Jan,20,15,26361.51,21.0,1255.31,KEBILI
1,1,153370,19-Feb,20,15,106701.35,85.0,1255.3100000000002,KEBILI
1,3,153370,19-Feb,20,15,59529.2,40.0,1488.23,KEBILI
1,1,153370,19-Sep,20,15,83851.299,63.0,1330.973,KEBILI
1,2,153370,19-Mar,20,15,104344.11,65.0,1605.294,KEBILI
2,1,153370,19-Jul,20,15,21330.976,16.0,1333.186,KEBILI
1,6,153370,19-Jul,20,15,65353.895,42.0,1556.045119047619,KEBILI
1,2,153370,19-Oct,20,15,118480.469,71.0,1668.739,KEBILI
1,6,153370,19-Oct,20,15,63756.804,41.0,1555.0439999999999,KEBILI
1,2,153370,18-Aug,20,15,124510.88,80.0,1556.386,KEBILI
1,6,153370,19-May,20,15,57618.509,37.0,1557.257,KEBILI
1,3,153370,18-Sep,20,15,47674.336,32.0,1489.823,KEBILI
1,1,153370,18-Jun,20,15,89808.306,78.0,1151.3885384615385,KEBILI
2,1,153370,18-Dec,20,15,18853.545,15.0,1256.9029999999998,KEBILI
1,2,153370,19-Apr,20,15,121971.32,73.0,1670.8400000000001,KEBILI
1,2,153370,19-Jul,20,15,115208.122,69.0,1669.682927536232,KEBILI
4,2,153370,19-Sep,20,15,18356.129,11.0,1668.739,KEBILI
1,2,153370,19-Dec,20,15,141842.815,85.0,1668.739,KEBILI
1,3,153370,18-May,20,15,35629.204,26.0,1370.3539999999998,KEBILI
1,3,153370,18-Jul,20,15,40228.328,28.0,1436.726,KEBILI
1,1,153370,19-Nov,20,15,177019.409,133.0,1330.9730000000002,KEBILI
1,6,153370,19-Dec,20,15,87082.464,56.0,1555.044,KEBILI
1,3,153370,18-Apr,20,15,32888.496,24.0,1370.354,KEBILI
1,1,153370,18-Nov,20,15,131974.815,105.0,1256.903,KEBILI
1,1,153370,19-Jun,20,15,35996.022,27.0,1333.186,KEBILI
1,1,153370,19-Mar,20,15,138084.1,110.0,1255.31,KEBILI
1,6,153370,19-Mar,20,15,68458.58,46.0,1488.23,KEBILI
1,1,153370,19-Jul,20,15,129217.244,97.0,1332.1365360824743,KEBILI
4,1,153370,18-Dec,20,15,26394.963,21.0,1256.903,KEBILI
3,3,153370,19-Jan,20,15,8929.38,6.0,1488.2299999999998,KEBILI
2,2,153370,18-Jul,20,15,7781.93,5.0,1556.386,KEBILI
1,1,153370,18-Aug,20,15,92861.418,78.0,1190.5310000000002,KEBILI
1,1,153370,19-Dec,20,15,175688.436,132.0,1330.973,KEBILI
4,3,153370,18-Apr,20,15,12333.186,9.0,1370.354,KEBILI
1,2,153370,18-Sep,20,15,67485.894,42.0,1606.807,KEBILI
1,2,153370,18-Nov,20,15,77126.736,48.0,1606.807,KEBILI
1,1,153370,18-Apr,20,15,85436.084,76.0,1124.159,KEBILI
1,1,153370,19-Jan,20,15,117999.14,94.0,1255.31,KEBILI
3,1,153370,18-Aug,20,15,8333.717,7.0,1190.5310000000002,KEBILI
1,2,153370,18-Jun,20,15,57882.168,38.0,1523.214947368421,KEBILI
1,2,153370,19-Sep,20,15,91780.645,55.0,1668.739,KEBILI
2,1,153370,19-Jun,20,15,49327.882,37.0,1333.186,KEBILI
1,6,153370,19-Nov,20,15,79307.244,51.0,1555.044,KEBILI
1,2,153370,18-Mar,20,15,21770.16,15.0,1451.344,KEBILI
1,2,153370,18-May,20,15,41814.108,28.0,1493.361,KEBILI
1,3,153370,19-Jan,20,15,59529.2,40.0,1488.23,KEBILI
1,2,153370,19-Feb,20,15,86685.876,54.0,1605.294,KEBILI
1,2,153370,19-Nov,20,15,143511.554,86.0,1668.739,KEBILI
1,3,153370,18-Mar,20,15,17239.378,13.0,1326.106,KEBILI
1,1,153370,18-May,20,15,75318.653,67.0,1124.159,KEBILI
1,1,153370,18-Dec,20,15,96728.962,77.0,1256.2202857142856,KEBILI
1,1,153370,18-Oct,20,15,125690.3,100.0,1256.903,KEBILI
1,6,153370,19-Jun,20,15,57618.509,37.0,1557.257,KEBILI
1,1,153370,19-Apr,20,15,129319.042,97.0,1333.186,KEBILI
1,6,153370,19-Sep,20,15,51316.452,33.0,1555.0439999999999,KEBILI
1,1,153370,18-Jul,20,15,78575.046,66.0,1190.531,KEBILI
3,2,153370,18-Aug,20,15,9338.316,6.0,1556.3860000000002,KEBILI
4,6,153370,19-Sep,20,15,6220.176,4.0,1555.044,KEBILI
1,2,153370,19-Jun,20,15,106933.76,64.0,1670.84,KEBILI
1,2,153370,19-May,20,15,113617.12,68.0,1670.84,KEBILI
1,3,153370,18-Dec,20,15,77443.715,52.0,1489.3022115384615,KEBILI
1,3,153370,18-Aug,20,15,56032.314,39.0,1436.7259999999999,KEBILI
1,3,153370,18-Oct,20,15,61082.743,41.0,1489.823,KEBILI
1,1,153370,19-Aug,20,15,130435.354,98.0,1330.973,KEBILI
1,2,153370,19-Aug,20,15,123486.686,74.0,1668.739,KEBILI
1,2,153370,18-Dec,20,15,120471.187,75.0,1606.2824933333334,KEBILI
1,3,153370,18-Jun,20,15,40669.474,29.0,1402.3956551724139,KEBILI
2,2,153370,19-Jan,20,15,19263.528,12.0,1605.2939999999999,KEBILI
1,1,153370,19-May,20,15,111987.624,84.0,1333.186,KEBILI
1,1,153370,18-Mar,20,15,37796.885,35.0,1079.911,KEBILI
1,6,153370,19-Apr,20,15,70076.565,45.0,1557.257,KEBILI
