NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
1,2,155350,18-Feb,20,15,26124.192,18.0,1451.344,KEBILI (ex-GPL)
1,1,155350,18-Sep,20,15,17596.642,14.0,1256.903,KEBILI (ex-GPL)
1,1,155350,19-Jun,20,15,3999.558,3.0,1333.186,KEBILI (ex-GPL)
1,1,155350,18-Apr,20,15,17986.544,16.0,1124.159,KEBILI (ex-GPL)
1,2,155350,19-Jan,20,15,6421.176,4.0,1605.294,KEBILI (ex-GPL)
1,6,155350,19-Oct,20,15,6220.176,4.0,1555.044,KEBILI (ex-GPL)
1,2,155350,18-Jan,20,15,24672.848,17.0,1451.344,KEBILI (ex-GPL)
1,2,155350,18-Mar,20,15,30478.224,21.0,1451.3439999999998,KEBILI (ex-GPL)
1,2,155350,18-Apr,20,15,10453.527,7.0,1493.361,KEBILI (ex-GPL)
1,2,155350,18-May,20,15,7466.805,5.0,1493.361,KEBILI (ex-GPL)
1,1,155350,18-Mar,20,15,39956.707,37.0,1079.911,KEBILI (ex-GPL)
2,2,155350,19-Jan,20,15,3210.588,2.0,1605.294,KEBILI (ex-GPL)
1,2,155350,18-Nov,20,15,9640.842,6.0,1606.807,KEBILI (ex-GPL)
1,1,155350,19-Apr,20,15,19997.79,15.0,1333.1860000000001,KEBILI (ex-GPL)
1,2,155350,19-Apr,20,15,15037.56,9.0,1670.84,KEBILI (ex-GPL)
1,2,155350,19-Aug,20,15,8343.695,5.0,1668.739,KEBILI (ex-GPL)
1,1,155350,18-Feb,20,15,30237.508,28.0,1079.911,KEBILI (ex-GPL)
2,1,155350,19-Jun,20,15,9332.302,7.0,1333.186,KEBILI (ex-GPL)
1,2,155350,18-Jun,20,15,4480.083,3.0,1493.3609999999999,KEBILI (ex-GPL)
1,2,155350,19-May,20,15,13366.72,8.0,1670.84,KEBILI (ex-GPL)
1,1,155350,19-Aug,20,15,13309.73,10.0,1330.973,KEBILI (ex-GPL)
1,1,155350,19-Jan,20,15,10042.48,8.0,1255.31,KEBILI (ex-GPL)
1,1,155350,19-Feb,20,15,17574.34,14.0,1255.31,KEBILI (ex-GPL)
1,6,155350,19-Sep,20,15,17105.484,11.0,1555.044,KEBILI (ex-GPL)
1,1,155350,19-Mar,20,15,20084.96,16.0,1255.31,KEBILI (ex-GPL)
1,1,155350,18-Jul,20,15,11905.31,10.0,1190.531,KEBILI (ex-GPL)
1,2,155350,18-Jul,20,15,9338.316,6.0,1556.3860000000002,KEBILI (ex-GPL)
1,2,155350,18-Oct,20,15,9640.842,6.0,1606.807,KEBILI (ex-GPL)
1,2,155350,19-Feb,20,15,11237.058,7.0,1605.294,KEBILI (ex-GPL)
1,1,155350,18-Jun,20,15,15738.226,14.0,1124.159,KEBILI (ex-GPL)
1,6,155350,19-Jul,20,15,9330.264,6.0,1555.0439999999999,KEBILI (ex-GPL)
1,2,155350,19-Oct,20,15,3337.478,2.0,1668.739,KEBILI (ex-GPL)
1,2,155350,18-Aug,20,15,21789.404,14.0,1556.386,KEBILI (ex-GPL)
1,2,155350,18-Dec,20,15,9637.816,6.0,1606.3026666666667,KEBILI (ex-GPL)
4,1,155350,18-Dec,20,15,7541.418,6.0,1256.903,KEBILI (ex-GPL)
1,2,155350,19-Jun,20,15,11695.88,7.0,1670.84,KEBILI (ex-GPL)
1,1,155350,19-Oct,20,15,3992.919,3.0,1330.973,KEBILI (ex-GPL)
1,2,155350,19-Nov,20,15,10012.434,6.0,1668.7389999999998,KEBILI (ex-GPL)
1,1,155350,18-Nov,20,15,17596.642,14.0,1256.903,KEBILI (ex-GPL)
1,1,155350,19-May,20,15,17331.418,13.0,1333.1860000000001,KEBILI (ex-GPL)
1,2,155350,19-Sep,20,15,11681.173,7.0,1668.739,KEBILI (ex-GPL)
1,1,155350,19-Jul,20,15,9332.302,7.0,1333.186,KEBILI (ex-GPL)
1,1,155350,18-Dec,20,15,15076.464,12.0,1256.372,KEBILI (ex-GPL)
2,1,155350,19-Jan,20,15,5021.24,4.0,1255.31,KEBILI (ex-GPL)
1,1,155350,18-Oct,20,15,17596.642,14.0,1256.903,KEBILI (ex-GPL)
1,2,155350,18-Sep,20,15,6427.228,4.0,1606.807,KEBILI (ex-GPL)
1,2,155350,19-Jul,20,15,11689.577,7.0,1669.9395714285713,KEBILI (ex-GPL)
1,6,155350,19-Aug,20,15,6220.176,4.0,1555.044,KEBILI (ex-GPL)
2,1,155350,18-Nov,20,15,6284.515,5.0,1256.903,KEBILI (ex-GPL)
2,2,155350,18-Nov,20,15,3213.614,2.0,1606.807,KEBILI (ex-GPL)
1,1,155350,18-Aug,20,15,17857.965,15.0,1190.531,KEBILI (ex-GPL)
1,1,155350,18-Jan,20,15,33477.241,31.0,1079.911,KEBILI (ex-GPL)
1,1,155350,18-May,20,15,13489.908,12.0,1124.1589999999999,KEBILI (ex-GPL)
1,2,155350,19-Mar,20,15,12842.352,8.0,1605.294,KEBILI (ex-GPL)
1,2,155350,19-Dec,20,15,3337.478,2.0,1668.739,KEBILI (ex-GPL)
