NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
1,1,152160,19-Jan,17,61,174488.09,139.0,1255.31,KERKENNAH
2,1,152160,18-Jul,17,58,3571.593,3.0,1190.531,KERKENNAH
2,1,152160,18-Aug,17,61,7143.186,6.0,1190.531,KERKENNAH
1,2,152160,18-Apr,17,61,182190.042,122.0,1493.3609999999999,KERKENNAH
1,2,152160,18-Aug,17,61,373532.64,240.0,1556.386,KERKENNAH
1,2,152160,19-Sep,17,61,273673.196,164.0,1668.739,KERKENNAH
1,2,152160,19-Apr,17,61,223892.56,134.0,1670.84,KERKENNAH
1,6,152160,19-May,17,61,40488.682,26.0,1557.257,KERKENNAH
1,3,152160,18-Jan,17,61,25196.014,19.0,1326.106,KERKENNAH
1,3,152160,18-Jun,17,61,11493.808,8.0,1436.726,KERKENNAH
2,1,152160,18-Oct,17,61,21367.351,17.0,1256.903,KERKENNAH
1,1,152160,19-Sep,17,61,232920.275,175.0,1330.973,KERKENNAH
1,6,152160,19-Aug,17,61,102632.904,66.0,1555.0439999999999,KERKENNAH
1,1,152160,19-Dec,17,61,283497.249,213.0,1330.973,KERKENNAH
1,1,152160,19-Nov,17,61,234251.248,176.0,1330.973,KERKENNAH
1,2,152160,18-Dec,17,61,220056.909,137.0,1606.2548102189783,KERKENNAH
1,2,152160,18-Jul,17,61,300382.498,193.0,1556.3860000000002,KERKENNAH
2,1,152160,18-Jul,17,61,9524.248,8.0,1190.531,KERKENNAH
1,2,152160,18-Sep,17,61,196030.454,122.0,1606.807,KERKENNAH
1,2,152160,18-Jun,17,61,135895.851,91.0,1493.3609999999999,KERKENNAH
1,1,152160,19-Feb,17,61,207126.15,165.0,1255.31,KERKENNAH
1,3,152160,19-Feb,17,61,35717.52,24.0,1488.2299999999998,KERKENNAH
1,1,152160,19-Jun,17,61,134651.786,101.0,1333.186,KERKENNAH
1,6,152160,19-Oct,17,61,46651.32,30.0,1555.044,KERKENNAH
1,3,152160,18-Feb,17,61,26522.12,20.0,1326.106,KERKENNAH
1,1,152160,18-Feb,17,61,152267.451,141.0,1079.911,KERKENNAH
1,3,152160,18-Mar,17,61,30500.438,23.0,1326.106,KERKENNAH
