NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
2,1,155860,19-Nov,16,31,171695.517,129.0,1330.973,KERKER
2,2,155860,19-Jul,16,31,46724.692,28.0,1668.739,KERKER
1,1,155860,19-Dec,16,31,13309.73,10.0,1330.973,KERKER
2,1,155860,19-Jul,16,31,43922.109,33.0,1330.973,KERKER
2,2,155860,19-Nov,16,31,56737.126,34.0,1668.7389999999998,KERKER
2,6,155860,19-Oct,16,31,23325.66,15.0,1555.044,KERKER
2,2,155860,19-Sep,16,31,53399.648,32.0,1668.739,KERKER
2,1,155860,19-Oct,16,31,167702.598,126.0,1330.973,KERKER
2,6,155860,19-Jul,16,31,18660.528,12.0,1555.0439999999999,KERKER
2,2,155860,19-Dec,16,31,65080.821,39.0,1668.739,KERKER
2,1,155860,19-Sep,16,31,153061.895,115.0,1330.973,KERKER
2,1,155860,19-Aug,16,31,187667.193,141.0,1330.973,KERKER
2,2,155860,19-Aug,16,31,115142.991,69.0,1668.739,KERKER
2,1,155860,19-Dec,16,31,247560.978,186.0,1330.973,KERKER
2,6,155860,19-Dec,16,31,37321.056,24.0,1555.0439999999999,KERKER
2,6,155860,19-Nov,16,31,29545.836,19.0,1555.0439999999999,KERKER
2,6,155860,19-Sep,16,31,24880.704,16.0,1555.044,KERKER
2,6,155860,19-Aug,16,31,59091.672,38.0,1555.0439999999999,KERKER
2,2,155860,19-Oct,16,31,60074.604,36.0,1668.739,KERKER
