NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
4,1,153600,18-Dec,21,37,26394.963,21.0,1256.903,KETTANA
1,1,153600,18-Jul,21,37,64288.674,54.0,1190.531,KETTANA
3,3,153600,18-Aug,21,37,2873.452,2.0,1436.726,KETTANA
1,2,153600,19-May,21,37,21720.92,13.0,1670.84,KETTANA
1,2,153600,19-Sep,21,37,33374.78,20.0,1668.739,KETTANA
1,2,153600,19-Dec,21,37,30037.302,18.0,1668.739,KETTANA
1,1,153600,19-Mar,21,37,45191.16,36.0,1255.3100000000002,KETTANA
2,1,153600,19-Jun,21,37,21330.976,16.0,1333.186,KETTANA
1,1,153600,18-May,21,37,59580.427,53.0,1124.159,KETTANA
2,2,153600,19-Jan,21,37,3210.588,2.0,1605.294,KETTANA
2,1,153600,18-Aug,21,37,7143.186,6.0,1190.531,KETTANA
1,2,153600,19-Apr,21,37,36758.48,22.0,1670.8400000000001,KETTANA
1,1,153600,19-Apr,21,37,54660.626,41.0,1333.186,KETTANA
1,3,153600,18-Jan,21,37,18565.484,14.0,1326.106,KETTANA
1,1,153600,18-Apr,21,37,87684.402,78.0,1124.159,KETTANA
1,1,153600,18-Aug,21,37,65479.205,55.0,1190.531,KETTANA
1,2,153600,18-Jun,21,37,9086.216,6.0,1514.3693333333333,KETTANA
2,2,153600,18-Nov,21,37,4820.421,3.0,1606.807,KETTANA
4,3,153600,18-Nov,21,37,5959.292,4.0,1489.823,KETTANA
1,2,153600,19-Jul,21,37,50081.079,30.0,1669.3692999999998,KETTANA
1,1,153600,18-Mar,21,37,89632.613,83.0,1079.911,KETTANA
1,2,153600,18-Dec,21,37,16063.531,10.0,1606.3531,KETTANA
2,1,153600,19-Jan,21,37,7531.86,6.0,1255.31,KETTANA
1,1,153600,19-Jun,21,37,21330.976,16.0,1333.186,KETTANA
1,2,153600,19-Mar,21,37,22474.116,14.0,1605.294,KETTANA
1,3,153600,18-Oct,21,37,11918.584,8.0,1489.823,KETTANA
1,6,153600,19-Mar,21,37,14882.3,10.0,1488.23,KETTANA
1,2,153600,19-Aug,21,37,68418.299,41.0,1668.739,KETTANA
1,2,153600,18-Apr,21,37,32853.942,22.0,1493.361,KETTANA
1,3,153600,18-Apr,21,37,23296.018,17.0,1370.354,KETTANA
1,2,153600,19-Jan,21,37,11237.058,7.0,1605.294,KETTANA
1,3,153600,18-Aug,21,37,25861.068,18.0,1436.7259999999999,KETTANA
3,2,153600,18-Aug,21,37,21789.404,14.0,1556.386,KETTANA
1,3,153600,18-Nov,21,37,13408.407,9.0,1489.8229999999999,KETTANA
1,6,153600,19-Jun,21,37,17129.827,11.0,1557.257,KETTANA
1,6,153600,19-May,21,37,12458.056,8.0,1557.257,KETTANA
1,6,153600,19-Oct,21,37,15550.44,10.0,1555.044,KETTANA
1,1,153600,19-Nov,21,37,57231.839,43.0,1330.973,KETTANA
1,1,153600,19-Dec,21,37,71872.542,54.0,1330.973,KETTANA
1,2,153600,18-Jan,21,37,21770.16,15.0,1451.344,KETTANA
1,2,153600,18-Feb,21,37,20318.816,14.0,1451.3439999999998,KETTANA
1,3,153600,18-Mar,21,37,25196.014,19.0,1326.106,KETTANA
1,3,153600,19-Jan,21,37,7441.15,5.0,1488.23,KETTANA
1,6,153600,19-Apr,21,37,12458.056,8.0,1557.257,KETTANA
1,6,153600,19-Jul,21,37,28008.496,18.0,1556.0275555555554,KETTANA
1,3,153600,18-May,21,37,19184.956,14.0,1370.3539999999998,KETTANA
1,3,153600,18-Sep,21,37,10428.761,7.0,1489.823,KETTANA
1,1,153600,18-Sep,21,37,55303.732,44.0,1256.903,KETTANA
1,2,153600,19-Oct,21,37,28368.563,17.0,1668.7389999999998,KETTANA
1,1,153600,18-Jan,21,37,86392.88,80.0,1079.911,KETTANA
1,2,153600,18-Mar,21,37,36283.6,25.0,1451.344,KETTANA
1,2,153600,18-May,21,37,22400.415,15.0,1493.361,KETTANA
3,3,153600,19-Jan,21,37,4464.69,3.0,1488.2299999999998,KETTANA
1,2,153600,18-Jul,21,37,17120.246,11.0,1556.386,KETTANA
1,2,153600,18-Nov,21,37,12854.456,8.0,1606.807,KETTANA
1,1,153600,18-Dec,21,37,10042.48,8.0,1255.31,KETTANA
1,6,153600,19-Sep,21,37,18660.528,12.0,1555.0439999999999,KETTANA
1,6,153600,19-Dec,21,37,18660.528,12.0,1555.0439999999999,KETTANA
1,1,153600,19-Sep,21,37,57231.839,43.0,1330.973,KETTANA
1,2,153600,19-Nov,21,37,45055.953,27.0,1668.739,KETTANA
3,3,153600,18-Feb,21,37,2652.212,2.0,1326.106,KETTANA
1,1,153600,18-Feb,21,37,43196.44,40.0,1079.911,KETTANA
1,2,153600,18-Aug,21,37,94939.546,61.0,1556.386,KETTANA
1,2,153600,19-Jun,21,37,28404.28,17.0,1670.84,KETTANA
