NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
3,3,153750,18-May,6,62,23296.018,17.0,1370.354,KHETMINE
3,2,153750,19-Jan,6,62,36921.762,23.0,1605.294,KHETMINE
3,2,153750,19-Jun,6,62,56808.56,34.0,1670.84,KHETMINE
3,2,153750,19-Apr,6,62,60150.24,36.0,1670.84,KHETMINE
3,2,153750,18-Jan,6,62,59505.104,41.0,1451.344,KHETMINE
3,2,153750,18-Mar,6,62,72567.2,50.0,1451.344,KHETMINE
3,1,153750,18-Mar,6,62,123375.342,114.0,1082.2398421052633,KHETMINE
1,3,153750,18-Feb,6,62,5304.424,4.0,1326.106,KHETMINE
3,1,153750,18-Oct,6,62,177223.323,141.0,1256.903,KHETMINE
2,1,153750,19-May,6,62,7999.116,6.0,1333.186,KHETMINE
3,2,153750,18-Dec,6,62,38549.751,24.0,1606.239625,KHETMINE
3,3,153750,18-Nov,6,62,23837.168,16.0,1489.823,KHETMINE
3,1,153750,18-Sep,6,62,184034.649,147.0,1251.936387755102,KHETMINE
2,2,153750,19-Feb,6,62,3210.588,2.0,1605.294,KHETMINE
3,1,153750,18-May,6,62,167499.691,149.0,1124.1589999999999,KHETMINE
3,1,153750,19-Jan,6,62,104190.73,83.0,1255.31,KHETMINE
3,3,153750,18-Aug,6,62,41665.054,29.0,1436.7259999999999,KHETMINE
3,2,153750,18-Oct,6,62,69092.701,43.0,1606.807,KHETMINE
3,6,153750,19-Sep,6,62,31100.88,20.0,1555.044,KHETMINE
3,6,153750,19-May,6,62,26473.369,17.0,1557.2569999999998,KHETMINE
2,2,153750,19-May,6,62,5012.52,3.0,1670.8400000000001,KHETMINE
3,6,153750,19-Nov,6,62,27990.792,18.0,1555.044,KHETMINE
3,2,153750,18-Apr,6,62,67201.245,45.0,1493.3609999999999,KHETMINE
3,2,153750,18-Jun,6,62,72500.653,48.0,1510.4302708333335,KHETMINE
2,2,153750,18-Oct,6,62,-9173.261,-5.709,1606.80697144859,KHETMINE
3,1,153750,19-Sep,6,62,188998.166,142.0,1330.973,KHETMINE
3,2,153750,19-Mar,6,62,51369.408,32.0,1605.294,KHETMINE
3,2,153750,19-May,6,62,53466.88,32.0,1670.84,KHETMINE
3,1,153750,19-Jul,6,62,189157.502,142.0,1332.0950845070422,KHETMINE
3,6,153750,19-Jul,6,62,31123.01,20.0,1556.1505,KHETMINE
3,3,153750,18-Dec,6,62,17871.504,12.0,1489.2920000000001,KHETMINE
3,3,153750,19-Jan,6,62,19346.99,13.0,1488.23,KHETMINE
3,1,153750,18-Jul,6,62,169055.402,142.0,1190.531,KHETMINE
3,2,153750,18-Jul,6,62,79375.686,51.0,1556.386,KHETMINE
3,2,153750,18-Aug,6,62,84044.844,54.0,1556.386,KHETMINE
3,2,153750,19-Oct,6,62,63412.082,38.0,1668.739,KHETMINE
3,3,153750,18-Feb,6,62,10608.848,8.0,1326.106,KHETMINE
2,1,153750,18-May,6,62,13489.908,12.0,1124.1589999999999,KHETMINE
3,6,153750,19-Jun,6,62,26473.369,17.0,1557.2569999999998,KHETMINE
3,1,153750,19-Nov,6,62,202307.896,152.0,1330.973,KHETMINE
3,1,153750,19-Feb,6,62,96658.87,77.0,1255.31,KHETMINE
3,1,153750,18-Nov,6,62,149571.457,119.0,1256.903,KHETMINE
3,2,153750,19-Sep,6,62,61743.343,37.0,1668.739,KHETMINE
3,1,153750,19-Jun,6,62,193311.97,145.0,1333.186,KHETMINE
3,1,153750,19-Aug,6,62,199645.95,150.0,1330.9730000000002,KHETMINE
3,2,153750,19-Nov,6,62,63412.082,38.0,1668.739,KHETMINE
3,1,153750,18-Apr,6,62,146140.67,130.0,1124.159,KHETMINE
3,3,153750,18-Jun,6,62,29175.666,21.0,1389.3174285714285,KHETMINE
3,1,153750,19-Oct,6,62,210293.734,158.0,1330.973,KHETMINE
3,1,153750,19-May,6,62,137318.158,103.0,1333.186,KHETMINE
3,6,153750,19-Mar,6,62,22323.45,15.0,1488.23,KHETMINE
3,3,153750,18-Jan,6,62,23869.908,18.0,1326.106,KHETMINE
3,3,153750,18-Mar,6,62,23869.908,18.0,1326.106,KHETMINE
3,1,153750,18-Jun,6,62,196080.765,171.0,1146.6711403508773,KHETMINE
3,3,153750,18-Oct,6,62,25326.991,17.0,1489.823,KHETMINE
3,6,153750,19-Apr,6,62,24916.112,16.0,1557.257,KHETMINE
