NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
3,3,152800,18-Jan,14,13,18565.484,14.0,1326.106,KONDAR
1,1,152800,18-Apr,14,13,248439.139,221.0,1124.1589999999999,KONDAR
1,2,152800,19-Jan,14,13,16052.94,10.0,1605.294,KONDAR
2,2,152800,18-Jul,14,13,35796.878,23.0,1556.386,KONDAR
1,2,152800,18-Jun,14,13,37964.275,25.0,1518.5710000000001,KONDAR
2,1,152800,18-Oct,14,13,227499.443,181.0,1256.903,KONDAR
2,2,152800,18-Oct,14,13,57845.052,36.0,1606.807,KONDAR
2,1,152800,19-Oct,14,13,350045.899,263.0,1330.973,KONDAR
1,2,152800,19-Sep,14,13,21693.607,13.0,1668.739,KONDAR
2,3,152800,19-Apr,14,13,26473.369,17.0,1557.2569999999998,KONDAR
2,1,152800,19-Jul,14,13,384989.786,289.0,1332.1445882352941,KONDAR
1,3,152800,18-Feb,14,13,22543.802,17.0,1326.106,KONDAR
1,2,152800,18-Mar,14,13,65310.48,45.0,1451.344,KONDAR
3,1,152800,18-Dec,14,13,27651.866,22.0,1256.903,KONDAR
1,2,152800,18-Aug,14,13,57586.282,37.0,1556.386,KONDAR
1,1,152800,18-Oct,14,13,110607.464,88.0,1256.903,KONDAR
2,2,152800,18-Nov,14,13,77126.736,48.0,1606.807,KONDAR
2,1,152800,19-Feb,14,13,278678.82,222.0,1255.31,KONDAR
2,6,152800,19-Nov,14,13,37321.056,24.0,1555.0439999999999,KONDAR
2,2,152800,18-Jan,14,13,58053.76,40.0,1451.344,KONDAR
2,2,152800,18-May,14,13,29867.22,20.0,1493.361,KONDAR
1,2,152800,18-Oct,14,13,19281.684,12.0,1606.807,KONDAR
2,1,152800,18-Mar,14,13,123109.854,114.0,1079.911,KONDAR
1,3,152800,18-Mar,14,13,10608.848,8.0,1326.106,KONDAR
3,3,152800,18-Nov,14,13,32776.106,22.0,1489.823,KONDAR
1,1,152800,18-Jul,14,13,214295.58,180.0,1190.531,KONDAR
1,2,152800,18-Jul,14,13,60699.054,39.0,1556.386,KONDAR
3,3,152800,18-Aug,14,13,33044.698,23.0,1436.7259999999999,KONDAR
1,3,152800,18-Jun,14,13,18411.95,13.0,1416.3038461538463,KONDAR
3,1,152800,18-Nov,14,13,12569.03,10.0,1256.903,KONDAR
2,2,152800,19-Jun,14,13,88554.52,53.0,1670.8400000000001,KONDAR
2,1,152800,19-Sep,14,13,376665.359,283.0,1330.973,KONDAR
2,1,152800,19-Nov,14,13,331412.277,249.0,1330.973,KONDAR
2,1,152800,18-Apr,14,13,101174.31,90.0,1124.1589999999999,KONDAR
2,2,152800,18-Apr,14,13,31360.581,21.0,1493.3609999999999,KONDAR
1,2,152800,18-May,14,13,44800.83,30.0,1493.361,KONDAR
1,1,152800,18-Sep,14,13,94267.725,75.0,1256.903,KONDAR
3,1,152800,18-Oct,14,13,6284.515,5.0,1256.903,KONDAR
2,1,152800,19-Aug,14,13,416594.549,313.0,1330.973,KONDAR
2,6,152800,19-Sep,14,13,38876.1,25.0,1555.0439999999999,KONDAR
2,1,152800,18-Jan,14,13,286176.415,265.0,1079.9109999999998,KONDAR
1,2,152800,18-Jan,14,13,24672.848,17.0,1451.344,KONDAR
2,1,152800,19-Jan,14,13,332657.15,265.0,1255.3100000000002,KONDAR
1,3,152800,18-Jul,14,13,5746.904,4.0,1436.726,KONDAR
3,1,152800,19-Jan,14,13,13808.41,11.0,1255.31,KONDAR
2,6,152800,19-Jul,14,13,43572.214,28.0,1556.1505,KONDAR
3,3,152800,18-Dec,14,13,37228.052,25.0,1489.12208,KONDAR
2,1,152800,18-Dec,14,13,339218.847,270.0,1256.3661,KONDAR
3,3,152800,18-Oct,14,13,20857.522,14.0,1489.823,KONDAR
3,3,152800,19-Feb,14,13,32741.06,22.0,1488.23,KONDAR
1,1,152800,19-Feb,14,13,15063.72,12.0,1255.31,KONDAR
2,1,152800,19-Mar,14,13,332657.15,265.0,1255.3100000000002,KONDAR
2,2,152800,19-Jul,14,13,93510.313,56.0,1669.8270178571427,KONDAR
2,6,152800,19-Dec,14,13,38876.1,25.0,1555.0439999999999,KONDAR
2,2,152800,18-Feb,14,13,11610.752,8.0,1451.344,KONDAR
1,2,152800,18-Feb,14,13,60956.448,42.0,1451.3439999999998,KONDAR
3,3,152800,18-Jul,14,13,25861.068,18.0,1436.7259999999999,KONDAR
3,2,152800,18-Sep,14,13,6427.228,4.0,1606.807,KONDAR
1,3,152800,18-Oct,14,13,13408.407,9.0,1489.8229999999999,KONDAR
2,2,152800,19-Oct,14,13,78430.733,47.0,1668.7389999999998,KONDAR
3,6,152800,19-Mar,14,13,31252.83,21.0,1488.23,KONDAR
1,1,152800,18-Jan,14,13,157667.006,146.0,1079.911,KONDAR
1,3,152800,18-Jan,14,13,13261.06,10.0,1326.106,KONDAR
2,1,152800,18-May,14,13,113540.059,101.0,1124.1589999999999,KONDAR
2,1,152800,18-Aug,14,13,252392.572,212.0,1190.531,KONDAR
3,3,152800,18-May,14,13,17814.602,13.0,1370.3539999999998,KONDAR
2,2,152800,18-Sep,14,13,49508.491,31.0,1597.0480967741937,KONDAR
3,3,152800,18-Sep,14,13,26816.814,18.0,1489.8229999999999,KONDAR
1,1,152800,19-Jan,14,13,21340.27,17.0,1255.31,KONDAR
2,2,152800,19-Feb,14,13,57790.584,36.0,1605.294,KONDAR
2,1,152800,18-Sep,14,13,279492.905,223.0,1253.331412556054,KONDAR
1,1,152800,18-Jun,14,13,162882.806,142.0,1147.0620140845072,KONDAR
1,2,152800,18-Sep,14,13,25708.912,16.0,1606.807,KONDAR
2,6,152800,19-Jun,14,13,31145.14,20.0,1557.257,KONDAR
2,3,152800,19-May,14,13,29587.883,19.0,1557.257,KONDAR
2,6,152800,19-Oct,14,13,26435.748,17.0,1555.0439999999999,KONDAR
1,2,152800,19-Mar,14,13,25684.704,16.0,1605.294,KONDAR
3,1,152800,19-Jul,14,13,21295.568,16.0,1330.973,KONDAR
2,2,152800,19-Sep,14,13,66749.56,40.0,1668.739,KONDAR
2,2,152800,19-Nov,14,13,86774.428,52.0,1668.739,KONDAR
1,1,152800,18-Aug,14,13,164293.278,138.0,1190.531,KONDAR
1,2,152800,19-Feb,14,13,16052.94,10.0,1605.294,KONDAR
2,1,152800,19-Apr,14,13,386623.94,290.0,1333.186,KONDAR
2,2,152800,19-Dec,14,13,91780.645,55.0,1668.739,KONDAR
2,2,152800,18-Feb,14,13,4354.032,3.0,1451.344,KONDAR
2,2,152800,18-Mar,14,13,29026.88,20.0,1451.344,KONDAR
3,3,152800,18-Apr,14,13,27407.08,20.0,1370.354,KONDAR
1,2,152800,18-Apr,14,13,43307.469,29.0,1493.3609999999999,KONDAR
2,2,152800,18-Aug,14,13,48247.966,31.0,1556.386,KONDAR
3,2,152800,18-Dec,14,13,16068.07,10.0,1606.807,KONDAR
2,2,152800,18-Dec,14,13,73890.427,46.0,1606.3136304347825,KONDAR
1,3,152800,18-Aug,14,13,5746.904,4.0,1436.726,KONDAR
2,2,152800,19-Apr,14,13,95237.88,57.0,1670.8400000000001,KONDAR
2,6,152800,19-Aug,14,13,40431.144,26.0,1555.044,KONDAR
3,2,152800,19-Jul,14,13,5006.217,3.0,1668.7389999999998,KONDAR
1,1,152800,18-Feb,14,13,295895.614,274.0,1079.911,KONDAR
1,1,152800,18-Mar,14,13,247299.619,229.0,1079.911,KONDAR
1,1,152800,18-May,14,13,242818.344,216.0,1124.159,KONDAR
2,1,152800,18-Jul,14,13,163102.747,137.0,1190.531,KONDAR
3,1,152800,18-Sep,14,13,37707.09,30.0,1256.9029999999998,KONDAR
3,3,152800,19-Jan,14,13,26788.14,18.0,1488.23,KONDAR
2,1,152800,19-Jun,14,13,343961.988,258.0,1333.1860000000001,KONDAR
2,2,152800,19-Aug,14,13,100124.34,60.0,1668.739,KONDAR
2,1,152800,18-Feb,14,13,34557.152,32.0,1079.911,KONDAR
3,3,152800,18-Mar,14,13,25196.014,19.0,1326.106,KONDAR
1,3,152800,18-May,14,13,5481.416,4.0,1370.354,KONDAR
2,2,152800,19-Jan,14,13,59395.878,37.0,1605.2939999999999,KONDAR
3,3,152800,18-Jun,14,13,9592.478,7.0,1370.3539999999998,KONDAR
2,1,152800,19-May,14,13,383957.568,288.0,1333.1860000000001,KONDAR
2,2,152800,19-Mar,14,13,59395.878,37.0,1605.2939999999999,KONDAR
2,1,152800,18-Jun,14,13,152566.259,133.0,1147.1147293233082,KONDAR
2,2,152800,18-Jun,14,13,51530.574,34.0,1515.605117647059,KONDAR
2,1,152800,18-Feb,14,13,57235.283,53.0,1079.911,KONDAR
3,3,152800,18-Feb,14,13,9282.742,7.0,1326.106,KONDAR
2,1,152800,18-Nov,14,13,360731.161,287.0,1256.903,KONDAR
2,2,152800,19-May,14,13,83542.0,50.0,1670.84,KONDAR
2,1,152800,19-Dec,14,13,370010.494,278.0,1330.973,KONDAR
