NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
1,3,153240,18-Feb,4,21,29174.332,22.0,1326.106,KORBA
3,3,153240,18-May,4,21,84961.948,62.0,1370.354,KORBA
3,2,153240,18-May,4,21,14933.61,10.0,1493.361,KORBA
2,2,153240,19-Jan,4,21,146081.754,91.0,1605.2939999999999,KORBA
3,2,153240,18-Nov,4,21,19281.684,12.0,1606.807,KORBA
2,1,153240,19-Jun,4,21,323964.198,243.0,1333.186,KORBA
3,6,153240,19-Jun,4,21,4671.771,3.0,1557.2569999999998,KORBA
2,1,153240,19-Nov,4,21,332743.25,250.0,1330.973,KORBA
1,3,153240,18-Dec,4,21,16388.053,11.0,1489.823,KORBA
1,1,153240,18-Jul,4,21,14286.372,12.0,1190.531,KORBA
2,1,153240,19-Apr,4,21,333296.5,250.0,1333.186,KORBA
2,2,153240,19-Apr,4,21,294067.84,176.0,1670.8400000000001,KORBA
2,1,153240,19-Mar,4,21,243530.14,194.0,1255.3100000000002,KORBA
3,3,153240,18-Jan,4,21,74261.936,56.0,1326.106,KORBA
3,1,153240,18-May,4,21,28103.975,25.0,1124.1589999999999,KORBA
1,2,153240,18-Jul,4,21,9338.316,6.0,1556.3860000000002,KORBA
3,2,153240,18-Jul,4,21,14007.474,9.0,1556.386,KORBA
2,1,153240,18-Sep,4,21,148314.554,118.0,1256.903,KORBA
2,6,153240,19-Jun,4,21,84091.878,54.0,1557.2569999999998,KORBA
1,2,153240,18-Aug,4,21,105834.248,68.0,1556.3860000000002,KORBA
3,2,153240,18-Dec,4,21,9640.842,6.0,1606.807,KORBA
2,2,153240,19-Sep,4,21,210261.114,126.0,1668.739,KORBA
2,1,153240,19-Aug,4,21,331412.277,249.0,1330.973,KORBA
2,2,153240,19-Aug,4,21,345428.973,207.0,1668.739,KORBA
2,2,153240,19-Jul,4,21,328926.471,197.0,1669.6775177664977,KORBA
2,1,153240,18-Feb,4,21,59395.105,55.0,1079.911,KORBA
1,2,153240,18-May,4,21,34347.303,23.0,1493.361,KORBA
3,3,153240,18-Jun,4,21,90267.706,65.0,1388.7339384615386,KORBA
3,3,153240,18-Oct,4,21,75980.973,51.0,1489.8229999999999,KORBA
2,1,153240,19-Sep,4,21,342060.061,257.0,1330.973,KORBA
1,2,153240,19-Jul,4,21,16708.4,10.0,1670.8400000000001,KORBA
2,2,153240,19-Nov,4,21,266998.24,160.0,1668.739,KORBA
2,2,153240,18-Apr,4,21,170243.154,114.0,1493.361,KORBA
1,2,153240,18-Apr,4,21,31360.581,21.0,1493.3609999999999,KORBA
1,1,153240,18-Apr,4,21,40469.724,36.0,1124.159,KORBA
1,1,153240,19-Jan,4,21,37659.3,30.0,1255.3100000000002,KORBA
1,3,153240,19-Jan,4,21,14882.3,10.0,1488.23,KORBA
2,1,153240,18-Nov,4,21,280289.369,223.0,1256.903,KORBA
1,2,153240,18-Sep,4,21,52671.684,33.0,1596.1116363636363,KORBA
2,6,153240,19-Sep,4,21,113518.212,73.0,1555.044,KORBA
3,3,153240,18-Feb,4,21,15913.272,12.0,1326.106,KORBA
3,3,153240,18-Mar,4,21,82218.572,62.0,1326.106,KORBA
2,1,153240,18-Jul,4,21,296442.219,249.0,1190.531,KORBA
2,2,153240,18-Jul,4,21,297269.726,191.0,1556.3860000000002,KORBA
2,2,153240,18-Aug,4,21,236570.672,152.0,1556.386,KORBA
3,1,153240,18-Sep,4,21,26394.963,21.0,1256.903,KORBA
2,6,153240,19-Aug,4,21,144619.092,93.0,1555.044,KORBA
3,6,153240,19-Nov,4,21,26435.748,17.0,1555.0439999999999,KORBA
3,1,153240,18-Jan,4,21,6479.466,6.0,1079.911,KORBA
1,2,153240,18-Dec,4,21,44990.596,28.0,1606.807,KORBA
3,3,153240,19-Jan,4,21,78876.19,53.0,1488.23,KORBA
3,3,153240,18-Aug,4,21,83330.108,58.0,1436.7259999999999,KORBA
1,1,153240,18-Sep,4,21,87912.673,71.0,1238.206661971831,KORBA
3,3,153240,18-Sep,4,21,70021.681,47.0,1489.8229999999999,KORBA
1,2,153240,18-Oct,4,21,49811.017,31.0,1606.807,KORBA
3,2,153240,19-Aug,4,21,45055.953,27.0,1668.739,KORBA
1,6,153240,19-Mar,4,21,17858.76,12.0,1488.2299999999998,KORBA
2,2,153240,18-Jan,4,21,172709.936,119.0,1451.3439999999998,KORBA
2,1,153240,18-Feb,4,21,129589.32,120.0,1079.911,KORBA
2,2,153240,18-Mar,4,21,217701.6,150.0,1451.344,KORBA
2,1,153240,18-Mar,4,21,217062.111,201.0,1079.911,KORBA
3,3,153240,18-Apr,4,21,73999.116,54.0,1370.3539999999998,KORBA
2,1,153240,18-Apr,4,21,195603.666,174.0,1124.1589999999999,KORBA
2,1,153240,19-Feb,4,21,248551.38,198.0,1255.31,KORBA
3,2,153240,19-Jan,4,21,14447.646,9.0,1605.294,KORBA
3,1,153240,18-Aug,4,21,13095.841,11.0,1190.531,KORBA
1,2,153240,18-Jun,4,21,66464.184,44.0,1510.5496363636362,KORBA
2,2,153240,19-May,4,21,274017.76,164.0,1670.8400000000001,KORBA
2,1,153240,19-Oct,4,21,342060.061,257.0,1330.973,KORBA
1,3,153240,19-Feb,4,21,8929.38,6.0,1488.2299999999998,KORBA
2,6,153240,19-May,4,21,6229.028,4.0,1557.257,KORBA
2,2,153240,18-Feb,4,21,113204.832,78.0,1451.3439999999998,KORBA
2,2,153240,18-May,4,21,189656.847,127.0,1493.361,KORBA
1,1,153240,18-May,4,21,22483.18,20.0,1124.159,KORBA
2,6,153240,19-Oct,4,21,107298.036,69.0,1555.0439999999999,KORBA
3,2,153240,19-May,4,21,11695.88,7.0,1670.84,KORBA
1,6,153240,19-Jun,4,21,14015.313,9.0,1557.257,KORBA
2,1,153240,19-Dec,4,21,338067.142,254.0,1330.973,KORBA
2,2,153240,18-Feb,4,21,53699.728,37.0,1451.344,KORBA
1,3,153240,18-May,4,21,5481.416,4.0,1370.354,KORBA
3,3,153240,18-Jul,4,21,106317.724,74.0,1436.726,KORBA
3,1,153240,18-Oct,4,21,61588.247,49.0,1256.903,KORBA
3,6,153240,19-Mar,4,21,72923.27,49.0,1488.23,KORBA
