NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
3,1,155570,18-Mar,15,38,5399.555,5.0,1079.911,KSAR HELAL
2,1,155570,18-Apr,15,38,11241.59,10.0,1124.159,KSAR HELAL
3,3,155570,19-Jan,15,38,37205.75,25.0,1488.23,KSAR HELAL
2,1,155570,18-Nov,15,38,174709.517,139.0,1256.903,KSAR HELAL
1,1,155570,18-Oct,15,38,123176.494,98.0,1256.903,KSAR HELAL
2,1,155570,18-Jun,15,38,18650.264,16.0,1165.6415,KSAR HELAL
2,1,155570,19-Feb,15,38,106701.35,85.0,1255.3100000000002,KSAR HELAL
2,2,155570,19-Mar,15,38,72238.23,45.0,1605.2939999999999,KSAR HELAL
2,6,155570,19-Jul,15,38,63785.573,41.0,1555.7456829268292,KSAR HELAL
2,2,155570,18-Jan,15,38,7256.72,5.0,1451.344,KSAR HELAL
2,1,155570,18-Jul,15,38,67860.267,57.0,1190.5310000000002,KSAR HELAL
2,1,155570,19-Jun,15,38,147983.646,111.0,1333.1860000000001,KSAR HELAL
2,2,155570,19-Apr,15,38,167084.0,100.0,1670.84,KSAR HELAL
1,2,155570,19-May,15,38,23391.76,14.0,1670.84,KSAR HELAL
1,1,155570,19-Apr,15,38,35996.022,27.0,1333.186,KSAR HELAL
3,6,155570,19-Apr,15,38,40488.682,26.0,1557.257,KSAR HELAL
2,6,155570,19-Dec,15,38,71532.024,46.0,1555.044,KSAR HELAL
1,2,155570,18-Jan,15,38,110302.144,76.0,1451.344,KSAR HELAL
2,2,155570,18-Dec,15,38,89928.237,56.0,1605.861375,KSAR HELAL
1,2,155570,18-Dec,15,38,64272.28,40.0,1606.807,KSAR HELAL
1,1,155570,19-Jan,15,38,55233.64,44.0,1255.31,KSAR HELAL
2,1,155570,19-Jan,15,38,110467.28,88.0,1255.31,KSAR HELAL
2,2,155570,18-Jul,15,38,70037.37,45.0,1556.386,KSAR HELAL
1,1,155570,18-Aug,15,38,100004.604,84.0,1190.5310000000002,KSAR HELAL
2,2,155570,18-Sep,15,38,9640.842,6.0,1606.807,KSAR HELAL
2,2,155570,18-Oct,15,38,54631.438,34.0,1606.807,KSAR HELAL
2,1,155570,19-Apr,15,38,181313.296,136.0,1333.186,KSAR HELAL
2,6,155570,19-Aug,15,38,63756.804,41.0,1555.0439999999999,KSAR HELAL
2,1,155570,19-Nov,15,38,186336.22,140.0,1330.973,KSAR HELAL
3,1,155570,18-Apr,15,38,13489.908,12.0,1124.1589999999999,KSAR HELAL
1,3,155570,18-Apr,15,38,5481.416,4.0,1370.354,KSAR HELAL
2,1,155570,18-Dec,15,38,143224.815,114.0,1256.3580263157894,KSAR HELAL
1,2,155570,18-Aug,15,38,135405.582,87.0,1556.386,KSAR HELAL
1,2,155570,19-Sep,15,38,40049.736,24.0,1668.7389999999998,KSAR HELAL
1,1,155570,19-Mar,15,38,56488.95,45.0,1255.31,KSAR HELAL
2,2,155570,18-Feb,15,38,17416.128,12.0,1451.344,KSAR HELAL
2,2,155570,18-May,15,38,16426.971,11.0,1493.361,KSAR HELAL
1,1,155570,18-Jun,15,38,154349.973,135.0,1143.3331333333333,KSAR HELAL
2,1,155570,19-May,15,38,141317.716,106.0,1333.186,KSAR HELAL
2,1,155570,19-Oct,15,38,174357.463,131.0,1330.973,KSAR HELAL
2,1,155570,19-Sep,15,38,195653.031,147.0,1330.973,KSAR HELAL
2,6,155570,19-May,15,38,6229.028,4.0,1557.257,KSAR HELAL
2,2,155570,19-Jul,15,38,153593.321,92.0,1669.4926195652174,KSAR HELAL
2,1,155570,18-Feb,15,38,16198.665,15.0,1079.911,KSAR HELAL
1,1,155570,18-Mar,15,38,160906.739,149.0,1079.911,KSAR HELAL
2,2,155570,18-Mar,15,38,10159.408,7.0,1451.3439999999998,KSAR HELAL
1,2,155570,18-May,15,38,109015.353,73.0,1493.361,KSAR HELAL
1,2,155570,19-Jan,15,38,61001.172,38.0,1605.2939999999999,KSAR HELAL
1,2,155570,18-Jul,15,38,88714.002,57.0,1556.386,KSAR HELAL
1,2,155570,18-Oct,15,38,88374.385,55.0,1606.807,KSAR HELAL
1,2,155570,19-Mar,15,38,81869.994,51.0,1605.294,KSAR HELAL
3,6,155570,19-Mar,15,38,59529.2,40.0,1488.23,KSAR HELAL
1,1,155570,18-May,15,38,159630.578,142.0,1124.159,KSAR HELAL
2,2,155570,19-Jan,15,38,89896.464,56.0,1605.294,KSAR HELAL
1,2,155570,18-Sep,15,38,144360.525,90.0,1604.0058333333332,KSAR HELAL
1,2,155570,18-Jun,15,38,114818.961,76.0,1510.775802631579,KSAR HELAL
2,2,155570,19-May,15,38,142021.4,85.0,1670.84,KSAR HELAL
2,6,155570,19-Oct,15,38,59091.672,38.0,1555.0439999999999,KSAR HELAL
2,2,155570,18-Apr,15,38,8960.166,6.0,1493.3609999999999,KSAR HELAL
2,1,155570,18-May,15,38,16862.385,15.0,1124.1589999999999,KSAR HELAL
3,3,155570,18-Jul,15,38,68962.848,48.0,1436.7259999999999,KSAR HELAL
1,3,155570,18-Aug,15,38,40228.328,28.0,1436.726,KSAR HELAL
