NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
2,1,154860,18-Feb,1,79,156587.095,145.0,1079.911,KSAR SAID
2,2,154860,18-Jun,1,79,98052.318,63.0,1556.386,KSAR SAID
2,2,154860,19-Jun,1,79,315788.76,189.0,1670.8400000000001,KSAR SAID
2,6,154860,19-Oct,1,79,110408.124,71.0,1555.0439999999999,KSAR SAID
2,2,154860,18-Apr,1,79,321072.615,215.0,1493.3609999999999,KSAR SAID
2,2,154860,19-Feb,1,79,271294.686,169.0,1605.2939999999999,KSAR SAID
2,1,154860,18-Aug,1,79,215486.111,181.0,1190.531,KSAR SAID
2,2,154860,19-Mar,1,79,215109.396,134.0,1605.294,KSAR SAID
3,6,154860,19-Aug,1,79,12440.352,8.0,1555.044,KSAR SAID
2,1,154860,19-Nov,1,79,310116.709,233.0,1330.973,KSAR SAID
2,6,154860,19-Nov,1,79,63756.804,41.0,1555.0439999999999,KSAR SAID
3,1,154860,18-Apr,1,79,5620.795,5.0,1124.159,KSAR SAID
1,2,154860,18-Dec,1,79,67485.894,42.0,1606.807,KSAR SAID
2,2,154860,18-Aug,1,79,217894.04,140.0,1556.386,KSAR SAID
2,1,154860,18-Nov,1,79,256408.212,204.0,1256.903,KSAR SAID
2,2,154860,18-Sep,1,79,341644.839,213.0,1603.9663802816901,KSAR SAID
3,2,154860,18-Sep,1,79,6427.228,4.0,1606.807,KSAR SAID
2,1,154860,19-Mar,1,79,241019.52,192.0,1255.31,KSAR SAID
2,1,154860,19-Aug,1,79,278173.357,209.0,1330.9730000000002,KSAR SAID
3,1,154860,19-Aug,1,79,34605.298,26.0,1330.9730000000002,KSAR SAID
3,3,154860,18-Mar,1,79,86196.89,65.0,1326.106,KSAR SAID
3,3,154860,18-Apr,1,79,84961.948,62.0,1370.354,KSAR SAID
2,1,154860,18-Apr,1,79,173120.486,154.0,1124.159,KSAR SAID
2,3,154860,19-Apr,1,79,109007.99,70.0,1557.257,KSAR SAID
2,1,154860,18-Dec,1,79,307813.795,245.0,1256.382836734694,KSAR SAID
3,3,154860,18-Jun,1,79,61665.93,45.0,1370.354,KSAR SAID
2,2,154860,19-May,1,79,432747.56,259.0,1670.84,KSAR SAID
3,1,154860,19-Apr,1,79,13331.86,10.0,1333.1860000000001,KSAR SAID
1,1,154860,19-Mar,1,79,47701.78,38.0,1255.31,KSAR SAID
1,6,154860,19-Mar,1,79,5952.92,4.0,1488.23,KSAR SAID
2,2,154860,19-Jul,1,79,392388.977,235.0,1669.7403276595746,KSAR SAID
2,1,154860,18-Jan,1,79,239740.242,222.0,1079.911,KSAR SAID
1,1,154860,18-Apr,1,79,66325.381,59.0,1124.1589999999999,KSAR SAID
3,1,154860,18-May,1,79,12365.749,11.0,1124.1589999999999,KSAR SAID
3,1,154860,18-Jul,1,79,19048.496,16.0,1190.531,KSAR SAID
1,2,154860,19-Jan,1,79,70632.936,44.0,1605.294,KSAR SAID
3,2,154860,19-Aug,1,79,75093.255,45.0,1668.739,KSAR SAID
1,2,154860,19-Sep,1,79,61743.343,37.0,1668.739,KSAR SAID
2,2,154860,18-Feb,1,79,94337.36,65.0,1451.344,KSAR SAID
3,3,154860,18-Jan,1,79,87522.996,66.0,1326.106,KSAR SAID
2,2,154860,18-Mar,1,79,338163.152,233.0,1451.344,KSAR SAID
3,2,154860,18-Jan,1,79,58053.76,40.0,1451.344,KSAR SAID
6,1,154860,18-Jan,1,79,-6659.466,-6.0,1109.911,KSAR SAID
1,3,154860,18-Feb,1,79,42435.392,32.0,1326.106,KSAR SAID
6,1,154860,18-Mar,1,79,-6659.466,-6.0,1109.911,KSAR SAID
2,2,154860,18-Jul,1,79,320615.516,206.0,1556.386,KSAR SAID
3,2,154860,18-Jul,1,79,20233.018,13.0,1556.386,KSAR SAID
1,3,154860,18-Aug,1,79,21550.89,15.0,1436.7259999999999,KSAR SAID
3,1,154860,18-Nov,1,79,27651.866,22.0,1256.903,KSAR SAID
2,2,154860,19-Jan,1,79,266478.804,166.0,1605.294,KSAR SAID
2,1,154860,18-Sep,1,79,270163.608,216.0,1250.7574444444444,KSAR SAID
3,3,154860,18-Sep,1,79,96573.01,65.0,1485.7386153846153,KSAR SAID
2,1,154860,19-Feb,1,79,308806.26,246.0,1255.31,KSAR SAID
2,3,154860,19-May,1,79,127695.074,82.0,1557.2569999999998,KSAR SAID
3,6,154860,19-Nov,1,79,49761.408,32.0,1555.044,KSAR SAID
2,2,154860,18-Feb,1,79,197382.784,136.0,1451.344,KSAR SAID
2,1,154860,19-Apr,1,79,333296.5,250.0,1333.186,KSAR SAID
3,3,154860,18-May,1,79,84961.948,62.0,1370.354,KSAR SAID
2,6,154860,19-Dec,1,79,116628.3,75.0,1555.044,KSAR SAID
3,3,154860,19-Feb,1,79,99711.41,67.0,1488.23,KSAR SAID
1,1,154860,18-Jun,1,79,11241.59,10.0,1124.159,KSAR SAID
2,1,154860,19-Oct,1,79,308785.736,232.0,1330.973,KSAR SAID
3,1,154860,19-May,1,79,42661.952,32.0,1333.186,KSAR SAID
2,6,154860,19-Sep,1,79,115073.256,74.0,1555.0439999999999,KSAR SAID
3,3,154860,18-Feb,1,79,27848.226,21.0,1326.106,KSAR SAID
2,1,154860,19-Jan,1,79,266125.72,212.0,1255.31,KSAR SAID
1,2,154860,18-Aug,1,79,84044.844,54.0,1556.386,KSAR SAID
2,1,154860,18-Oct,1,79,204875.189,163.0,1256.903,KSAR SAID
1,3,154860,18-Oct,1,79,35755.752,24.0,1489.823,KSAR SAID
1,1,154860,19-Jan,1,79,47701.78,38.0,1255.31,KSAR SAID
2,1,154860,19-Jul,1,79,297039.344,223.0,1332.014995515695,KSAR SAID
3,2,154860,19-Sep,1,79,26699.824,16.0,1668.739,KSAR SAID
2,1,154860,18-Mar,1,79,238660.331,221.0,1079.911,KSAR SAID
2,2,154860,18-Dec,1,79,314835.827,196.0,1606.3052397959184,KSAR SAID
3,3,154860,18-Dec,1,79,96813.007,65.0,1489.430876923077,KSAR SAID
3,3,154860,18-Jun,1,79,33044.698,23.0,1436.7259999999999,KSAR SAID
2,2,154860,18-Jun,1,79,231470.955,155.0,1493.3609999999999,KSAR SAID
3,3,154860,18-Nov,1,79,105777.433,71.0,1489.823,KSAR SAID
2,1,154860,19-Jun,1,79,265304.014,199.0,1333.1860000000001,KSAR SAID
3,2,154860,19-Feb,1,79,19263.528,12.0,1605.2939999999999,KSAR SAID
2,2,154860,19-Apr,1,79,374268.16,224.0,1670.84,KSAR SAID
3,2,154860,19-Apr,1,79,20050.08,12.0,1670.8400000000001,KSAR SAID
3,6,154860,19-Apr,1,79,6229.028,4.0,1557.257,KSAR SAID
2,1,154860,19-Sep,1,79,303461.844,228.0,1330.973,KSAR SAID
3,6,154860,19-Oct,1,79,10885.308,7.0,1555.044,KSAR SAID
2,2,154860,18-May,1,79,336006.225,225.0,1493.3609999999999,KSAR SAID
3,3,154860,19-Jan,1,79,98223.18,66.0,1488.2299999999998,KSAR SAID
1,1,154860,18-Aug,1,79,20239.027,17.0,1190.531,KSAR SAID
3,1,154860,18-Oct,1,79,79184.889,63.0,1256.903,KSAR SAID
2,1,154860,19-May,1,79,282635.432,212.0,1333.186,KSAR SAID
3,6,154860,19-Jun,1,79,10900.799,7.0,1557.257,KSAR SAID
2,2,154860,19-Aug,1,79,307047.976,184.0,1668.739,KSAR SAID
2,6,154860,19-Mar,1,79,8929.38,6.0,1488.2299999999998,KSAR SAID
2,2,154860,19-Nov,1,79,388816.187,233.0,1668.7389999999998,KSAR SAID
2,1,154860,19-Dec,1,79,304792.817,229.0,1330.973,KSAR SAID
6,1,154860,18-Feb,1,79,-33297.33,-30.0,1109.911,KSAR SAID
1,1,154860,18-Mar,1,79,23758.042,22.0,1079.911,KSAR SAID
1,2,154860,18-Mar,1,79,5805.376,4.0,1451.344,KSAR SAID
2,1,154860,18-Jul,1,79,240487.262,202.0,1190.531,KSAR SAID
2,1,154860,18-Jun,1,79,79765.577,67.0,1190.5310000000002,KSAR SAID
3,2,154860,18-Oct,1,79,19281.684,12.0,1606.807,KSAR SAID
3,1,154860,18-Dec,1,79,6284.515,5.0,1256.903,KSAR SAID
1,3,154860,18-May,1,79,4111.062,3.0,1370.354,KSAR SAID
2,1,154860,18-Jun,1,79,134899.08,120.0,1124.1589999999999,KSAR SAID
2,2,154860,18-Oct,1,79,342857.264,213.378,1606.8069997844204,KSAR SAID
3,3,154860,18-Oct,1,79,70021.681,47.0,1489.8229999999999,KSAR SAID
3,1,154860,18-Jun,1,79,8993.272,8.0,1124.159,KSAR SAID
1,2,154860,19-Feb,1,79,41737.644,26.0,1605.294,KSAR SAID
1,2,154860,19-Mar,1,79,144476.46,90.0,1605.2939999999999,KSAR SAID
2,2,154860,19-Sep,1,79,277010.674,166.0,1668.739,KSAR SAID
2,1,154860,18-Feb,1,79,76673.681,71.0,1079.911,KSAR SAID
2,1,154860,18-May,1,79,239445.867,213.0,1124.159,KSAR SAID
1,1,154860,18-Dec,1,79,13825.933,11.0,1256.903,KSAR SAID
2,2,154860,18-Nov,1,79,316540.979,197.0,1606.807,KSAR SAID
2,6,154860,19-Jun,1,79,90320.906,58.0,1557.257,KSAR SAID
2,2,154860,19-Oct,1,79,410509.794,246.0,1668.739,KSAR SAID
3,6,154860,19-Mar,1,79,95246.72,64.0,1488.23,KSAR SAID
2,6,154860,19-Jul,1,79,119820.269,77.0,1556.1073896103896,KSAR SAID
2,2,154860,19-Dec,1,79,375466.275,225.0,1668.739,KSAR SAID
2,2,154860,18-Jan,1,79,259790.576,179.0,1451.344,KSAR SAID
3,3,154860,18-Feb,1,79,7956.636,6.0,1326.106,KSAR SAID
3,3,154860,18-Aug,1,79,74709.752,52.0,1436.7259999999999,KSAR SAID
3,3,154860,18-Jul,1,79,94823.916,66.0,1436.7259999999999,KSAR SAID
3,2,154860,18-Aug,1,79,17120.246,11.0,1556.386,KSAR SAID
3,1,154860,18-Sep,1,79,8798.321,7.0,1256.903,KSAR SAID
