NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
1,1,153190,18-Aug,16,13,40478.054,34.0,1190.531,KSOUR ESSEF
2,1,153190,18-Aug,16,13,5952.655,5.0,1190.531,KSOUR ESSEF
1,3,153190,18-Nov,16,13,2979.646,2.0,1489.823,KSOUR ESSEF
1,2,153190,19-Apr,16,13,16708.4,10.0,1670.8400000000001,KSOUR ESSEF
1,2,153190,19-May,16,13,8354.2,5.0,1670.8400000000001,KSOUR ESSEF
1,2,153190,19-Mar,16,13,11237.058,7.0,1605.294,KSOUR ESSEF
1,1,153190,19-Oct,16,13,17302.649,13.0,1330.9730000000002,KSOUR ESSEF
1,1,153190,19-Nov,16,13,25288.487,19.0,1330.973,KSOUR ESSEF
1,1,153190,18-Mar,16,13,38876.796,36.0,1079.911,KSOUR ESSEF
1,3,153190,18-Oct,16,13,2979.646,2.0,1489.823,KSOUR ESSEF
1,2,153190,18-Dec,16,13,19275.632,12.0,1606.3026666666667,KSOUR ESSEF
2,1,153190,19-Jan,16,13,6276.55,5.0,1255.31,KSOUR ESSEF
1,1,153190,18-Jan,16,13,59395.105,55.0,1079.911,KSOUR ESSEF
1,3,153190,18-Jan,16,13,6630.53,5.0,1326.106,KSOUR ESSEF
1,1,153190,18-Dec,16,13,16334.96,13.0,1256.5353846153846,KSOUR ESSEF
1,2,153190,19-Jan,16,13,11237.058,7.0,1605.294,KSOUR ESSEF
1,1,153190,19-Sep,16,13,27950.433,21.0,1330.973,KSOUR ESSEF
2,1,153190,19-Sep,16,13,7985.838,6.0,1330.973,KSOUR ESSEF
1,6,153190,19-Oct,16,13,6220.176,4.0,1555.044,KSOUR ESSEF
1,3,153190,18-Feb,16,13,2652.212,2.0,1326.106,KSOUR ESSEF
1,1,153190,19-Jan,16,13,15063.72,12.0,1255.31,KSOUR ESSEF
1,6,153190,19-Dec,16,13,6220.176,4.0,1555.044,KSOUR ESSEF
1,2,153190,18-Jan,16,13,5805.376,4.0,1451.344,KSOUR ESSEF
1,2,153190,18-Feb,16,13,0.0,0.0,,KSOUR ESSEF
1,2,153190,18-Jul,16,13,15563.86,10.0,1556.386,KSOUR ESSEF
2,2,153190,19-Jan,16,13,3210.588,2.0,1605.294,KSOUR ESSEF
1,2,153190,19-Nov,16,13,8343.695,5.0,1668.739,KSOUR ESSEF
1,1,153190,19-Dec,16,13,55900.866,42.0,1330.973,KSOUR ESSEF
1,2,153190,18-Mar,16,13,2902.688,2.0,1451.344,KSOUR ESSEF
2,1,153190,18-Dec,16,13,7541.418,6.0,1256.903,KSOUR ESSEF
1,3,153190,18-Aug,16,13,2873.452,2.0,1436.726,KSOUR ESSEF
2,2,153190,18-Aug,16,13,4669.158,3.0,1556.3860000000002,KSOUR ESSEF
1,1,153190,18-Oct,16,13,30165.672,24.0,1256.903,KSOUR ESSEF
1,3,153190,18-Jun,16,13,5614.16,4.0,1403.54,KSOUR ESSEF
1,6,153190,19-Aug,16,13,3110.088,2.0,1555.044,KSOUR ESSEF
1,1,153190,18-Feb,16,13,25917.864,24.0,1079.911,KSOUR ESSEF
