NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
1,1,154980,18-May,16,13,193355.348,172.0,1124.1589999999999,KSOUR ESSEF 2
1,2,154980,19-Jan,16,13,83475.288,52.0,1605.294,KSOUR ESSEF 2
1,2,154980,19-May,16,13,116958.8,70.0,1670.8400000000001,KSOUR ESSEF 2
1,6,154980,19-Oct,16,13,41986.188,27.0,1555.044,KSOUR ESSEF 2
1,2,154980,18-Mar,16,13,75469.888,52.0,1451.344,KSOUR ESSEF 2
2,2,154980,18-Apr,16,13,10453.527,7.0,1493.361,KSOUR ESSEF 2
1,3,154980,18-Dec,16,13,35738.229,24.0,1489.092875,KSOUR ESSEF 2
1,1,154980,18-Nov,16,13,189792.353,151.0,1256.903,KSOUR ESSEF 2
2,1,154980,18-Aug,16,13,20239.027,17.0,1190.531,KSOUR ESSEF 2
2,1,154980,19-Jun,16,13,137318.158,103.0,1333.186,KSOUR ESSEF 2
1,2,154980,19-Sep,16,13,131830.381,79.0,1668.739,KSOUR ESSEF 2
2,2,154980,19-Jun,16,13,20050.08,12.0,1670.8400000000001,KSOUR ESSEF 2
1,6,154980,19-Aug,16,13,94857.684,61.0,1555.0439999999999,KSOUR ESSEF 2
1,2,154980,19-Oct,16,13,120149.208,72.0,1668.739,KSOUR ESSEF 2
1,6,154980,19-Nov,16,13,32655.924,21.0,1555.0439999999999,KSOUR ESSEF 2
1,3,154980,18-Apr,16,13,23296.018,17.0,1370.354,KSOUR ESSEF 2
3,3,154980,18-Apr,16,13,5481.416,4.0,1370.354,KSOUR ESSEF 2
1,2,154980,18-May,16,13,82134.855,55.0,1493.3609999999999,KSOUR ESSEF 2
1,2,154980,18-Nov,16,13,70699.508,44.0,1606.807,KSOUR ESSEF 2
1,1,154980,18-Sep,16,13,218236.518,174.0,1254.2328620689657,KSOUR ESSEF 2
1,2,154980,19-Apr,16,13,128654.68,77.0,1670.84,KSOUR ESSEF 2
1,1,154980,19-Oct,16,13,211624.707,159.0,1330.973,KSOUR ESSEF 2
1,1,154980,19-Dec,16,13,262201.681,197.0,1330.973,KSOUR ESSEF 2
2,1,154980,19-Sep,16,13,15971.676,12.0,1330.973,KSOUR ESSEF 2
1,3,154980,18-Nov,16,13,31286.283,21.0,1489.8229999999999,KSOUR ESSEF 2
3,2,154980,18-Aug,16,13,28014.948,18.0,1556.386,KSOUR ESSEF 2
1,2,154980,18-Jun,16,13,86193.002,57.0,1512.1579298245613,KSOUR ESSEF 2
1,6,154980,19-Mar,16,13,40182.21,27.0,1488.23,KSOUR ESSEF 2
1,2,154980,19-Aug,16,13,220273.548,132.0,1668.739,KSOUR ESSEF 2
2,2,154980,19-Sep,16,13,15018.651,9.0,1668.739,KSOUR ESSEF 2
1,3,154980,18-May,16,13,30147.788,22.0,1370.354,KSOUR ESSEF 2
1,1,154980,18-Oct,16,13,188535.45,150.0,1256.903,KSOUR ESSEF 2
4,2,154980,18-Nov,16,13,9640.842,6.0,1606.807,KSOUR ESSEF 2
1,3,154980,19-Feb,16,13,31252.83,21.0,1488.23,KSOUR ESSEF 2
2,1,154980,19-Jul,16,13,39995.58,30.0,1333.1860000000001,KSOUR ESSEF 2
1,6,154980,19-Jul,16,13,60686.55,39.0,1556.0653846153848,KSOUR ESSEF 2
1,3,154980,18-Jan,16,13,30500.438,23.0,1326.106,KSOUR ESSEF 2
2,1,154980,18-Dec,16,13,75414.18,60.0,1256.9029999999998,KSOUR ESSEF 2
2,1,154980,18-Nov,16,13,21367.351,17.0,1256.903,KSOUR ESSEF 2
2,2,154980,18-Jul,16,13,10894.702,7.0,1556.386,KSOUR ESSEF 2
1,3,154980,18-Sep,16,13,57996.903,39.0,1487.1000769230768,KSOUR ESSEF 2
1,6,154980,19-Sep,16,13,52871.496,34.0,1555.0439999999999,KSOUR ESSEF 2
2,6,154980,19-Jun,16,13,12458.056,8.0,1557.257,KSOUR ESSEF 2
1,1,154980,19-Jun,16,13,51994.254,39.0,1333.186,KSOUR ESSEF 2
2,2,154980,18-Mar,16,13,4354.032,3.0,1451.344,KSOUR ESSEF 2
1,1,154980,19-Sep,16,13,195653.031,147.0,1330.973,KSOUR ESSEF 2
1,1,154980,19-Aug,16,13,243568.059,183.0,1330.973,KSOUR ESSEF 2
1,2,154980,19-Dec,16,13,131830.381,79.0,1668.739,KSOUR ESSEF 2
1,1,154980,18-Mar,16,13,172785.76,160.0,1079.911,KSOUR ESSEF 2
1,1,154980,18-Feb,16,13,190064.336,176.0,1079.911,KSOUR ESSEF 2
1,2,154980,18-Dec,16,13,104397.065,65.0,1606.1086923076923,KSOUR ESSEF 2
1,1,154980,19-Feb,16,13,194573.05,155.0,1255.31,KSOUR ESSEF 2
1,1,154980,19-Nov,16,13,179681.355,135.0,1330.9730000000002,KSOUR ESSEF 2
1,1,154980,18-Apr,16,13,183237.917,163.0,1124.1589999999999,KSOUR ESSEF 2
