NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
1,3,155000,18-Feb,9,5,30500.438,23.0,1326.106,LE KEF
2,2,155000,18-Oct,9,5,101228.841,63.0,1606.807,LE KEF
2,3,155000,19-May,9,5,99664.448,64.0,1557.257,LE KEF
2,2,155000,19-Oct,9,5,136836.598,82.0,1668.739,LE KEF
2,6,155000,19-Jul,9,5,90258.942,58.0,1556.1886551724137,LE KEF
2,2,155000,19-Dec,9,5,131830.381,79.0,1668.739,LE KEF
3,2,155000,18-Mar,9,5,7256.72,5.0,1451.344,LE KEF
2,1,155000,18-May,9,5,129278.285,115.0,1124.159,LE KEF
3,1,155000,18-Aug,9,5,14286.372,12.0,1190.531,LE KEF
3,3,155000,18-Nov,9,5,84919.911,57.0,1489.8229999999999,LE KEF
3,2,155000,18-Oct,9,5,27315.719,17.0,1606.807,LE KEF
3,1,155000,19-Feb,9,5,5021.24,4.0,1255.31,LE KEF
2,1,155000,19-May,9,5,151983.204,114.0,1333.186,LE KEF
2,1,155000,19-Sep,9,5,145076.057,109.0,1330.973,LE KEF
1,2,155000,19-Jul,9,5,16708.4,10.0,1670.8400000000001,LE KEF
2,2,155000,19-Nov,9,5,113474.252,68.0,1668.7389999999998,LE KEF
2,6,155000,19-Nov,9,5,76197.156,49.0,1555.044,LE KEF
2,1,155000,18-Feb,9,5,46436.173,43.0,1079.911,LE KEF
2,2,155000,18-Nov,9,5,115690.104,72.0,1606.807,LE KEF
2,2,155000,18-Aug,9,5,85601.23,55.0,1556.386,LE KEF
2,1,155000,18-Jun,9,5,104617.324,92.0,1137.1448260869565,LE KEF
2,2,155000,18-Feb,9,5,63859.136,44.0,1451.344,LE KEF
3,2,155000,18-Jul,9,5,20233.018,13.0,1556.386,LE KEF
2,2,155000,19-Jun,9,5,113617.12,68.0,1670.84,LE KEF
2,1,155000,19-Oct,9,5,147738.003,111.0,1330.973,LE KEF
2,2,155000,19-Apr,9,5,150375.6,90.0,1670.8400000000001,LE KEF
2,2,155000,18-Jan,9,5,116107.52,80.0,1451.344,LE KEF
3,3,155000,18-Jan,9,5,79566.36,60.0,1326.106,LE KEF
2,2,155000,18-May,9,5,113495.436,76.0,1493.361,LE KEF
2,1,155000,19-Jan,9,5,163190.3,130.0,1255.31,LE KEF
2,1,155000,18-Aug,9,5,127386.817,107.0,1190.531,LE KEF
2,3,155000,19-Apr,9,5,115237.018,74.0,1557.257,LE KEF
2,2,155000,18-Feb,9,5,30478.224,21.0,1451.3439999999998,LE KEF
3,2,155000,18-Jan,9,5,15964.784,11.0,1451.344,LE KEF
3,3,155000,18-Apr,9,5,79480.532,58.0,1370.354,LE KEF
3,2,155000,18-May,9,5,5973.444,4.0,1493.361,LE KEF
3,2,155000,18-Aug,9,5,43578.808,28.0,1556.386,LE KEF
2,1,155000,18-Sep,9,5,125690.3,100.0,1256.903,LE KEF
1,6,155000,19-Jun,9,5,28030.626,18.0,1557.257,LE KEF
3,1,155000,18-Mar,9,5,12958.932,12.0,1079.911,LE KEF
3,1,155000,18-Apr,9,5,19110.703,17.0,1124.159,LE KEF
3,3,155000,19-Jan,9,5,87805.57,59.0,1488.23,LE KEF
2,1,155000,18-Dec,9,5,158307.651,126.0,1256.4099285714287,LE KEF
3,2,155000,19-Jan,9,5,17658.234,11.0,1605.294,LE KEF
2,1,155000,19-Dec,9,5,175688.436,132.0,1330.973,LE KEF
2,2,155000,18-Dec,9,5,115653.792,72.0,1606.3026666666667,LE KEF
2,1,155000,18-Nov,9,5,191049.256,152.0,1256.903,LE KEF
3,1,155000,18-Nov,9,5,18853.545,15.0,1256.9029999999998,LE KEF
3,2,155000,18-Nov,9,5,24102.105,15.0,1606.807,LE KEF
2,2,155000,18-Jun,9,5,100937.537,67.0,1506.5304029850745,LE KEF
2,6,155000,19-Oct,9,5,102632.904,66.0,1555.0439999999999,LE KEF
1,2,155000,19-Mar,9,5,44948.232,28.0,1605.294,LE KEF
2,1,155000,18-Jan,9,5,167386.205,155.0,1079.9109999999998,LE KEF
2,1,155000,18-Apr,9,5,105670.946,94.0,1124.1589999999999,LE KEF
2,1,155000,18-Jul,9,5,109528.852,92.0,1190.531,LE KEF
2,1,155000,19-Feb,9,5,165700.92,132.0,1255.3100000000002,LE KEF
1,2,155000,19-Jan,9,5,17658.234,11.0,1605.294,LE KEF
3,2,155000,19-Feb,9,5,24079.41,15.0,1605.294,LE KEF
1,2,155000,19-Sep,9,5,16687.39,10.0,1668.739,LE KEF
2,2,155000,19-Mar,9,5,88291.17,55.0,1605.2939999999999,LE KEF
1,6,155000,19-Mar,9,5,14882.3,10.0,1488.23,LE KEF
2,6,155000,19-Sep,9,5,104187.948,67.0,1555.044,LE KEF
1,1,155000,19-Mar,9,5,32638.06,26.0,1255.31,LE KEF
1,6,155000,19-Jul,9,5,15572.57,10.0,1557.257,LE KEF
3,3,155000,18-Feb,9,5,17239.378,13.0,1326.106,LE KEF
2,1,155000,18-Feb,9,5,89632.613,83.0,1079.911,LE KEF
2,2,155000,18-Jul,9,5,99608.704,64.0,1556.386,LE KEF
3,3,155000,18-Oct,9,5,68531.858,46.0,1489.8229999999999,LE KEF
2,6,155000,19-Jun,9,5,71633.822,46.0,1557.257,LE KEF
2,2,155000,19-Sep,9,5,118480.469,71.0,1668.739,LE KEF
3,3,155000,18-Feb,9,5,19891.59,15.0,1326.106,LE KEF
3,2,155000,18-Apr,9,5,22400.415,15.0,1493.361,LE KEF
2,2,155000,18-Apr,9,5,95575.104,64.0,1493.361,LE KEF
3,3,155000,18-Jul,9,5,86203.56,60.0,1436.7259999999999,LE KEF
3,3,155000,18-Aug,9,5,93387.19,65.0,1436.726,LE KEF
3,2,155000,18-Sep,9,5,18676.632,12.0,1556.3860000000002,LE KEF
3,1,155000,18-Jun,9,5,24731.498,22.0,1124.1589999999999,LE KEF
1,3,155000,18-Oct,9,5,32776.106,22.0,1489.823,LE KEF
2,1,155000,19-Nov,9,5,171695.517,129.0,1330.973,LE KEF
2,6,155000,19-Dec,9,5,101077.86,65.0,1555.044,LE KEF
3,3,155000,18-May,9,5,69888.054,51.0,1370.354,LE KEF
2,2,155000,18-Sep,9,5,98015.227,61.0,1606.807,LE KEF
3,6,155000,19-Nov,9,5,9330.264,6.0,1555.0439999999999,LE KEF
3,1,155000,18-May,9,5,6744.954,6.0,1124.1589999999999,LE KEF
3,3,155000,18-Jun,9,5,79304.874,57.0,1391.3135789473683,LE KEF
2,1,155000,18-Oct,9,5,121919.591,97.0,1256.903,LE KEF
2,1,155000,19-Aug,9,5,133097.3,100.0,1330.973,LE KEF
3,1,155000,18-Sep,9,5,8333.717,7.0,1190.5310000000002,LE KEF
3,1,155000,19-Jan,9,5,25106.2,20.0,1255.31,LE KEF
3,3,155000,19-Feb,9,5,90782.03,61.0,1488.23,LE KEF
2,2,155000,19-May,9,5,130325.52,78.0,1670.8400000000001,LE KEF
2,2,155000,19-Aug,9,5,140174.076,84.0,1668.739,LE KEF
2,6,155000,19-Aug,9,5,111963.168,72.0,1555.044,LE KEF
2,2,155000,19-Jul,9,5,110212.41,66.0,1669.885,LE KEF
2,2,155000,18-Mar,9,5,114656.176,79.0,1451.344,LE KEF
3,3,155000,18-Dec,9,5,86384.246,58.0,1489.383551724138,LE KEF
2,2,155000,19-Jan,9,5,89896.464,56.0,1605.294,LE KEF
3,1,155000,18-Jul,9,5,22620.089,19.0,1190.531,LE KEF
3,3,155000,18-Sep,9,5,72682.745,49.0,1483.3213265306122,LE KEF
2,1,155000,19-Apr,9,5,165315.064,124.0,1333.1860000000001,LE KEF
2,1,155000,19-Jul,9,5,147899.552,111.0,1332.4283963963965,LE KEF
3,3,155000,18-Mar,9,5,74261.936,56.0,1326.106,LE KEF
2,1,155000,18-Mar,9,5,137148.697,127.0,1079.9109999999998,LE KEF
3,2,155000,18-Jun,9,5,23893.776,16.0,1493.361,LE KEF
3,1,155000,18-Oct,9,5,30165.672,24.0,1256.903,LE KEF
2,2,155000,19-Feb,9,5,94712.346,59.0,1605.294,LE KEF
2,1,155000,19-Jun,9,5,139984.53,105.0,1333.186,LE KEF
1,2,155000,19-Jun,9,5,26733.44,16.0,1670.84,LE KEF
3,6,155000,19-Mar,9,5,69946.81,47.0,1488.23,LE KEF
2,1,155000,19-Mar,9,5,124275.69,99.0,1255.31,LE KEF
