NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
2,1,152580,18-Apr,9,50,42718.042,38.0,1124.159,LE SERS
2,2,152580,18-Nov,9,50,22495.298,14.0,1606.807,LE SERS
2,2,152580,18-Jun,9,50,25765.287,17.0,1515.605117647059,LE SERS
3,3,152580,18-Jan,9,50,13261.06,10.0,1326.106,LE SERS
3,3,152580,18-Mar,9,50,14587.166,11.0,1326.106,LE SERS
3,2,152580,18-Apr,9,50,5973.444,4.0,1493.361,LE SERS
2,1,152580,18-Nov,9,50,110607.464,88.0,1256.903,LE SERS
2,2,152580,18-May,9,50,19413.693,13.0,1493.3609999999999,LE SERS
1,1,152580,18-May,9,50,6744.954,6.0,1124.1589999999999,LE SERS
3,3,152580,18-Nov,9,50,17877.876,12.0,1489.823,LE SERS
3,1,152580,18-Oct,9,50,12569.03,10.0,1256.903,LE SERS
3,3,152580,19-Jan,9,50,16370.53,11.0,1488.23,LE SERS
3,3,152580,19-Feb,9,50,20835.22,14.0,1488.23,LE SERS
2,2,152580,19-Aug,9,50,48393.431,29.0,1668.7389999999998,LE SERS
1,2,152580,19-Mar,9,50,11237.058,7.0,1605.294,LE SERS
2,2,152580,19-Sep,9,50,36712.258,22.0,1668.739,LE SERS
2,6,152580,19-Nov,9,50,12440.352,8.0,1555.044,LE SERS
2,2,152580,18-Feb,9,50,20318.816,14.0,1451.3439999999998,LE SERS
2,1,152580,18-Mar,9,50,76673.681,71.0,1079.911,LE SERS
2,1,152580,18-Jul,9,50,71431.86,60.0,1190.531,LE SERS
2,1,152580,18-Aug,9,50,83337.17,70.0,1190.531,LE SERS
3,2,152580,18-Nov,9,50,9640.842,6.0,1606.807,LE SERS
3,3,152580,18-Jun,9,50,15073.894,11.0,1370.354,LE SERS
2,2,152580,19-Feb,9,50,14447.646,9.0,1605.294,LE SERS
1,1,152580,19-Mar,9,50,6276.55,5.0,1255.31,LE SERS
2,1,152580,19-Dec,9,50,79858.38,60.0,1330.9730000000002,LE SERS
2,2,152580,18-Jan,9,50,36283.6,25.0,1451.344,LE SERS
3,3,152580,18-Jul,9,50,25861.068,18.0,1436.7259999999999,LE SERS
1,2,152580,18-Dec,9,50,8034.035,5.0,1606.807,LE SERS
2,1,152580,19-Feb,9,50,62765.5,50.0,1255.31,LE SERS
3,1,152580,18-Jan,9,50,7559.377,7.0,1079.911,LE SERS
1,2,152580,18-May,9,50,5973.444,4.0,1493.361,LE SERS
2,1,152580,18-Dec,9,50,55281.43,44.0,1256.3961363636363,LE SERS
2,2,152580,18-Jul,9,50,43578.808,28.0,1556.386,LE SERS
1,1,152580,18-Oct,9,50,32679.478,26.0,1256.903,LE SERS
2,2,152580,19-Jan,9,50,24079.41,15.0,1605.294,LE SERS
3,2,152580,19-Aug,9,50,10012.434,6.0,1668.7389999999998,LE SERS
2,6,152580,19-Dec,9,50,24880.704,16.0,1555.044,LE SERS
3,3,152580,18-Apr,9,50,20555.31,15.0,1370.354,LE SERS
3,1,152580,18-May,9,50,21359.021,19.0,1124.159,LE SERS
2,2,152580,18-Dec,9,50,20879.413,13.0,1606.1086923076923,LE SERS
2,6,152580,19-Jul,9,50,23338.938,15.0,1555.9291999999998,LE SERS
2,2,152580,19-Dec,9,50,26699.824,16.0,1668.739,LE SERS
3,3,152580,18-Feb,9,50,10608.848,8.0,1326.106,LE SERS
2,2,152580,18-Mar,9,50,33380.912,23.0,1451.3439999999998,LE SERS
2,2,152580,18-Aug,9,50,31127.72,20.0,1556.386,LE SERS
2,2,152580,18-Oct,9,50,16068.07,10.0,1606.807,LE SERS
2,1,152580,19-Jan,9,50,75318.6,60.0,1255.3100000000002,LE SERS
2,1,152580,19-Apr,9,50,82657.532,62.0,1333.1860000000001,LE SERS
3,2,152580,19-Feb,9,50,14447.646,9.0,1605.294,LE SERS
2,1,152580,19-Oct,9,50,110470.759,83.0,1330.973,LE SERS
2,3,152580,19-Apr,9,50,35816.911,23.0,1557.257,LE SERS
2,1,152580,19-Jul,9,50,86597.339,65.0,1332.266753846154,LE SERS
2,1,152580,19-Nov,9,50,77196.434,58.0,1330.973,LE SERS
3,3,152580,18-Aug,9,50,22987.616,16.0,1436.726,LE SERS
1,3,152580,18-Oct,9,50,7449.115,5.0,1489.8229999999999,LE SERS
3,1,152580,18-Jun,9,50,30352.293,27.0,1124.159,LE SERS
2,1,152580,19-May,9,50,62659.742,47.0,1333.186,LE SERS
2,3,152580,19-May,9,50,12458.056,8.0,1557.257,LE SERS
2,6,152580,19-Jun,9,50,18687.084,12.0,1557.2569999999998,LE SERS
2,1,152580,19-Sep,9,50,81189.353,61.0,1330.973,LE SERS
3,1,152580,18-Apr,9,50,16862.385,15.0,1124.1589999999999,LE SERS
3,1,152580,18-Aug,9,50,9524.248,8.0,1190.531,LE SERS
3,2,152580,18-Aug,9,50,21789.404,14.0,1556.386,LE SERS
2,1,152580,18-Sep,9,50,115830.027,93.0,1245.4841612903226,LE SERS
2,1,152580,18-Jun,9,50,63156.185,55.0,1148.2942727272728,LE SERS
3,6,152580,19-Nov,9,50,7775.22,5.0,1555.044,LE SERS
1,2,152580,18-Apr,9,50,11946.888,8.0,1493.361,LE SERS
3,3,152580,18-Dec,9,50,17869.911,12.0,1489.15925,LE SERS
1,1,152580,18-Dec,9,50,22624.254,18.0,1256.903,LE SERS
3,3,152580,18-Oct,9,50,5959.292,4.0,1489.823,LE SERS
2,1,152580,19-Jun,9,50,74658.416,56.0,1333.186,LE SERS
2,6,152580,19-Sep,9,50,23325.66,15.0,1555.044,LE SERS
