NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
2,2,153770,18-Feb,4,47,17416.128,12.0,1451.344,MAAMOURA
2,2,153770,18-Feb,4,47,39186.288,27.0,1451.344,MAAMOURA
2,1,153770,18-Aug,4,47,72622.391,61.0,1190.531,MAAMOURA
2,2,153770,18-Jun,4,47,68272.67,45.0,1517.1704444444445,MAAMOURA
1,1,153770,19-Mar,4,47,33893.37,27.0,1255.3100000000002,MAAMOURA
2,1,153770,18-Oct,4,47,87983.21,70.0,1256.903,MAAMOURA
1,1,153770,18-Oct,4,47,20110.448,16.0,1256.903,MAAMOURA
2,2,153770,19-Sep,4,47,66749.56,40.0,1668.739,MAAMOURA
2,1,153770,19-Aug,4,47,105146.867,79.0,1330.973,MAAMOURA
2,1,153770,19-Jul,4,47,131888.042,99.0,1332.2024444444444,MAAMOURA
2,1,153770,18-Mar,4,47,79913.414,74.0,1079.911,MAAMOURA
2,2,153770,18-May,4,47,59734.44,40.0,1493.361,MAAMOURA
1,2,153770,18-May,4,47,4480.083,3.0,1493.3609999999999,MAAMOURA
1,2,153770,18-Sep,4,47,17674.877,11.0,1606.807,MAAMOURA
3,2,153770,19-Feb,4,47,6421.176,4.0,1605.294,MAAMOURA
2,2,153770,19-Jun,4,47,85212.84,51.0,1670.84,MAAMOURA
1,1,153770,18-May,4,47,7869.113,7.0,1124.159,MAAMOURA
2,1,153770,18-Sep,4,47,90032.412,72.0,1250.4501666666665,MAAMOURA
2,2,153770,18-Oct,4,47,64272.28,40.0,1606.807,MAAMOURA
2,2,153770,19-Mar,4,47,38527.056,24.0,1605.2939999999999,MAAMOURA
2,2,153770,18-Jul,4,47,98052.318,63.0,1556.386,MAAMOURA
1,2,153770,18-Aug,4,47,29571.334,19.0,1556.386,MAAMOURA
1,1,153770,18-Sep,4,47,27651.866,22.0,1256.903,MAAMOURA
2,1,153770,18-Nov,4,47,106836.755,85.0,1256.903,MAAMOURA
2,1,153770,19-May,4,47,105321.694,79.0,1333.1860000000001,MAAMOURA
1,1,153770,18-Mar,4,47,7559.377,7.0,1079.911,MAAMOURA
1,2,153770,18-Mar,4,47,5805.376,4.0,1451.344,MAAMOURA
2,2,153770,18-Apr,4,47,44800.83,30.0,1493.361,MAAMOURA
2,1,153770,18-Apr,4,47,53959.632,48.0,1124.1589999999999,MAAMOURA
2,2,153770,18-Sep,4,47,60806.561,38.0,1600.1726578947369,MAAMOURA
1,1,153770,18-Jun,4,47,6744.954,6.0,1124.1589999999999,MAAMOURA
2,1,153770,19-Feb,4,47,21340.27,17.0,1255.31,MAAMOURA
1,2,153770,19-Feb,4,47,6421.176,4.0,1605.294,MAAMOURA
3,2,153770,19-May,4,47,10025.04,6.0,1670.8400000000001,MAAMOURA
2,1,153770,19-Nov,4,47,109139.786,82.0,1330.973,MAAMOURA
2,2,153770,18-Dec,4,47,69068.493,43.0,1606.244023255814,MAAMOURA
3,1,153770,18-Dec,4,47,8798.321,7.0,1256.903,MAAMOURA
2,1,153770,18-Dec,4,47,120608.526,96.0,1256.3388125,MAAMOURA
2,1,153770,18-Jul,4,47,85718.232,72.0,1190.531,MAAMOURA
2,1,153770,18-Feb,4,47,56155.372,52.0,1079.911,MAAMOURA
2,1,153770,19-Apr,4,47,115987.182,87.0,1333.186,MAAMOURA
2,2,153770,19-Feb,4,47,54579.996,34.0,1605.2939999999999,MAAMOURA
1,1,153770,19-Jan,4,47,21340.27,17.0,1255.31,MAAMOURA
1,2,153770,19-Jan,4,47,22474.116,14.0,1605.294,MAAMOURA
3,1,153770,18-Jun,4,47,5620.795,5.0,1124.159,MAAMOURA
2,2,153770,19-Oct,4,47,85105.689,51.0,1668.739,MAAMOURA
2,1,153770,19-Jun,4,47,117320.368,88.0,1333.186,MAAMOURA
2,1,153770,19-Dec,4,47,134428.273,101.0,1330.973,MAAMOURA
2,2,153770,18-Aug,4,47,65368.212,42.0,1556.386,MAAMOURA
3,2,153770,18-Dec,4,47,8034.035,5.0,1606.807,MAAMOURA
1,2,153770,19-Sep,4,47,15018.651,9.0,1668.739,MAAMOURA
2,2,153770,18-Mar,4,47,60956.448,42.0,1451.3439999999998,MAAMOURA
1,2,153770,18-Apr,4,47,28373.859,19.0,1493.361,MAAMOURA
1,1,153770,18-Aug,4,47,16667.434,14.0,1190.5310000000002,MAAMOURA
3,2,153770,18-Jun,4,47,5973.444,4.0,1493.361,MAAMOURA
2,2,153770,19-May,4,47,73516.96,44.0,1670.8400000000001,MAAMOURA
1,2,153770,19-Mar,4,47,28895.292,18.0,1605.294,MAAMOURA
2,2,153770,19-Aug,4,47,105130.557,63.0,1668.739,MAAMOURA
2,2,153770,19-Nov,4,47,75093.255,45.0,1668.739,MAAMOURA
2,2,153770,18-Jan,4,47,56602.416,39.0,1451.3439999999998,MAAMOURA
2,2,153770,19-Apr,4,47,81871.16,49.0,1670.8400000000001,MAAMOURA
2,1,153770,18-Jun,4,47,68710.608,60.0,1145.1768,MAAMOURA
2,1,153770,19-Oct,4,47,121118.543,91.0,1330.973,MAAMOURA
2,1,153770,19-Sep,4,47,106477.84,80.0,1330.973,MAAMOURA
2,1,153770,18-Feb,4,47,25917.864,24.0,1079.911,MAAMOURA
2,1,153770,19-Jan,4,47,74063.29,59.0,1255.31,MAAMOURA
1,2,153770,18-Jun,4,47,5973.444,4.0,1493.361,MAAMOURA
3,1,153770,19-May,4,47,6665.93,5.0,1333.1860000000001,MAAMOURA
2,2,153770,19-Jul,4,47,110204.006,66.0,1669.7576666666666,MAAMOURA
2,2,153770,19-Dec,4,47,95118.123,57.0,1668.739,MAAMOURA
2,2,153770,19-Jan,4,47,43342.938,27.0,1605.294,MAAMOURA
1,2,153770,18-Oct,4,47,8034.035,5.0,1606.807,MAAMOURA
2,2,153770,18-Nov,4,47,70699.508,44.0,1606.807,MAAMOURA
2,1,153770,19-Mar,4,47,58999.57,47.0,1255.31,MAAMOURA
2,1,153770,18-Jan,4,47,97191.99,90.0,1079.911,MAAMOURA
1,1,153770,18-Apr,4,47,34848.929,31.0,1124.1589999999999,MAAMOURA
2,1,153770,18-May,4,47,64077.063,57.0,1124.159,MAAMOURA
1,1,153770,19-Sep,4,47,7985.838,6.0,1330.973,MAAMOURA
