NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
1,6,153980,19-Apr,17,44,65404.794,42.0,1557.257,MAHRES
2,6,153980,19-Jun,17,44,4671.771,3.0,1557.2569999999998,MAHRES
1,1,153980,19-Oct,17,44,157054.814,118.0,1330.9730000000002,MAHRES
1,1,153980,18-Feb,17,44,174945.582,162.0,1079.911,MAHRES
1,2,153980,18-Feb,17,44,113204.832,78.0,1451.3439999999998,MAHRES
1,3,153980,18-Apr,17,44,60295.576,44.0,1370.354,MAHRES
3,3,153980,18-Aug,17,44,21550.89,15.0,1436.7259999999999,MAHRES
1,2,153980,18-Oct,17,44,115690.104,72.0,1606.807,MAHRES
4,3,153980,18-Nov,17,44,5959.292,4.0,1489.823,MAHRES
1,1,153980,19-May,17,44,139984.53,105.0,1333.186,MAHRES
1,1,153980,19-Mar,17,44,159424.37,127.0,1255.31,MAHRES
1,2,153980,19-Jul,17,44,220393.305,132.0,1669.64625,MAHRES
1,2,153980,19-Oct,17,44,148517.771,89.0,1668.739,MAHRES
1,2,153980,19-Nov,17,44,161867.683,97.0,1668.7389999999998,MAHRES
3,3,153980,18-Feb,17,44,18565.484,14.0,1326.106,MAHRES
1,3,153980,18-Feb,17,44,57022.558,43.0,1326.106,MAHRES
4,3,153980,18-Mar,17,44,9282.742,7.0,1326.106,MAHRES
2,1,153980,19-Jun,17,44,62659.742,47.0,1333.186,MAHRES
1,3,153980,18-Dec,17,44,67019.733,45.0,1489.3274,MAHRES
1,2,153980,19-Dec,17,44,155192.727,93.0,1668.739,MAHRES
1,3,153980,18-Mar,17,44,61000.876,46.0,1326.106,MAHRES
1,1,153980,18-Apr,17,44,166375.532,148.0,1124.159,MAHRES
1,3,153980,18-May,17,44,54814.16,40.0,1370.354,MAHRES
1,1,153980,18-Oct,17,44,153342.166,122.0,1256.903,MAHRES
1,3,153980,18-Oct,17,44,58103.097,39.0,1489.823,MAHRES
1,1,153980,19-Feb,17,44,134318.17,107.0,1255.3100000000002,MAHRES
1,2,153980,19-Apr,17,44,162071.48,97.0,1670.8400000000001,MAHRES
2,2,153980,19-Jun,17,44,6683.36,4.0,1670.84,MAHRES
1,6,153980,19-Jul,17,44,102681.59,66.0,1555.7816666666665,MAHRES
1,2,153980,18-Apr,17,44,109015.353,73.0,1493.361,MAHRES
1,2,153980,18-Dec,17,44,139746.819,87.0,1606.2852758620688,MAHRES
1,2,153980,18-May,17,44,98561.826,66.0,1493.361,MAHRES
2,1,153980,18-Nov,17,44,7541.418,6.0,1256.903,MAHRES
3,1,153980,18-Aug,17,44,13095.841,11.0,1190.531,MAHRES
2,1,153980,19-Jan,17,44,22595.58,18.0,1255.3100000000002,MAHRES
1,6,153980,19-Jun,17,44,70076.565,45.0,1557.257,MAHRES
1,2,153980,19-May,17,44,148704.76,89.0,1670.8400000000001,MAHRES
1,6,153980,19-May,17,44,56061.252,36.0,1557.257,MAHRES
1,1,153980,19-Jul,17,44,171815.019,129.0,1331.8993720930232,MAHRES
4,1,153980,18-Jul,17,44,19048.496,16.0,1190.531,MAHRES
1,2,153980,18-Sep,17,44,144360.525,90.0,1604.0058333333332,MAHRES
2,2,153980,19-Jan,17,44,25684.704,16.0,1605.294,MAHRES
1,1,153980,19-Nov,17,44,170364.544,128.0,1330.973,MAHRES
1,1,153980,18-May,17,44,151761.465,135.0,1124.1589999999999,MAHRES
3,3,153980,19-Jan,17,44,2976.46,2.0,1488.23,MAHRES
