NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
1,1,151620,18-Jan,12,20,154427.273,143.0,1079.9109999999998,MAJEL B. ABBES
2,1,151620,18-Jul,12,20,9524.248,8.0,1190.531,MAJEL B. ABBES
2,1,151620,18-Nov,12,20,25138.06,20.0,1256.903,MAJEL B. ABBES
1,3,151620,18-Nov,12,20,25326.991,17.0,1489.823,MAJEL B. ABBES
1,3,151620,19-Feb,12,20,28276.37,19.0,1488.23,MAJEL B. ABBES
1,1,151620,19-Apr,12,20,138651.344,104.0,1333.1860000000001,MAJEL B. ABBES
1,2,151620,19-Sep,12,20,68418.299,41.0,1668.739,MAJEL B. ABBES
1,2,151620,18-Apr,12,20,56747.718,38.0,1493.361,MAJEL B. ABBES
3,2,151620,18-Aug,12,20,20233.018,13.0,1556.386,MAJEL B. ABBES
1,2,151620,19-May,12,20,61821.08,37.0,1670.8400000000001,MAJEL B. ABBES
1,2,151620,18-May,12,20,46294.191,31.0,1493.3609999999999,MAJEL B. ABBES
1,1,151620,19-Jan,12,20,115488.52,92.0,1255.31,MAJEL B. ABBES
1,2,151620,19-Apr,12,20,58479.4,35.0,1670.8400000000001,MAJEL B. ABBES
1,1,151620,19-Nov,12,20,134428.273,101.0,1330.973,MAJEL B. ABBES
1,2,151620,18-Feb,12,20,43540.32,30.0,1451.344,MAJEL B. ABBES
1,2,151620,18-Dec,12,20,61040.51,38.0,1606.3292105263158,MAJEL B. ABBES
3,1,151620,18-Aug,12,20,13095.841,11.0,1190.531,MAJEL B. ABBES
1,6,151620,19-Sep,12,20,32655.924,21.0,1555.0439999999999,MAJEL B. ABBES
1,1,151620,19-Dec,12,20,191660.112,144.0,1330.973,MAJEL B. ABBES
1,1,151620,19-Oct,12,20,125111.462,94.0,1330.973,MAJEL B. ABBES
1,3,151620,18-Mar,12,20,33152.65,25.0,1326.106,MAJEL B. ABBES
1,1,151620,18-Dec,12,20,108044.275,86.0,1256.3287790697673,MAJEL B. ABBES
3,3,151620,18-Aug,12,20,8620.356,6.0,1436.7259999999999,MAJEL B. ABBES
2,1,151620,18-Aug,12,20,26191.682,22.0,1190.531,MAJEL B. ABBES
1,3,151620,18-Jun,12,20,22191.152,16.0,1386.947,MAJEL B. ABBES
1,3,151620,18-Oct,12,20,28306.637,19.0,1489.8229999999999,MAJEL B. ABBES
1,6,151620,19-Dec,12,20,23325.66,15.0,1555.044,MAJEL B. ABBES
1,6,151620,19-Jul,12,20,28012.922,18.0,1556.2734444444443,MAJEL B. ABBES
1,1,151620,18-Mar,12,20,152267.451,141.0,1079.911,MAJEL B. ABBES
1,3,151620,18-May,12,20,32888.496,24.0,1370.354,MAJEL B. ABBES
2,1,151620,18-Dec,12,20,16339.739,13.0,1256.903,MAJEL B. ABBES
1,1,151620,19-May,12,20,121319.926,91.0,1333.1860000000001,MAJEL B. ABBES
1,2,151620,19-Jul,12,20,58449.986,35.0,1669.9995999999999,MAJEL B. ABBES
1,2,151620,18-Mar,12,20,56602.416,39.0,1451.3439999999998,MAJEL B. ABBES
1,1,151620,18-Apr,12,20,159630.578,142.0,1124.159,MAJEL B. ABBES
1,1,151620,18-Nov,12,20,118148.882,94.0,1256.903,MAJEL B. ABBES
1,2,151620,19-Feb,12,20,51369.408,32.0,1605.294,MAJEL B. ABBES
1,6,151620,19-May,12,20,35816.911,23.0,1557.257,MAJEL B. ABBES
1,1,151620,19-Aug,12,20,157054.814,118.0,1330.9730000000002,MAJEL B. ABBES
1,2,151620,19-Aug,12,20,85105.689,51.0,1668.739,MAJEL B. ABBES
1,6,151620,19-Nov,12,20,32655.924,21.0,1555.0439999999999,MAJEL B. ABBES
1,2,151620,19-Nov,12,20,55068.387,33.0,1668.739,MAJEL B. ABBES
1,3,151620,18-Apr,12,20,31518.142,23.0,1370.354,MAJEL B. ABBES
4,1,151620,18-Dec,12,20,37707.09,30.0,1256.9029999999998,MAJEL B. ABBES
1,2,151620,18-Sep,12,20,81695.052,51.0,1601.8637647058822,MAJEL B. ABBES
2,1,151620,19-Feb,12,20,7531.86,6.0,1255.31,MAJEL B. ABBES
1,2,151620,19-Mar,12,20,72238.23,45.0,1605.2939999999999,MAJEL B. ABBES
1,2,151620,19-Dec,12,20,65080.821,39.0,1668.739,MAJEL B. ABBES
1,6,151620,19-Oct,12,20,24880.704,16.0,1555.044,MAJEL B. ABBES
3,3,151620,18-Feb,12,20,3978.318,3.0,1326.106,MAJEL B. ABBES
1,3,151620,18-Jul,12,20,30171.246,21.0,1436.7259999999999,MAJEL B. ABBES
1,2,151620,18-Aug,12,20,84044.844,54.0,1556.386,MAJEL B. ABBES
1,2,151620,18-Nov,12,20,35349.754,22.0,1606.807,MAJEL B. ABBES
4,3,151620,18-Nov,12,20,4469.469,3.0,1489.823,MAJEL B. ABBES
1,1,151620,19-Sep,12,20,134428.273,101.0,1330.973,MAJEL B. ABBES
2,1,151620,19-Jun,12,20,58660.184,44.0,1333.186,MAJEL B. ABBES
1,1,151620,18-Feb,12,20,146867.896,136.0,1079.911,MAJEL B. ABBES
1,1,151620,18-May,12,20,148388.988,132.0,1124.159,MAJEL B. ABBES
1,3,151620,18-Sep,12,20,26816.814,18.0,1489.8229999999999,MAJEL B. ABBES
1,3,151620,18-Jan,12,20,26522.12,20.0,1326.106,MAJEL B. ABBES
1,3,151620,18-Feb,12,20,22543.802,17.0,1326.106,MAJEL B. ABBES
1,2,151620,18-Jul,12,20,51360.738,33.0,1556.386,MAJEL B. ABBES
2,2,151620,18-Jul,12,20,6225.544,4.0,1556.386,MAJEL B. ABBES
1,1,151620,19-Feb,12,20,150637.2,120.0,1255.3100000000002,MAJEL B. ABBES
1,1,151620,18-Jul,12,20,128577.348,108.0,1190.531,MAJEL B. ABBES
1,6,151620,19-Jun,12,20,35816.911,23.0,1557.257,MAJEL B. ABBES
1,6,151620,19-Apr,12,20,34259.654,22.0,1557.257,MAJEL B. ABBES
1,3,151620,19-Jan,12,20,26788.14,18.0,1488.23,MAJEL B. ABBES
1,3,151620,18-Aug,12,20,28734.52,20.0,1436.726,MAJEL B. ABBES
1,1,151620,18-Jun,12,20,116058.03,102.0,1137.8238235294118,MAJEL B. ABBES
1,6,151620,19-Mar,12,20,37205.75,25.0,1488.23,MAJEL B. ABBES
1,6,151620,19-Aug,12,20,34210.968,22.0,1555.044,MAJEL B. ABBES
1,2,151620,19-Jun,12,20,60150.24,36.0,1670.84,MAJEL B. ABBES
2,2,151620,18-Nov,12,20,6427.228,4.0,1606.807,MAJEL B. ABBES
