NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
3,2,152360,19-Jan,10,35,6421.176,4.0,1605.294,MAKTHAR
2,1,152360,19-Jul,10,35,38629.199,29.0,1332.0413448275863,MAKTHAR
2,1,152360,19-Nov,10,35,46584.055,35.0,1330.973,MAKTHAR
2,1,152360,19-Dec,10,35,37267.244,28.0,1330.973,MAKTHAR
3,2,152360,18-Feb,10,35,4354.032,3.0,1451.344,MAKTHAR
2,1,152360,18-Dec,10,35,32663.548,26.0,1256.2903076923076,MAKTHAR
1,1,152360,18-Sep,10,35,38963.993,31.0,1256.903,MAKTHAR
3,1,152360,18-Sep,10,35,6284.515,5.0,1256.903,MAKTHAR
1,1,152360,18-Oct,10,35,7541.418,6.0,1256.903,MAKTHAR
1,2,152360,19-Feb,10,35,6421.176,4.0,1605.294,MAKTHAR
1,2,152360,19-May,10,35,5012.52,3.0,1670.8400000000001,MAKTHAR
2,2,152360,19-Jul,10,35,23374.952,14.0,1669.6394285714287,MAKTHAR
2,2,152360,18-Jan,10,35,11610.752,8.0,1451.344,MAKTHAR
2,2,152360,18-Feb,10,35,4354.032,3.0,1451.344,MAKTHAR
2,1,152360,18-Apr,10,35,25855.657,23.0,1124.1589999999999,MAKTHAR
2,2,152360,18-Aug,10,35,7781.93,5.0,1556.386,MAKTHAR
3,1,152360,18-Aug,10,35,4762.124,4.0,1190.531,MAKTHAR
2,1,152360,18-Nov,10,35,43991.605,35.0,1256.903,MAKTHAR
3,2,152360,18-Oct,10,35,6427.228,4.0,1606.807,MAKTHAR
2,2,152360,19-May,10,35,5012.52,3.0,1670.8400000000001,MAKTHAR
3,2,152360,19-Jun,10,35,6683.36,4.0,1670.84,MAKTHAR
2,2,152360,18-Dec,10,35,17668.825,11.0,1606.2568181818183,MAKTHAR
1,2,152360,18-May,10,35,2986.722,2.0,1493.361,MAKTHAR
2,2,152360,18-Jul,10,35,17120.246,11.0,1556.386,MAKTHAR
3,1,152360,19-Jan,10,35,7531.86,6.0,1255.31,MAKTHAR
2,2,152360,19-Apr,10,35,16708.4,10.0,1670.8400000000001,MAKTHAR
3,1,152360,18-Mar,10,35,12958.932,12.0,1079.911,MAKTHAR
2,2,152360,18-Sep,10,35,4820.421,3.0,1606.807,MAKTHAR
2,1,152360,19-Sep,10,35,49246.001,37.0,1330.973,MAKTHAR
1,1,152360,18-Apr,10,35,10117.431,9.0,1124.159,MAKTHAR
2,1,152360,18-Jul,10,35,27382.213,23.0,1190.531,MAKTHAR
2,1,152360,18-Sep,10,35,32347.618,26.0,1244.1391538461537,MAKTHAR
2,2,152360,18-Mar,10,35,4354.032,3.0,1451.344,MAKTHAR
3,2,152360,18-Aug,10,35,10894.702,7.0,1556.386,MAKTHAR
3,2,152360,18-Nov,10,35,3213.614,2.0,1606.807,MAKTHAR
1,1,152360,19-Apr,10,35,6665.93,5.0,1333.1860000000001,MAKTHAR
2,1,152360,19-Mar,10,35,31382.75,25.0,1255.31,MAKTHAR
2,2,152360,19-Nov,10,35,20024.868,12.0,1668.7389999999998,MAKTHAR
3,3,152360,18-Jan,10,35,2652.212,2.0,1326.106,MAKTHAR
2,2,152360,18-Oct,10,35,9640.842,6.0,1606.807,MAKTHAR
1,2,152360,18-Feb,10,35,2902.688,2.0,1451.344,MAKTHAR
2,2,152360,18-Jun,10,35,9086.216,6.0,1514.3693333333333,MAKTHAR
1,2,152360,19-Mar,10,35,3210.588,2.0,1605.294,MAKTHAR
2,1,152360,19-Oct,10,35,38598.217,29.0,1330.973,MAKTHAR
2,1,152360,18-Mar,10,35,32397.33,30.0,1079.911,MAKTHAR
1,2,152360,18-Apr,10,35,2986.722,2.0,1493.361,MAKTHAR
2,2,152360,19-Jan,10,35,4815.882,3.0,1605.2939999999999,MAKTHAR
2,2,152360,18-Nov,10,35,12854.456,8.0,1606.807,MAKTHAR
1,2,152360,19-Jan,10,35,3210.588,2.0,1605.294,MAKTHAR
2,2,152360,19-Aug,10,35,36712.258,22.0,1668.739,MAKTHAR
2,1,152360,19-Jan,10,35,31382.75,25.0,1255.31,MAKTHAR
3,1,152360,18-Feb,10,35,5399.555,5.0,1079.911,MAKTHAR
2,1,152360,18-Jun,10,35,37893.711,33.0,1148.2942727272728,MAKTHAR
1,2,152360,18-Sep,10,35,9640.842,6.0,1606.807,MAKTHAR
2,2,152360,19-Mar,10,35,9631.764,6.0,1605.2939999999999,MAKTHAR
2,2,152360,19-Oct,10,35,25031.085,15.0,1668.739,MAKTHAR
2,1,152360,18-Feb,10,35,3239.733,3.0,1079.911,MAKTHAR
1,1,152360,18-Feb,10,35,3239.733,3.0,1079.911,MAKTHAR
2,2,152360,18-Apr,10,35,7466.805,5.0,1493.361,MAKTHAR
1,1,152360,18-Jun,10,35,4496.636,4.0,1124.159,MAKTHAR
2,2,152360,19-Feb,10,35,3210.588,2.0,1605.294,MAKTHAR
2,2,152360,19-Dec,10,35,20024.868,12.0,1668.7389999999998,MAKTHAR
3,1,152360,18-Feb,10,35,2159.822,2.0,1079.911,MAKTHAR
2,1,152360,18-Aug,10,35,29763.275,25.0,1190.531,MAKTHAR
3,1,152360,18-Nov,10,35,3770.709,3.0,1256.903,MAKTHAR
2,2,152360,19-Jun,10,35,20050.08,12.0,1670.8400000000001,MAKTHAR
2,1,152360,19-May,10,35,30663.278,23.0,1333.186,MAKTHAR
2,1,152360,18-Jan,10,35,47516.084,44.0,1079.911,MAKTHAR
3,2,152360,18-Mar,10,35,5805.376,4.0,1451.344,MAKTHAR
2,2,152360,18-May,10,35,8960.166,6.0,1493.3609999999999,MAKTHAR
1,1,152360,18-May,10,35,12365.749,11.0,1124.1589999999999,MAKTHAR
3,1,152360,18-May,10,35,5620.795,5.0,1124.159,MAKTHAR
2,1,152360,18-Oct,10,35,32679.478,26.0,1256.903,MAKTHAR
1,1,152360,19-Jan,10,35,3765.93,3.0,1255.31,MAKTHAR
2,1,152360,19-Feb,10,35,30127.44,24.0,1255.31,MAKTHAR
2,2,152360,19-Sep,10,35,23362.346,14.0,1668.739,MAKTHAR
2,1,152360,19-Aug,10,35,53238.92,40.0,1330.973,MAKTHAR
2,1,152360,18-Feb,10,35,19438.398,18.0,1079.911,MAKTHAR
2,1,152360,18-May,10,35,23607.339,21.0,1124.159,MAKTHAR
3,1,152360,18-Oct,10,35,18853.545,15.0,1256.9029999999998,MAKTHAR
1,2,152360,18-Jun,10,35,4480.083,3.0,1493.3609999999999,MAKTHAR
2,1,152360,19-Apr,10,35,35996.022,27.0,1333.186,MAKTHAR
1,1,152360,19-Feb,10,35,10042.48,8.0,1255.31,MAKTHAR
2,1,152360,19-Jun,10,35,33329.65,25.0,1333.1860000000001,MAKTHAR
1,1,152360,19-Mar,10,35,5021.24,4.0,1255.31,MAKTHAR
