NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
1,1,154940,18-Apr,21,49,194479.507,173.0,1124.159,MARETH
1,1,154940,19-Feb,21,49,179509.33,143.0,1255.31,MARETH
2,1,154940,19-Sep,21,49,7985.838,6.0,1330.973,MARETH
1,2,154940,19-Dec,21,49,68418.299,41.0,1668.739,MARETH
1,2,154940,18-Apr,21,49,44800.83,30.0,1493.361,MARETH
3,3,154940,19-Jan,21,49,7441.15,5.0,1488.23,MARETH
2,1,154940,18-Nov,21,49,23881.157,19.0,1256.903,MARETH
1,2,154940,19-Jun,21,49,80200.32,48.0,1670.8400000000001,MARETH
1,2,154940,19-Oct,21,49,78430.733,47.0,1668.7389999999998,MARETH
1,1,154940,19-Nov,21,49,248891.951,187.0,1330.973,MARETH
1,3,154940,18-Nov,21,49,25326.991,17.0,1489.823,MARETH
1,2,154940,18-Jun,21,49,40635.872,27.0,1505.0322962962964,MARETH
1,2,154940,19-Sep,21,49,70087.038,42.0,1668.739,MARETH
1,1,154940,19-Sep,21,49,260870.708,196.0,1330.973,MARETH
1,1,154940,19-Mar,21,49,161934.99,129.0,1255.31,MARETH
1,2,154940,19-Jan,21,49,46553.526,29.0,1605.2939999999999,MARETH
1,3,154940,18-Jul,21,49,53158.862,37.0,1436.726,MARETH
2,1,154940,18-Aug,21,49,10714.779,9.0,1190.531,MARETH
1,6,154940,19-Mar,21,49,55064.51,37.0,1488.23,MARETH
1,2,154940,18-Jan,21,49,42088.976,29.0,1451.344,MARETH
1,1,154940,18-Aug,21,49,184532.305,155.0,1190.531,MARETH
1,3,154940,18-Aug,21,49,96260.642,67.0,1436.726,MARETH
2,1,154940,18-Dec,21,49,18853.545,15.0,1256.9029999999998,MARETH
1,6,154940,19-Jun,21,49,54503.995,35.0,1557.257,MARETH
1,1,154940,19-Aug,21,49,254215.843,191.0,1330.973,MARETH
1,2,154940,19-Jul,21,49,108520.56,65.0,1669.547076923077,MARETH
1,2,154940,18-Dec,21,49,73887.401,46.0,1606.2478478260869,MARETH
1,2,154940,18-Nov,21,49,40170.175,25.0,1606.807,MARETH
1,6,154940,19-May,21,49,49832.224,32.0,1557.257,MARETH
1,6,154940,19-Dec,21,49,51316.452,33.0,1555.0439999999999,MARETH
1,1,154940,18-Jan,21,49,192224.158,178.0,1079.911,MARETH
3,3,154940,18-Aug,21,49,21550.89,15.0,1436.7259999999999,MARETH
4,2,154940,18-Nov,21,49,9640.842,6.0,1606.807,MARETH
2,1,154940,19-Jan,21,49,12553.1,10.0,1255.31,MARETH
2,1,154940,19-Jun,21,49,63992.928,48.0,1333.186,MARETH
1,2,154940,19-Mar,21,49,70632.936,44.0,1605.294,MARETH
1,6,154940,19-Aug,21,49,125958.564,81.0,1555.0439999999999,MARETH
1,3,154940,18-Apr,21,49,34258.85,25.0,1370.354,MARETH
1,1,154940,18-May,21,49,212466.051,189.0,1124.159,MARETH
1,3,154940,18-Sep,21,49,53527.434,36.0,1486.8731666666667,MARETH
4,1,154940,18-Aug,21,49,8333.717,7.0,1190.5310000000002,MARETH
1,1,154940,18-Jun,21,49,155013.693,135.0,1148.2495777777779,MARETH
1,3,154940,18-Jun,21,49,34524.338,25.0,1380.9735200000002,MARETH
1,6,154940,19-Sep,21,49,54426.54,35.0,1555.044,MARETH
1,3,154940,18-Feb,21,49,34478.756,26.0,1326.106,MARETH
1,1,154940,18-Mar,21,49,195463.891,181.0,1079.911,MARETH
