NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
3,3,151860,18-Feb,6,17,21217.696,16.0,1326.106,MATEUR
3,3,151860,18-Sep,6,17,41715.044,28.0,1489.823,MATEUR
2,1,151860,19-Jun,6,17,69325.672,52.0,1333.1860000000001,MATEUR
3,2,151860,19-Oct,6,17,145180.293,87.0,1668.739,MATEUR
3,1,151860,19-May,6,17,201311.086,151.0,1333.1860000000001,MATEUR
3,2,151860,19-May,6,17,137008.88,82.0,1670.8400000000001,MATEUR
2,1,151860,19-Jul,6,17,53327.44,40.0,1333.1860000000001,MATEUR
2,2,151860,19-Jul,6,17,28404.28,17.0,1670.84,MATEUR
3,6,151860,19-Jul,6,17,43567.788,28.0,1555.9924285714285,MATEUR
3,3,151860,18-Mar,6,17,35804.862,27.0,1326.106,MATEUR
3,1,151860,18-Aug,6,17,198818.677,167.0,1190.531,MATEUR
3,2,151860,18-Jun,6,17,128385.26,85.0,1510.4148235294117,MATEUR
3,1,151860,19-Jun,6,17,151983.204,114.0,1333.186,MATEUR
3,6,151860,19-Jun,6,17,32702.397,21.0,1557.257,MATEUR
3,1,151860,19-Apr,6,17,163981.878,123.0,1333.186,MATEUR
3,1,151860,19-Mar,6,17,154403.13,123.0,1255.31,MATEUR
2,6,151860,19-Jul,6,17,10900.799,7.0,1557.257,MATEUR
3,1,151860,18-Jan,6,17,132829.053,123.0,1079.911,MATEUR
3,2,151860,18-Feb,6,17,81275.264,56.0,1451.3439999999998,MATEUR
3,1,151860,18-Dec,6,17,152035.88,121.0,1256.4948760330578,MATEUR
3,2,151860,18-Nov,6,17,120510.525,75.0,1606.807,MATEUR
3,2,151860,19-Sep,6,17,118480.469,71.0,1668.739,MATEUR
3,1,151860,18-Feb,6,17,75593.77,70.0,1079.911,MATEUR
3,2,151860,18-Apr,6,17,113495.436,76.0,1493.361,MATEUR
3,2,151860,18-Aug,6,17,178984.39,115.0,1556.3860000000002,MATEUR
3,2,151860,18-Oct,6,17,131758.174,82.0,1606.807,MATEUR
