NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
1,1,155580,18-Jan,13,40,110150.922,102.0,1079.911,M.BOUZAIENE
2,1,155580,19-Jan,13,40,18829.65,15.0,1255.3100000000002,M.BOUZAIENE
1,1,155580,18-Jul,13,40,75003.453,63.0,1190.531,M.BOUZAIENE
1,6,155580,19-Sep,13,40,18660.528,12.0,1555.0439999999999,M.BOUZAIENE
1,2,155580,19-Jul,13,40,13362.518,8.0,1670.31475,M.BOUZAIENE
1,6,155580,19-Nov,13,40,12440.352,8.0,1555.044,M.BOUZAIENE
1,1,155580,18-May,13,40,83187.766,74.0,1124.159,M.BOUZAIENE
1,3,155580,18-May,13,40,24666.372,18.0,1370.354,M.BOUZAIENE
1,3,155580,19-Jan,13,40,19346.99,13.0,1488.23,M.BOUZAIENE
3,3,155580,18-Aug,13,40,4310.178,3.0,1436.7259999999999,M.BOUZAIENE
1,2,155580,18-Nov,13,40,19281.684,12.0,1606.807,M.BOUZAIENE
1,2,155580,19-Apr,13,40,58479.4,35.0,1670.8400000000001,M.BOUZAIENE
1,2,155580,19-Aug,13,40,16687.39,10.0,1668.739,M.BOUZAIENE
1,3,155580,18-Jan,13,40,14587.166,11.0,1326.106,M.BOUZAIENE
1,2,155580,18-Mar,13,40,26124.192,18.0,1451.344,M.BOUZAIENE
2,2,155580,19-Jan,13,40,4815.882,3.0,1605.2939999999999,M.BOUZAIENE
1,1,155580,18-Feb,13,40,85312.969,79.0,1079.911,M.BOUZAIENE
1,1,155580,18-Apr,13,40,83187.766,74.0,1124.159,M.BOUZAIENE
2,1,155580,18-Dec,13,40,12569.03,10.0,1256.903,M.BOUZAIENE
3,3,155580,19-Jan,13,40,2976.46,2.0,1488.23,M.BOUZAIENE
1,2,155580,19-May,13,40,31745.96,19.0,1670.84,M.BOUZAIENE
1,2,155580,18-May,13,40,17920.332,12.0,1493.3609999999999,M.BOUZAIENE
1,2,155580,18-Aug,13,40,88714.002,57.0,1556.386,M.BOUZAIENE
2,1,155580,18-Aug,13,40,16667.434,14.0,1190.5310000000002,M.BOUZAIENE
1,3,155580,18-Oct,13,40,20857.522,14.0,1489.823,M.BOUZAIENE
1,1,155580,19-Dec,13,40,61224.758,46.0,1330.973,M.BOUZAIENE
1,6,155580,19-Dec,13,40,13995.396,9.0,1555.044,M.BOUZAIENE
1,3,155580,18-Feb,13,40,15913.272,12.0,1326.106,M.BOUZAIENE
1,3,155580,18-Dec,13,40,32764.955,22.0,1489.3161363636364,M.BOUZAIENE
1,2,155580,18-Jul,13,40,23345.79,15.0,1556.386,M.BOUZAIENE
2,1,155580,18-Jul,13,40,5952.655,5.0,1190.531,M.BOUZAIENE
1,6,155580,19-May,13,40,15572.57,10.0,1557.257,M.BOUZAIENE
1,1,155580,19-Aug,13,40,37267.244,28.0,1330.973,M.BOUZAIENE
1,1,155580,19-Jan,13,40,81595.15,65.0,1255.31,M.BOUZAIENE
1,1,155580,19-Feb,13,40,130552.24,104.0,1255.31,M.BOUZAIENE
1,2,155580,19-Mar,13,40,44948.232,28.0,1605.294,M.BOUZAIENE
1,1,155580,19-Nov,13,40,50576.974,38.0,1330.973,M.BOUZAIENE
1,2,155580,18-Jan,13,40,26124.192,18.0,1451.344,M.BOUZAIENE
1,3,155580,18-Aug,13,40,20114.164,14.0,1436.726,M.BOUZAIENE
1,2,155580,18-Oct,13,40,24102.105,15.0,1606.807,M.BOUZAIENE
1,2,155580,19-Feb,13,40,32105.88,20.0,1605.294,M.BOUZAIENE
1,1,155580,19-May,13,40,73325.23,55.0,1333.186,M.BOUZAIENE
