NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
1,2,152440,18-Mar,14,6,18867.472,13.0,1451.344,M.DAR BEL OUER
3,2,152440,18-Aug,14,6,10894.702,7.0,1556.386,M.DAR BEL OUER
3,3,152440,18-Jun,14,6,19450.444,14.0,1389.3174285714285,M.DAR BEL OUER
1,3,152440,18-Oct,14,6,4469.469,3.0,1489.823,M.DAR BEL OUER
2,2,152440,18-Nov,14,6,40170.175,25.0,1606.807,M.DAR BEL OUER
1,1,152440,18-Feb,14,6,34557.152,32.0,1079.911,M.DAR BEL OUER
2,1,152440,19-Jan,14,6,120509.76,96.0,1255.31,M.DAR BEL OUER
1,2,152440,18-Aug,14,6,32684.106,21.0,1556.386,M.DAR BEL OUER
3,1,152440,18-Nov,14,6,12569.03,10.0,1256.903,M.DAR BEL OUER
3,2,152440,18-Dec,14,6,4820.421,3.0,1606.807,M.DAR BEL OUER
2,2,152440,19-May,14,6,50125.2,30.0,1670.84,M.DAR BEL OUER
3,3,152440,19-Feb,14,6,11905.84,8.0,1488.23,M.DAR BEL OUER
2,1,152440,19-Jun,14,6,149316.832,112.0,1333.186,M.DAR BEL OUER
2,3,152440,19-Apr,14,6,15572.57,10.0,1557.257,M.DAR BEL OUER
1,6,152440,19-Apr,14,6,4671.771,3.0,1557.2569999999998,M.DAR BEL OUER
2,6,152440,19-Jun,14,6,18687.084,12.0,1557.2569999999998,M.DAR BEL OUER
1,6,152440,19-Mar,14,6,5952.92,4.0,1488.23,M.DAR BEL OUER
2,6,152440,19-Oct,14,6,20215.572,13.0,1555.044,M.DAR BEL OUER
2,1,152440,18-Feb,14,6,9719.199,9.0,1079.911,M.DAR BEL OUER
2,1,152440,18-Apr,14,6,110167.582,98.0,1124.1589999999999,M.DAR BEL OUER
1,3,152440,18-Mar,14,6,3978.318,3.0,1326.106,M.DAR BEL OUER
2,1,152440,18-Jul,14,6,65479.205,55.0,1190.531,M.DAR BEL OUER
3,3,152440,18-Aug,14,6,22987.616,16.0,1436.726,M.DAR BEL OUER
1,2,152440,18-Sep,14,6,6427.228,4.0,1606.807,M.DAR BEL OUER
2,2,152440,18-Jun,14,6,37712.175,25.0,1508.487,M.DAR BEL OUER
2,2,152440,19-Apr,14,6,53466.88,32.0,1670.84,M.DAR BEL OUER
2,1,152440,19-Oct,14,6,149068.976,112.0,1330.973,M.DAR BEL OUER
2,2,152440,18-Mar,14,6,29026.88,20.0,1451.344,M.DAR BEL OUER
2,2,152440,18-Apr,14,6,43307.469,29.0,1493.3609999999999,M.DAR BEL OUER
2,2,152440,19-Oct,14,6,51730.909,31.0,1668.739,M.DAR BEL OUER
2,2,152440,19-Jun,14,6,46783.52,28.0,1670.84,M.DAR BEL OUER
2,1,152440,19-Apr,14,6,142650.902,107.0,1333.186,M.DAR BEL OUER
2,1,152440,19-Aug,14,6,149068.976,112.0,1330.973,M.DAR BEL OUER
2,1,152440,19-Dec,14,6,150399.949,113.0,1330.973,M.DAR BEL OUER
2,2,152440,18-Jan,14,6,37734.944,26.0,1451.344,M.DAR BEL OUER
3,3,152440,18-Mar,14,6,9282.742,7.0,1326.106,M.DAR BEL OUER
2,2,152440,18-May,14,6,26880.498,18.0,1493.3609999999999,M.DAR BEL OUER
1,1,152440,18-May,14,6,28103.975,25.0,1124.1589999999999,M.DAR BEL OUER
2,2,152440,18-Aug,14,6,23345.79,15.0,1556.386,M.DAR BEL OUER
2,2,152440,19-Jul,14,6,56768.641,34.0,1669.665911764706,M.DAR BEL OUER
2,6,152440,19-Nov,14,6,20215.572,13.0,1555.044,M.DAR BEL OUER
1,3,152440,18-Feb,14,6,13261.06,10.0,1326.106,M.DAR BEL OUER
1,2,152440,18-May,14,6,11946.888,8.0,1493.361,M.DAR BEL OUER
1,2,152440,18-Jul,14,6,28014.948,18.0,1556.386,M.DAR BEL OUER
2,1,152440,18-Sep,14,6,119140.297,95.0,1254.1083894736844,M.DAR BEL OUER
1,1,152440,18-Oct,14,6,17596.642,14.0,1256.903,M.DAR BEL OUER
3,3,152440,18-Nov,14,6,13408.407,9.0,1489.8229999999999,M.DAR BEL OUER
2,1,152440,19-May,14,6,143984.088,108.0,1333.186,M.DAR BEL OUER
2,2,152440,19-Mar,14,6,30500.586,19.0,1605.2939999999999,M.DAR BEL OUER
3,6,152440,19-Mar,14,6,10417.61,7.0,1488.23,M.DAR BEL OUER
1,2,152440,18-Feb,14,6,23221.504,16.0,1451.344,M.DAR BEL OUER
2,2,152440,19-Jan,14,6,38527.056,24.0,1605.2939999999999,M.DAR BEL OUER
2,2,152440,18-Sep,14,6,40018.912,25.0,1600.7564799999998,M.DAR BEL OUER
1,2,152440,18-Oct,14,6,9640.842,6.0,1606.807,M.DAR BEL OUER
2,1,152440,18-Oct,14,6,116891.979,93.0,1256.903,M.DAR BEL OUER
2,1,152440,19-Feb,14,6,106701.35,85.0,1255.3100000000002,M.DAR BEL OUER
1,1,152440,19-Feb,14,6,7531.86,6.0,1255.31,M.DAR BEL OUER
2,1,152440,19-Jul,14,6,139862.815,105.0,1332.0268095238096,M.DAR BEL OUER
2,1,152440,19-Nov,14,6,153061.895,115.0,1330.973,M.DAR BEL OUER
2,6,152440,19-Aug,14,6,32655.924,21.0,1555.0439999999999,M.DAR BEL OUER
1,1,152440,18-Jan,14,6,22678.131,21.0,1079.911,M.DAR BEL OUER
2,1,152440,18-Mar,14,6,74513.859,69.0,1079.911,M.DAR BEL OUER
1,3,152440,18-Jan,14,6,3978.318,3.0,1326.106,M.DAR BEL OUER
2,1,152440,18-Aug,14,6,98814.073,83.0,1190.531,M.DAR BEL OUER
2,3,152440,19-May,14,6,17129.827,11.0,1557.257,M.DAR BEL OUER
2,1,152440,19-Sep,14,6,145076.057,109.0,1330.973,M.DAR BEL OUER
2,2,152440,19-Sep,14,6,58405.865,35.0,1668.739,M.DAR BEL OUER
2,1,152440,18-Dec,14,6,125645.696,100.0,1256.45696,M.DAR BEL OUER
3,3,152440,18-Jul,14,6,20114.164,14.0,1436.726,M.DAR BEL OUER
3,1,152440,18-Dec,14,6,8798.321,7.0,1256.903,M.DAR BEL OUER
2,2,152440,19-Nov,14,6,51730.909,31.0,1668.739,M.DAR BEL OUER
2,1,152440,18-Jan,14,6,97191.99,90.0,1079.911,M.DAR BEL OUER
3,3,152440,18-Jan,14,6,14587.166,11.0,1326.106,M.DAR BEL OUER
2,1,152440,18-Feb,14,6,65874.571,61.0,1079.9109999999998,M.DAR BEL OUER
3,3,152440,18-Apr,14,6,15073.894,11.0,1370.354,M.DAR BEL OUER
1,1,152440,18-Jul,14,6,54764.426,46.0,1190.531,M.DAR BEL OUER
2,1,152440,18-Nov,14,6,128204.106,102.0,1256.903,M.DAR BEL OUER
3,3,152440,18-May,14,6,13703.54,10.0,1370.354,M.DAR BEL OUER
1,1,152440,18-Apr,14,6,5620.795,5.0,1124.159,M.DAR BEL OUER
2,2,152440,18-Jul,14,6,21789.404,14.0,1556.386,M.DAR BEL OUER
3,3,152440,18-Oct,14,6,8938.938,6.0,1489.823,M.DAR BEL OUER
2,2,152440,19-Feb,14,6,35316.468,22.0,1605.294,M.DAR BEL OUER
1,2,152440,19-Feb,14,6,4815.882,3.0,1605.2939999999999,M.DAR BEL OUER
2,1,152440,19-Mar,14,6,120509.76,96.0,1255.31,M.DAR BEL OUER
2,2,152440,19-Aug,14,6,75093.255,45.0,1668.739,M.DAR BEL OUER
2,2,152440,18-Dec,14,6,44976.979,28.0,1606.3206785714285,M.DAR BEL OUER
2,2,152440,18-Oct,14,6,38563.368,24.0,1606.807,M.DAR BEL OUER
1,2,152440,19-Mar,14,6,16052.94,10.0,1605.294,M.DAR BEL OUER
2,6,152440,19-Jul,14,6,24898.408,16.0,1556.1505,M.DAR BEL OUER
2,2,152440,18-Feb,14,6,7256.72,5.0,1451.344,M.DAR BEL OUER
3,1,152440,18-Aug,14,6,10714.779,9.0,1190.531,M.DAR BEL OUER
1,1,152440,18-Mar,14,6,43196.44,40.0,1079.911,M.DAR BEL OUER
3,2,152440,18-Jan,14,6,5805.376,4.0,1451.344,M.DAR BEL OUER
3,3,152440,18-Dec,14,6,20851.15,14.0,1489.3678571428572,M.DAR BEL OUER
1,2,152440,19-Jan,14,6,6421.176,4.0,1605.294,M.DAR BEL OUER
1,1,152440,18-Aug,14,6,27382.213,23.0,1190.531,M.DAR BEL OUER
2,1,152440,18-Jun,14,6,90994.672,80.0,1137.4334000000001,M.DAR BEL OUER
1,1,152440,18-Jun,14,6,29298.671,25.0,1171.9468399999998,M.DAR BEL OUER
1,1,152440,18-Sep,14,6,15082.836,12.0,1256.903,M.DAR BEL OUER
2,6,152440,19-Sep,14,6,23325.66,15.0,1555.044,M.DAR BEL OUER
2,2,152440,19-Dec,14,6,58405.865,35.0,1668.739,M.DAR BEL OUER
1,3,152440,18-Aug,14,6,4310.178,3.0,1436.7259999999999,M.DAR BEL OUER
1,3,152440,19-Jan,14,6,5952.92,4.0,1488.23,M.DAR BEL OUER
2,6,152440,19-Dec,14,6,24880.704,16.0,1555.044,M.DAR BEL OUER
2,2,152440,18-Feb,14,6,11610.752,8.0,1451.344,M.DAR BEL OUER
2,1,152440,18-May,14,6,84311.925,75.0,1124.159,M.DAR BEL OUER
3,3,152440,19-Jan,14,6,11905.84,8.0,1488.23,M.DAR BEL OUER
3,3,152440,18-Sep,14,6,16388.053,11.0,1489.823,M.DAR BEL OUER
1,2,152440,18-Jun,14,6,7592.855,5.0,1518.571,M.DAR BEL OUER
1,2,152440,19-Jun,14,6,6683.36,4.0,1670.84,M.DAR BEL OUER
